step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.350001,210.6085,41158.78,40.8081,0.000679,0.000198,32.573067
20,20,2e-5,3.581761,35.9368,39292.86,39.1857,0.000985,0.000199,23.892036
30,30,3.0000001e-5,3.019125,20.4734,37305.45,37.0306,0.001110,0.000199,21.636501
40,40,4e-5,2.616670,13.6901,35096.75,37.9264,0.001241,0.000209,16.444366
50,50,5e-5,2.486935,12.0244,37962.96,37.7565,0.001534,0.000227,16.967415
60,60,6.0000002e-5,2.387373,10.8849,36789.27,38.3706,0.001797,0.000434,13.684210
70,70,6.9999995e-5,2.215268,9.1639,38699.30,38.6389,0.002122,0.000469,12.481133
80,80,8e-5,2.327834,10.2557,37863.72,38.1468,0.002688,0.000581,13.623856
90,90,8.9999994e-5,2.303328,10.0074,38079.34,37.9755,0.002870,0.000580,14.180026
100,100,1e-4,2.167244,8.7342,38226.72,38.0262,0.002957,0.000577,13.382375
110,110,1.1e-4,2.174009,8.7935,35167.33,37.3329,0.003301,0.000559,14.482452
120,120,1.20000004e-4,2.074060,7.9571,37238.75,37.8373,0.003308,0.000587,12.854161
130,130,1.2999999e-4,2.108521,8.2361,35900.00,38.5827,0.003502,0.000651,12.469436
140,140,1.3999999e-4,2.012984,7.4856,38738.11,38.4826,0.003375,0.000579,12.381589
150,150,1.4999999e-4,1.963861,7.1268,37014.19,38.5188,0.003660,0.000614,11.924189
160,160,1.6e-4,1.996386,7.3624,38831.88,38.6883,0.003637,0.000586,12.288183
170,170,1.7e-4,2.171215,8.7689,34554.65,37.7147,0.003719,0.000579,13.808992
180,180,1.7999999e-4,2.011054,7.4712,37977.07,37.7705,0.003445,0.000496,13.434929
190,190,1.8999999e-4,1.982022,7.2574,37711.31,37.5792,0.003425,0.000455,14.098010
200,200,1.999556e-4,2.075796,7.9709,36122.34,38.1805,0.003394,0.000455,13.592474
210,210,1.9995103e-4,2.060707,7.8515,34521.64,38.2081,0.003255,0.000449,12.445498
220,220,1.9994628e-4,1.865881,6.4616,38623.81,38.5485,0.003239,0.000440,11.990894
230,230,1.9994128e-4,1.763450,5.8325,35892.57,37.8050,0.003223,0.000433,11.370369
240,240,1.9993607e-4,1.923463,6.8446,36327.20,38.6443,0.003339,0.000440,11.571519
250,250,1.999306e-4,1.979451,7.2388,37007.67,38.3484,0.003039,0.000347,12.954668
260,260,1.9992495e-4,1.836983,6.2776,38397.32,37.9233,0.002710,0.000319,11.593913
270,270,1.9991907e-4,1.777665,5.9160,38108.72,37.8353,0.002658,0.000291,11.647654
280,280,1.9991296e-4,1.684875,5.3918,38221.37,38.0652,0.002665,0.000327,10.988829
290,290,1.9990664e-4,1.592499,4.9160,38043.04,37.8288,0.002799,0.000314,10.556614
300,300,1.999001e-4,1.723192,5.6024,36322.05,38.2180,0.002671,0.000334,10.245048
310,310,1.9989331e-4,1.694412,5.4434,35262.29,37.9053,0.002689,0.000371,10.344835
320,320,1.9988633e-4,1.804766,6.0785,38073.23,37.7342,0.002563,0.000277,11.619359
330,330,1.9987911e-4,1.781118,5.9365,31734.18,37.9535,0.002592,0.000277,10.909286
340,340,1.9987169e-4,1.697352,5.4595,38517.00,38.3373,0.002513,0.000290,10.052553
350,350,1.9986404e-4,1.836109,6.2721,38220.68,38.0572,0.002437,0.000272,10.776079
360,360,1.9985615e-4,1.703691,5.4942,36702.47,37.7494,0.002509,0.000273,10.985705
370,370,1.9984803e-4,1.617588,5.0409,37088.46,36.9011,0.002750,0.000267,11.836014
380,380,1.998397e-4,1.617563,5.0408,36798.70,37.8864,0.002788,0.000267,10.855287
390,390,1.9983118e-4,1.710367,5.5310,36898.58,37.6486,0.002647,0.000229,11.671354
400,400,1.9982242e-4,1.753698,5.7759,38762.45,38.6116,0.002335,0.000256,10.220343
410,410,1.9981342e-4,1.641806,5.1645,38609.23,38.4216,0.002444,0.000273,10.239007
420,420,1.998042e-4,1.614050,5.0231,35731.13,38.0024,0.002513,0.000260,10.453629
430,430,1.9979477e-4,1.593076,4.9189,37570.49,38.2275,0.002439,0.000241,10.113937
440,440,1.9978514e-4,1.603152,4.9687,37519.74,38.3129,0.002390,0.000219,9.888387
450,450,1.9977524e-4,1.569160,4.8026,37939.68,37.8879,0.002466,0.000200,10.124429
460,460,1.9976517e-4,1.477031,4.3799,37996.45,37.9446,0.002424,0.000212,9.696269
470,470,1.9975484e-4,1.375388,3.9566,36594.02,38.1591,0.002607,0.000233,8.666849
480,480,1.997443e-4,1.462848,4.3182,38502.18,38.1667,0.002648,0.000251,9.276503
490,490,1.9973353e-4,1.562531,4.7709,36989.02,38.1976,0.002648,0.000256,9.899202
500,500,1.9972256e-4,1.692326,5.4321,37271.15,37.9531,0.002626,0.000250,11.163357
510,510,1.9971136e-4,1.445184,4.2426,37907.43,37.8483,0.002562,0.000224,9.365805
520,520,1.9969995e-4,1.523273,4.5872,37932.13,37.7772,0.002611,0.000222,9.683492
530,530,1.9968828e-4,1.494005,4.4549,37761.23,37.6803,0.002501,0.000218,9.535780
540,540,1.9967643e-4,1.543353,4.6803,34693.38,37.7214,0.002567,0.000202,10.284587
