step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.505226,245.9741,22672.38,22.4792,0.000477,0.000138,33.602745
20,20,2e-5,4.975887,144.8773,21645.38,21.5863,0.002963,0.000383,33.212452
30,30,3.0000001e-5,3.977099,53.3620,21588.44,21.4294,0.004145,0.000213,28.507959
40,40,4e-5,3.300145,27.1166,20501.46,22.1544,0.003263,0.000112,20.746189
50,50,5e-5,3.098743,22.1701,21671.48,21.5536,0.002950,0.000138,21.128792
60,60,6.0000002e-5,2.998526,20.0560,21584.93,22.5127,0.002874,0.000209,17.192562
70,70,6.9999995e-5,2.884567,17.8958,22946.43,22.9106,0.002869,0.000181,16.269238
80,80,8e-5,2.889792,17.9896,22093.47,22.2587,0.002490,0.000160,16.877949
90,90,8.9999994e-5,2.868682,17.6138,22037.08,21.9770,0.002375,0.000150,17.634813
100,100,1e-4,2.800436,16.4518,22425.73,22.3081,0.002465,0.000169,17.269009
110,110,1.1e-4,2.800058,16.4456,20506.49,21.7693,0.002719,0.000188,18.648838
120,120,1.20000004e-4,2.740204,15.4901,21565.15,21.9118,0.002735,0.000264,16.994274
130,130,1.2999999e-4,2.759206,15.7873,20753.96,22.3048,0.002906,0.000308,16.333227
140,140,1.3999999e-4,2.688818,14.7143,22152.45,22.0063,0.002722,0.000196,16.530054
150,150,1.4999999e-4,2.622939,13.7761,21374.69,22.2436,0.003178,0.000287,15.927213
160,160,1.6e-4,2.548850,12.7924,22186.33,22.1043,0.002787,0.000212,15.697655
170,170,1.7e-4,2.737487,15.4481,19781.24,21.5903,0.003571,0.000366,17.314545
180,180,1.7999999e-4,2.623253,13.7805,21876.19,21.7572,0.003323,0.000253,17.528801
190,190,1.8999999e-4,2.556815,12.8947,21749.64,21.6734,0.003411,0.000225,18.152452
200,200,1.999556e-4,2.609758,13.5958,20623.40,21.7985,0.003390,0.000294,17.109497
210,210,1.9995103e-4,2.607921,13.5708,19924.94,22.0527,0.003441,0.000248,15.915674
220,220,1.9994628e-4,2.500781,12.1920,22144.99,22.1018,0.003867,0.000281,16.068920
230,230,1.9994128e-4,2.461297,11.7200,21027.00,22.1473,0.003848,0.000240,15.904859
240,240,1.9993607e-4,2.467625,11.7944,20926.37,22.2612,0.003919,0.000275,14.832417
250,250,1.999306e-4,2.470273,11.8257,21001.96,21.7628,0.003573,0.000257,16.224485
260,260,1.9992495e-4,2.399014,11.0123,22349.45,22.0735,0.003517,0.000203,15.141777
270,270,1.9991907e-4,2.419069,11.2354,21809.88,21.6534,0.003748,0.000201,15.864047
280,280,1.9991296e-4,2.336043,10.3402,22011.83,21.9219,0.003697,0.000185,15.217837
290,290,1.9990664e-4,2.321013,10.1860,21863.31,21.7402,0.003957,0.000195,15.379521
300,300,1.999001e-4,2.275440,9.7322,21533.92,22.6580,0.003777,0.000249,13.580417
310,310,1.9989331e-4,2.307366,10.0479,20725.26,22.2787,0.004054,0.000259,14.089872
320,320,1.9988633e-4,2.373211,10.7318,22343.49,22.1445,0.004660,0.000349,15.276845
330,330,1.9987911e-4,2.382375,10.8306,18691.80,22.3551,0.004564,0.000233,14.364929
340,340,1.9987169e-4,2.236006,9.3559,22595.21,22.4898,0.004352,0.000233,13.236377
350,350,1.9986404e-4,2.311582,10.0904,22446.82,22.3508,0.004278,0.000236,13.553110
360,360,1.9985615e-4,2.257184,9.5561,21250.29,21.8565,0.004372,0.000233,14.527071
370,370,1.9984803e-4,2.265835,9.6392,21456.88,21.3485,0.004714,0.000225,16.553585
380,380,1.998397e-4,2.236100,9.3568,21072.43,21.6953,0.004962,0.000272,15.017807
390,390,1.9983118e-4,2.343511,10.4178,21137.40,21.5671,0.005111,0.000226,16.094687
400,400,1.9982242e-4,2.252432,9.5108,22565.56,22.4778,0.005016,0.000253,13.158000
410,410,1.9981342e-4,2.263136,9.6132,22238.42,22.1304,0.005309,0.000209,14.103200
420,420,1.998042e-4,2.235786,9.3538,20598.77,21.9081,0.005255,0.000193,14.486282
430,430,1.9979477e-4,2.150780,8.5916,21831.19,22.2130,0.005013,0.000207,13.721937
440,440,1.9978514e-4,2.186288,8.9021,21738.46,22.1980,0.005378,0.000238,13.487326
450,450,1.9977524e-4,2.153789,8.6175,21950.52,21.9206,0.005561,0.000229,13.927025
460,460,1.9976517e-4,2.141279,8.5103,22003.39,21.9733,0.005616,0.000238,14.057515
470,470,1.9975484e-4,2.058773,7.8363,21091.76,21.9939,0.005744,0.000225,13.014252
480,480,1.997443e-4,2.147353,8.5622,22040.91,21.8489,0.006149,0.000253,13.636592
490,490,1.9973353e-4,2.141588,8.5129,21189.22,21.8816,0.006587,0.000288,13.562851
500,500,1.9972256e-4,2.230426,9.3038,21164.45,21.5517,0.006514,0.000219,14.696526
510,510,1.9971136e-4,2.091073,8.0936,21618.75,21.5850,0.006298,0.000196,13.608584
520,520,1.9969995e-4,2.152274,8.6044,21806.89,21.7178,0.006562,0.000265,13.672392
530,530,1.9968828e-4,2.078446,7.9920,22079.45,22.0321,0.006274,0.000214,13.288899
540,540,1.9967643e-4,2.119546,8.3274,19905.07,21.6424,0.006453,0.000197,14.139369
550,550,1.9966433e-4,2.169025,8.7498,22234.49,22.0365,0.006562,0.000221,13.969708
560,560,1.9965201e-4,2.176749,8.8176,20797.19,22.5310,0.006607,0.000215,12.802060
570,570,1.996395e-4,2.148003,8.5677,22745.77,22.5520,0.006830,0.000246,12.418603
580,580,1.9962675e-4,2.186130,8.9007,21520.12,22.3586,0.006772,0.000259,12.985720
590,590,1.9961377e-4,2.140562,8.5042,21358.20,21.1680,0.006755,0.000178,15.400549
600,600,1.9960059e-4,2.155018,8.6280,20108.90,21.7394,0.007044,0.000202,14.388723
610,610,1.9958714e-4,2.133968,8.4483,22795.16,22.6800,0.006595,0.000222,12.765736
620,620,1.9957352e-4,2.085188,8.0461,22743.47,22.6374,0.006509,0.000216,12.512555
630,630,1.9955967e-4,1.993607,7.3420,22931.46,22.8778,0.006402,0.000230,11.222982
640,640,1.9954558e-4,2.041085,7.6990,22628.18,22.5139,0.006674,0.000244,12.200044
650,650,1.9953129e-4,2.022162,7.5546,21222.18,22.2796,0.006674,0.000216,12.435314
660,660,1.9951677e-4,2.131211,8.4251,21977.09,21.9214,0.007220,0.000256,14.535916
670,670,1.9950204e-4,2.037870,7.6742,22306.99,22.1169,0.007326,0.000228,13.130575
680,680,1.9948708e-4,2.025517,7.5800,22085.64,21.9997,0.007549,0.000240,13.377393
690,690,1.9947189e-4,2.132488,8.4358,20962.50,22.3460,0.007824,0.000278,13.048004
700,700,1.994565e-4,1.989606,7.3127,21997.62,21.9291,0.007199,0.000227,13.297308
710,710,1.9944087e-4,2.093168,8.1106,20799.14,22.4618,0.007935,0.000274,12.797102
720,720,1.9942503e-4,1.939277,6.9537,23077.93,23.0016,0.007618,0.000274,10.821375
730,730,1.9940894e-4,1.996143,7.3606,20627.70,22.2158,0.007877,0.000255,12.928415
740,740,1.9939267e-4,2.048169,7.7537,21852.34,21.7166,0.008335,0.000233,13.928760
750,750,1.9937617e-4,2.088175,8.0702,22539.96,22.3826,0.008186,0.000259,13.123322
760,760,1.9935943e-4,1.997347,7.3695,21091.68,21.8735,0.008270,0.000204,13.349698
770,770,1.993425e-4,1.949248,7.0234,21110.38,21.9998,0.007932,0.000211,12.900119
780,780,1.9932532e-4,2.017992,7.5232,22312.33,22.2428,0.008180,0.000270,12.713725
790,790,1.9930792e-4,1.945489,6.9970,20920.35,22.5880,0.008331,0.000270,11.663733
800,800,1.9929034e-4,2.108459,8.2355,22372.10,22.2764,0.008235,0.000222,13.251607
810,810,1.992725e-4,2.005243,7.4279,22410.52,22.3103,0.008318,0.000223,12.759026
820,820,1.9925446e-4,1.998240,7.3761,20447.90,22.2326,0.008532,0.000233,13.019056
830,830,1.9923618e-4,1.994089,7.3455,21164.54,22.0204,0.008554,0.000228,12.637333
840,840,1.992177e-4,1.997233,7.3686,22157.98,22.0161,0.008273,0.000209,12.793998
850,850,1.9919898e-4,2.026420,7.5869,20836.88,21.9020,0.008518,0.000225,12.809804
860,860,1.9918004e-4,2.065624,7.8902,21680.70,21.8042,0.008479,0.000225,13.610830
870,870,1.9916089e-4,1.927476,6.8721,20421.10,21.9425,0.008380,0.000235,13.139114
880,880,1.9914153e-4,1.919243,6.8158,22241.26,22.0603,0.008657,0.000252,12.379533
890,890,1.9912195e-4,1.947705,7.0126,22151.22,22.0479,0.008786,0.000281,12.969991
900,900,1.9910213e-4,1.948507,7.0182,21902.66,22.8441,0.008524,0.000284,11.141087
910,910,1.990821e-4,1.960591,7.1035,23011.24,22.8728,0.008868,0.000274,11.765128
920,920,1.9906185e-4,1.907804,6.7383,20650.54,22.8410,0.008697,0.000267,12.682104
930,930,1.9904139e-4,1.916574,6.7976,23188.33,23.0622,0.008970,0.000237,12.509048
940,940,1.990207e-4,1.891274,6.6278,21440.19,23.2621,0.009188,0.000261,12.283204
950,950,1.989998e-4,2.011251,7.4727,22702.31,22.7735,0.009564,0.000277,14.007486
960,960,1.9897867e-4,1.976275,7.2158,23614.86,23.5001,0.009665,0.000349,13.386563
970,970,1.989573e-4,1.755983,5.7891,24059.01,23.9468,0.008930,0.000257,11.690858
