step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,4e-6,5.163522,174.7789,28863.44,1.8294,0.257783,0.571886,37.510540
20,20,8e-6,4.909379,135.5552,27696.17,1.7783,0.244755,0.498788,36.732475
30,30,1.19999995e-5,4.589518,98.4470,26284.75,1.7911,0.208807,0.368475,33.564335
40,40,1.6e-5,4.357347,78.0498,26961.21,1.8078,0.177410,0.263988,31.271091
50,50,2e-5,4.065450,58.2911,29905.29,1.8100,0.147593,0.191739,29.490215
60,60,2.3999999e-5,3.878780,48.3652,28035.95,1.7961,0.131214,0.125787,28.968561
70,70,2.7999999e-5,3.759299,42.9183,32521.99,1.7602,0.119358,0.085163,28.651220
80,80,3.2e-5,3.634910,37.8984,33615.81,1.8403,0.112895,0.053971,26.202648
90,90,3.6e-5,3.566043,35.3763,29704.97,1.8308,0.117259,0.041523,25.877981
100,100,4e-5,3.477595,32.3817,28067.31,1.8514,0.125272,0.042206,24.450426
110,110,4.4e-5,3.427242,30.7916,28816.87,1.7857,0.141695,0.040144,25.280281
120,120,4.7999998e-5,3.355649,28.6642,32004.77,1.8082,0.153937,0.039164,24.396788
130,130,5.1999996e-5,3.291892,26.8937,30064.84,1.8092,0.168568,0.036747,23.996437
140,140,5.5999997e-5,3.237975,25.4821,24747.23,1.7971,0.189697,0.033590,23.867794
150,150,6.0000002e-5,3.185050,24.1685,26304.87,1.7882,0.208532,0.040763,23.473536
160,160,6.4e-5,3.121936,22.6903,35618.96,1.8269,0.239936,0.035472,22.309587
170,170,6.8e-5,3.090876,21.9963,28779.83,1.8005,0.234037,0.034079,22.044708
180,180,7.2e-5,3.031031,20.7186,25160.07,1.8256,0.257555,0.032422,21.575481
190,190,7.6e-5,3.019720,20.4856,33529.77,1.7771,0.288396,0.033952,22.408419
200,200,8e-5,2.949769,19.1016,28925.66,1.8278,0.319374,0.035906,21.231121
210,210,8.399999e-5,2.968254,19.4579,25071.45,1.8145,0.368293,0.040817,21.467268
220,220,8.8e-5,2.912625,18.4050,27343.51,1.8048,0.336035,0.032771,21.330215
230,230,9.2e-5,2.845756,17.2146,28970.20,1.8307,0.364432,0.031414,20.562717
240,240,9.5999996e-5,2.776208,16.0580,31060.71,1.8338,0.415057,0.034127,20.042591
250,250,1e-4,2.735339,15.4150,28493.66,1.8376,0.460898,0.034979,19.603489
260,260,1.0399999e-4,2.796877,16.3934,26908.69,1.7648,0.443778,0.033476,20.261784
270,270,1.08e-4,2.691958,14.7606,27344.62,1.7873,0.395799,0.031688,19.365685
280,280,1.11999994e-4,2.586680,13.2856,27982.65,1.8052,0.449684,0.030194,18.282934
290,290,1.15999996e-4,2.668880,14.4238,20293.15,1.7841,0.547281,0.036219,19.293642
300,300,1.20000004e-4,2.611330,13.6172,27528.66,1.7587,0.426696,0.026443,19.103123
310,310,1.24e-4,2.530899,12.5648,27845.43,1.7933,0.488741,0.027592,18.049160
320,320,1.28e-4,2.512952,12.3413,23822.77,1.7689,0.562279,0.030408,18.104315
330,330,1.32e-4,2.447181,11.5557,34319.28,1.7890,0.520010,0.027141,17.501354
340,340,1.36e-4,2.412649,11.1635,28479.27,1.7784,0.554487,0.027637,17.299566
350,350,1.3999999e-4,2.444002,11.5190,29001.69,1.7417,0.516619,0.025335,17.976135
360,360,1.44e-4,2.394915,10.9673,28382.96,1.7753,0.550268,0.026700,17.074375
370,370,1.4799999e-4,2.397268,10.9931,28623.26,1.7952,0.528093,0.024878,16.935669
380,380,1.52e-4,2.337759,10.3580,26543.63,1.7808,0.507919,0.023070,16.664711
