step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,5e-6,5.037665,154.1097,757.42,0.6084,0.132551,0.738358,31.307316
20,20,1e-5,4.860544,129.0944,706.01,0.5705,0.129192,0.638052,32.777092
30,30,1.50000005e-5,4.596869,99.1734,706.70,0.5680,0.109202,0.491656,31.097637
40,40,2e-5,4.414151,82.6117,677.27,0.5915,0.089916,0.365167,29.304316
50,50,2.5e-5,4.280721,72.2925,748.50,0.6569,0.076126,0.287486,24.699177
60,60,3.0000001e-5,4.089491,59.7095,818.31,0.6679,0.068009,0.235452,23.208824
70,70,3.4999997e-5,4.013275,55.3278,755.40,0.6078,0.068234,0.203889,24.619862
80,80,4e-5,3.919105,50.3553,769.03,0.6205,0.068999,0.183067,23.669884
90,90,4.4999997e-5,3.827942,45.9679,725.95,0.5879,0.071749,0.158573,25.059200
100,100,5e-5,3.763145,43.0837,752.26,0.6052,0.074376,0.143219,23.117329
110,110,5.5e-5,3.703985,40.6088,704.31,0.6171,0.079389,0.140609,22.004105
120,120,6.0000002e-5,3.608546,36.9123,757.95,0.6108,0.079418,0.117623,21.878813
130,130,6.499999e-5,3.545572,34.6595,734.54,0.6167,0.084269,0.115585,21.929066
140,140,6.9999995e-5,3.603110,36.7122,737.54,0.5936,0.089085,0.115034,23.636766
150,150,7.4999996e-5,3.560818,35.1920,708.57,0.5705,0.090678,0.107457,24.371403
160,160,8e-5,3.538601,34.4187,711.47,0.5769,0.093549,0.106575,23.946093
170,170,8.5e-5,3.501200,33.1552,688.24,0.5954,0.093492,0.104859,22.139101
180,180,8.9999994e-5,3.429156,30.8506,732.64,0.5904,0.091275,0.088936,22.025608
190,190,9.4999996e-5,3.417826,30.5030,742.52,0.6000,0.098626,0.091900,21.705143
200,200,9.998026e-5,3.392184,29.7308,694.93,0.6006,0.103951,0.096382,21.847069
210,210,9.9978235e-5,3.361308,28.8269,758.35,0.6103,0.101365,0.088168,20.898701
220,220,9.997612e-5,3.328056,27.8841,728.97,0.5859,0.104780,0.085032,21.909239
230,230,9.99739e-5,3.293641,26.9408,732.74,0.5898,0.103473,0.075317,21.367975
240,240,9.997158e-5,3.245735,25.6806,744.14,0.6165,0.111972,0.078328,19.965149
250,250,9.9969155e-5,3.243552,25.6246,752.78,0.6073,0.124035,0.087483,20.065928
260,260,9.9966644e-5,3.260835,26.0713,674.45,0.5935,0.143568,0.098207,21.172380
270,270,9.9964025e-5,3.182609,24.1096,751.42,0.6088,0.146845,0.093149,19.668127
280,280,9.996132e-5,3.168483,23.7714,796.25,0.6398,0.162148,0.099700,18.276800
290,290,9.99585e-5,3.165202,23.6935,695.32,0.5838,0.171931,0.102641,20.300617
300,300,9.995559e-5,3.152628,23.3975,677.70,0.5441,0.203802,0.110833,22.709599
310,310,9.995258e-5,3.177631,23.9899,665.50,0.5625,0.204355,0.111101,21.604010
320,320,9.994947e-5,3.185723,24.1848,730.37,0.6044,0.195577,0.102765,19.736403
330,330,9.9946265e-5,3.135546,23.0012,758.46,0.6127,0.197153,0.102817,19.149031
340,340,9.994297e-5,3.091457,22.0091,663.23,0.5831,0.205369,0.102351,19.902870
350,350,9.993956e-5,3.061692,21.3637,691.84,0.5852,0.217946,0.103445,19.597729
360,360,9.9936056e-5,3.039891,20.9030,724.33,0.5842,0.266915,0.122471,19.142780
370,370,9.9932455e-5,3.020308,20.4976,709.19,0.5717,0.354854,0.163462,19.701023
380,380,9.992876e-5,2.981142,19.7103,708.34,0.5871,0.385000,0.178193,18.709904
390,390,9.992496e-5,2.994643,19.9782,717.13,0.5777,0.393232,0.175313,19.161350
400,400,9.992107e-5,2.962512,19.3465,696.37,0.5778,0.405045,0.178412,19.137554
410,410,9.991707e-5,2.940850,18.9319,677.25,0.5835,0.397138,0.164735,18.945980
420,420,9.991298e-5,2.961243,19.3220,734.46,0.5912,0.445936,0.182417,18.844854
430,430,9.9908786e-5,2.890676,18.0055,738.76,0.5933,0.475151,0.194004,18.553925
440,440,9.990449e-5,2.879514,17.8056,722.57,0.5862,0.478039,0.193187,18.805634
450,450,9.990011e-5,2.856179,17.3949,710.37,0.6080,0.447882,0.176036,17.744831
460,460,9.9895624e-5,2.899328,18.1619,821.10,0.6599,0.446587,0.184322,16.239962
470,470,9.989104e-5,2.857233,17.4133,690.17,0.6096,0.487103,0.188242,17.252773
480,480,9.9886354e-5,2.811209,16.6300,675.83,0.5442,0.533042,0.201833,20.141043
490,490,9.988157e-5,2.822586,16.8203,721.37,0.6164,0.465437,0.168973,17.070047
500,500,9.9876685e-5,2.798618,16.4219,763.14,0.6140,0.473374,0.169812,17.004505
510,510,9.987171e-5,2.761514,15.8238,804.96,0.6473,0.471603,0.168121,15.559789
520,520,9.986664e-5,2.748269,15.6156,779.87,0.6279,0.491519,0.176142,16.426172
530,530,9.9861456e-5,2.794312,16.3514,725.82,0.5913,0.525647,0.183932,17.998234
540,540,9.985618e-5,2.781839,16.1487,724.97,0.5858,0.548814,0.193560,18.045095
550,550,9.985081e-5,2.757226,15.7561,722.45,0.5823,0.567404,0.196664,18.120802
560,560,9.984534e-5,2.807499,16.5684,705.74,0.5990,0.570368,0.201772,17.642460
570,570,9.983977e-5,2.742897,15.5319,678.33,0.5952,0.589094,0.207034,17.824575
580,580,9.9834106e-5,2.719462,15.1722,802.65,0.6467,0.550863,0.193089,15.582077
590,590,9.982834e-5,2.716430,15.1262,693.58,0.5960,0.550549,0.190175,17.337070
600,600,9.982248e-5,2.752078,15.6752,709.08,0.5713,0.626261,0.207311,18.741142
610,610,9.981651e-5,2.772722,16.0021,650.13,0.6086,0.583143,0.206225,17.198994
620,620,9.981045e-5,2.693361,14.7813,706.29,0.5685,0.641308,0.221578,18.239136
630,630,9.9804296e-5,2.729465,15.3247,699.89,0.5997,0.563557,0.195122,17.187132
640,640,9.979804e-5,2.739205,15.4747,705.31,0.6166,0.577758,0.202302,16.479252
650,650,9.979169e-5,2.731644,15.3581,741.75,0.5988,0.557786,0.182455,17.151421
660,660,9.978523e-5,2.669980,14.4397,735.17,0.5923,0.559676,0.178200,17.004032
670,670,9.977868e-5,2.648284,14.1298,647.54,0.5970,0.589735,0.188317,17.201614
680,680,9.9772034e-5,2.660631,14.3053,747.63,0.6019,0.589829,0.190086,16.747801
690,690,9.976528e-5,2.699937,14.8788,731.67,0.5980,0.567433,0.181462,17.010548
700,700,9.9758436e-5,2.724531,15.2493,640.01,0.5605,0.590311,0.188195,18.683863
710,710,9.975149e-5,2.640728,14.0234,666.27,0.5634,0.580316,0.179379,17.242743
720,720,9.974445e-5,2.661271,14.3145,691.46,0.5581,0.605410,0.184533,17.524332
730,730,9.9737306e-5,2.662212,14.3279,693.80,0.6101,0.524641,0.164094,15.595747
740,740,9.973007e-5,2.640319,14.0177,746.66,0.6008,0.547786,0.167174,15.608066
750,750,9.972273e-5,2.636849,13.9691,705.03,0.5756,0.556021,0.162602,16.556372
760,760,9.9715304e-5,2.629307,13.8642,707.33,0.5698,0.562829,0.169236,16.953478
770,770,9.970777e-5,2.657200,14.2563,630.23,0.5387,0.591251,0.171408,18.197580
780,780,9.970014e-5,2.683372,14.6344,666.10,0.5351,0.607002,0.183219,18.059387
790,790,9.969241e-5,2.615853,13.6789,672.03,0.5462,0.556813,0.167240,17.284313
800,800,9.968459e-5,2.706474,14.9764,651.76,0.5245,0.573359,0.175821,18.678768
810,810,9.967666e-5,2.598532,13.4440,660.88,0.5335,0.571714,0.170351,17.503817
820,820,9.966864e-5,2.631377,13.8929,670.60,0.5401,0.599140,0.177855,17.544115
830,830,9.9660516e-5,2.685325,14.6630,670.88,0.5403,0.602553,0.180112,17.778490
840,840,9.96523e-5,2.703111,14.9261,677.85,0.5453,0.593854,0.171342,17.730320
850,850,9.964399e-5,2.636515,13.9644,668.31,0.5377,0.568364,0.159154,17.965279
860,860,9.9635574e-5,2.598799,13.4476,650.72,0.5231,0.626904,0.172400,18.377033
