step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,5,5e-6,5.020860,151.5415,479.33,0.6401,0.112245,0.441786,30.143591
20,10,1e-5,4.927899,138.0891,479.99,0.5868,0.116479,0.448785,32.284260
30,15,1.50000005e-5,4.840299,126.5071,494.38,0.5831,0.107096,0.407961,32.652882
40,20,2e-5,4.705754,110.5816,510.33,0.5753,0.105404,0.381394,33.286442
50,25,2.5e-5,4.553136,94.9296,469.11,0.6076,0.085079,0.285420,28.780100
60,30,3.0000001e-5,4.441054,84.8644,488.81,0.5777,0.082511,0.258336,30.160534
70,35,3.4999997e-5,4.351785,77.6169,439.73,0.6516,0.070214,0.207721,25.649715
80,40,4e-5,4.252775,70.3002,464.04,0.6853,0.065291,0.172989,23.077892
90,45,4.4999997e-5,4.148227,63.3216,465.83,0.6488,0.066992,0.152023,23.760946
100,50,5e-5,4.114329,61.2111,468.25,0.6566,0.068050,0.147372,23.899750
110,55,5.5e-5,4.058249,57.8729,477.10,0.6018,0.068465,0.132244,25.768528
120,60,6.0000002e-5,3.984187,53.7416,470.91,0.6380,0.066103,0.120601,23.460331
130,65,6.499999e-5,3.932139,51.0160,462.91,0.6315,0.068208,0.111431,24.209061
140,70,6.9999995e-5,3.910725,49.9351,488.25,0.5779,0.071353,0.116828,26.390232
150,75,7.4999996e-5,3.852501,47.1107,467.22,0.6233,0.067265,0.095338,23.765705
160,80,8e-5,3.830216,46.0725,479.31,0.6278,0.066156,0.089730,23.306026
170,85,8.5e-5,3.799990,44.7007,495.90,0.6875,0.067243,0.083113,22.504759
180,90,8.9999994e-5,3.738526,42.0360,480.02,0.6227,0.070281,0.081589,22.966709
190,95,9.4999996e-5,3.700121,40.4522,456.49,0.6353,0.069187,0.078999,22.417189
200,100,1e-4,3.674311,39.4215,475.21,0.6199,0.069453,0.072784,22.514204
210,105,1.0499999e-4,3.667798,39.1656,437.29,0.6144,0.070513,0.072754,22.698895
220,110,1.1e-4,3.690892,40.0806,484.70,0.5902,0.076906,0.079894,24.245678
230,115,1.14999995e-4,3.640451,38.1090,496.44,0.5908,0.075438,0.069412,24.597258
240,120,1.20000004e-4,3.623847,37.4815,498.84,0.5682,0.079108,0.072205,25.360220
250,125,1.2499999e-4,3.582987,35.9809,503.34,0.5997,0.078072,0.070962,23.923395
260,130,1.2999999e-4,3.580677,35.8978,441.29,0.5890,0.073160,0.065688,23.318420
270,135,1.35e-4,3.525599,33.9741,473.54,0.6174,0.073969,0.062338,21.751495
280,140,1.3999999e-4,3.500743,33.1401,515.83,0.6358,0.074482,0.059574,22.665127
290,145,1.45e-4,3.461566,31.8668,470.78,0.6047,0.073343,0.053964,22.209951
300,150,1.4999999e-4,3.454723,31.6495,470.77,0.6215,0.069778,0.049800,21.014187
310,155,1.5499999e-4,3.402999,30.0541,422.82,0.5921,0.074276,0.054367,22.173208
320,160,1.6e-4,3.388498,29.6214,472.22,0.6105,0.072418,0.051433,20.994579
330,165,1.6499999e-4,3.386261,29.5552,481.20,0.6071,0.071838,0.047267,21.511286
340,170,1.7e-4,3.355747,28.6670,495.67,0.6034,0.074894,0.048016,22.093601
350,175,1.75e-4,3.320495,27.6740,483.91,0.5949,0.076344,0.044961,21.617569
360,180,1.7999999e-4,3.302010,27.1672,480.91,0.5882,0.078877,0.044957,21.497700
370,185,1.85e-4,3.292901,26.9208,450.33,0.6031,0.080744,0.045052,20.780897
380,190,1.8999999e-4,3.239461,25.5200,478.39,0.6380,0.081162,0.047786,19.401882
390,195,1.95e-4,3.220352,25.0369,497.52,0.6410,0.089276,0.050522,20.109180
400,200,1.999556e-4,3.260701,26.0678,496.45,0.6248,0.092872,0.051416,20.671829
410,205,1.9995336e-4,3.227427,25.2147,464.41,0.5958,0.098761,0.053740,20.851973
420,210,1.9995103e-4,3.171355,23.8398,438.32,0.6218,0.100542,0.052690,19.484089
430,215,1.9994867e-4,3.179909,24.0446,469.16,0.6552,0.097343,0.049531,18.251377
440,220,1.9994628e-4,3.165634,23.7038,460.92,0.6390,0.102813,0.047811,18.341610
450,225,1.9994381e-4,3.175102,23.9293,461.48,0.6028,0.103743,0.047601,19.532223
460,230,1.9994128e-4,3.165638,23.7039,436.88,0.5406,0.111939,0.052272,22.202127
470,235,1.9993869e-4,3.140797,23.1223,488.71,0.5481,0.111550,0.048161,22.405704
480,240,1.9993607e-4,3.158711,23.5402,455.41,0.5545,0.109720,0.047472,21.297403
490,245,1.9993336e-4,3.213526,24.8666,465.85,0.5574,0.115692,0.051165,21.931515
500,250,1.999306e-4,3.147869,23.2864,448.50,0.6171,0.113078,0.053000,18.307398
510,255,1.9992783e-4,3.101620,22.2339,453.90,0.5895,0.114823,0.048545,19.060604
520,260,1.9992495e-4,3.102781,22.2598,428.20,0.6311,0.115183,0.048119,18.426464
530,265,1.9992204e-4,3.091549,22.0112,466.34,0.5573,0.136782,0.054542,20.613319
540,270,1.9991907e-4,3.065557,21.4464,454.01,0.5653,0.140848,0.054335,19.756687
550,275,1.9991604e-4,3.060197,21.3318,437.73,0.5763,0.131257,0.051790,18.592144
560,280,1.9991296e-4,3.057024,21.2642,417.77,0.5613,0.126711,0.052235,19.075539
570,285,1.9990985e-4,3.077409,21.7021,446.20,0.5461,0.134929,0.053701,20.070997
580,290,1.9990664e-4,3.048433,21.0823,446.23,0.5449,0.156574,0.062120,19.978212
590,295,1.9990341e-4,3.020092,20.4932,438.74,0.5482,0.177947,0.067260,19.318951
600,300,1.999001e-4,3.045449,21.0195,402.41,0.5591,0.173100,0.065496,18.975676
610,305,1.9989672e-4,3.019737,20.4859,443.71,0.5608,0.174232,0.062154,19.235378
620,310,1.9989331e-4,2.989169,19.8692,430.75,0.5493,0.192720,0.064916,19.153851
630,315,1.9988985e-4,3.015237,20.3939,441.12,0.5453,0.229085,0.076774,19.501678
640,320,1.9988633e-4,2.995589,19.9971,444.30,0.5504,0.269171,0.086219,19.386862
650,325,1.9988275e-4,3.051952,21.1566,442.29,0.5564,0.246199,0.074830,19.461920
660,330,1.9987911e-4,3.051268,21.1421,442.52,0.5642,0.233651,0.069234,19.171993
670,335,1.9987542e-4,2.950525,19.1160,444.37,0.5536,0.224118,0.060701,19.173111
680,340,1.9987169e-4,2.966033,19.4147,424.00,0.5411,0.250908,0.066336,19.821888
690,345,1.9986788e-4,2.907217,18.3058,444.90,0.5544,0.257515,0.069825,18.717337
700,350,1.9986404e-4,2.930611,18.7391,436.10,0.5755,0.252418,0.070289,17.873890
710,355,1.9986011e-4,2.949080,19.0884,428.68,0.6058,0.271409,0.072985,16.613605
720,360,1.9985615e-4,2.921334,18.5660,430.84,0.6052,0.300901,0.078105,16.611753
730,365,1.998521e-4,2.897728,18.1329,412.55,0.5980,0.321922,0.086642,16.717646
740,370,1.9984803e-4,2.880113,17.8163,455.45,0.5214,0.346070,0.089983,20.159443
750,375,1.998439e-4,2.842636,17.1609,456.86,0.5165,0.359580,0.091315,20.138393
760,380,1.998397e-4,2.877760,17.7744,414.72,0.5806,0.380442,0.097503,17.462259
770,385,1.9983549e-4,2.850222,17.2916,434.32,0.5771,0.333016,0.079175,17.238110
780,390,1.9983118e-4,2.835250,17.0347,436.82,0.5689,0.325242,0.075215,17.433128
790,395,1.9982681e-4,2.806094,16.5452,424.17,0.6361,0.320770,0.073254,14.930392
800,400,1.9982242e-4,2.836960,17.0638,432.67,0.5801,0.356330,0.078544,16.944836
810,405,1.9981794e-4,2.790880,16.2954,432.49,0.5841,0.364617,0.082239,16.571016
820,410,1.9981342e-4,2.794500,16.3545,442.67,0.5668,0.349018,0.077189,17.415842
830,415,1.9980883e-4,2.859190,17.4474,422.06,0.5608,0.360175,0.077573,18.070972
840,420,1.998042e-4,2.823339,16.8330,450.00,0.5431,0.361698,0.077640,18.759985
850,425,1.9979951e-4,2.843680,17.1789,453.29,0.5386,0.362595,0.078735,19.176508
860,430,1.9979477e-4,2.799404,16.4349,444.10,0.5528,0.340629,0.073782,18.011223
870,435,1.9978997e-4,2.941055,18.9358,404.05,0.5766,0.360605,0.080895,17.601658
880,440,1.9978514e-4,2.886185,17.9248,450.33,0.5430,0.367527,0.079171,19.062347
890,445,1.9978022e-4,2.798024,16.4122,431.17,0.5447,0.331660,0.071888,18.186371
900,450,1.9977524e-4,2.831009,16.9626,429.69,0.5797,0.371390,0.078208,16.805801
910,455,1.9977023e-4,2.747404,15.6021,423.76,0.6249,0.311537,0.062820,14.941546
920,460,1.9976517e-4,2.763991,15.8630,440.66,0.5682,0.357597,0.071950,17.103855
930,465,1.9976002e-4,2.783921,16.1823,453.87,0.5220,0.413246,0.082425,19.377064
940,470,1.9975484e-4,2.808875,16.5912,450.19,0.5373,0.377112,0.074176,19.115572
950,475,1.997496e-4,2.863599,17.5245,394.96,0.5971,0.326785,0.071670,16.218210
960,480,1.997443e-4,2.785525,16.2083,450.34,0.5262,0.387979,0.073227,19.099955
970,485,1.9973895e-4,2.724478,15.2485,416.81,0.5146,0.397420,0.073642,18.488661
980,490,1.9973353e-4,2.765761,15.8911,422.17,0.5450,0.369843,0.074928,17.160803
990,495,1.9972809e-4,2.796073,16.3802,419.67,0.5436,0.374632,0.081538,17.234852
1000,500,1.9972256e-4,2.773159,16.0091,415.68,0.5610,0.372329,0.076530,16.725063
1010,505,1.9971697e-4,2.761692,15.8266,422.27,0.5366,0.369804,0.069287,17.291794
1020,510,1.9971136e-4,2.759458,15.7913,429.85,0.5333,0.369032,0.071876,17.833340
1030,515,1.9970565e-4,2.743663,15.5438,429.95,0.5445,0.350252,0.067755,17.534399
1040,520,1.9969995e-4,2.695649,14.8151,390.89,0.5364,0.361514,0.068106,17.379490
1050,525,1.9969416e-4,2.729053,15.3184,424.95,0.5467,0.376194,0.068726,16.965286
1060,530,1.9968828e-4,2.728925,15.3164,430.37,0.5335,0.365674,0.066982,17.707420
1070,535,1.996824e-4,2.742875,15.5316,426.47,0.5288,0.349588,0.065780,17.570265
1080,540,1.9967643e-4,2.746042,15.5808,420.11,0.5487,0.338568,0.061445,16.782202
1090,545,1.9967041e-4,2.764868,15.8770,433.52,0.5027,0.377042,0.067628,19.652622
1100,550,1.9966433e-4,2.658059,14.2686,389.85,0.5348,0.345537,0.059893,17.157207
1110,555,1.9965821e-4,2.669608,14.4343,428.44,0.5295,0.373716,0.064093,17.270142
1120,560,1.9965201e-4,2.701772,14.9061,438.14,0.5245,0.396884,0.067659,18.088522
1130,565,1.9964579e-4,2.656441,14.2455,401.01,0.5576,0.343785,0.064939,15.900452
1140,570,1.996395e-4,2.660782,14.3075,413.77,0.5791,0.365219,0.066507,15.265860
1150,575,1.9963316e-4,2.649969,14.1536,419.43,0.5705,0.375318,0.072832,15.602315
1160,580,1.9962675e-4,2.629189,13.8625,406.22,0.5408,0.396551,0.070146,16.365744
1170,585,1.9962029e-4,2.606690,13.5541,425.04,0.5286,0.386614,0.063135,16.792484
1180,590,1.9961377e-4,2.616335,13.6855,431.12,0.5351,0.399003,0.067078,16.943518
1190,595,1.996072e-4,2.623821,13.7883,430.60,0.5166,0.380768,0.065360,17.685459
