step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.137081,170.2181,247.69,0.1990,0.162275,0.401255,31.935215
20,20,4e-5,4.846827,127.3357,238.88,0.1930,0.164663,0.364048,32.688835
30,30,6.0000002e-5,4.426694,83.6544,241.48,0.1941,0.141634,0.274077,29.948551
40,40,8e-5,4.122716,61.7267,226.49,0.1978,0.114126,0.183920,27.379663
50,50,1e-4,3.932606,51.0398,242.56,0.2129,0.095782,0.132674,22.690281
60,60,1.20000004e-4,3.768266,43.3049,245.50,0.2004,0.090240,0.116194,21.389553
70,70,1.3999999e-4,3.661018,38.9009,244.37,0.1966,0.092291,0.103541,22.449923
80,80,1.6e-4,3.547259,34.7180,243.84,0.1967,0.097091,0.100420,21.431433
90,90,1.7999999e-4,3.461304,31.8585,239.08,0.1936,0.100533,0.099672,22.657129
100,100,2e-4,3.382288,29.4380,243.66,0.1960,0.101503,0.093802,20.778614
110,110,2.2e-4,3.316862,27.5737,225.29,0.1974,0.102946,0.091050,19.705647
120,120,2.4000001e-4,3.211832,24.8245,243.91,0.1966,0.108786,0.090850,19.473461
130,130,2.5999997e-4,3.172080,23.8570,235.46,0.1977,0.123524,0.097567,19.618986
140,140,2.7999998e-4,3.235577,25.4210,241.27,0.1942,0.156207,0.116294,21.228863
150,150,2.9999999e-4,3.185443,24.1780,237.75,0.1914,0.181703,0.127142,21.805382
160,160,3.2e-4,3.160154,23.5742,238.16,0.1931,0.204070,0.129487,21.381117
170,170,3.4e-4,3.092519,22.0325,225.94,0.1955,0.225948,0.137017,19.556240
180,180,3.5999998e-4,3.042979,20.9676,240.33,0.1937,0.273631,0.154525,19.542894
190,190,3.7999998e-4,3.046852,21.0490,241.55,0.1952,0.269849,0.153673,19.350315
200,200,3.9990622e-4,3.041000,20.9262,224.80,0.1943,0.295123,0.161625,19.580603
210,210,3.998966e-4,2.969265,19.4776,242.24,0.1950,0.244282,0.123117,18.460102
220,220,3.9988657e-4,2.917208,18.4896,241.11,0.1938,0.321430,0.151913,19.209949
230,230,3.99876e-4,2.868912,17.6178,241.00,0.1940,0.357272,0.160286,18.612011
240,240,3.99865e-4,2.794475,16.3540,236.48,0.1959,0.390598,0.161938,17.196041
250,250,3.9985348e-4,2.790547,16.2899,244.51,0.1972,0.383688,0.155445,17.265570
260,260,3.9984155e-4,2.802163,16.4803,221.29,0.1947,0.412179,0.160950,18.202442
270,270,3.9982912e-4,2.720858,15.1934,242.19,0.1962,0.410216,0.157321,16.798740
280,280,3.9981626e-4,2.696511,14.8279,248.02,0.1993,0.386346,0.144352,15.551186
290,290,3.998029e-4,2.717379,15.1406,232.43,0.1952,0.453645,0.167315,17.436291
300,300,3.9978907e-4,2.739978,15.4866,238.30,0.1913,0.467442,0.167337,19.736515
310,310,3.9977476e-4,2.740445,15.4939,228.97,0.1935,0.450255,0.155207,18.634985
320,320,3.9976003e-4,2.732997,15.3789,237.70,0.1967,0.443111,0.167425,16.920687
330,330,3.9974478e-4,2.675071,14.5134,242.40,0.1958,0.410321,0.138764,16.327297
340,340,3.997291e-4,2.664946,14.3672,221.46,0.1947,0.414796,0.131398,17.150150
350,350,3.9971294e-4,2.612083,13.6274,231.08,0.1955,0.462528,0.138945,16.704105
360,360,3.996963e-4,2.640188,14.0158,242.34,0.1955,0.465324,0.133894,16.636318
370,370,3.9967918e-4,2.634568,13.9373,239.82,0.1933,0.460025,0.132352,17.184299
380,380,3.996616e-4,2.660343,14.3012,236.56,0.1961,0.418535,0.124316,16.697620
390,390,3.9964358e-4,2.624900,13.8032,243.41,0.1961,0.443327,0.133611,16.793222
400,400,3.9962507e-4,2.621355,13.7543,234.93,0.1949,0.469216,0.142011,16.938776
410,410,3.996061e-4,2.593046,13.3704,225.53,0.1943,0.445962,0.133327,16.704010
420,420,3.9958666e-4,2.652507,14.1896,241.74,0.1946,0.443732,0.135084,16.880835
430,430,3.9956675e-4,2.572963,13.1046,242.77,0.1950,0.453427,0.131482,16.509844
440,440,3.9954635e-4,2.555738,12.8808,238.75,0.1937,0.448582,0.122918,16.681534
450,450,3.995255e-4,2.573760,13.1150,228.73,0.1958,0.454970,0.129559,15.982570
460,460,3.995042e-4,2.633575,13.9235,249.35,0.2004,0.451592,0.131628,14.743594
470,470,3.9948244e-4,2.610068,13.6000,222.76,0.1967,0.457624,0.128623,15.785898
480,480,3.9946017e-4,2.589320,13.3207,236.26,0.1903,0.475092,0.121607,18.554579
490,490,3.9943747e-4,2.609932,13.5981,229.70,0.1963,0.380579,0.093331,15.784628
500,500,3.9941428e-4,2.560804,12.9462,244.02,0.1963,0.360263,0.087974,15.558385
510,510,3.993906e-4,2.527094,12.5171,248.60,0.1999,0.350606,0.085341,14.239798
520,520,3.9936652e-4,2.541328,12.6965,246.12,0.1982,0.415081,0.106156,15.186719
530,530,3.9934192e-4,2.582215,13.2264,238.92,0.1946,0.425007,0.109336,16.636593
540,540,3.9931686e-4,2.547661,12.7772,239.89,0.1939,0.435109,0.109563,16.526062
550,550,3.9929137e-4,2.536267,12.6324,240.56,0.1939,0.437285,0.108986,16.668489
560,560,3.9926538e-4,2.614528,13.6608,230.94,0.1960,0.465816,0.119997,16.412899
570,570,3.9923892e-4,2.532397,12.5836,222.08,0.1949,0.456881,0.114916,16.452570
580,580,3.99212e-4,2.538475,12.6603,247.92,0.1997,0.403197,0.099141,14.548932
590,590,3.9918462e-4,2.526051,12.5040,227.24,0.1953,0.414759,0.101708,16.132040
600,600,3.9915676e-4,2.565539,13.0077,237.82,0.1916,0.434149,0.104247,17.474634
610,610,3.9912842e-4,2.582087,13.2247,209.77,0.1964,0.401541,0.096342,16.014534
620,620,3.9909966e-4,2.488206,12.0397,239.65,0.1929,0.458369,0.102105,16.851368
630,630,3.9907038e-4,2.539393,12.6720,227.53,0.1950,0.465603,0.108370,15.989319
640,640,3.9904067e-4,2.575354,13.1360,225.38,0.1970,0.442697,0.105059,15.491946
650,650,3.9901052e-4,2.569640,13.0611,241.39,0.1949,0.421441,0.096224,16.115143
660,660,3.9897984e-4,2.499635,12.1780,242.19,0.1951,0.415577,0.097278,15.915349
670,670,3.9894873e-4,2.484208,11.9916,211.95,0.1954,0.438313,0.101045,16.136219
680,680,3.9891715e-4,2.503043,12.2196,242.10,0.1949,0.434138,0.101959,15.759384
690,690,3.9888508e-4,2.527679,12.5244,239.38,0.1956,0.442765,0.103767,15.924281
700,700,3.9885257e-4,2.603492,13.5108,220.13,0.1928,0.461446,0.106800,17.863911
710,710,3.9881957e-4,2.504077,12.2323,229.41,0.1940,0.378387,0.083484,16.353592
720,720,3.9878616e-4,2.506154,12.2577,239.72,0.1935,0.395538,0.085212,16.496046
730,730,3.9875222e-4,2.509710,12.3014,226.69,0.1994,0.393728,0.090300,14.695303
740,740,3.9871782e-4,2.493746,12.1065,245.95,0.1979,0.386546,0.088037,14.748716
750,750,3.9868298e-4,2.461906,11.7271,239.31,0.1954,0.398374,0.090961,15.459681
760,760,3.9864768e-4,2.480870,11.9517,242.37,0.1952,0.419948,0.096444,15.995651
770,770,3.986119e-4,2.522950,12.4653,224.22,0.1917,0.452158,0.103681,17.277449
780,780,3.9857565e-4,2.545842,12.7540,239.05,0.1920,0.419424,0.093257,17.139072
790,790,3.9853895e-4,2.456288,11.6614,238.34,0.1937,0.390790,0.080088,16.225918
800,800,3.985018e-4,2.536868,12.6400,237.55,0.1912,0.434697,0.089067,17.503895
810,810,3.9846415e-4,2.437443,11.4437,238.65,0.1927,0.447274,0.086823,16.416185
820,820,3.9842605e-4,2.503420,12.2242,239.81,0.1931,0.457953,0.086870,16.684278
830,830,3.9838746e-4,2.553149,12.8475,240.52,0.1937,0.429378,0.078927,16.898970
840,840,3.9834843e-4,2.588593,13.3110,239.95,0.1930,0.435257,0.080281,16.982960
850,850,3.9830897e-4,2.520634,12.4365,239.53,0.1927,0.444839,0.085939,17.170994
