step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.431883,228.5793,7381.00,7.3181,0.151898,0.056564
20,20,2e-5,4.747570,115.3037,7058.81,7.0396,0.146107,0.051619
30,30,3.0000001e-5,4.039647,56.8063,7005.43,6.9538,0.133278,0.044914
40,40,4e-5,3.445498,31.3589,6584.90,7.1158,0.101874,0.037133
50,50,5e-5,3.134530,22.9778,7051.03,7.0127,0.085662,0.029969
60,60,6.0000002e-5,2.977033,19.6295,6941.68,7.2401,0.070337,0.027027
70,70,6.9999995e-5,2.783117,16.1693,7373.94,7.3624,0.063808,0.024806
80,80,8e-5,2.713943,15.0886,7365.73,7.4208,0.064475,0.024247
90,90,8.9999994e-5,2.631465,13.8941,7345.45,7.3254,0.064852,0.023440
100,100,1e-4,2.457424,11.6747,7331.73,7.2933,0.065437,0.023517
110,110,1.1e-4,2.416585,11.2075,6804.92,7.2240,0.072307,0.024706
120,120,1.20000004e-4,2.304250,10.0167,7274.18,7.3911,0.069037,0.024218
130,130,1.2999999e-4,2.321249,10.1884,6820.76,7.3305,0.068052,0.024682
140,140,1.3999999e-4,2.243106,9.4225,7237.98,7.1902,0.063689,0.023716
150,150,1.4999999e-4,2.154342,8.6222,7087.28,7.3754,0.063972,0.024056
160,160,1.6e-4,2.123741,8.3624,7279.10,7.2522,0.064064,0.024405
170,170,1.7e-4,2.231416,9.3130,6668.32,7.2781,0.065434,0.025277
180,180,1.7999999e-4,2.176528,8.8156,7382.47,7.3423,0.062611,0.023958
190,190,1.8999999e-4,2.154877,8.6268,7305.53,7.2799,0.063990,0.023963
200,200,1.9983227e-4,2.207656,9.0944,6827.01,7.2160,0.061360,0.024002
210,210,1.9981508e-4,2.269872,9.6782,6427.33,7.1137,0.056305,0.022501
220,220,1.9979705e-4,2.012335,7.4808,7309.55,7.2953,0.055139,0.021896
230,230,1.997782e-4,1.935998,6.9310,6708.15,7.0656,0.055246,0.022355
240,240,1.997585e-4,2.018661,7.5282,6763.55,7.1950,0.056876,0.023245
