step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.244310,189.4850,7398.07,7.3350,0.000468,0.000940,31.981518
20,20,4e-5,4.196440,66.4494,7093.62,7.0743,0.001397,0.001348,28.005611
30,30,6.0000002e-5,3.335515,28.0928,7003.55,6.9520,0.001423,0.000855,23.901232
40,40,8e-5,2.843116,17.1692,7001.87,7.5664,0.001543,0.001448,17.877018
50,50,1e-4,2.707405,14.9903,7417.99,7.3776,0.001813,0.000916,18.464666
60,60,1.20000004e-4,2.561122,12.9503,7439.20,7.7590,0.001915,0.000953,14.679997
70,70,1.3999999e-4,2.398813,11.0101,7835.29,7.8231,0.002107,0.001017,13.516047
80,80,1.6e-4,2.411802,11.1540,7648.68,7.7059,0.002193,0.000693,14.098005
90,90,1.7999999e-4,2.377376,10.7766,7665.79,7.6449,0.002192,0.000698,14.624888
100,100,2e-4,2.236422,9.3598,7642.62,7.6025,0.002357,0.000860,13.810132
110,110,2.2e-4,2.214249,9.1545,6968.15,7.3972,0.002805,0.001231,14.746490
120,120,2.4000001e-4,2.143042,8.5253,7444.52,7.5642,0.002805,0.001498,13.284076
130,130,2.5999997e-4,2.164524,8.7105,7175.11,7.7113,0.003117,0.002881,12.795839
140,140,2.7999998e-4,2.091763,8.0992,7621.51,7.5712,0.002964,0.001350,12.867876
150,150,2.9999999e-4,2.040173,7.6919,7040.59,7.3268,0.003321,0.001466,12.385597
160,160,3.2e-4,2.041406,7.7014,7291.23,7.2643,0.003316,0.001091,12.566157
170,170,3.4e-4,2.171056,8.7675,6539.17,7.1372,0.003712,0.001667,13.807841
180,180,3.5999998e-4,2.056749,7.8205,7183.17,7.1441,0.003569,0.001694,13.737722
190,190,3.7999998e-4,2.039737,7.6886,7148.49,7.1234,0.003591,0.001510,14.502304
200,200,3.9990622e-4,2.139625,8.4963,6872.08,7.2636,0.003602,0.001639,14.007154
210,210,3.998966e-4,2.094363,8.1203,6589.79,7.2935,0.003599,0.001446,12.640042
220,220,3.9988657e-4,1.909982,6.7530,7124.86,7.1110,0.003839,0.001665,12.267650
230,230,3.99876e-4,1.834763,6.2636,6563.80,6.9135,0.003801,0.001543,11.829189
240,240,3.99865e-4,1.958309,7.0873,6720.34,7.1490,0.004172,0.001808,11.773840
250,250,3.9985348e-4,1.980792,7.2485,6692.77,6.9352,0.003763,0.001293,12.984098
260,260,3.9984155e-4,1.839041,6.2905,7046.97,6.9600,0.003330,0.001166,11.601643
270,270,3.9982912e-4,1.804470,6.0768,6969.30,6.9193,0.003467,0.001225,11.829897
280,280,3.9981626e-4,1.717850,5.5725,6915.69,6.8874,0.003578,0.001170,11.200907
290,290,3.998029e-4,1.632571,5.1170,6838.81,6.8003,0.003943,0.001397,10.821735
300,300,3.9978907e-4,1.726953,5.6235,6715.44,7.0660,0.003780,0.001598,10.271146
310,310,3.9977476e-4,1.731663,5.6500,6513.00,7.0012,0.003883,0.001574,10.574034
320,320,3.9976003e-4,1.852626,6.3765,6914.81,6.8532,0.004013,0.002201,11.928720
330,330,3.9974478e-4,1.852505,6.3758,5757.93,6.8864,0.003886,0.001447,11.240579
340,340,3.997291e-4,1.721949,5.5954,7152.67,7.1193,0.003809,0.001428,10.199103
