step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,4.951880,141.4407,7504.79,7.4408,0.004993,0.002012,30.172199
20,20,2e-5,3.937546,51.2926,7137.63,7.1182,0.004791,0.001140,26.272701
30,30,3.0000001e-5,3.566073,35.3774,7038.46,6.9866,0.004262,0.000728,25.565990
40,40,4e-5,3.270325,26.3199,6744.51,7.2883,0.004737,0.000980,20.550158
50,50,5e-5,3.156854,23.4966,7086.93,7.0484,0.004737,0.000992,21.529196
60,60,6.0000002e-5,3.053671,21.1930,7205.55,7.5153,0.005090,0.001260,17.507860
70,70,6.9999995e-5,2.955645,19.2141,7634.34,7.6224,0.005360,0.001127,16.667585
80,80,8e-5,2.957669,19.2530,7393.45,7.4487,0.006221,0.001293,17.280491
90,90,8.9999994e-5,2.937800,18.8743,7413.33,7.3931,0.006260,0.001169,18.067009
100,100,1e-4,2.855701,17.3866,7414.46,7.3756,0.006694,0.001305,17.605415
110,110,1.1e-4,2.840477,17.1239,6715.69,7.1292,0.007514,0.001344,18.927326
120,120,1.20000004e-4,2.780676,16.1299,7216.10,7.3321,0.008112,0.001507,17.244997
130,130,1.2999999e-4,2.775857,16.0524,6962.91,7.4832,0.009276,0.001711,16.435570
140,140,1.3999999e-4,2.693362,14.7813,7463.96,7.4147,0.009538,0.001597,16.559710
150,150,1.4999999e-4,2.628976,13.8596,7147.02,7.4376,0.012680,0.002223,15.964981
160,160,1.6e-4,2.585573,13.2709,7403.81,7.3764,0.011824,0.001703,15.928854
170,170,1.7e-4,2.721720,15.2065,6660.12,7.2692,0.014164,0.002291,17.250393
180,180,1.7999999e-4,2.670972,14.4540,7210.98,7.1718,0.013006,0.001696,17.850605
190,190,1.8999999e-4,2.626122,13.8201,7090.98,7.0661,0.015268,0.001916,18.644892
200,200,1.999556e-4,2.641612,14.0358,6754.78,7.1397,0.013241,0.001440,17.321356
210,210,1.9995103e-4,2.671958,14.4683,6527.32,7.2244,0.014126,0.001591,16.221012
220,220,1.9994628e-4,2.496860,12.1443,7395.30,7.3809,0.015285,0.001717,16.040407
230,230,1.9994128e-4,2.458955,11.6926,6817.26,7.1805,0.016447,0.001794,15.895839
240,240,1.9993607e-4,2.493137,12.0992,7597.22,8.0818,0.016312,0.001824,14.992653
250,250,1.999306e-4,2.494277,12.1130,7682.67,7.9610,0.016141,0.001366,16.391993
260,260,1.9992495e-4,2.409838,11.1322,8115.06,8.0149,0.015773,0.001568,15.215071
270,270,1.9991907e-4,2.410694,11.1417,7771.25,7.7155,0.015190,0.001171,15.809178
280,280,1.9991296e-4,2.336498,10.3449,7227.74,7.1982,0.016082,0.001272,15.224230
290,290,1.9990664e-4,2.325858,10.2355,7115.56,7.0755,0.017710,0.001520,15.411156
300,300,1.999001e-4,2.259738,9.5806,7043.00,7.4106,0.017885,0.001560,13.480502
310,310,1.9989331e-4,2.285161,9.8273,6839.73,7.3524,0.018891,0.001697,13.953079
320,320,1.9988633e-4,2.341048,10.3921,7292.80,7.2279,0.021155,0.001779,15.076803
330,330,1.9987911e-4,2.400068,11.0239,6056.49,7.2435,0.022034,0.001841,14.436308
340,340,1.9987169e-4,2.208686,9.1037,7485.30,7.4504,0.020698,0.001629,13.077380
