step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss,dew_d1,dew_d2,dew_d4,dew_d8,dew_d16,dew_d32,dew_d64,dew_d128
10,2,1.0000001e-5,5.213085,183.6597,2549.61,1.7638,0.175916,0.236063,27.153147,0.119916,0.135807,0.129355,0.108838,0.133416,0.146613,0.222301,0.438850
20,5,2.5000001e-5,5.213423,183.7218,2517.19,1.6812,0.179843,0.250582,26.725269,0.124330,0.111745,0.117540,0.135386,0.140634,0.156629,0.201686,0.581520
30,7,3.5e-5,5.189757,179.4250,2912.79,1.6200,0.179211,0.257602,27.229654,0.112746,0.114786,0.130659,0.139563,0.148017,0.158724,0.209637,0.422540
40,10,5.0000002e-5,5.149415,172.3306,2667.03,1.7052,0.178627,0.257233,26.153290,0.129334,0.092924,0.109831,0.123505,0.135174,0.160519,0.247647,0.484677
50,12,6.0000002e-5,5.095136,163.2261,2406.50,1.6565,0.178850,0.262166,26.499125,0.110457,0.097094,0.114683,0.121454,0.134948,0.163663,0.222551,0.543792
60,15,7.5e-5,5.026389,152.3818,2830.74,1.6779,0.173767,0.243325,25.879471,0.103827,0.093845,0.122863,0.118278,0.128967,0.141832,0.218728,0.521430
70,17,8.500001e-5,4.944762,140.4375,2185.72,1.6252,0.170170,0.233859,26.427042,0.080484,0.121743,0.113496,0.118964,0.116546,0.142006,0.225756,0.594846
80,20,1.00000005e-4,4.853508,128.1893,2500.86,1.7139,0.169718,0.229542,24.582527,0.095109,0.104188,0.112581,0.117497,0.126702,0.146179,0.213780,0.577251
90,22,1.1000001e-4,4.788516,120.1229,2659.37,1.5994,0.167621,0.226552,25.539623,0.123015,0.103988,0.105951,0.115847,0.125227,0.141236,0.182158,0.451310
100,25,1.25e-4,4.698594,109.7927,2517.88,1.6630,0.165432,0.214439,24.419756,0.094820,0.093082,0.107109,0.106816,0.119561,0.131653,0.164338,0.437173
110,27,1.3500001e-4,4.593083,98.7986,2491.77,1.6373,0.157914,0.198658,23.704155,0.083516,0.110806,0.097808,0.101364,0.110572,0.122577,0.185268,0.525337
120,30,1.5e-4,4.452513,85.8424,2348.82,1.7034,0.151565,0.183235,22.917154,0.071252,0.097112,0.093940,0.098797,0.103661,0.117991,0.193223,0.357658
130,32,1.6000001e-4,4.425611,83.5638,2874.88,1.6723,0.153311,0.188218,22.743479,0.077197,0.090774,0.093776,0.102928,0.107124,0.119194,0.173112,0.346386
140,35,1.7500001e-4,4.321223,75.2807,3251.88,1.6341,0.144362,0.167755,22.408903,0.106393,0.088735,0.093835,0.088396,0.095413,0.115381,0.149194,0.233208
150,37,1.8500001e-4,4.151257,63.5138,2370.48,1.6731,0.138936,0.147116,21.306467,0.071231,0.088632,0.087065,0.085276,0.090177,0.099620,0.117085,0.300968
160,40,2.0000001e-4,4.124092,61.8117,2486.47,1.7399,0.137419,0.141218,21.272093,0.068344,0.071531,0.084951,0.083546,0.090459,0.094439,0.118321,0.274539
170,42,2.1e-4,4.002308,54.7243,3289.92,1.6551,0.130975,0.132048,20.482464,0.088108,0.068832,0.088880,0.091115,0.095541,0.099363,0.112891,0.209704
180,45,2.2500001e-4,3.849822,46.9847,2506.54,1.7093,0.127133,0.115579,19.810818,0.055787,0.067803,0.067298,0.074730,0.076677,0.083856,0.108777,0.244948
190,47,2.3500001e-4,3.777767,43.7183,2742.33,1.6228,0.124322,0.113957,19.752300,0.082517,0.064754,0.075585,0.072041,0.077752,0.083471,0.092005,0.171335
200,50,2.5e-4,3.696590,40.3096,2967.73,1.7146,0.121063,0.113001,18.796944,0.066343,0.069834,0.068479,0.077311,0.075584,0.082364,0.092805,0.180928
210,52,2.6e-4,3.562286,35.2437,2700.92,1.6508,0.117488,0.099090,18.173304,0.076447,0.060066,0.064259,0.070496,0.071093,0.071048,0.084981,0.198460
220,55,2.7500003e-4,3.480578,32.4785,3000.88,1.7400,0.113726,0.093753,17.607738,0.057435,0.058814,0.070285,0.066205,0.065788,0.069566,0.083203,0.140246
230,57,2.8500002e-4,3.412523,30.3417,2655.89,1.6413,0.114279,0.092193,17.878010,0.048943,0.056879,0.060091,0.063201,0.066205,0.067584,0.079454,0.155070
240,60,3e-4,3.242203,25.5900,2319.18,1.6605,0.108190,0.077715,16.882099,0.046582,0.053473,0.055008,0.055961,0.056772,0.058941,0.068222,0.168362
250,62,3.1e-4,3.195575,24.4242,2968.15,1.6908,0.107248,0.082304,16.341068,0.054875,0.056164,0.052409,0.055469,0.058049,0.065970,0.078082,0.146392
260,65,3.25e-4,3.138859,23.0775,2703.48,1.6427,0.104413,0.072501,16.460278,0.070815,0.055509,0.052827,0.056218,0.058707,0.058490,0.062078,0.117670
270,67,3.3500002e-4,3.046956,21.0512,2483.90,1.7082,0.101681,0.068098,15.388379,0.055531,0.061710,0.051653,0.055847,0.052565,0.056334,0.061705,0.099105
280,70,3.5000002e-4,2.986832,19.8228,2227.49,1.6676,0.101924,0.068806,15.791306,0.045191,0.057728,0.046835,0.051735,0.053729,0.055506,0.064765,0.122064
290,72,3.6000003e-4,2.930168,18.7308,2400.99,1.6933,0.100530,0.065548,14.774193,0.052025,0.045854,0.052485,0.050099,0.048785,0.050871,0.059635,0.174847
300,75,3.75e-4,2.854832,17.3715,2472.44,1.6587,0.099689,0.062371,14.918732,0.050070,0.050779,0.050169,0.054959,0.049801,0.053974,0.055933,0.089704
310,77,3.8500002e-4,2.784841,16.1972,2106.36,1.6430,0.098490,0.056834,14.708540,0.046513,0.045825,0.043236,0.046132,0.044251,0.045412,0.057808,0.137414
320,80,4.0000002e-4,2.725634,15.2661,2198.86,1.6585,0.099131,0.057851,14.433493,0.048311,0.048862,0.049345,0.044518,0.048387,0.048429,0.050151,0.109510
330,82,4.1e-4,2.622632,13.7719,2327.65,1.6895,0.095691,0.051922,13.391284,0.043947,0.041052,0.046993,0.043720,0.046739,0.045739,0.046100,0.072672
340,85,4.2500003e-4,2.598858,13.4484,2971.64,1.6205,0.096569,0.053142,13.652844,0.037270,0.039341,0.046442,0.042784,0.047618,0.047051,0.048251,0.068894
350,87,4.3500002e-4,2.537486,12.6478,2789.97,1.6762,0.094803,0.050517,12.968419,0.041373,0.040585,0.039019,0.044927,0.041959,0.043738,0.044306,0.074666
360,90,4.5000002e-4,2.484387,11.9938,2733.43,1.6813,0.092882,0.047326,12.712208,0.036661,0.035478,0.040446,0.042193,0.041824,0.040919,0.043799,0.070801
370,92,4.6000004e-4,2.385443,10.8639,3215.56,1.6834,0.090793,0.044827,12.242249,0.036803,0.036608,0.036731,0.037140,0.038523,0.037621,0.042208,0.074930
380,95,4.75e-4,2.411614,11.1519,2930.79,1.6410,0.091904,0.049421,12.664883,0.035087,0.048990,0.040799,0.043248,0.041553,0.042094,0.044814,0.087721
390,97,4.8500003e-4,2.361797,10.6100,2717.38,1.6722,0.090611,0.042426,12.222139,0.036674,0.041018,0.033035,0.036812,0.037827,0.038202,0.038385,0.085155
400,100,5e-4,2.270166,9.6810,2813.61,1.7101,0.089353,0.041913,11.815493,0.032773,0.039527,0.039655,0.034911,0.035745,0.037093,0.037974,0.065879
410,102,5e-4,2.297031,9.9446,2332.54,1.6362,0.089612,0.040624,12.085800,0.038253,0.032161,0.034903,0.035524,0.033787,0.036622,0.036465,0.059199
420,105,5e-4,2.284036,9.8162,2754.57,1.7008,0.089595,0.040485,11.752239,0.053110,0.045795,0.039885,0.036224,0.038387,0.036584,0.039305,0.052911
430,107,5e-4,2.133801,8.4469,2345.44,1.7131,0.088178,0.038151,10.832711,0.025844,0.031980,0.031775,0.033770,0.032927,0.033226,0.037479,0.065385
440,110,5e-4,2.136187,8.4671,2185.33,1.7240,0.089280,0.037259,10.891348,0.040012,0.036861,0.031124,0.032802,0.032632,0.031649,0.034370,0.062692
450,112,5e-4,2.182081,8.8647,3077.20,1.6686,0.090414,0.039084,11.468670,0.037473,0.035761,0.034811,0.032878,0.033476,0.035022,0.035332,0.049981
460,115,5e-4,2.079737,8.0024,2549.42,1.5872,0.090781,0.039316,11.061209,0.030846,0.034482,0.033248,0.033473,0.035792,0.035219,0.034702,0.056934
470,117,5e-4,2.083409,8.0318,3099.08,1.6093,0.090774,0.038459,10.805910,0.036903,0.040403,0.033147,0.034188,0.035470,0.036575,0.035825,0.049661
480,120,5e-4,2.029942,7.6136,2177.03,1.6860,0.090984,0.036147,10.450271,0.035052,0.032176,0.031382,0.032049,0.031631,0.031965,0.034245,0.082786
490,122,5e-4,1.987773,7.2993,2264.71,1.6694,0.090954,0.036924,10.250803,0.031539,0.040955,0.032677,0.032222,0.031538,0.030944,0.034028,0.079544
500,125,5e-4,2.035422,7.6555,2792.26,1.6393,0.092849,0.039041,10.800834,0.028117,0.033092,0.032742,0.036022,0.034750,0.034162,0.035772,0.048432
