step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,10,2e-6,5.978496,394.8461,233.62,0.0299
20,20,4e-6,5.875805,356.3113,222.08,0.0246
30,30,5.9999998e-6,5.610323,273.2325,212.56,0.0238
40,40,8e-6,5.215290,184.0651,231.84,0.0227
50,50,1e-5,5.210386,183.1647,221.04,0.0264
60,60,1.19999995e-5,4.632434,102.7639,208.50,0.0268
70,70,1.3999999e-5,4.579126,97.4292,151.16,0.0337
80,80,1.6e-5,3.967167,52.8347,208.43,0.0285
90,90,1.8e-5,4.359915,78.2505,221.96,0.0242
100,100,2e-5,3.954153,52.1515,193.39,0.0269
110,110,2.2e-5,4.013261,55.3270,231.09,0.0342
120,120,2.3999999e-5,3.553921,34.9501,228.58,0.0264
130,130,2.5999998e-5,3.829206,46.0260,160.93,0.0377
140,140,2.7999999e-5,3.566287,35.3850,195.46,0.0259
150,150,3.0000001e-5,3.351025,28.5320,202.82,0.0292
160,160,3.2e-5,3.420610,30.5881,160.06,0.0340
170,170,3.4e-5,3.365375,28.9443,182.22,0.0292
180,180,3.6e-5,3.671916,39.3272,245.35,0.0228
190,190,3.8e-5,3.598590,36.5467,235.28,0.0196
200,200,4e-5,4.483441,88.5388,222.68,0.0186
210,210,4.1999996e-5,3.714503,41.0382,260.41,0.0217
220,220,4.4e-5,3.101451,22.2302,244.65,0.0205
230,230,4.6e-5,2.842234,17.1540,278.36,0.0232
240,240,4.7999998e-5,2.641792,14.0383,250.18,0.0210
250,250,5e-5,2.407358,11.1046,262.58,0.0220
260,260,5.1999996e-5,2.259085,9.5743,254.44,0.0213
270,270,5.4e-5,2.278423,9.7613,244.05,0.0209
280,280,5.5999997e-5,2.150144,8.5861,267.66,0.0225
290,290,5.7999998e-5,1.881016,6.5602,250.01,0.0236
300,300,6.0000002e-5,1.970710,7.1758,239.58,0.0224
310,310,6.2e-5,1.902662,6.7037,276.10,0.0239
320,320,6.4e-5,1.900477,6.6891,239.84,0.0215
330,330,6.6e-5,1.732795,5.6564,229.41,0.0225
340,340,6.8e-5,1.485201,4.4159,223.40,0.0258
350,350,6.9999995e-5,1.310689,3.7087,233.24,0.0243
360,360,7.2e-5,1.342298,3.8278,227.95,0.0215
370,370,7.3999996e-5,1.280177,3.5973,231.11,0.0225
380,380,7.6e-5,1.596141,4.9340,238.49,0.0223
390,390,7.8e-5,1.985137,7.2800,236.80,0.0198
400,400,8e-5,1.843073,6.3159,258.35,0.0215
