step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1.00000005e-4,4.876712,131.1985,15337.72,9.5639,0.191115,1.420607,25.558435
20,20,2.0000001e-4,4.180924,65.4263,15685.80,9.8796,0.137955,0.803657,21.241747
30,30,3e-4,3.660736,38.8900,15750.57,9.4099,0.100207,0.406647,19.374138
40,40,4.0000002e-4,3.300988,27.1394,15609.23,10.0452,0.072270,0.198951,16.737732
50,50,5e-4,3.093522,22.0546,14481.26,10.2225,0.059760,0.108986,15.940639
60,60,6e-4,2.973278,19.5559,15532.39,9.8753,0.057009,0.084712,15.330797
70,70,7.0000003e-4,2.883629,17.8790,15741.12,9.7242,0.063780,0.077531,15.314653
80,80,8.0000004e-4,2.752604,15.6834,14780.31,10.1741,0.081224,0.099843,14.216196
90,90,9.0000004e-4,2.699238,14.8684,14783.68,9.8035,0.111276,0.123009,14.280291
100,100,9.999645e-4,2.566735,13.0232,14364.24,10.4186,0.147592,0.152682,13.250174
110,110,9.99957e-4,2.482671,11.9732,15778.49,9.6346,0.151642,0.144826,12.848035
120,120,9.999488e-4,2.348761,10.4726,15390.45,9.9973,0.161717,0.123889,12.011626
130,130,9.9994e-4,2.298860,9.9628,15502.85,9.9692,0.187243,0.117062,11.993239
140,140,9.999304e-4,2.166432,8.7271,17702.46,9.0033,0.208554,0.106514,11.137017
150,150,9.999201e-4,2.074275,7.9588,15198.74,9.9587,0.222462,0.105042,10.632994
160,160,9.99909e-4,2.017668,7.5208,15186.14,10.1360,0.261178,0.126369,10.320173
170,170,9.998974e-4,1.989781,7.3139,16862.23,9.0120,0.244297,0.111507,10.369897
180,180,9.998849e-4,1.892436,6.6355,15183.54,9.9475,0.230094,0.098879,9.711594
190,190,9.998718e-4,1.874604,6.5182,16048.25,9.4662,0.262421,0.111577,9.771672
200,200,9.998579e-4,1.802477,6.0647,15811.02,9.8017,0.268074,0.114975,9.147497
210,210,9.998434e-4,1.780016,5.9300,17000.63,9.3005,0.267379,0.121237,9.067186
220,220,9.99828e-4,1.811574,6.1201,15595.83,9.8278,0.260700,0.124181,9.230061
230,230,9.99812e-4,1.740197,5.6985,15166.40,9.6847,0.258290,0.119529,9.161596
240,240,9.997954e-4,1.667096,5.2968,15577.15,9.6160,0.250856,0.120851,8.735079
250,250,9.997779e-4,1.745915,5.7311,16362.97,9.3733,0.270159,0.130535,9.059439
260,260,9.997599e-4,1.711763,5.5387,14370.03,10.3889,0.212616,0.105768,8.764679
270,270,9.99741e-4,1.633403,5.1213,15197.24,9.9629,0.252505,0.122622,8.354758
280,280,9.997215e-4,1.683932,5.3867,14518.32,10.3587,0.251827,0.134457,8.721376
290,290,9.997012e-4,1.580943,4.8595,14207.39,10.5392,0.244029,0.121410,8.116994
300,300,9.996803e-4,1.620274,5.0545,14046.79,10.2028,0.261864,0.136384,8.545465
310,310,9.996586e-4,1.562726,4.7718,13923.38,10.3196,0.250718,0.127236,8.249331
320,320,9.996362e-4,1.640329,5.1569,14242.77,10.1905,0.259097,0.134639,8.648088
330,330,9.996131e-4,1.501549,4.4886,15169.15,9.8424,0.250875,0.133115,7.771071
340,340,9.995893e-4,1.558946,4.7538,16034.86,9.3347,0.246538,0.124375,8.130035
350,350,9.995649e-4,1.509336,4.5237,16904.77,9.3742,0.262467,0.136917,7.604156
360,360,9.995396e-4,1.481036,4.3975,14072.14,10.4998,0.246436,0.124788,7.655873
370,370,9.995137e-4,1.536122,4.6465,17642.03,9.2558,0.264295,0.134576,7.888143
380,380,9.994871e-4,1.558167,4.7501,16468.70,9.0989,0.247865,0.126004,8.246138
390,390,9.994598e-4,1.525960,4.5996,17665.40,9.3187,0.244711,0.122986,7.768961
400,400,9.994317e-4,1.457331,4.2945,14399.53,10.1299,0.246220,0.130263,7.656919
410,410,9.994028e-4,1.541317,4.6707,14394.47,9.9286,0.266023,0.138764,8.177109
420,420,9.993734e-4,1.493318,4.4518,15237.04,10.0107,0.256540,0.127725,7.676785
430,430,9.993432e-4,1.408435,4.0895,14592.95,10.4835,0.253932,0.133509,7.130321
440,440,9.993123e-4,1.406413,4.0813,14248.72,10.5029,0.253473,0.133201,7.216685
450,450,9.992807e-4,1.505821,4.5079,16231.50,9.2206,0.258201,0.129715,7.975240
460,460,9.992484e-4,1.462286,4.3158,16752.41,9.1082,0.258308,0.136477,7.710140
470,470,9.992154e-4,1.405504,4.0776,16130.13,9.2285,0.261163,0.142186,7.356858
480,480,9.991816e-4,1.370648,3.9379,13552.10,10.8180,0.246831,0.135658,7.053285
490,490,9.991472e-4,1.428746,4.1735,14585.23,9.9675,0.255000,0.133421,7.497020
500,500,9.99112e-4,1.418329,4.1302,15694.22,9.5320,0.249984,0.136930,7.404706
510,510,9.990762e-4,1.411679,4.1028,15418.14,9.7086,0.260755,0.150051,7.285873
520,520,9.990396e-4,1.341668,3.8254,16982.72,9.4574,0.252526,0.149422,6.793953
530,530,9.990024e-4,1.377200,3.9638,15940.11,9.6265,0.255877,0.150417,7.110099
540,540,9.989644e-4,1.358103,3.8888,14653.30,9.8847,0.258410,0.158838,7.220488
550,550,9.989257e-4,1.307405,3.6966,14683.37,10.0601,0.255544,0.146580,6.817184
560,560,9.988863e-4,1.364088,3.9122,15607.46,9.7285,0.260818,0.139831,7.035322
570,570,9.988461e-4,1.332923,3.7921,17462.77,8.8559,0.253397,0.134544,7.028671
580,580,9.988053e-4,1.341939,3.8265,14950.95,9.7701,0.255667,0.145057,7.073882
590,590,9.987637e-4,1.336837,3.8070,13947.34,10.2645,0.256194,0.138240,7.056319
600,600,9.987216e-4,1.355456,3.8785,14426.27,10.3478,0.252727,0.141967,7.101617
610,610,9.986785e-4,1.298592,3.6641,14829.35,10.1560,0.249999,0.139025,6.664796
620,620,9.986348e-4,1.261786,3.5317,15994.93,9.5370,0.251169,0.133941,6.552440
630,630,9.985906e-4,1.298062,3.6622,15000.47,9.8062,0.242892,0.135045,6.756295
640,640,9.985456e-4,1.246348,3.4776,16418.10,9.4228,0.244277,0.134823,6.337884
650,650,9.984997e-4,1.258267,3.5193,13976.86,10.1780,0.254258,0.144975,6.700685
660,660,9.984532e-4,1.330267,3.7821,18070.22,8.7505,0.261535,0.149221,7.051131
670,670,9.98406e-4,1.275661,3.5811,15889.67,9.8457,0.259032,0.147762,6.434107
680,680,9.983581e-4,1.319497,3.7415,16863.57,9.3615,0.257395,0.134651,6.866576
690,690,9.983095e-4,1.260056,3.5256,14337.53,10.4779,0.261780,0.147695,6.522714
700,700,9.982601e-4,1.258329,3.5195,16861.57,9.2969,0.259381,0.145617,6.523213
710,710,9.982102e-4,1.256480,3.5130,16310.29,9.2459,0.251719,0.143446,6.567481
720,720,9.981594e-4,1.180189,3.2550,14621.25,10.4876,0.241065,0.133307,6.010987
730,730,9.98108e-4,1.237639,3.4475,15099.42,9.9420,0.251151,0.141784,6.533330
740,740,9.980558e-4,1.159426,3.1881,18145.75,8.9669,0.260955,0.149811,5.922761
750,750,9.98003e-4,1.268049,3.5539,16900.20,9.3697,0.260481,0.144791,6.514761
760,760,9.979493e-4,1.245445,3.4745,14546.39,10.0741,0.259156,0.154828,6.584565
770,770,9.97895e-4,1.301496,3.6748,13927.21,10.0560,0.270895,0.158706,7.063233
780,780,9.978401e-4,1.114207,3.0472,15781.35,9.4658,0.248360,0.143087,5.813982
790,790,9.977844e-4,1.215495,3.3720,14671.69,9.8932,0.257972,0.157526,6.444206
800,800,9.97728e-4,1.241452,3.4606,14880.23,10.0577,0.260421,0.155033,6.370534
810,810,9.976709e-4,1.192315,3.2947,17695.89,8.8341,0.260588,0.145162,6.249332
820,820,9.976131e-4,1.170418,3.2233,14478.14,10.4538,0.243337,0.147643,5.999735
830,830,9.975545e-4,1.133227,3.1057,14322.16,10.3719,0.246040,0.153830,5.841637
