step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,2.0000002e-6,5.301345,200.6065,140.64,0.0973
20,2,4.0000004e-6,5.297729,199.8823,96.62,0.0645
30,3,6e-6,5.221424,185.1977,111.56,0.0620
40,5,1.0000001e-5,5.184103,178.4134,104.30,0.0667
50,6,1.2e-5,5.102722,164.4690,92.80,0.0639
60,7,1.4000001e-5,4.964030,143.1696,107.01,0.0634
70,8,1.6000002e-5,4.909253,135.5381,90.73,0.0675
80,10,2.0000001e-5,4.729532,113.2426,94.66,0.0649
90,11,2.2e-5,4.649539,104.5368,101.61,0.0611
100,12,2.4e-5,4.541310,93.8136,102.67,0.0678
110,13,2.6000002e-5,4.415877,82.7544,95.13,0.0625
120,15,3.0000001e-5,4.318470,75.0737,90.52,0.0656
130,16,3.2000004e-5,4.257449,70.6296,114.54,0.0666
140,17,3.4000004e-5,4.176538,65.1399,122.47,0.0615
150,18,3.6e-5,4.087323,59.5802,91.59,0.0646
160,20,4.0000003e-5,4.026249,56.0503,100.80,0.0705
170,21,4.2000003e-5,3.910262,49.9120,125.02,0.0629
180,22,4.4e-5,3.850821,47.0316,93.22,0.0636
190,23,4.6000005e-5,3.829282,46.0295,111.45,0.0660
200,25,5.0000002e-5,3.747653,42.4214,110.23,0.0637
210,26,5.2000003e-5,3.690364,40.0594,104.11,0.0636
220,27,5.4000004e-5,3.601801,36.6642,119.70,0.0694
230,28,5.6000004e-5,3.587915,36.1586,99.96,0.0618
240,30,6.0000002e-5,3.483884,32.5860,88.72,0.0635
250,31,6.2e-5,3.407917,30.2023,119.30,0.0680
260,32,6.400001e-5,3.411168,30.3006,100.80,0.0613
270,33,6.6e-5,3.318776,27.6265,94.42,0.0649
280,35,7e-5,3.292889,26.9205,92.23,0.0691
290,36,7.2e-5,3.253563,25.8824,93.14,0.0657
300,37,7.4e-5,3.208972,24.7536,93.00,0.0624
310,38,7.6000004e-5,3.164333,23.6730,88.24,0.0688
320,40,8.0000005e-5,3.117862,22.5980,84.47,0.0637
330,41,8.2000006e-5,3.016142,20.4124,89.15,0.0647
340,42,8.400001e-5,2.999875,20.0830,117.40,0.0640
350,43,8.6e-5,2.956951,19.2392,105.33,0.0633
360,45,9.000001e-5,2.910058,18.3579,103.42,0.0636
370,46,9.200001e-5,2.817472,16.7345,127.26,0.0666
380,47,9.4e-5,2.875815,17.7399,110.43,0.0618
390,48,9.6e-5,2.803143,16.4964,103.60,0.0638
400,50,1.00000005e-4,2.732096,15.3651,111.62,0.0678
410,51,1.02000005e-4,2.752101,15.6755,90.13,0.0632
420,52,1.04000006e-4,2.717638,15.1445,103.68,0.0640
430,53,1.06e-4,2.572074,13.0929,97.62,0.0713
440,55,1.1000001e-4,2.591932,13.3555,83.67,0.0660
450,56,1.1200001e-4,2.629333,13.8645,113.75,0.0617
460,57,1.14e-4,2.539951,12.6791,104.65,0.0652
470,58,1.16e-4,2.532395,12.5836,119.36,0.0620
480,60,1.20000004e-4,2.468492,11.8046,84.84,0.0657
490,61,1.22000005e-4,2.414898,11.1886,92.85,0.0684
500,62,1.24e-4,2.448711,11.5734,104.01,0.0611
510,63,1.26e-4,2.389627,10.9094,93.97,0.0634
520,65,1.3e-4,2.331254,10.2908,128.98,0.0672
530,66,1.32e-4,2.262497,9.6071,108.08,0.0637
540,67,1.34e-4,2.302254,9.9967,89.76,0.0630
550,68,1.3600002e-4,2.239876,9.3922,102.50,0.0664
560,70,1.4e-4,2.254322,9.5288,92.63,0.0641
570,71,1.42e-4,2.191365,8.9474,125.68,0.0604
580,72,1.44e-4,2.120364,8.3342,102.51,0.0681
590,73,1.46e-4,2.129850,8.4136,86.09,0.0628
600,75,1.5e-4,2.084115,8.0375,91.27,0.0639
610,76,1.5200001e-4,2.113684,8.2787,96.08,0.0689
620,77,1.5400001e-4,2.053358,7.7940,93.49,0.0629
630,78,1.56e-4,2.032599,7.6339,107.69,0.0633
640,80,1.6000001e-4,2.021803,7.5519,121.74,0.0662
650,81,1.6200001e-4,2.004174,7.4200,87.13,0.0644
660,82,1.6400001e-4,2.013402,7.4888,114.50,0.0604
670,83,1.6600001e-4,1.969300,7.1657,121.06,0.0665
680,85,1.7000001e-4,2.024680,7.5737,114.12,0.0649
690,86,1.72e-4,1.933618,6.9145,89.49,0.0648
700,87,1.74e-4,1.906031,6.7263,114.17,0.0662
710,88,1.76e-4,1.931301,6.8985,112.81,0.0604
720,90,1.8000002e-4,1.863149,6.4440,89.78,0.0660
730,91,1.8200002e-4,1.890127,6.6202,103.26,0.0664
740,92,1.8400002e-4,1.823147,6.1913,114.87,0.0632
750,93,1.86e-4,1.874179,6.5155,115.42,0.0629
760,95,1.9e-4,1.854816,6.3905,106.24,0.0681
770,96,1.92e-4,1.902812,6.7047,86.90,0.0626
780,97,1.9400001e-4,1.787412,5.9740,106.73,0.0611
790,98,1.9600001e-4,1.736771,5.6790,94.07,0.0682
800,100,2.0000001e-4,1.861086,6.4307,93.65,0.0627
810,101,2.0200001e-4,1.792622,6.0052,110.08,0.0616
820,102,2.0400001e-4,1.712593,5.5433,108.72,0.0685
830,103,2.0600001e-4,1.725259,5.6140,92.77,0.0634
840,105,2.1000001e-4,1.708460,5.5205,77.80,0.0676
850,106,2.12e-4,1.704342,5.4978,128.03,0.0672
860,107,2.14e-4,1.730763,5.6450,102.56,0.0640
870,108,2.1600001e-4,1.678377,5.3569,115.39,0.0631
880,110,2.2000002e-4,1.759713,5.8108,110.86,0.0773
890,111,2.2200002e-4,1.681097,5.3714,110.30,0.0632
900,112,2.2400002e-4,1.687871,5.4080,99.92,0.0617
910,113,2.26e-4,1.654886,5.2325,104.07,0.0747
920,115,2.3e-4,1.709123,5.5241,114.76,0.0648
930,116,2.32e-4,1.665338,5.2875,97.18,0.0637
940,117,2.34e-4,1.645104,5.1815,96.51,0.0677
950,118,2.3600002e-4,1.564004,4.7779,90.20,0.0648
960,120,2.4000001e-4,1.546047,4.6929,90.27,0.0650
970,121,2.4200001e-4,1.645508,5.1836,97.74,0.0680
980,122,2.4400001e-4,1.638373,5.1468,93.67,0.0625
990,123,2.46e-4,1.573938,4.8256,89.46,0.0631
1000,125,2.5e-4,1.722862,5.6005,99.79,0.0652
1010,126,2.52e-4,1.581560,4.8625,96.47,0.0634
1020,127,2.54e-4,1.592483,4.9159,106.70,0.0636
1030,128,2.5600003e-4,1.544516,4.6857,135.14,0.0650
1040,130,2.6e-4,1.500554,4.4842,103.39,0.0625
1050,131,2.6200002e-4,1.531317,4.6243,110.37,0.0627
1060,132,2.64e-4,1.649441,5.2041,120.76,0.0666
1070,133,2.6600002e-4,1.561177,4.7644,101.11,0.0617
1080,135,2.7000002e-4,1.533328,4.6336,90.98,0.0640
1090,136,2.7200003e-4,1.585241,4.8805,119.65,0.0663
1100,137,2.7400002e-4,1.571068,4.8118,101.99,0.0622
1110,138,2.76e-4,1.474282,4.3679,95.68,0.0657
1120,140,2.8e-4,1.504375,4.5013,128.55,0.0680
1130,141,2.8200002e-4,1.490870,4.4410,92.70,0.0644
1140,142,2.84e-4,1.510676,4.5298,95.67,0.0632
1150,143,2.86e-4,1.407431,4.0854,89.86,0.0732
1160,145,2.9e-4,1.420683,4.1399,94.32,0.0658
1170,146,2.92e-4,1.500584,4.4843,111.33,0.0625
1180,147,2.9400003e-4,1.466792,4.3353,106.31,0.0658
1190,148,2.96e-4,1.458907,4.3013,118.72,0.0652
1200,150,2.9999934e-4,1.471468,4.3556,89.08,0.0648
1210,151,2.9999934e-4,1.427753,4.1693,113.32,0.0682
1220,152,2.9999934e-4,1.360032,3.8963,84.35,0.0652
1230,153,2.9999932e-4,1.438654,4.2150,109.26,0.0618
1240,155,2.9999932e-4,1.496537,4.4662,103.63,0.0680
1250,156,2.999993e-4,1.404196,4.0723,88.61,0.0643
1260,157,2.999993e-4,1.398631,4.0497,89.60,0.0644
1270,158,2.999993e-4,1.377816,3.9662,92.16,0.0704
1280,160,2.9999926e-4,1.344953,3.8380,91.51,0.0636
1290,161,2.9999923e-4,1.368056,3.9277,93.43,0.0635
1300,162,2.9999923e-4,1.368811,3.9307,131.81,0.0636
1310,163,2.9999923e-4,1.374521,3.9532,135.87,0.0612
1320,165,2.999992e-4,1.313485,3.7191,83.77,0.0646
1330,166,2.999992e-4,1.361166,3.9007,114.47,0.0685
1340,167,2.9999917e-4,1.370848,3.9387,86.97,0.0638
1350,168,2.9999917e-4,1.347287,3.8470,101.99,0.0628
1360,170,2.9999917e-4,1.478041,4.3843,100.59,0.0687
1370,171,2.9999914e-4,1.362044,3.9042,106.85,0.0623
