step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.192907,179.9911,8363.57,8.2923,0.143369,0.044463,31.658045
20,20,2e-5,4.243766,69.6698,8095.36,8.0733,0.134560,0.030614,28.309381
30,30,3.0000001e-5,3.722498,41.3676,7963.32,7.9047,0.114198,0.019063,26.694223
40,40,4e-5,3.369949,29.0770,7668.10,8.2863,0.091066,0.013316,21.172710
50,50,5e-5,3.231117,25.3079,8071.64,8.0277,0.082884,0.009226,22.033432
60,60,6.0000002e-5,3.132886,22.9401,8106.58,8.4550,0.071752,0.008300,17.965368
70,70,6.9999995e-5,3.012303,20.3342,8487.43,8.4742,0.067402,0.007078,16.983269
80,80,8e-5,3.020893,20.5096,8268.36,8.3302,0.069374,0.006586,17.646273
90,90,8.9999994e-5,2.996165,20.0087,8174.20,8.1519,0.069013,0.005754,18.420780
100,100,1e-4,2.932961,18.7832,8170.15,8.1273,0.067144,0.005103,18.079838
110,110,1.1e-4,2.918207,18.5081,7446.89,7.9055,0.068901,0.004608,19.436893
120,120,1.20000004e-4,2.880208,17.8180,7950.24,8.0780,0.064559,0.004117,17.862490
130,130,1.2999999e-4,2.909679,18.3509,7677.29,8.2510,0.062162,0.004004,17.223009
140,140,1.3999999e-4,2.853574,17.3497,8149.36,8.0956,0.059532,0.003463,17.541920
150,150,1.4999999e-4,2.826878,16.8926,7825.89,8.1440,0.058502,0.003475,17.166290
160,160,1.6e-4,2.794188,16.3493,8155.27,8.1251,0.057765,0.003273,17.213659
170,170,1.7e-4,2.988638,19.8586,7304.14,7.9721,0.059015,0.003668,18.940094
180,180,1.7999999e-4,2.930291,18.7331,7946.18,7.9030,0.053272,0.002589,19.573826
190,190,1.8999999e-4,2.875647,17.7369,7809.70,7.7823,0.052018,0.002315,20.407867
200,200,1.9981254e-4,2.921475,18.5687,7522.64,7.9513,0.050978,0.002541,19.157848
210,210,1.9979333e-4,2.953317,19.1694,7239.89,8.0130,0.049215,0.002404,17.991840
220,220,1.9977317e-4,2.815023,16.6936,8090.94,8.0752,0.048439,0.002149,18.086203
230,230,1.997521e-4,2.796052,16.3799,7533.07,7.9344,0.048062,0.002114,18.093668
240,240,1.9973009e-4,2.852214,17.3261,7662.64,8.1514,0.048265,0.002494,17.149893
250,250,1.9970714e-4,2.826912,16.8932,7700.14,7.9791,0.048353,0.002103,18.566795
260,260,1.9968326e-4,2.791753,16.3096,8162.92,8.0621,0.046601,0.001953,17.622965
270,270,1.9965843e-4,2.798883,16.4263,8028.80,7.9712,0.047401,0.001825,18.348610
280,280,1.9963269e-4,2.756594,15.7461,8013.74,7.9810,0.048164,0.001765,17.951620
290,290,1.99606e-4,2.739290,15.4760,7987.17,7.9422,0.048980,0.001756,18.146679
300,300,1.9957838e-4,2.685167,14.6607,7766.88,8.1723,0.047863,0.002044,16.020641
310,310,1.9954983e-4,2.669647,14.4349,7572.84,8.1404,0.051327,0.002033,16.301580
320,320,1.9952033e-4,2.766686,15.9058,8066.14,7.9943,0.057379,0.002103,17.804815
330,330,1.9948992e-4,2.715466,15.1116,6802.91,8.1362,0.059128,0.002034,16.499067
340,340,1.9945858e-4,2.644473,14.0760,8317.73,8.2789,0.056654,0.001905,15.655704
350,350,1.9942629e-4,2.675077,14.5135,8338.78,8.3031,0.058768,0.001803,15.681453
360,360,1.9939308e-4,2.656972,14.2531,8180.24,8.4136,0.074100,0.001997,17.071512
370,370,1.9935891e-4,2.646849,14.1095,8261.05,8.2193,0.076289,0.001677,19.326687
380,380,1.9932384e-4,2.648443,14.1320,8153.24,8.3942,0.073165,0.001779,17.790005
390,390,1.9928782e-4,2.702773,14.9210,8181.55,8.3479,0.071701,0.001721,18.576853
400,400,1.992509e-4,2.584544,13.2572,8824.03,8.7897,0.066282,0.001812,15.096004
410,410,1.9921303e-4,2.581720,13.2199,8663.16,8.6211,0.071225,0.001660,16.081507
420,420,1.9917422e-4,2.566378,13.0186,7984.97,8.4925,0.076676,0.001632,16.628746
430,430,1.9913449e-4,2.486293,12.0167,8393.81,8.5406,0.077943,0.001640,15.876459
440,440,1.9909382e-4,2.496499,12.1399,8431.25,8.6095,0.083337,0.001967,15.405699
450,450,1.9905224e-4,2.487423,12.0302,8498.44,8.4868,0.083598,0.001818,16.084127
460,460,1.9900972e-4,2.470291,11.8259,8478.96,8.4674,0.084106,0.001810,16.208189
470,470,1.9896629e-4,2.443721,11.5158,8282.62,8.6369,0.090555,0.001968,15.461800
480,480,1.9892192e-4,2.543342,12.7221,8724.06,8.6481,0.086631,0.001843,16.156054
490,490,1.9887662e-4,2.485402,12.0059,8406.09,8.6808,0.077067,0.001758,15.738683
500,500,1.9883038e-4,2.529989,12.5534,8404.59,8.5584,0.083011,0.001745,16.660875
510,510,1.9878324e-4,2.409705,11.1307,8462.16,8.4490,0.082432,0.001584,15.694975
520,520,1.9873516e-4,2.508620,12.2880,8547.30,8.5124,0.089528,0.001887,15.926279
530,530,1.9868615e-4,2.416086,11.2019,8541.24,8.5229,0.088790,0.001860,15.448051
540,540,1.9863623e-4,2.402314,11.0487,7749.14,8.4255,0.090473,0.001728,16.023602
550,550,1.9858537e-4,2.444379,11.5234,8647.12,8.5701,0.091688,0.001823,15.735720
560,560,1.985336e-4,2.503654,12.2271,8082.00,8.7558,0.087004,0.001904,14.769879
570,570,1.984809e-4,2.433181,11.3951,8827.32,8.7521,0.082997,0.001784,14.061104
580,580,1.9842728e-4,2.497633,12.1537,8421.98,8.7501,0.088793,0.001757,14.876524
590,590,1.9837274e-4,2.447460,11.5590,8435.89,8.3608,0.094993,0.001473,17.605997
600,600,1.9831727e-4,2.506802,12.2656,7963.56,8.6093,0.093366,0.001589,16.746569
610,610,1.982609e-4,2.464942,11.7628,8841.96,8.7973,0.083687,0.001635,14.741949
620,620,1.9820359e-4,2.402029,11.0456,8914.32,8.8727,0.077839,0.001576,14.404231
630,630,1.9814537e-4,2.347006,10.4542,9255.65,9.2340,0.080261,0.001704,13.215948
640,640,1.9808623e-4,2.350125,10.4869,9303.42,9.2564,0.088595,0.001695,14.035233
650,650,1.9802616e-4,2.345210,10.4355,8350.41,8.7665,0.095555,0.001672,14.419348
660,660,1.9796519e-4,2.420222,11.2484,8469.08,8.4476,0.101426,0.001735,16.499256
670,670,1.9790328e-4,2.356058,10.5493,8861.10,8.7856,0.094577,0.001575,15.176435
680,680,1.9784046e-4,2.346083,10.4446,8706.61,8.6727,0.097216,0.001662,15.478752
690,690,1.9777674e-4,2.437865,11.4486,8406.91,8.9618,0.097712,0.001985,14.928584
700,700,1.9771208e-4,2.355237,10.5406,8636.95,8.6100,0.105272,0.001659,15.733717
710,710,1.9764653e-4,2.413494,11.1729,8233.21,8.8914,0.096733,0.001873,14.770757
720,720,1.9758006e-4,2.271447,9.6934,9148.73,9.1185,0.089662,0.001900,12.675917
730,730,1.9751267e-4,2.314315,10.1180,7939.57,8.5508,0.098062,0.001939,15.010188
740,740,1.9744436e-4,2.367697,10.6728,8645.10,8.5914,0.105956,0.001732,16.101593
750,750,1.9737514e-4,2.373851,10.7387,8811.16,8.7496,0.107615,0.001810,14.960594
760,760,1.9730501e-4,2.351032,10.4964,8361.08,8.6710,0.110287,0.001653,15.750055
770,770,1.9723397e-4,2.294641,9.9209,8281.85,8.6308,0.103092,0.001619,15.158244
780,780,1.9716202e-4,2.399259,11.0150,8918.60,8.8908,0.098631,0.001625,15.117935
790,790,1.9708916e-4,2.279745,9.7742,8412.61,9.0832,0.096309,0.001734,13.663037
800,800,1.970154e-4,2.425705,11.3102,8766.05,8.7285,0.104463,0.001609,15.258809
810,810,1.9694072e-4,2.295060,9.9250,8777.71,8.7385,0.094843,0.001593,14.605690
820,820,1.9686513e-4,2.304684,10.0210,8168.32,8.8812,0.105832,0.001743,15.011388
830,830,1.9678865e-4,2.325573,10.2325,8469.19,8.8117,0.107210,0.001718,14.739281
840,840,1.9671125e-4,2.279866,9.7754,8734.90,8.6790,0.103102,0.001579,14.581874
850,850,1.9663294e-4,2.310503,10.0795,8178.50,8.5966,0.108995,0.001706,14.611104
860,860,1.9655374e-4,2.344950,10.4328,8395.65,8.4435,0.114010,0.001700,15.453731
