step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,6.6666666e-7,6.199907,492.7034,296.67,0.0335
20,2,1.3333333e-6,6.156832,471.9305,203.98,0.0187
30,3,2e-6,6.114544,452.3897,171.46,0.0192
40,5,3.3333333e-6,6.066070,430.9836,171.25,0.0225
50,6,4e-6,5.934677,377.9180,114.46,0.0143
60,7,4.6666664e-6,5.823674,338.2124,94.58,0.0151
70,8,5.3333333e-6,5.719270,304.6823,111.83,0.0139
80,10,6.6666666e-6,5.636454,280.4663,94.12,0.0151
90,11,7.3333326e-6,5.439536,230.3352,142.02,0.0166
100,12,8e-6,5.325747,205.5619,141.80,0.0159
110,13,8.666666e-6,5.182888,178.1966,376.27,0.0444
120,15,1e-5,5.061930,157.8949,325.13,0.0280
130,16,1.0666667e-5,4.932967,138.7906,110.51,0.0145
140,17,1.13333335e-5,4.791561,120.4893,83.11,0.0149
150,18,1.19999995e-5,4.671796,106.8896,94.95,0.0156
160,20,1.3333333e-5,4.553208,94.9365,120.63,0.0138
170,21,1.3999999e-5,4.440749,84.8385,99.83,0.0147
180,22,1.4666665e-5,4.406940,82.0181,125.38,0.0127
190,23,1.5333333e-5,4.223627,68.2807,129.53,0.0138
200,25,1.6666667e-5,4.210549,67.3935,127.80,0.0139
210,26,1.7333332e-5,4.114515,61.2225,753.98,0.0769
220,27,1.8e-5,4.066689,58.3634,163.34,0.0140
230,28,1.8666666e-5,3.975341,53.2683,240.90,0.0121
240,30,2e-5,3.902888,49.5453,154.59,0.0126
250,31,2.0666666e-5,3.871738,48.0258,114.75,0.0138
260,32,2.1333333e-5,3.849548,46.9718,86.09,0.0144
270,33,2.2e-5,3.719598,41.2478,120.83,0.0133
280,35,2.3333332e-5,3.698883,40.4021,117.64,0.0140
290,36,2.3999999e-5,3.620651,37.3619,112.28,0.0146
300,37,2.4666666e-5,3.616742,37.2161,93.10,0.0150
310,38,2.5333333e-5,3.576079,35.7332,410.34,0.0283
320,40,2.6666667e-5,3.410184,30.2708,154.62,0.0130
330,41,2.7333333e-5,3.428495,30.8302,178.04,0.0125
340,42,2.7999999e-5,3.388743,29.6287,165.55,0.0127
350,43,2.8666665e-5,3.358618,28.7494,139.39,0.0138
360,45,3.0000001e-5,3.268765,26.2789,138.82,0.0136
370,46,3.0666666e-5,3.244854,25.6580,135.64,0.0133
380,47,3.1333333e-5,3.185995,24.1913,94.49,0.0142
390,48,3.2e-5,3.138525,23.0698,133.44,0.0135
400,50,3.3333334e-5,3.069004,21.5205,110.63,0.0139
410,51,3.4e-5,3.093432,22.0526,379.68,0.0375
420,52,3.4666664e-5,3.048837,21.0908,218.16,0.0135
430,53,3.533333e-5,2.923557,18.6074,490.27,0.0131
440,55,3.6666668e-5,2.968595,19.4646,150.80,0.0151
450,56,3.733333e-5,2.965509,19.4046,97.87,0.0142
460,57,3.8e-5,2.961839,19.3335,161.50,0.0133
470,58,3.8666665e-5,2.862324,17.5022,88.33,0.0165
480,60,4e-5,2.883439,17.8756,121.43,0.0136
490,61,4.0666666e-5,2.846514,17.2276,145.08,0.0134
500,62,4.1333333e-5,2.728823,15.3148,147.80,0.0134
510,63,4.1999996e-5,2.814502,16.6849,359.03,0.0402
520,65,4.3333333e-5,2.713663,15.0844,79.89,0.0165
530,66,4.4e-5,2.733478,15.3863,92.25,0.0144
540,67,4.4666664e-5,2.715767,15.1162,101.80,0.0146
550,68,4.5333334e-5,2.658185,14.2704,105.50,0.0145
560,70,4.6666664e-5,2.666828,14.3942,111.48,0.0140
570,71,4.733333e-5,2.671944,14.4681,139.07,0.0129
580,72,4.7999998e-5,2.566453,13.0196,110.12,0.0136
590,73,4.8666665e-5,2.568322,13.0439,133.57,0.0140
600,75,5e-5,2.582776,13.2338,141.12,0.0133
610,76,5.0666666e-5,2.631701,13.8974,464.22,0.0259
620,77,5.1333333e-5,2.590346,13.3344,171.69,0.0131
630,78,5.1999996e-5,2.546849,12.7668,170.41,0.0124
640,80,5.3333333e-5,2.507910,12.2792,150.14,0.0135
650,81,5.4e-5,2.502762,12.2162,129.69,0.0139
660,82,5.4666667e-5,2.487941,12.0365,206.85,0.0130
670,83,5.5333334e-5,2.502331,12.2109,134.17,0.0132
680,85,5.6666664e-5,2.430683,11.3666,173.56,0.0127
690,86,5.733333e-5,2.378691,10.7908,127.56,0.0137
700,87,5.7999998e-5,2.511731,12.3262,80.53,0.0156
710,88,5.866666e-5,2.359869,10.5896,332.10,0.0528
720,90,6.0000002e-5,2.374210,10.7425,100.31,0.0153
730,91,6.0666665e-5,2.373423,10.7341,110.25,0.0145
740,92,6.133333e-5,2.360121,10.5922,241.77,0.0121
750,93,6.2e-5,2.353750,10.5250,133.43,0.0135
760,95,6.333333e-5,2.375207,10.7532,126.04,0.0137
770,96,6.4e-5,2.376358,10.7656,211.11,0.0133
780,97,6.466666e-5,2.320441,10.1802,119.35,0.0142
790,98,6.5333326e-5,2.298840,9.9626,145.92,0.0149
800,100,6.666667e-5,2.309061,10.0650,145.11,0.0138
810,101,6.7333334e-5,2.223080,9.2357,341.12,0.0422
820,102,6.8e-5,2.272026,9.6990,130.93,0.0134
830,103,6.866667e-5,2.244457,9.4353,126.61,0.0143
840,105,6.9999995e-5,2.241063,9.4033,128.39,0.0141
850,106,7.066666e-5,2.258369,9.5675,166.21,0.0126
860,107,7.133333e-5,2.294779,9.9222,130.95,0.0140
870,108,7.2e-5,2.203914,9.0604,101.67,0.0151
880,110,7.3333336e-5,2.177196,8.8215,108.71,0.0137
890,111,7.3999996e-5,2.238185,9.3763,128.07,0.0138
900,112,7.466666e-5,2.215012,9.1615,85.96,0.0162
910,113,7.533333e-5,2.213671,9.1492,345.40,0.0410
920,115,7.666666e-5,2.180841,8.8538,112.92,0.0132
930,116,7.733333e-5,2.100628,8.1713,148.30,0.0134
940,117,7.8e-5,2.215187,9.1631,170.81,0.0127
950,118,7.8666664e-5,2.101094,8.1751,124.97,0.0133
960,120,8e-5,2.140241,8.5015,123.16,0.0131
970,121,8.0666665e-5,2.071924,7.9401,137.21,0.0127
980,122,8.133333e-5,2.143574,8.5299,228.56,0.0122
990,123,8.2e-5,2.096728,8.1395,184.62,0.0135
1000,125,8.333333e-5,2.058827,7.8368,111.95,0.0137
1010,126,8.399999e-5,2.097731,8.1477,374.42,0.0345
1020,127,8.4666666e-5,2.088678,8.0742,118.14,0.0140
1030,128,8.533333e-5,2.091359,8.0959,152.86,0.0129
1040,130,8.666667e-5,2.067918,7.9083,86.47,0.0150
1050,131,8.7333334e-5,2.064569,7.8819,128.29,0.0143
1060,132,8.8e-5,2.137596,8.4790,98.95,0.0148
1070,133,8.866666e-5,2.030404,7.6172,205.74,0.0124
1080,135,8.9999994e-5,2.098230,8.1517,88.76,0.0153
