step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-7,5.096883,163.5114,1304.69,1.0480,0.157884,0.506587,31.700459
20,20,4e-7,5.112305,166.0527,1236.64,0.9993,0.161795,0.522778,34.500069
30,30,5.9999996e-7,5.105387,164.9079,1243.09,0.9992,0.163645,0.533742,34.482769
40,40,8e-7,5.074025,159.8163,1136.59,0.9927,0.163899,0.519881,33.705978
50,50,1e-6,5.070650,159.2778,1267.30,1.1122,0.147941,0.473216,29.253956
60,60,1.1999999e-6,5.028286,152.6712,1375.74,1.1229,0.147569,0.487228,28.529877
70,70,1.4e-6,5.026451,152.3912,1318.70,1.0611,0.154227,0.496069,30.832285
80,80,1.6e-6,4.986529,146.4273,1316.55,1.0622,0.151839,0.492718,30.114004
90,90,1.7999998e-6,4.974439,144.6677,1240.10,1.0043,0.151729,0.492428,32.565346
100,100,2e-6,4.934937,139.0643,1296.67,1.0432,0.152450,0.497104,30.314041
110,110,2.2e-6,4.893947,133.4794,1218.26,1.0673,0.152349,0.484593,29.075129
120,120,2.3999999e-6,4.834056,125.7198,1304.01,1.0509,0.152825,0.500672,29.311584
130,130,2.6e-6,4.825898,124.6984,1252.00,1.0512,0.150021,0.474623,29.840862
140,140,2.8e-6,4.810391,122.7797,1243.54,1.0009,0.153957,0.483565,31.559597
150,150,2.9999999e-6,4.784103,119.5941,1184.94,0.9541,0.154377,0.481643,32.748764
160,160,3.2e-6,4.738186,114.2268,1206.22,0.9781,0.150493,0.464007,32.062263
170,170,3.4000002e-6,4.681917,107.9769,1173.79,1.0155,0.144396,0.445131,29.607357
180,180,3.5999997e-6,4.593090,98.7993,1253.90,1.0105,0.140618,0.419544,29.502218
190,190,3.7999998e-6,4.577498,97.2708,1221.21,0.9868,0.139060,0.414948,29.065903
200,200,4e-6,4.545212,94.1804,1125.39,0.9726,0.137641,0.400277,29.269909
210,210,4.1999997e-6,4.459578,86.4510,1234.47,0.9935,0.131335,0.377929,27.735294
220,220,4.4e-6,4.437152,84.5339,1199.39,0.9640,0.130056,0.361226,29.207958
