step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.081000,160.9350,1103.35,0.8863,0.182771,0.467585,31.583878
20,20,4e-5,4.656693,105.2874,1048.44,0.8472,0.169798,0.413643,31.404022
30,30,6.0000002e-5,4.212769,67.5433,1058.06,0.8504,0.135194,0.294719,28.525768
40,40,8e-5,3.803257,44.8470,1001.14,0.8744,0.098331,0.182916,25.223341
50,50,1e-4,3.539158,34.4379,1031.26,0.9050,0.072535,0.114548,20.417648
60,60,1.20000004e-4,3.363459,28.8889,1100.21,0.8980,0.059044,0.077983,19.089659
70,70,1.3999999e-4,3.284718,26.7015,1088.16,0.8756,0.054812,0.061964,20.145107
80,80,1.6e-4,3.190549,24.3018,1118.55,0.9025,0.051438,0.047218,19.282650
90,90,1.7999999e-4,3.124754,22.7543,1104.81,0.8948,0.055133,0.046029,20.456160
100,100,2e-4,3.094132,22.0681,1131.05,0.9100,0.058334,0.046119,19.007473
110,110,2.2e-4,3.066186,21.4599,1036.30,0.9079,0.065336,0.053803,18.218002
120,120,2.4000001e-4,2.942909,18.9709,1108.25,0.8932,0.067955,0.051073,17.844564
130,130,2.5999997e-4,2.908108,18.3221,1041.28,0.8743,0.073476,0.051268,17.990993
140,140,2.7999998e-4,3.016638,20.4225,1065.37,0.8575,0.075017,0.050318,19.796413
150,150,2.9999999e-4,2.967345,19.4402,1062.81,0.8557,0.071520,0.041225,20.316593
160,160,3.2e-4,2.962721,19.3505,1074.65,0.8714,0.074527,0.043539,20.041037
170,170,3.4e-4,2.913946,18.4294,1027.26,0.8887,0.070724,0.040416,18.426516
180,180,3.5999998e-4,2.861758,17.4922,1105.60,0.8910,0.073698,0.037532,18.385397
190,190,3.7999998e-4,2.877368,17.7675,1102.69,0.8911,0.078854,0.037408,18.273998
200,200,3.9990622e-4,2.865972,17.5661,1011.52,0.8742,0.081660,0.040937,18.457138
210,210,3.998966e-4,2.798673,16.4228,1101.93,0.8868,0.081767,0.036196,17.399837
220,220,3.9988657e-4,2.768556,15.9356,1078.01,0.8665,0.099190,0.040116,18.230131
230,230,3.99876e-4,2.737408,15.4469,1075.84,0.8659,0.117469,0.043812,17.761698
240,240,3.99865e-4,2.679691,14.5806,1109.94,0.9196,0.112770,0.042545,16.493687
250,250,3.9985348e-4,2.657223,14.2566,1164.45,0.9393,0.133081,0.049531,16.444527
260,260,3.9984155e-4,2.683000,14.6289,1069.64,0.9413,0.154311,0.053167,17.425457
270,270,3.9982912e-4,2.589704,13.3258,1182.16,0.9578,0.158287,0.046581,16.009398
280,280,3.9981626e-4,2.560034,12.9363,1209.84,0.9721,0.156837,0.043411,14.767313
290,290,3.998029e-4,2.551034,12.8204,1099.74,0.9234,0.182619,0.044774,16.378944
300,300,3.9978907e-4,2.540008,12.6798,1098.01,0.8816,0.187670,0.047156,18.304119
310,310,3.9977476e-4,2.574527,13.1251,1069.36,0.9038,0.201852,0.055536,17.522449
320,320,3.9976003e-4,2.545331,12.7475,1134.06,0.9385,0.173360,0.043372,15.773824
330,330,3.9974478e-4,2.501091,12.1958,1162.60,0.9392,0.177824,0.041883,15.273272
340,340,3.997291e-4,2.495253,12.1248,1051.03,0.9240,0.180035,0.044528,16.052536
350,350,3.9971294e-4,2.429322,11.3512,1091.28,0.9231,0.179593,0.039680,15.538173
360,360,3.996963e-4,2.463068,11.7408,1159.72,0.9354,0.189590,0.041834,15.518431
370,370,3.9967918e-4,2.427053,11.3255,1136.70,0.9164,0.192577,0.043302,15.833484
380,380,3.996616e-4,2.371306,10.7114,1127.51,0.9346,0.200690,0.046721,14.888887
390,390,3.9964358e-4,2.426359,11.3176,1142.99,0.9207,0.197584,0.044916,15.527217
400,400,3.9962507e-4,2.440227,11.4756,1115.93,0.9259,0.202535,0.051716,15.776129
410,410,3.996061e-4,2.376104,10.7629,1060.55,0.9137,0.184692,0.045567,15.318545
420,420,3.9958666e-4,2.424859,11.3006,1141.35,0.9187,0.213085,0.047438,15.432773
430,430,3.9956675e-4,2.321813,10.1941,1149.87,0.9235,0.211365,0.048408,14.899992
440,440,3.9954635e-4,2.339866,10.3798,1132.27,0.9186,0.225640,0.048154,15.272166
450,450,3.995255e-4,2.364756,10.6414,1101.20,0.9425,0.210565,0.048660,14.678909
460,460,3.995042e-4,2.399731,11.0202,1222.95,0.9828,0.224879,0.063870,13.424162
470,470,3.9948244e-4,2.403520,11.0620,1070.96,0.9459,0.219223,0.051528,14.507548
480,480,3.9946017e-4,2.373071,10.7303,1097.55,0.8838,0.220712,0.049839,17.012476
490,490,3.9943747e-4,2.381115,10.8170,1118.68,0.9559,0.204279,0.043470,14.398432
500,500,3.9941428e-4,2.336632,10.3463,1164.98,0.9373,0.194075,0.045520,14.205475
510,510,3.993906e-4,2.261345,9.5960,1205.42,0.9693,0.192792,0.041019,12.746164
520,520,3.9936652e-4,2.262760,9.6096,1177.66,0.9482,0.213353,0.045993,13.526125
530,530,3.9934192e-4,2.302506,9.9992,1123.61,0.9153,0.223792,0.046168,14.845238
