step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.063512,158.1450,1773.59,1.4247,0.143556,0.489773,31.458170
20,20,4e-5,4.531564,92.9038,1685.03,1.3616,0.128594,0.410625,30.552729
30,30,6.0000002e-5,4.022172,55.8222,1687.78,1.3566,0.095089,0.267224,27.245960
40,40,8e-5,3.649652,38.4613,1558.56,1.3613,0.068610,0.148408,24.217424
50,50,1e-4,3.432115,30.9420,1691.50,1.4845,0.053091,0.090304,19.804781
60,60,1.20000004e-4,3.290194,26.8481,1841.69,1.5032,0.046823,0.065018,18.677280
70,70,1.3999999e-4,3.251949,25.8407,1775.93,1.4290,0.047665,0.054239,19.942768
80,80,1.6e-4,3.153339,23.4141,1781.06,1.4370,0.047664,0.044384,19.058752
90,90,1.7999999e-4,3.091844,22.0176,1690.74,1.3693,0.052269,0.049355,20.242434
100,100,2e-4,3.060423,21.3366,1777.40,1.4300,0.055625,0.052081,18.802067
110,110,2.2e-4,3.038809,20.8804,1656.34,1.4511,0.057131,0.054414,18.055717
120,120,2.4000001e-4,2.934736,18.8165,1776.64,1.4318,0.056643,0.045940,17.796417
130,130,2.5999997e-4,2.906961,18.3011,1706.38,1.4327,0.057807,0.041580,17.982660
140,140,2.7999998e-4,3.019898,20.4892,1707.62,1.3745,0.063387,0.045920,19.812689
150,150,2.9999999e-4,2.978711,19.6624,1651.78,1.3299,0.060083,0.048301,20.390963
160,160,3.2e-4,2.966903,19.4317,1677.67,1.3604,0.062077,0.041732,20.069536
170,170,3.4e-4,2.921265,18.5648,1618.87,1.4006,0.058058,0.034058,18.468796
180,180,3.5999998e-4,2.870832,17.6517,1708.79,1.3771,0.060263,0.032090,18.444258
190,190,3.7999998e-4,2.883457,17.8760,1733.39,1.4007,0.061834,0.034383,18.312187
200,200,3.9990622e-4,2.882622,17.8610,1601.08,1.3838,0.063649,0.037171,18.567387
210,210,3.998966e-4,2.826428,16.8850,1756.69,1.4137,0.062650,0.031621,17.571512
220,220,3.9988657e-4,2.808862,16.5910,1709.35,1.3739,0.067833,0.029320,18.495707
230,230,3.99876e-4,2.769099,15.9443,1742.82,1.4028,0.069014,0.027047,17.968012
240,240,3.99865e-4,2.714706,15.1002,1757.15,1.4558,0.080174,0.036595,16.699152
250,250,3.9985348e-4,2.705861,14.9672,1800.33,1.4523,0.095145,0.035812,16.748852
260,260,3.9984155e-4,2.750942,15.6574,1616.06,1.4222,0.112834,0.042240,17.856976
270,270,3.9982912e-4,2.639377,14.0045,1796.12,1.4553,0.106551,0.039232,16.321377
280,280,3.9981626e-4,2.595234,13.3997,1892.89,1.5210,0.113488,0.036426,14.972623
290,290,3.998029e-4,2.597863,13.4350,1694.28,1.4225,0.137837,0.037032,16.696140
300,300,3.9978907e-4,2.589905,13.3285,1652.74,1.3270,0.137804,0.038860,18.663860
310,310,3.9977476e-4,2.627157,13.8344,1625.21,1.3736,0.143687,0.041672,17.882456
320,320,3.9976003e-4,2.578902,13.1827,1762.44,1.4585,0.136026,0.031827,15.990053
330,330,3.9974478e-4,2.523964,12.4780,1806.22,1.4591,0.134319,0.029791,15.414693
340,340,3.997291e-4,2.519502,12.4224,1603.17,1.4094,0.142068,0.034525,16.216009
350,350,3.9971294e-4,2.451468,11.6054,1694.23,1.4331,0.149129,0.030484,15.682602
360,360,3.996963e-4,2.478874,11.9278,1775.26,1.4318,0.151326,0.035086,15.621931
370,370,3.9967918e-4,2.459626,11.7004,1734.31,1.3981,0.161435,0.035726,16.049543
380,380,3.996616e-4,2.424634,11.2981,1727.37,1.4318,0.158375,0.035525,15.221598
390,390,3.9964358e-4,2.461310,11.7202,1756.10,1.4146,0.144110,0.034504,15.749286
400,400,3.9962507e-4,2.443107,11.5087,1703.30,1.4132,0.158248,0.042630,15.792486
410,410,3.996061e-4,2.392011,10.9355,1637.28,1.4105,0.157738,0.035768,15.418579
420,420,3.9958666e-4,2.453809,11.6326,1758.08,1.4151,0.172864,0.038600,15.613070
430,430,3.9956675e-4,2.386428,10.8746,1764.03,1.4168,0.167984,0.037885,15.317087
440,440,3.9954635e-4,2.387899,10.8906,1717.26,1.3932,0.166379,0.034958,15.584058
450,450,3.995255e-4,2.406771,11.0981,1687.53,1.4444,0.167320,0.036718,14.940130
460,460,3.995042e-4,2.429743,11.3560,1937.49,1.5571,0.166537,0.038334,13.603300
470,470,3.9948244e-4,2.423748,11.2881,1650.31,1.4576,0.164232,0.038925,14.628149
480,480,3.9946017e-4,2.379447,10.7989,1644.74,1.3245,0.176209,0.035798,17.057606
490,490,3.9943747e-4,2.410412,11.1385,1770.26,1.5126,0.164250,0.034178,14.573927
500,500,3.9941428e-4,2.378273,10.7863,1858.12,1.4949,0.156554,0.030675,14.456343
510,510,3.993906e-4,2.302536,9.9995,1959.23,1.5755,0.160851,0.031657,12.977715
520,520,3.9936652e-4,2.301326,9.9874,1880.99,1.5145,0.176325,0.032422,13.755606
530,530,3.9934192e-4,2.345644,10.4400,1750.09,1.4257,0.175420,0.033050,15.117613
540,540,3.9931686e-4,2.329968,10.2776,1769.06,1.4295,0.172998,0.033782,15.122777
550,550,3.9929137e-4,2.325719,10.2340,1747.42,1.4085,0.180671,0.033702,15.288843
560,560,3.9926538e-4,2.381548,10.8216,1691.74,1.4360,0.181947,0.035962,14.938520
