step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.233300,187.4102,1242.93,0.9984,0.000440,0.001514,32.528217
20,20,4e-5,4.883533,132.0965,1165.31,0.9417,0.002678,0.008075,32.913849
30,30,6.0000002e-5,4.343115,76.9468,1179.91,0.9484,0.003934,0.007602,29.408457
40,40,8e-5,3.899232,49.3645,1090.84,0.9528,0.003025,0.003076,25.878162
50,50,1e-4,3.587309,36.1367,1160.54,1.0185,0.002507,0.001400,20.705362
60,60,1.20000004e-4,3.302537,27.1815,1256.87,1.0259,0.002571,0.001368,18.743504
70,70,1.3999999e-4,3.136393,23.0207,1228.88,0.9888,0.002753,0.001318,19.239021
80,80,1.6e-4,2.949383,19.0942,1234.43,0.9959,0.002887,0.002138,17.833353
90,90,1.7999999e-4,2.786824,16.2294,1186.49,0.9609,0.002985,0.002452,18.242733
100,100,2e-4,2.701310,14.8992,1236.15,0.9945,0.003416,0.004954,16.590300
110,110,2.2e-4,2.645733,14.0938,1144.53,1.0027,0.003786,0.005341,15.717962
120,120,2.4000001e-4,2.474504,11.8758,1238.49,0.9981,0.003929,0.006662,15.001833
130,130,2.5999997e-4,2.444120,11.5204,1178.41,0.9894,0.004340,0.007643,15.120607
140,140,2.7999998e-4,2.528155,12.5304,1191.30,0.9589,0.004674,0.008215,16.582766
150,150,2.9999999e-4,2.450367,11.5926,1170.18,0.9422,0.005430,0.008809,16.783974
160,160,3.2e-4,2.416647,11.2082,1172.71,0.9509,0.005526,0.009838,16.341412
170,170,3.4e-4,2.320738,10.1832,1121.85,0.9706,0.005667,0.009829,14.680524
180,180,3.5999998e-4,2.253318,9.5193,1190.13,0.9592,0.005894,0.008230,14.474037
190,190,3.7999998e-4,2.239295,9.3867,1209.73,0.9776,0.006452,0.011039,14.212769
200,200,3.9990622e-4,2.270912,9.6882,1115.94,0.9645,0.006762,0.009934,14.628050
210,210,3.998966e-4,2.168177,8.7423,1214.71,0.9776,0.006672,0.009213,13.476686
220,220,3.9988657e-4,2.139721,8.4971,1186.40,0.9536,0.006874,0.008620,14.090689
230,230,3.99876e-4,2.053893,7.7982,1188.90,0.9569,0.007109,0.008179,13.327619
240,240,3.99865e-4,2.024737,7.5741,1184.19,0.9811,0.007579,0.009516,12.445231
250,250,3.9985348e-4,2.101967,8.1823,1216.74,0.9815,0.007131,0.008572,13.016159
260,260,3.9984155e-4,2.144580,8.5385,1096.91,0.9653,0.007833,0.009559,13.920311
270,270,3.9982912e-4,2.025194,7.5776,1213.48,0.9832,0.008267,0.011032,12.536488
280,280,3.9981626e-4,2.019452,7.5342,1261.26,1.0134,0.007730,0.008473,11.655729
290,290,3.998029e-4,2.020287,7.5405,1146.73,0.9628,0.007637,0.008197,12.987947
300,300,3.9978907e-4,2.002815,7.4099,1141.46,0.9165,0.007913,0.009537,14.441754
310,310,3.9977476e-4,2.005434,7.4293,1113.80,0.9413,0.008842,0.010037,13.636068
320,320,3.9976003e-4,2.066199,7.8948,1189.66,0.9845,0.007911,0.008980,12.773428
330,330,3.9974478e-4,1.966016,7.1422,1214.89,0.9814,0.007942,0.009094,12.023958
340,340,3.997291e-4,1.984434,7.2749,1100.04,0.9671,0.008598,0.010167,12.765376
350,350,3.9971294e-4,1.916353,6.7961,1153.86,0.9760,0.008523,0.009204,12.242165
360,360,3.996963e-4,1.944454,6.9898,1217.00,0.9816,0.008774,0.009783,12.251910
370,370,3.9967918e-4,1.856527,6.4015,1192.72,0.9615,0.009047,0.010984,12.113256
380,380,3.996616e-4,1.737638,5.6839,1184.37,0.9817,0.009759,0.011013,10.905622
390,390,3.9964358e-4,1.843266,6.3171,1205.80,0.9713,0.009736,0.011172,11.783575
400,400,3.9962507e-4,1.921513,6.8313,1168.36,0.9694,0.009821,0.011610,12.429639
410,410,3.996061e-4,1.834532,6.2622,1118.71,0.9638,0.009778,0.012288,11.825518
420,420,3.9958666e-4,1.828783,6.2263,1202.59,0.9680,0.010195,0.011938,11.641762
