step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.040796,154.5930,1327.08,1.0660,0.171935,0.441840,31.311457
20,20,4e-5,4.465868,86.9965,1247.01,1.0077,0.152383,0.304066,30.120682
30,30,6.0000002e-5,4.021512,55.7854,1260.53,1.0132,0.110692,0.160191,27.203817
40,40,8e-5,3.764865,43.1579,1164.53,1.0171,0.091636,0.108616,24.974262
50,50,1e-4,3.575108,35.6985,1242.95,1.0908,0.077989,0.075167,20.627527
60,60,1.20000004e-4,3.401002,29.9942,1346.86,1.0993,0.069264,0.052536,19.302921
70,70,1.3999999e-4,3.327671,27.8733,1319.21,1.0615,0.071072,0.047532,20.408007
80,80,1.6e-4,3.216357,24.9371,1345.27,1.0854,0.071688,0.041743,19.438892
90,90,1.7999999e-4,3.147572,23.2795,1289.81,1.0446,0.078378,0.044921,20.604866
100,100,2e-4,3.117727,22.5950,1327.17,1.0677,0.082482,0.045543,19.151377
110,110,2.2e-4,3.077933,21.7135,1229.95,1.0776,0.086188,0.048858,18.285355
120,120,2.4000001e-4,2.967175,19.4369,1321.99,1.0654,0.084475,0.045372,17.990822
130,130,2.5999997e-4,2.921909,18.5767,1263.03,1.0605,0.088719,0.047941,18.076914
140,140,2.7999998e-4,3.031315,20.7245,1274.82,1.0261,0.090752,0.045477,19.890951
150,150,2.9999999e-4,2.982404,19.7352,1239.24,0.9978,0.088172,0.039659,20.415453
160,160,3.2e-4,2.968218,19.4572,1246.66,1.0109,0.094867,0.043167,20.080276
170,170,3.4e-4,2.901566,18.2026,1201.54,1.0395,0.098165,0.042270,18.349873
180,180,3.5999998e-4,2.845121,17.2036,1286.30,1.0367,0.105861,0.040149,18.277821
190,190,3.7999998e-4,2.851500,17.3137,1298.19,1.0490,0.125805,0.051351,18.105715
200,200,3.9990622e-4,2.860215,17.4653,1196.41,1.0340,0.122442,0.047217,18.419649
210,210,3.998966e-4,2.781622,16.1452,1308.85,1.0533,0.114657,0.037894,17.296711
220,220,3.9988657e-4,2.746779,15.5923,1280.91,1.0296,0.142948,0.043917,18.087704
230,230,3.99876e-4,2.702662,14.9194,1282.00,1.0319,0.168647,0.047603,17.532169
240,240,3.99865e-4,2.664224,14.3568,1271.40,1.0533,0.162242,0.044936,16.393345
250,250,3.9985348e-4,2.639939,14.0123,1303.90,1.0518,0.166314,0.041618,16.339695
260,260,3.9984155e-4,2.677760,14.5525,1178.54,1.0371,0.189210,0.049378,17.392385
270,270,3.9982912e-4,2.584917,13.2622,1303.10,1.0558,0.173385,0.042155,15.971387
280,280,3.9981626e-4,2.546869,12.7671,1361.76,1.0942,0.185489,0.042497,14.694333
290,290,3.998029e-4,2.542302,12.7089,1232.26,1.0346,0.197962,0.043566,16.330067
300,300,3.9978907e-4,2.536141,12.6308,1226.29,0.9846,0.217223,0.043874,18.279036
