step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,2.0000002e-6,5.256071,191.7267,91.88,0.0636
20,2,4.0000004e-6,5.230201,186.8303,42.48,0.0284
30,3,6e-6,5.194959,180.3607,47.64,0.0265
40,5,1.0000001e-5,5.166810,175.3546,49.82,0.0319
50,6,1.2e-5,5.056548,157.0475,41.30,0.0284
60,7,1.4000001e-5,4.953967,141.7361,46.18,0.0274
70,8,1.6000002e-5,4.895829,133.7309,44.08,0.0328
80,10,2.0000001e-5,4.760933,116.8549,41.71,0.0286
90,11,2.2e-5,4.703123,110.2910,44.67,0.0269
100,12,2.4e-5,4.601333,99.6170,48.19,0.0318
110,13,2.6000002e-5,4.475663,87.8528,41.66,0.0274
120,15,3.0000001e-5,4.379143,79.7696,40.46,0.0293
130,16,3.2000004e-5,4.229552,68.6865,52.83,0.0307
140,17,3.4000004e-5,4.183939,65.6238,51.78,0.0260
150,18,3.6e-5,4.086077,59.5060,40.31,0.0285
160,20,4.0000003e-5,4.028500,56.1766,47.31,0.0331
170,21,4.2000003e-5,3.928730,50.8423,53.99,0.0272
180,22,4.4e-5,3.835673,46.3246,41.29,0.0282
190,23,4.6000005e-5,3.818307,45.5271,52.97,0.0313
200,25,5.0000002e-5,3.737167,41.9789,47.28,0.0273
210,26,5.2000003e-5,3.643528,38.2265,45.85,0.0280
220,27,5.4000004e-5,3.577861,35.7969,55.32,0.0321
230,28,5.6000004e-5,3.557365,35.0707,43.54,0.0269
240,30,6.0000002e-5,3.466410,32.0216,39.52,0.0283
250,31,6.2e-5,3.422586,30.6486,54.16,0.0309
260,32,6.400001e-5,3.376319,29.2629,43.85,0.0266
270,33,6.6e-5,3.289681,26.8343,41.47,0.0285
280,35,7e-5,3.264602,26.1697,44.83,0.0336
290,36,7.2e-5,3.185807,24.1868,41.17,0.0290
300,37,7.4e-5,3.158741,23.5409,40.94,0.0275
310,38,7.6000004e-5,3.105131,22.3122,43.52,0.0339
320,40,8.0000005e-5,3.064963,21.4337,38.31,0.0289
330,41,8.2000006e-5,2.966356,19.4210,39.79,0.0289
340,42,8.400001e-5,2.948412,19.0756,53.56,0.0292
350,43,8.6e-5,2.888766,17.9711,45.77,0.0275
360,45,9.000001e-5,2.849546,17.2799,45.23,0.0278
370,46,9.200001e-5,2.770799,15.9714,59.54,0.0312
380,47,9.4e-5,2.789185,16.2678,49.27,0.0276
390,48,9.6e-5,2.735739,15.4211,45.13,0.0278
400,50,1.00000005e-4,2.648392,14.1313,51.34,0.0312
410,51,1.02000005e-4,2.656866,14.2516,40.65,0.0285
420,52,1.04000006e-4,2.658988,14.2818,45.04,0.0278
430,53,1.06e-4,2.529560,12.5480,46.42,0.0339
440,55,1.1000001e-4,2.509152,12.2945,37.99,0.0300
450,56,1.1200001e-4,2.561496,12.9552,49.22,0.0267
460,57,1.14e-4,2.465315,11.7672,50.67,0.0315
470,58,1.16e-4,2.459590,11.7000,51.51,0.0267
480,60,1.20000004e-4,2.417994,11.2233,38.46,0.0298
490,61,1.22000005e-4,2.348096,10.4656,45.33,0.0334
500,62,1.24e-4,2.397367,10.9942,45.19,0.0265
510,63,1.26e-4,2.353949,10.5271,41.47,0.0280
520,65,1.3e-4,2.302693,10.0011,58.22,0.0304
530,66,1.32e-4,2.222447,9.2299,47.59,0.0281
540,67,1.34e-4,2.266781,9.6483,40.21,0.0282
550,68,1.3600002e-4,2.197765,9.0049,47.68,0.0309
560,70,1.4e-4,2.201015,9.0342,41.12,0.0284
570,71,1.42e-4,2.144711,8.5396,53.78,0.0258
580,72,1.44e-4,2.090383,8.0880,48.64,0.0323
590,73,1.46e-4,2.096505,8.1377,38.60,0.0281
