step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.260972,192.6687,12005.05,11.9028,0.136452,0.058152,32.082481
20,20,2e-5,4.430331,83.9592,11777.48,11.7454,0.128539,0.049855,29.565304
30,30,3.0000001e-5,3.747208,42.4025,11742.03,11.6555,0.109923,0.039032,26.864798
40,40,4e-5,3.260611,26.0655,11158.42,12.0581,0.084760,0.031926,20.488796
50,50,5e-5,3.000423,20.0940,12009.93,11.9446,0.072007,0.025829,20.467484
60,60,6.0000002e-5,2.836665,17.0588,11780.86,12.2872,0.061692,0.024025,16.262367
70,70,6.9999995e-5,2.637300,13.9754,12165.11,12.1461,0.056710,0.022069,14.860150
80,80,8e-5,2.609971,13.5987,12231.26,12.3227,0.058716,0.021838,15.250074
90,90,8.9999994e-5,2.518156,12.4057,12039.58,12.0068,0.058464,0.020879,15.489885
100,100,1e-4,2.364838,10.6423,12209.29,12.1452,0.057758,0.020595,14.598447
110,110,1.1e-4,2.333144,10.3103,11056.10,11.7369,0.062560,0.021240,15.544240
120,120,1.20000004e-4,2.239964,9.3930,13511.36,13.7286,0.058714,0.020411,13.887054
130,130,1.2999999e-4,2.266549,9.6461,11830.61,12.7147,0.057383,0.020536,13.406898
140,140,1.3999999e-4,2.152372,8.6052,12112.07,12.0322,0.052700,0.019406,13.239794
150,150,1.4999999e-4,2.094058,8.1178,11746.55,12.2241,0.053448,0.019767,12.722104
160,160,1.6e-4,2.075619,7.9695,13570.01,13.5198,0.052211,0.019646,12.780005
170,170,1.7e-4,2.205171,9.0718,12077.56,13.1821,0.052423,0.020483,14.032400
180,180,1.7999999e-4,2.110584,8.2531,12046.97,11.9814,0.048906,0.018594,14.103193
190,190,1.8999999e-4,2.080767,8.0106,11891.91,11.8502,0.050663,0.018773,14.794058
200,200,1.9983227e-4,2.170265,8.7606,11362.21,12.0096,0.048109,0.018876,14.221466
210,210,1.9981508e-4,2.155351,8.6309,10948.27,12.1174,0.044374,0.017596,13.072916
220,220,1.9979705e-4,1.958758,7.0905,12243.39,12.2195,0.043111,0.017126,12.584704
230,230,1.997782e-4,1.869488,6.4850,11836.32,12.4670,0.042831,0.017032,12.079441
240,240,1.997585e-4,1.978692,7.2333,13352.23,14.2039,0.043197,0.017526,11.902675
250,250,1.9973796e-4,2.056801,7.8209,13379.67,13.8644,0.042375,0.017145,13.490026
260,260,1.997166e-4,1.899899,6.6852,13716.47,13.5471,0.037717,0.015814,11.999723
270,270,1.9969439e-4,1.876529,6.5308,14625.22,14.5203,0.038318,0.015920,12.302774
280,280,1.9967135e-4,1.791966,6.0012,15135.90,15.0741,0.037467,0.015868,11.679692
290,290,1.9964747e-4,1.690120,5.4201,13446.28,13.3705,0.039243,0.015951,11.205790
300,300,1.9962277e-4,1.795822,6.0244,12859.74,13.5310,0.037312,0.015931,10.683203
310,310,1.9959721e-4,1.789911,5.9889,12229.21,13.1458,0.035939,0.015479,10.930296
320,320,1.9957083e-4,1.890940,6.6256,13301.38,13.1829,0.036234,0.015815,12.177522
330,330,1.9954362e-4,1.892700,6.6373,11454.75,13.6997,0.033849,0.015353,11.510569
340,340,1.9951556e-4,1.754771,5.7821,13363.29,13.3009,0.032545,0.014579,10.396959
350,350,1.9948668e-4,1.887041,6.5998,13265.58,13.2088,0.032260,0.014932,11.073989
360,360,1.9945696e-4,1.796860,6.0307,12654.78,13.0158,0.031987,0.014521,11.571681
370,370,1.994264e-4,1.727275,5.6253,12805.07,12.7404,0.035467,0.014989,12.640104
380,380,1.9939501e-4,1.723370,5.6034,12496.45,12.8658,0.035500,0.015437,11.572565
390,390,1.993628e-4,1.800514,6.0528,12519.23,12.7737,0.034580,0.015353,12.309306
400,400,1.9932975e-4,1.805313,6.0819,13273.82,13.2222,0.030120,0.014223,10.522555
410,410,1.9929587e-4,1.721142,5.5909,13118.91,13.0552,0.030478,0.013968,10.739180
420,420,1.9926114e-4,1.708942,5.5231,12205.81,12.9817,0.031562,0.014424,11.068048
430,430,1.992256e-4,1.669441,5.3092,12853.75,13.0785,0.031315,0.014213,10.613423
440,440,1.991892e-4,1.691552,5.4279,12786.55,13.0569,0.030295,0.013903,10.436061
450,450,1.99152e-4,1.657861,5.2481,14781.29,14.7611,0.030335,0.013764,10.703015
460,460,1.9911396e-4,1.562492,4.7707,16270.72,16.2485,0.030306,0.013361,10.258619
470,470,1.9907509e-4,1.442500,4.2313,15402.93,16.0617,0.030322,0.013251,9.095605
480,480,1.9903539e-4,1.583550,4.8722,14355.65,14.2306,0.030674,0.014386,10.041187
490,490,1.9899487e-4,1.651391,5.2142,14338.51,14.8070,0.030819,0.014513,10.456597
