step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.441491,230.7861,12167.91,12.0642,0.137932,0.058954,33.192997
20,20,2e-5,4.622108,101.7082,11827.64,11.7954,0.132445,0.051696,30.842785
30,30,3.0000001e-5,3.815118,45.3821,11763.35,11.6767,0.115355,0.041944,27.331196
40,40,4e-5,3.332633,28.0120,11210.26,12.1141,0.086703,0.032987,20.938732
50,50,5e-5,3.052620,21.1707,12049.29,11.9838,0.073005,0.025878,20.824362
60,60,6.0000002e-5,2.884734,17.8988,11774.31,12.2804,0.062377,0.023889,16.538727
70,70,6.9999995e-5,2.665143,14.3700,12223.80,12.2047,0.057062,0.021876,15.016624
80,80,8e-5,2.620724,13.7457,12236.17,12.3277,0.060600,0.021868,15.311399
90,90,8.9999994e-5,2.535922,12.6281,12074.91,12.0420,0.060595,0.021097,15.604304
100,100,1e-4,2.377210,10.7748,12229.47,12.1653,0.058869,0.020529,14.675116
110,110,1.1e-4,2.360305,10.5942,11306.27,12.0025,0.063660,0.021043,15.720340
120,120,1.20000004e-4,2.244889,9.4394,13414.08,13.6297,0.057716,0.019782,13.920688
130,130,1.2999999e-4,2.262905,9.6110,11825.28,12.7090,0.057529,0.020341,13.379534
140,140,1.3999999e-4,2.185297,8.8933,12136.88,12.0568,0.055617,0.019819,13.445763
150,150,1.4999999e-4,2.101983,8.1824,11668.32,12.1426,0.053974,0.019733,12.766381
160,160,1.6e-4,2.083697,8.0341,14093.34,14.0412,0.053049,0.019646,12.829516
170,170,1.7e-4,2.204012,9.0613,11625.04,12.6882,0.055323,0.021057,14.029806
180,180,1.7999999e-4,2.109389,8.2432,12038.68,11.9732,0.052359,0.019471,14.098561
190,190,1.8999999e-4,2.082132,8.0216,11905.89,11.8642,0.053337,0.019475,14.808245
200,200,1.9983227e-4,2.174853,8.8009,11300.60,11.9445,0.050529,0.019188,14.251322
210,210,1.9981508e-4,2.191037,8.9445,10923.13,12.0896,0.046136,0.017629,13.227590
220,220,1.9979705e-4,1.961118,7.1073,12401.49,12.3773,0.045639,0.017617,12.599638
230,230,1.997782e-4,1.884769,6.5848,11608.10,12.2266,0.045768,0.018192,12.170976
240,240,1.997585e-4,2.003321,7.4136,13953.38,14.8434,0.044461,0.018130,12.052048
250,250,1.9973796e-4,2.081914,8.0198,13227.54,13.7067,0.044896,0.017922,13.652951
260,260,1.997166e-4,1.905215,6.7208,13838.95,13.6681,0.041188,0.016670,12.034277
270,270,1.9969439e-4,1.888934,6.6123,14903.20,14.7963,0.042277,0.016778,12.383850
280,280,1.9967135e-4,1.788694,5.9816,14317.73,14.2592,0.039887,0.015988,11.660855
290,290,1.9964747e-4,1.695758,5.4508,13128.30,13.0544,0.041526,0.016225,11.242818
300,300,1.9962277e-4,1.781413,5.9382,12694.95,13.3576,0.039982,0.016248,10.596087
310,310,1.9959721e-4,1.779923,5.9294,12578.27,13.5210,0.039675,0.016408,10.867188
320,320,1.9957083e-4,1.903355,6.7084,13426.27,13.3067,0.040212,0.016792,12.257165
330,330,1.9954362e-4,1.845385,6.3305,11430.59,13.6708,0.037290,0.015958,11.290122
340,340,1.9951556e-4,1.765126,5.8423,13437.34,13.3746,0.035683,0.015315,10.451295
350,350,1.9948668e-4,1.896961,6.6656,13341.21,13.2841,0.035038,0.015458,11.131517
360,360,1.9945696e-4,1.797364,6.0337,12679.31,13.0410,0.034320,0.014856,11.578134
370,370,1.994264e-4,1.741615,5.7066,12876.99,12.8119,0.038010,0.015607,12.745367
380,380,1.9939501e-4,1.724739,5.6111,12541.65,12.9124,0.038244,0.016105,11.586064
390,390,1.993628e-4,1.799889,6.0490,12678.65,12.9364,0.038158,0.016240,12.301279
400,400,1.9932975e-4,1.787353,5.9736,13395.97,13.3438,0.033540,0.015074,10.416898
410,410,1.9929587e-4,1.712295,5.5417,13221.05,13.1568,0.034077,0.014815,10.686571
420,420,1.9926114e-4,1.712430,5.5424,12294.35,13.0758,0.035820,0.015609,11.098134
430,430,1.992256e-4,1.682509,5.3790,12929.38,13.1555,0.034880,0.015123,10.696669
440,440,1.991892e-4,1.693881,5.4406,12947.84,13.2216,0.033671,0.014704,10.447281
450,450,1.99152e-4,1.655619,5.2363,15482.66,15.4615,0.033870,0.014563,10.688667
460,460,1.9911396e-4,1.573275,4.8224,16166.66,16.1446,0.033354,0.014115,10.329968
470,470,1.9907509e-4,1.443503,4.2355,15005.35,15.6471,0.033690,0.014104,9.105661
480,480,1.9903539e-4,1.563393,4.7750,14814.93,14.6859,0.034899,0.015435,9.918452
490,490,1.9899487e-4,1.652739,5.2213,13822.34,14.2740,0.034536,0.015592,10.463487
500,500,1.989535e-4,1.777356,5.9142,13416.42,13.6619,0.034442,0.015425,11.724977
510,510,1.9891132e-4,1.514456,4.5469,13388.25,13.3674,0.031343,0.013527,9.817193
520,520,1.988683e-4,1.604413,4.9749,13504.05,13.4489,0.033834,0.015052,10.201661
530,530,1.9882445e-4,1.542568,4.6766,14645.56,14.6142,0.033031,0.014572,9.850258
540,540,1.9877979e-4,1.618230,5.0442,12514.64,13.6069,0.033050,0.014510,10.787543
550,550,1.9873428e-4,1.675934,5.3438,13445.13,13.3254,0.031574,0.014627,10.803312
560,560,1.9868797e-4,1.737937,5.6856,12464.16,13.5033,0.030929,0.014519,10.129282
570,570,1.9864082e-4,1.735477,5.6716,13487.47,13.3726,0.030284,0.014406,10.023440
580,580,1.9859284e-4,1.729211,5.6362,13958.66,14.5025,0.031266,0.014511,10.220499
590,590,1.9854403e-4,1.638637,5.1481,14703.09,14.5722,0.033406,0.014639,11.802647
600,600,1.9849441e-4,1.670240,5.3134,13128.39,14.1929,0.031467,0.014400,11.122892
610,610,1.9844396e-4,1.701436,5.4818,13448.02,13.3801,0.029822,0.014273,10.168928
620,620,1.9839269e-4,1.572412,4.8183,13823.16,13.7587,0.028441,0.013269,9.429559
630,630,1.9834058e-4,1.507230,4.5142,13521.64,13.4900,0.028197,0.013150,8.480808
640,640,1.9828767e-4,1.499658,4.4802,13605.18,13.5364,0.029588,0.013629,8.968702
650,650,1.9823393e-4,1.462954,4.3187,12608.63,13.2369,0.028835,0.013052,9.003690
660,660,1.9817938e-4,1.575256,4.8320,13040.77,13.0077,0.032102,0.014566,10.736849
670,670,1.9812399e-4,1.437203,4.2089,13231.87,13.1191,0.030090,0.013231,9.250813
680,680,1.9806778e-4,1.468841,4.3442,13689.97,13.6367,0.031876,0.013925,9.725618
690,690,1.9801076e-4,1.643217,5.1718,12421.51,13.2413,0.031981,0.014554,10.036923
700,700,1.9795292e-4,1.428490,4.1724,13008.62,12.9681,0.029637,0.013172,9.545248
710,710,1.9789426e-4,1.649668,5.2053,12190.64,13.1652,0.032494,0.014921,10.036160
720,720,1.9783479e-4,1.464035,4.3234,13355.54,13.3113,0.028470,0.012877,8.156175
730,730,1.9777448e-4,1.429344,4.1760,12052.66,12.9806,0.031792,0.014003,9.256559
740,740,1.9771337e-4,1.463185,4.3197,12981.52,12.9009,0.033256,0.014098,9.938105
750,750,1.9765143e-4,1.593726,4.9221,13139.14,13.0474,0.032240,0.014452,9.928845
760,760,1.975887e-4,1.454713,4.2833,12493.26,12.9564,0.031024,0.013211,9.691816
770,770,1.9752514e-4,1.399163,4.0518,12459.31,12.9843,0.030469,0.012999,9.273426
780,780,1.9746076e-4,1.421886,4.1449,13225.96,13.1848,0.031154,0.013096,8.932343
790,790,1.9739557e-4,1.412822,4.1075,12227.46,13.2022,0.031358,0.013157,8.473695
800,800,1.9732956e-4,1.638382,5.1468,13191.17,13.1347,0.030266,0.013934,10.261792
810,810,1.9726275e-4,1.456675,4.2917,13611.96,13.5511,0.028505,0.013253,9.273666
820,820,1.9719511e-4,1.489713,4.4358,12503.74,13.5951,0.031263,0.014304,9.693300
830,830,1.9712668e-4,1.514148,4.5455,12680.23,13.1930,0.030783,0.013730,9.595687
