step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.414290,224.5930,1035.13,0.8315,0.173412,0.488485,33.669678
20,20,2e-5,5.161991,174.5116,980.57,0.7924,0.184598,0.515747,34.811810
30,30,3.0000001e-5,4.840185,126.4928,992.98,0.7981,0.170781,0.446636,32.743389
40,40,4e-5,4.488367,88.9760,921.80,0.8051,0.139954,0.341417,29.811142
50,50,5e-5,4.265182,71.1778,989.95,0.8688,0.103117,0.228827,24.612383
60,60,6.0000002e-5,4.002841,54.7535,1071.47,0.8745,0.081570,0.169131,22.708790
70,70,6.9999995e-5,3.804478,44.9018,1042.41,0.8388,0.073397,0.136330,23.320583
80,80,8e-5,3.587318,36.1370,1047.79,0.8454,0.061181,0.097508,21.675306
90,90,8.9999994e-5,3.444865,31.3391,1003.40,0.8126,0.057018,0.080998,22.544294
100,100,1e-4,3.353298,28.5969,1041.28,0.8377,0.047482,0.061360,20.598631
110,110,1.1e-4,3.290370,26.8528,974.14,0.8535,0.042761,0.052232,19.549734
120,120,1.20000004e-4,3.176612,23.9654,1044.29,0.8416,0.037968,0.040422,19.260689
130,130,1.2999999e-4,3.138382,23.0665,1011.61,0.8494,0.036611,0.037582,19.408703
140,140,1.3999999e-4,3.216204,24.9333,1018.60,0.8199,0.038410,0.042162,21.098415
150,150,1.4999999e-4,3.170184,23.8119,980.51,0.7895,0.038396,0.036007,21.701931
160,160,1.6e-4,3.146188,23.2473,985.54,0.7992,0.036568,0.033808,21.282125
170,170,1.7e-4,3.107880,22.3736,955.47,0.8266,0.036830,0.036001,19.655518
180,180,1.7999999e-4,3.049944,21.1142,1011.67,0.8153,0.037139,0.036274,19.593132
190,190,1.8999999e-4,3.049361,21.1019,1021.60,0.8255,0.038409,0.038514,19.365135
200,200,1.999556e-4,3.040010,20.9055,948.28,0.8196,0.042812,0.045763,19.586903
210,210,1.9995103e-4,2.996587,20.0171,1033.25,0.8315,0.034860,0.035271,18.628469
220,220,1.9994628e-4,2.971758,19.5262,1007.00,0.8094,0.034801,0.029913,19.565601
230,230,1.9994128e-4,2.935193,18.8251,1007.60,0.8110,0.035413,0.030401,19.048016
240,240,1.9993607e-4,2.908725,18.3334,1009.31,0.8362,0.036188,0.030535,17.894535
250,250,1.999306e-4,2.914505,18.4397,1038.24,0.8375,0.037065,0.032497,18.037926
260,260,1.9992495e-4,2.950296,19.1116,931.22,0.8195,0.040577,0.030928,19.159998
270,270,1.9991907e-4,2.873983,17.7074,1004.92,0.8142,0.037135,0.028919,17.772213
280,280,1.9991296e-4,2.873528,17.6993,996.30,0.8005,0.035629,0.027348,16.582876
290,290,1.9990664e-4,2.886340,17.9276,905.25,0.7601,0.036916,0.029203,18.529234
300,300,1.999001e-4,2.887103,17.9413,894.92,0.7185,0.037388,0.027617,20.803278
310,310,1.9989331e-4,2.921801,18.5747,884.86,0.7478,0.040320,0.031715,19.876139
320,320,1.9988633e-4,2.902428,18.2183,942.17,0.7797,0.037850,0.029313,17.991348
330,330,1.9987911e-4,2.858348,17.4327,962.49,0.7775,0.036439,0.027488,17.457533
340,340,1.9987169e-4,2.881855,17.8473,874.85,0.7691,0.036471,0.029522,18.557995
350,350,1.9986404e-4,2.831758,16.9753,933.42,0.7895,0.034478,0.027136,18.121161
360,360,1.9985615e-4,2.839158,17.1014,982.64,0.7926,0.036515,0.028705,17.893429
370,370,1.9984803e-4,2.844112,17.1863,954.37,0.7694,0.037595,0.030180,18.556385
380,380,1.998397e-4,2.795559,16.3718,942.08,0.7809,0.037204,0.030073,17.558018
390,390,1.9983118e-4,2.826196,16.8811,963.03,0.7758,0.036861,0.027500,18.087818
400,400,1.9982242e-4,2.843027,17.1677,931.05,0.7725,0.040391,0.033498,18.373253
410,410,1.9981342e-4,2.802913,16.4926,894.14,0.7703,0.038803,0.025607,18.062710
420,420,1.998042e-4,2.855330,17.3802,961.18,0.7737,0.040606,0.028482,18.173613
430,430,1.9979477e-4,2.811643,16.6372,967.75,0.7772,0.041572,0.028542,18.047083
440,440,1.9978514e-4,2.797053,16.3963,941.36,0.7637,0.042779,0.030525,18.266008
450,450,1.9977524e-4,2.799179,16.4312,932.58,0.7982,0.043833,0.030056,17.381662
460,460,1.9976517e-4,2.832897,16.9946,1044.17,0.8391,0.044758,0.030782,15.864369
470,470,1.9975484e-4,2.834929,17.0292,895.33,0.7908,0.045774,0.028214,17.134165
480,480,1.997443e-4,2.821642,16.8044,894.43,0.7203,0.047329,0.028614,20.220661
490,490,1.9973353e-4,2.793399,16.3365,925.64,0.7909,0.046214,0.027891,16.899715
500,500,1.9972256e-4,2.775655,16.0491,971.82,0.7819,0.047949,0.026505,16.868864
510,510,1.9971136e-4,2.715791,15.1166,1008.33,0.8108,0.048493,0.024614,15.311356
520,520,1.9969995e-4,2.720336,15.1854,984.69,0.7928,0.052964,0.026496,16.261019
530,530,1.9968828e-4,2.745571,15.5735,934.64,0.7614,0.057779,0.030019,17.688623
540,540,1.9967643e-4,2.747765,15.6077,938.79,0.7586,0.063398,0.031203,17.821291
550,550,1.9966433e-4,2.720988,15.1953,939.37,0.7572,0.066141,0.027824,17.881178
560,560,1.9965201e-4,2.790228,16.2847,908.14,0.7708,0.064038,0.031632,17.538502
570,570,1.996395e-4,2.713335,15.0795,876.06,0.7687,0.071205,0.030214,17.642521
580,580,1.9962675e-4,2.668154,14.4133,1009.12,0.8130,0.074162,0.031615,15.305481
590,590,1.9961377e-4,2.661075,14.3117,890.93,0.7656,0.079668,0.034037,17.008430
600,600,1.9960059e-4,2.701095,14.8960,915.81,0.7378,0.086070,0.033888,18.400261
610,610,1.9958714e-4,2.698464,14.8569,835.10,0.7818,0.089547,0.032784,16.760103
620,620,1.9957352e-4,2.597775,13.4338,940.82,0.7573,0.098021,0.033264,17.597454
630,630,1.9955967e-4,2.628921,13.8588,909.69,0.7795,0.102775,0.033408,16.554691
640,640,1.9954558e-4,2.603997,13.5177,905.52,0.7916,0.108046,0.031515,15.670038
650,650,1.9953129e-4,2.662049,14.3256,959.66,0.7748,0.115403,0.033035,16.712286
660,660,1.9951677e-4,2.605788,13.5419,958.60,0.7723,0.112962,0.031905,16.594219
670,670,1.9950204e-4,2.555133,12.8730,842.17,0.7765,0.117299,0.032434,16.602816
680,680,1.9948708e-4,2.572694,13.1011,959.90,0.7727,0.120190,0.032952,16.193317
690,690,1.9947189e-4,2.589139,13.3183,947.71,0.7745,0.127394,0.035801,16.312302
