step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,4.934547,139.0102,537.46,0.4317,0.218717,0.308148,30.684940
20,20,4e-5,4.689059,108.7508,525.11,0.4243,0.212492,0.286296,31.628458
30,30,6.0000002e-5,4.355800,77.9292,530.08,0.4261,0.182848,0.236494,29.491436
40,40,8e-5,4.028644,56.1847,491.56,0.4293,0.142634,0.163173,26.755249
50,50,1e-4,3.739280,42.0677,493.94,0.4335,0.101506,0.106172,21.576876
60,60,1.20000004e-4,3.504482,33.2642,532.35,0.4345,0.082027,0.076866,19.888891
70,70,1.3999999e-4,3.386505,29.5625,535.44,0.4308,0.073596,0.061764,20.768976
80,80,1.6e-4,3.251044,25.8173,533.43,0.4304,0.061756,0.046595,19.649496
90,90,1.7999999e-4,3.161036,23.5950,531.69,0.4306,0.058281,0.040985,20.695019
100,100,2e-4,3.137471,23.0455,538.46,0.4332,0.054013,0.036360,19.273144
110,110,2.2e-4,3.099445,22.1856,502.35,0.4401,0.054562,0.037231,18.415977
120,120,2.4000001e-4,3.005166,20.1896,540.30,0.4354,0.056705,0.038946,18.221487
130,130,2.5999997e-4,2.982450,19.7361,522.74,0.4389,0.057516,0.040569,18.446062
140,140,2.7999998e-4,3.084304,21.8522,537.94,0.4330,0.062194,0.046150,20.241203
150,150,2.9999999e-4,3.045387,21.0182,530.68,0.4273,0.058575,0.042855,20.847437
160,160,3.2e-4,3.026486,20.6246,529.66,0.4295,0.055067,0.038975,20.473396
170,170,3.4e-4,2.972483,19.5404,498.90,0.4316,0.050841,0.035267,18.798288
180,180,3.5999998e-4,2.925962,18.6522,534.23,0.4305,0.049555,0.032279,18.798710
190,190,3.7999998e-4,2.941968,18.9531,539.17,0.4357,0.051013,0.033746,18.682262
200,200,3.9990622e-4,2.939565,18.9076,496.92,0.4295,0.051833,0.035535,18.939173
210,210,3.998966e-4,2.895626,18.0948,536.01,0.4314,0.047433,0.030128,18.003901
220,220,3.9988657e-4,2.876657,17.7548,535.69,0.4306,0.046421,0.028667,18.941795
230,230,3.99876e-4,2.855003,17.3745,534.03,0.4298,0.044007,0.026307,18.527866
240,240,3.99865e-4,2.827714,16.9068,521.12,0.4317,0.044454,0.027574,17.397554
250,250,3.9985348e-4,2.835310,17.0357,537.06,0.4332,0.048044,0.030145,17.547949
260,260,3.9984155e-4,2.886125,17.9237,490.09,0.4313,0.052637,0.032323,18.741941
270,270,3.9982912e-4,2.819111,16.7619,533.26,0.4321,0.051759,0.031040,17.433853
280,280,3.9981626e-4,2.804239,16.5145,546.80,0.4394,0.050068,0.028357,16.184196
290,290,3.998029e-4,2.818615,16.7536,519.03,0.4358,0.054385,0.032020,18.098087
300,300,3.9978907e-4,2.817129,16.7288,532.52,0.4276,0.057981,0.034184,20.298859
310,310,3.9977476e-4,2.856113,17.3938,508.70,0.4299,0.061137,0.034489,19.435738
320,320,3.9976003e-4,2.827800,16.9082,526.91,0.4360,0.060949,0.031929,17.530636
330,330,3.9974478e-4,2.781065,16.1362,534.12,0.4315,0.061599,0.030768,16.988728
340,340,3.997291e-4,2.802339,16.4832,492.17,0.4327,0.067175,0.032206,18.044891
350,350,3.9971294e-4,2.736343,15.4305,505.21,0.4273,0.066146,0.030247,17.513597
360,360,3.996963e-4,2.724658,15.2512,537.73,0.4337,0.076523,0.033538,17.166897
370,370,3.9967918e-4,2.700538,14.8877,533.69,0.4302,0.088103,0.036408,17.620180
380,380,3.996616e-4,2.615589,13.6753,519.12,0.4303,0.103428,0.035088,16.431553
390,390,3.9964358e-4,2.637034,13.9717,532.91,0.4293,0.122271,0.038628,16.869656
400,400,3.9962507e-4,2.612971,13.6395,516.69,0.4287,0.127665,0.040803,16.887550
410,410,3.996061e-4,2.564759,12.9975,497.26,0.4284,0.140948,0.039135,16.528488
420,420,3.9958666e-4,2.603587,13.5121,532.69,0.4288,0.142226,0.041798,16.566284
430,430,3.9956675e-4,2.506027,12.2561,533.64,0.4286,0.150853,0.040783,16.081144
440,440,3.9954635e-4,2.503793,12.2288,527.27,0.4278,0.154125,0.042409,16.344305
450,450,3.995255e-4,2.508465,12.2861,503.86,0.4313,0.160486,0.041732,15.578592
460,460,3.995042e-4,2.521166,12.4431,541.28,0.4350,0.164825,0.044133,14.102530
470,470,3.9948244e-4,2.507375,12.2727,485.14,0.4285,0.176490,0.043701,15.131510
480,480,3.9946017e-4,2.479125,11.9308,528.60,0.4257,0.199111,0.046072,17.769520
490,490,3.9943747e-4,2.479384,11.9339,505.09,0.4316,0.189630,0.043545,14.993805
500,500,3.9941428e-4,2.443542,11.5138,536.94,0.4320,0.179503,0.041139,14.855205
510,510,3.993906e-4,2.398100,11.0023,543.26,0.4369,0.173398,0.038205,13.517815
520,520,3.9936652e-4,2.407506,11.1062,539.06,0.4340,0.189738,0.042442,14.392342
530,530,3.9934192e-4,2.454201,11.6371,527.11,0.4294,0.193198,0.043612,15.816968
540,540,3.9931686e-4,2.422044,11.2689,530.47,0.4287,0.183773,0.041646,15.719728
550,550,3.9929137e-4,2.407716,11.1086,533.01,0.4296,0.182943,0.038480,15.829376
560,560,3.9926538e-4,2.462670,11.7361,503.65,0.4275,0.186925,0.041465,15.459996
570,570,3.9923892e-4,2.365150,10.6456,487.74,0.4280,0.191396,0.040764,15.357290
580,580,3.99212e-4,2.349411,10.4794,542.12,0.4368,0.193836,0.042794,13.472089
590,590,3.9918462e-4,2.346071,10.4445,502.50,0.4318,0.213638,0.045342,14.989374
600,600,3.9915676e-4,2.413916,11.1776,530.24,0.4272,0.221497,0.043990,16.439392
610,610,3.9912842e-4,2.414299,11.1819,466.63,0.4369,0.202090,0.041058,14.984212
620,620,3.9909966e-4,2.318048,10.1558,536.36,0.4317,0.214543,0.041958,15.701404
630,630,3.9907038e-4,2.348198,10.4667,503.71,0.4316,0.206770,0.040690,14.784967
640,640,3.9904067e-4,2.315306,10.1280,494.78,0.4325,0.205706,0.040942,13.935567
650,650,3.9901052e-4,2.396915,10.9892,533.65,0.4308,0.212646,0.039299,15.035504
660,660,3.9897984e-4,2.322319,10.1993,532.77,0.4292,0.214291,0.040486,14.787982
670,670,3.9894873e-4,2.306418,10.0384,470.18,0.4335,0.230272,0.043493,14.977045
680,680,3.9891715e-4,2.329845,10.2763,537.12,0.4324,0.225680,0.042681,14.662425
690,690,3.9888508e-4,2.340619,10.3877,528.23,0.4317,0.222580,0.042291,14.741847
700,700,3.9885257e-4,2.380455,10.8098,488.79,0.4281,0.232155,0.041678,16.322496
710,710,3.9881957e-4,2.282069,9.7969,506.75,0.4285,0.225208,0.041549,14.896593
720,720,3.9878616e-4,2.304855,10.0227,528.62,0.4267,0.237543,0.044593,15.191437
730,730,3.9875222e-4,2.319299,10.1685,495.27,0.4356,0.223097,0.042656,13.574694
740,740,3.9871782e-4,2.298310,9.9573,538.28,0.4331,0.217302,0.040581,13.595213
750,750,3.9868298e-4,2.240608,9.3990,527.65,0.4308,0.222763,0.040056,14.070752
760,760,3.9864768e-4,2.244210,9.4330,533.89,0.4301,0.233581,0.041881,14.467443
770,770,3.986119e-4,2.302325,9.9974,501.28,0.4285,0.258135,0.044385,15.770088
780,780,3.9857565e-4,2.313863,10.1134,529.84,0.4256,0.245903,0.044515,15.576343
790,790,3.9853895e-4,2.208007,9.0976,529.85,0.4307,0.239747,0.040778,14.582064
800,800,3.985018e-4,2.333424,10.3132,532.82,0.4288,0.243672,0.041151,16.100912
810,810,3.9846415e-4,2.185656,8.8965,530.79,0.4285,0.247067,0.040859,14.717405
820,820,3.9842605e-4,2.273166,9.7101,534.16,0.4302,0.246520,0.041145,15.149829
830,830,3.9838746e-4,2.346059,10.4443,532.32,0.4287,0.253217,0.040888,15.523529
840,840,3.9834843e-4,2.373275,10.7325,536.09,0.4313,0.257067,0.040896,15.563887
850,850,3.9830897e-4,2.272395,9.7026,537.13,0.4321,0.265135,0.041418,15.483747
860,860,3.9826898e-4,2.234969,9.3462,538.18,0.4326,0.271015,0.043217,15.811099
870,870,3.9822856e-4,2.201534,9.0389,540.53,0.4349,0.274347,0.042803,14.600757
880,880,3.9818764e-4,2.328682,10.2644,502.33,0.4374,0.274087,0.046582,14.947905
890,890,3.981463e-4,2.316794,10.1431,527.81,0.4350,0.248179,0.043003,14.760317
900,900,3.981045e-4,2.242540,9.4172,537.47,0.4328,0.251252,0.044334,14.887591
910,910,3.980622e-4,2.149188,8.5779,547.46,0.4412,0.246427,0.041190,12.889475
920,920,3.9801945e-4,2.162267,8.6908,526.66,0.4352,0.276011,0.043762,13.994390
930,930,3.9797623e-4,2.222562,9.2309,549.61,0.4411,0.258602,0.043949,12.963631
940,940,3.9793257e-4,2.116088,8.2986,545.91,0.4390,0.255766,0.040545,12.775759
950,950,3.9788842e-4,2.169426,8.7533,536.14,0.4368,0.267469,0.043557,13.257358
960,960,3.9784383e-4,2.331152,10.2898,536.39,0.4324,0.284548,0.049877,15.046585
970,970,3.9779875e-4,2.178874,8.8364,515.14,0.4328,0.272870,0.042548,14.519096
980,980,3.9775323e-4,2.165969,8.7231,541.93,0.4361,0.265124,0.041669,14.019167
990,990,3.9770725e-4,2.153485,8.6148,492.47,0.4359,0.271749,0.043061,13.629410
1000,1000,3.9766077e-4,2.193381,8.9655,515.16,0.4350,0.262097,0.041558,13.542589
1010,1010,3.9761385e-4,2.130273,8.4172,522.81,0.4343,0.257221,0.039947,13.136118
1020,1020,3.9756647e-4,2.122895,8.3553,542.99,0.4359,0.272316,0.042455,13.452421
1030,1030,3.9751863e-4,2.102146,8.1837,544.55,0.4391,0.260929,0.040647,13.121384
1040,1040,3.974703e-4,2.203117,9.0532,500.62,0.4390,0.262951,0.041893,12.954768
1050,1050,3.9742154e-4,2.129644,8.4119,547.07,0.4398,0.266401,0.042052,12.920900
1060,1060,3.973723e-4,2.091773,8.0993,547.98,0.4404,0.257457,0.039166,12.837273
1070,1070,3.973226e-4,2.078464,7.9922,545.41,0.4382,0.271802,0.040515,12.934178
1080,1080,3.9727247e-4,2.047373,7.7475,544.58,0.4390,0.262847,0.041297,12.491851
1090,1090,3.9722185e-4,2.004004,7.4187,550.13,0.4436,0.270013,0.042404,11.989024
1100,1100,3.9717075e-4,2.157124,8.6462,540.06,0.4481,0.278413,0.045614,12.835080
1110,1110,3.971192e-4,2.174906,8.8014,556.53,0.4490,0.267576,0.045722,12.639871
1120,1120,3.970672e-4,2.112177,8.2662,561.25,0.4508,0.259962,0.040206,12.546741
1130,1130,3.9701475e-4,2.121486,8.3435,555.71,0.4467,0.259670,0.040721,12.700535
1140,1140,3.969618e-4,2.059928,7.8454,551.86,0.4447,0.265107,0.039502,12.816528
1150,1150,3.9690844e-4,2.031521,7.6257,536.01,0.4475,0.258824,0.038762,12.592596
1160,1160,3.9685456e-4,2.018128,7.5242,555.54,0.4474,0.277214,0.041360,12.346590
1170,1170,3.9680026e-4,2.087496,8.0647,554.61,0.4470,0.275397,0.042255,13.241405
1180,1180,3.9674548e-4,2.191257,8.9464,538.52,0.4459,0.272108,0.040649,13.964806
1190,1190,3.9669027e-4,2.114670,8.2868,507.16,0.4455,0.263456,0.040338,13.300756
1200,1200,3.9663454e-4,2.101437,8.1779,553.32,0.4451,0.267289,0.040790,13.464244
1210,1210,3.9657843e-4,2.144909,8.5413,520.65,0.4470,0.272520,0.041602,13.357615
1220,1220,3.965218e-4,2.030858,7.6206,554.89,0.4475,0.261740,0.040007,12.368622
1230,1230,3.9646472e-4,2.138868,8.4898,518.93,0.4461,0.278967,0.042264,13.222879
1240,1240,3.9640718e-4,2.191098,8.9450,531.45,0.4480,0.284116,0.041753,13.732968
1250,1250,3.9634918e-4,2.123930,8.3639,557.62,0.4500,0.257143,0.036425,12.458082
1260,1260,3.9629074e-4,2.053568,7.7957,559.33,0.4500,0.261525,0.037475,11.568421
1270,1270,3.9623183e-4,2.114357,8.2843,559.53,0.4502,0.263937,0.037600,12.597282
1280,1280,3.9617246e-4,2.069530,7.9211,553.63,0.4465,0.254927,0.036924,12.426018
1290,1290,3.9611262e-4,2.091694,8.0986,535.12,0.4486,0.267452,0.039446,12.786734
1300,1300,3.9605232e-4,2.196221,8.9910,522.68,0.4536,0.265150,0.040778,12.644738
1310,1310,3.9599158e-4,2.104609,8.2039,554.12,0.4469,0.262534,0.039934,12.950745
1320,1320,3.9593037e-4,2.130481,8.4189,555.69,0.4468,0.267139,0.041003,13.250261
1330,1330,3.958687e-4,2.100883,8.1734,518.63,0.4496,0.254197,0.040427,12.685751
1340,1340,3.9580656e-4,2.154295,8.6218,549.56,0.4417,0.279635,0.039174,14.659151
1350,1350,3.9574396e-4,2.030926,7.6211,541.01,0.4478,0.267961,0.037663,12.800389
1360,1360,3.9568092e-4,2.125558,8.3776,526.64,0.4470,0.270730,0.039075,12.657591
1370,1370,3.9561745e-4,2.140074,8.5001,555.06,0.4466,0.251534,0.037026,12.790682
1380,1380,3.9555348e-4,2.103509,8.1949,532.44,0.4480,0.248733,0.035906,12.190659
1390,1390,3.9548907e-4,2.073560,7.9531,552.40,0.4457,0.266049,0.038735,12.861300
1400,1400,3.9542417e-4,2.112590,8.2696,499.28,0.4427,0.257204,0.039447,13.301500
1410,1410,3.9535883e-4,2.122293,8.3503,550.81,0.4441,0.259307,0.038483,13.154341
1420,1420,3.9529306e-4,2.057305,7.8249,534.69,0.4454,0.270388,0.040125,13.408989
1430,1430,3.952268e-4,2.025128,7.5771,518.24,0.4388,0.282883,0.039112,14.131842
1440,1440,3.951601e-4,2.112865,8.2719,547.90,0.4423,0.281047,0.040393,14.193700
1450,1450,3.950929e-4,2.092110,8.1020,552.01,0.4457,0.276644,0.039702,13.867876
1460,1460,3.9502533e-4,2.098990,8.1579,504.20,0.4442,0.260165,0.037827,14.045649
1470,1470,3.9495726e-4,2.079734,8.0023,539.01,0.4432,0.266960,0.037839,13.582957
1480,1480,3.9488872e-4,2.069730,7.9227,532.00,0.4444,0.258073,0.038007,13.360332
1490,1490,3.948197e-4,2.032776,7.6352,551.63,0.4445,0.267711,0.036317,13.126762
1500,1500,3.9475027e-4,2.052023,7.7836,531.61,0.4449,0.261790,0.036136,12.982025
