step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-7,5.230546,186.8948,9615.31,7.7236,0.267190,0.951450,32.523663
20,20,4e-7,5.194645,180.3042,8729.48,7.0541,0.282876,1.015078,35.049454
30,30,5.9999996e-7,5.216889,184.3598,9260.81,7.4435,0.278678,0.967961,35.230183
40,40,8e-7,5.136498,170.1190,8587.73,7.5007,0.279781,0.973970,34.112522
50,50,1e-6,5.074838,159.9463,9758.73,8.5644,0.252150,0.896857,29.265903
60,60,1.1999999e-6,5.028224,152.6617,10693.96,8.7284,0.246255,0.871890,28.533447
70,70,1.4e-6,4.929419,138.2991,10033.15,8.0732,0.250505,0.892645,30.225550
80,80,1.6e-6,4.866037,129.8055,9519.49,7.6804,0.246830,0.850685,29.383600
90,90,1.7999998e-6,4.805668,122.2011,8737.10,7.0759,0.251252,0.843631,31.445126
100,100,2e-6,4.714262,111.5265,9286.23,7.4710,0.231187,0.761701,28.959766
110,110,2.2e-6,4.653447,104.9461,8786.04,7.6976,0.226450,0.699303,27.632849
120,120,2.3999999e-6,4.440937,84.8544,9380.24,7.5597,0.210792,0.643760,26.923107
130,130,2.6e-6,4.358029,78.1030,8954.42,7.5183,0.201178,0.578378,26.958393
140,140,2.8e-6,4.379800,79.8221,8766.18,7.0559,0.202227,0.577240,28.720585
150,150,2.9999999e-6,4.257875,70.6597,8381.55,6.7485,0.195858,0.513576,29.129192
160,160,3.2e-6,4.262936,71.0182,8463.19,6.8628,0.188936,0.493055,28.848011
170,170,3.4000002e-6,4.145626,63.1571,8411.60,7.2774,0.171579,0.422574,26.204321
180,180,3.5999997e-6,4.050687,57.4369,8854.87,7.1363,0.166392,0.382195,26.032608
190,190,3.7999998e-6,3.997684,54.4718,9052.58,7.3152,0.158540,0.353610,25.388538
200,200,4e-6,3.949864,51.9283,8421.42,7.2785,0.156843,0.337458,25.428532
210,210,4.1999997e-6,3.899565,49.3810,9289.15,7.4757,0.146733,0.290023,24.242352
220,220,4.4e-6,3.842397,46.6371,8864.99,7.1254,0.144785,0.260238,25.297592
230,230,4.6e-6,3.789994,44.2561,8967.73,7.2182,0.141947,0.233452,24.575703
240,240,4.7999997e-6,3.724658,41.4570,9126.25,7.5609,0.135143,0.211418,22.913904
250,250,5e-6,3.685581,39.8683,9349.41,7.5420,0.139259,0.207839,22.805386
260,260,5.2e-6,3.714680,41.0454,8338.53,7.3381,0.143270,0.209051,24.124435
270,270,5.4e-6,3.616137,37.1936,9351.84,7.5774,0.135973,0.168286,22.349611
280,280,5.6e-6,3.603120,36.7126,9897.53,7.9528,0.131183,0.156007,20.778633
290,290,5.7999996e-6,3.585363,36.0664,8535.92,7.1669,0.141630,0.153850,22.975855
300,300,5.9999998e-6,3.519855,33.7795,8075.86,6.4840,0.151622,0.136429,25.357527
310,310,6.2e-6,3.533522,34.2444,8290.35,7.0067,0.146768,0.127760,24.016825
320,320,6.4e-6,3.543285,34.5803,9182.36,7.5988,0.139649,0.128183,21.955372
330,330,6.6e-6,3.465596,31.9955,9406.97,7.5992,0.140514,0.111926,21.161774
340,340,6.8000004e-6,3.439212,31.1624,8271.04,7.2712,0.145464,0.105412,22.140503
350,350,6.9999996e-6,3.396383,29.8559,8814.72,7.4560,0.144725,0.084924,21.739115
360,360,7.1999993e-6,3.393964,29.7838,9262.47,7.4707,0.149366,0.082834,21.381077
370,370,7.4e-6,3.397047,29.8757,9002.17,7.2573,0.156935,0.085999,22.157230
380,380,7.5999997e-6,3.341763,28.2689,9043.67,7.4961,0.151932,0.076637,20.971373
