step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-7,5.202199,181.6712,9970.33,8.0088,0.080635,0.431293,32.355492
20,20,4e-7,5.191445,179.7281,9061.46,7.3224,0.084809,0.432287,35.035744
30,30,5.9999996e-7,5.141937,171.0467,9252.62,7.4370,0.083105,0.418195,34.719036
40,40,8e-7,5.160834,174.3098,8626.28,7.5344,0.084910,0.430401,34.279488
50,50,1e-6,5.057693,157.2274,9709.98,8.5216,0.075454,0.387242,29.179184
60,60,1.1999999e-6,4.958766,142.4180,10121.23,8.2609,0.072914,0.380901,28.130960
70,70,1.4e-6,4.882098,131.9071,9353.87,7.5266,0.073620,0.382351,29.948065
80,80,1.6e-6,4.818904,123.8293,9348.40,7.5424,0.071956,0.369674,29.110687
90,90,1.7999998e-6,4.759977,116.7432,8711.30,7.0550,0.075286,0.371462,31.175648
100,100,2e-6,4.618180,101.3095,9317.31,7.4960,0.069128,0.338306,28.366726
110,110,2.2e-6,4.571567,96.6955,8808.83,7.7175,0.068739,0.321437,27.146641
120,120,2.3999999e-6,4.392658,80.8551,9376.31,7.5565,0.063010,0.300585,26.629017
130,130,2.6e-6,4.338419,76.5864,8931.61,7.4992,0.063102,0.295112,26.830692
140,140,2.8e-6,4.278476,72.1304,8720.73,7.0194,0.060671,0.276411,28.069027
150,150,2.9999999e-6,4.210803,67.4106,8345.83,6.7197,0.060553,0.263905,28.827993
160,160,3.2e-6,4.201552,66.7899,8479.74,6.8762,0.057498,0.247926,28.437229
170,170,3.4000002e-6,4.063530,58.1793,8442.03,7.3037,0.050163,0.208188,25.700397
180,180,3.5999997e-6,3.959805,52.4471,8941.64,7.2062,0.046744,0.193497,25.445911
190,190,3.7999998e-6,3.899910,49.3980,9142.53,7.3879,0.043163,0.174533,24.770691
200,200,4e-6,3.875175,48.1912,8426.48,7.2828,0.042800,0.160706,24.962574
210,210,4.1999997e-6,3.792590,44.3712,9319.03,7.4998,0.036386,0.134057,23.579094
220,220,4.4e-6,3.782574,43.9290,8840.70,7.1059,0.036820,0.134567,24.909964
230,230,4.6e-6,3.721433,41.3236,8927.72,7.1860,0.034365,0.117516,24.138260
240,240,4.7999997e-6,3.670810,39.2837,9161.05,7.5897,0.032284,0.110108,22.581264
250,250,5e-6,3.638601,38.0386,9382.41,7.5686,0.031462,0.104968,22.518353
260,260,5.2e-6,3.676687,39.5153,8197.75,7.2142,0.033607,0.108409,23.880341
270,270,5.4e-6,3.589243,36.2067,9203.24,7.4570,0.028469,0.090884,22.179556
280,280,5.6e-6,3.573769,35.6507,9925.23,7.9751,0.025787,0.079331,20.608820
290,290,5.7999996e-6,3.554899,34.9843,8714.21,7.3166,0.027481,0.081888,22.787184
300,300,5.9999998e-6,3.505936,33.3126,8175.42,6.5639,0.028137,0.078218,25.258139
310,310,6.2e-6,3.527343,34.0334,8228.11,6.9541,0.026860,0.074483,23.973507
320,320,6.4e-6,3.541963,34.5346,9176.94,7.5943,0.025205,0.071909,21.945631
330,330,6.6e-6,3.485159,32.6276,9461.96,7.6436,0.023741,0.063496,21.279949
340,340,6.8000004e-6,3.443999,31.3119,8653.86,7.6078,0.024523,0.061856,22.172651
350,350,6.9999996e-6,3.419761,30.5621,8981.81,7.5974,0.023157,0.057420,21.890842
360,360,7.1999993e-6,3.408454,30.2185,9255.56,7.4651,0.023025,0.059413,21.469675
