step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,1,2.0000002e-6,5.840518,343.9575,1738.76,1.2011,0.053342,0.151575,30.398809
20,2,4.0000004e-6,5.826416,339.1409,1653.06,1.1040,0.053836,0.156176,29.951508
30,3,6e-6,5.790840,327.2879,1954.90,1.0856,0.053697,0.155959,30.408314
40,5,1.0000001e-5,5.708691,301.4761,1698.51,1.0860,0.052913,0.153491,28.981592
50,6,1.2e-5,5.652468,284.9939,1467.25,1.0100,0.052157,0.144919,29.534470
60,7,1.4000001e-5,5.559277,259.6349,1769.02,1.0476,0.050768,0.138062,28.631699
70,8,1.6000002e-5,5.488056,241.7868,1342.75,0.9938,0.050690,0.131574,29.184010
80,10,2.0000001e-5,5.383770,217.8421,1524.48,1.0448,0.047138,0.118847,27.303980
90,11,2.2e-5,5.250719,190.7033,1642.63,0.9870,0.044383,0.105123,27.990789
100,12,2.4e-5,5.180974,177.8559,1525.49,1.0075,0.043015,0.100788,27.130733
110,13,2.6000002e-5,5.052560,156.4224,1548.88,1.0177,0.039152,0.087765,26.077938
120,15,3.0000001e-5,4.968019,143.7419,1431.41,1.0381,0.036860,0.078510,25.640009
130,16,3.2000004e-5,4.891150,133.1066,1741.87,1.0132,0.034222,0.068937,25.198605
140,17,3.4000004e-5,4.819601,123.9156,2028.98,1.0196,0.031858,0.063094,25.167507
150,18,3.6e-5,4.697631,109.6870,1433.81,1.0120,0.030168,0.056488,24.213724
160,20,4.0000003e-5,4.666043,106.2764,1546.39,1.0821,0.028953,0.052483,24.105167
170,21,4.2000003e-5,4.559013,95.4892,2079.02,1.0459,0.026831,0.047049,23.597172
180,22,4.4e-5,4.478566,88.1083,1506.21,1.0270,0.025247,0.043014,23.075794
190,23,4.6000005e-5,4.438575,84.6542,1682.06,0.9922,0.024320,0.039091,23.340914
200,25,5.0000002e-5,4.363081,78.4986,1772.37,1.0240,0.023122,0.037007,22.297218
210,26,5.2000003e-5,4.268228,71.3950,1762.08,1.0770,0.022191,0.034261,21.857870
220,27,5.4000004e-5,4.194022,66.2889,1817.63,1.0539,0.020943,0.031449,21.249598
230,28,5.6000004e-5,4.161439,64.1638,1606.73,0.9895,0.020587,0.030355,21.764261
240,30,6.0000002e-5,4.054881,57.6783,1470.22,1.0527,0.019956,0.028530,21.093737
250,31,6.2e-5,3.981364,53.5901,1860.31,1.0597,0.019076,0.026850,20.342363
260,32,6.400001e-5,3.971530,53.0657,1644.72,0.9979,0.018852,0.026632,20.888752
270,33,6.6e-5,3.861493,47.5363,1505.47,1.0353,0.017791,0.023788,19.527292
280,35,7e-5,3.867156,47.8062,1310.43,0.9810,0.018024,0.024145,20.509043
290,36,7.2e-5,3.761384,43.0079,1490.48,1.0470,0.016840,0.022226,18.942875
300,37,7.4e-5,3.715079,41.0618,1579.52,1.0596,0.016181,0.020943,19.474895
310,38,7.6000004e-5,3.679739,39.6360,1396.25,1.0891,0.015713,0.020097,19.454258
320,40,8.0000005e-5,3.625832,37.5560,1429.61,1.0783,0.015341,0.019813,19.228073
330,41,8.2000006e-5,3.495115,32.9541,1523.50,1.1058,0.014483,0.017996,17.912027
340,42,8.400001e-5,3.498077,33.0518,1888.22,1.0297,0.014151,0.017802,18.399456
350,43,8.6e-5,3.407901,30.2018,1852.61,1.1068,0.013827,0.017265,17.377705
360,45,9.000001e-5,3.343436,28.3162,1701.82,1.0468,0.013499,0.016955,17.098461
370,46,9.200001e-5,3.267287,26.2400,1946.51,1.0190,0.013203,0.016676,16.757147
380,47,9.4e-5,3.290942,26.8682,1798.18,1.0069,0.013345,0.016811,17.268938
390,48,9.6e-5,3.232453,25.3417,1678.00,1.0326,0.013019,0.016609,16.807705
400,50,1.00000005e-4,3.140709,23.1203,1747.30,1.0620,0.013085,0.016715,16.356606
410,51,1.02000005e-4,3.152247,23.3886,1524.04,1.0691,0.013222,0.017104,16.621399
420,52,1.04000006e-4,3.110892,22.4410,1691.30,1.0402,0.013048,0.016850,15.975540
430,53,1.06e-4,2.965582,19.4060,1397.61,1.0208,0.012801,0.016792,15.100329
440,55,1.1000001e-4,2.959025,19.2792,1301.80,1.0270,0.013051,0.017204,15.091187
450,56,1.1200001e-4,2.991016,19.9059,1930.57,1.0468,0.012988,0.017553,15.793284
460,57,1.14e-4,2.886657,17.9333,1672.01,1.0394,0.013014,0.017831,15.336644
470,58,1.16e-4,2.892370,18.0360,1996.10,1.0328,0.012938,0.017624,14.938375
480,60,1.20000004e-4,2.803621,16.5043,1330.03,1.0301,0.012833,0.017699,14.431386
490,61,1.22000005e-4,2.737148,15.4429,1400.94,1.0327,0.012973,0.018198,14.187117
500,62,1.24e-4,2.789801,16.2778,1789.13,1.0494,0.013311,0.018930,14.871368
510,63,1.26e-4,2.741939,15.5170,1537.61,1.0367,0.013535,0.019276,14.238620
520,65,1.3e-4,2.640608,14.0217,2020.91,1.0536,0.013125,0.018827,13.451468
530,66,1.32e-4,2.548490,12.7878,1770.58,1.0442,0.013329,0.019408,12.988808
540,67,1.34e-4,2.609144,13.5874,1419.38,0.9948,0.013705,0.020262,13.770262
550,68,1.3600002e-4,2.532317,12.5826,1545.69,1.0000,0.013399,0.019328,13.247691
560,70,1.4e-4,2.523874,12.4768,1535.53,1.0621,0.013453,0.019642,13.129321
570,71,1.42e-4,2.453696,11.6313,2055.76,0.9873,0.013280,0.019554,13.000410
580,72,1.44e-4,2.385894,10.8688,1539.68,1.0227,0.013236,0.019105,12.333494
590,73,1.46e-4,2.396623,10.9860,1389.00,1.0125,0.014004,0.020609,12.778496
600,75,1.5e-4,2.343718,10.4199,1515.14,1.0605,0.014083,0.020592,12.273619
610,76,1.5200001e-4,2.360294,10.5941,1513.06,1.0853,0.013951,0.020504,12.290105
620,77,1.5400001e-4,2.301120,9.9854,1578.32,1.0619,0.013927,0.020653,12.038687
630,78,1.56e-4,2.271927,9.6981,1743.83,1.0243,0.013733,0.020478,11.665073
640,80,1.6000001e-4,2.236693,9.3623,1912.60,1.0403,0.013927,0.020729,11.509458
650,81,1.6200001e-4,2.224338,9.2474,1404.05,1.0378,0.013971,0.021471,11.614415
660,82,1.6400001e-4,2.216300,9.1733,1933.85,1.0195,0.014071,0.021425,11.761579
670,83,1.6600001e-4,2.153910,8.6185,1928.37,1.0599,0.013915,0.021414,11.151918
680,85,1.7000001e-4,2.223687,9.2413,1850.33,1.0510,0.014445,0.022682,11.371489
690,86,1.72e-4,2.111068,8.2571,1400.40,1.0136,0.014161,0.022033,10.918488
700,87,1.74e-4,2.071867,7.9396,1747.05,1.0129,0.013835,0.021379,10.704986
710,88,1.76e-4,2.110051,8.2487,1936.53,1.0377,0.014138,0.022161,11.214181
720,90,1.8000002e-4,2.019278,7.5329,1479.19,1.0869,0.014046,0.022112,10.241423
730,91,1.8200002e-4,2.032617,7.6340,1539.11,0.9902,0.014065,0.022120,10.753367
740,92,1.8400002e-4,1.971557,7.1818,1860.02,1.0232,0.013838,0.022098,10.155004
750,93,1.86e-4,1.997716,7.3722,1862.42,1.0142,0.014007,0.022555,10.322820
760,95,1.9e-4,1.986499,7.2900,1608.48,1.0312,0.014262,0.022757,10.465433
770,96,1.92e-4,2.024376,7.5714,1476.51,1.0641,0.014883,0.024131,10.818350
780,97,1.9400001e-4,1.898113,6.6733,1766.14,1.0111,0.014392,0.023599,10.028789
790,98,1.9600001e-4,1.852405,6.3751,1467.97,1.0641,0.014291,0.023925,9.585443
800,100,2.0000001e-4,1.965791,7.1406,1612.13,1.0792,0.015160,0.025135,10.490297
810,101,2.0200001e-4,1.886636,6.5971,1908.87,1.0676,0.014566,0.024352,9.829012
820,102,2.0400001e-4,1.790890,5.9948,1646.32,1.0369,0.013849,0.023301,9.128370
830,103,2.0600001e-4,1.798001,6.0376,1536.84,1.0497,0.014067,0.023819,9.310227
840,105,2.1000001e-4,1.773590,5.8920,1273.37,1.1067,0.014140,0.023959,9.010979
850,106,2.12e-4,1.765878,5.8467,2018.97,1.0592,0.014020,0.022897,9.032381
860,107,2.14e-4,1.801578,6.0592,1658.09,1.0347,0.014501,0.024261,9.335315
870,108,2.1600001e-4,1.742346,5.7107,1960.21,1.0713,0.014127,0.023573,8.960701
880,110,2.2000002e-4,1.816280,6.1489,1565.84,1.0924,0.014587,0.024387,9.516622
890,111,2.2200002e-4,1.738309,5.6877,1885.21,1.0794,0.014501,0.024235,8.977445
900,112,2.2400002e-4,1.740824,5.7020,1632.24,1.0077,0.014504,0.024267,9.184618
910,113,2.26e-4,1.697560,5.4606,1520.60,1.0918,0.014693,0.025002,8.836988
920,115,2.3e-4,1.748661,5.7469,1923.56,1.0856,0.014437,0.024772,9.000424
930,116,2.32e-4,1.709605,5.5268,1533.53,1.0050,0.014656,0.024257,8.919070
940,117,2.34e-4,1.682486,5.3789,1507.60,1.0570,0.014475,0.024297,8.877812
950,118,2.3600002e-4,1.600415,4.9551,1493.97,1.0728,0.013959,0.024059,8.240870
960,120,2.4000001e-4,1.569604,4.8047,1516.36,1.0918,0.013925,0.023585,8.063886
970,121,2.4200001e-4,1.674652,5.3369,1578.47,1.0972,0.015074,0.025477,8.768344
980,122,2.4400001e-4,1.650607,5.2101,1584.76,1.0573,0.014838,0.024856,8.777953
990,123,2.46e-4,1.590023,4.9039,1545.09,1.0904,0.014280,0.024424,8.274017
1000,125,2.5e-4,1.766686,5.8514,1595.16,1.0358,0.015170,0.025565,9.667316
1010,126,2.52e-4,1.571223,4.8125,1675.20,1.1006,0.014005,0.023552,8.159124
1020,127,2.54e-4,1.604018,4.9730,1782.62,1.0600,0.014500,0.024756,8.361320
1030,128,2.5600003e-4,1.526034,4.5999,2144.45,1.0317,0.014070,0.024140,7.882842
1040,130,2.6e-4,1.488243,4.4293,1723.40,1.0424,0.013877,0.023895,7.753719
1050,131,2.6200002e-4,1.497084,4.4686,1786.64,1.0156,0.013880,0.024287,7.690818
1060,132,2.64e-4,1.648357,5.1984,1903.09,1.0410,0.014773,0.025302,8.496283
1070,133,2.6600002e-4,1.549753,4.7103,1652.82,1.0078,0.014591,0.025340,8.170755
1080,135,2.7000002e-4,1.525771,4.5987,1418.83,0.9972,0.014549,0.025870,7.980802
1090,136,2.7200003e-4,1.559706,4.7574,1826.42,1.0096,0.014662,0.026933,8.131617
1100,137,2.7400002e-4,1.534330,4.6382,1633.84,0.9961,0.014089,0.025124,8.045215
1110,138,2.76e-4,1.427325,4.1675,1520.72,1.0448,0.013565,0.024438,7.287144
1120,140,2.8e-4,1.461230,4.3113,1982.95,1.0490,0.013551,0.024103,7.381579
1130,141,2.8200002e-4,1.443931,4.2373,1475.10,1.0253,0.014657,0.026670,7.473105
1140,142,2.84e-4,1.463320,4.3203,1533.80,1.0134,0.014731,0.026554,7.596142
1150,143,2.86e-4,1.385256,3.9958,1343.67,1.0939,0.014707,0.026274,7.087241
