step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.349578,210.5194,734.38,0.5899,0.195804,0.263666,33.246925
20,20,4e-5,4.886739,132.5207,718.73,0.5808,0.192882,0.250857,32.956703
30,30,6.0000002e-5,4.415532,82.7258,718.13,0.5772,0.175729,0.215336,29.896469
40,40,8e-5,3.877709,48.3134,661.73,0.5780,0.153631,0.172367,25.730545
50,50,1e-4,3.617629,37.2491,665.38,0.5839,0.127232,0.129010,20.875401
60,60,1.20000004e-4,3.396715,29.8658,718.05,0.5861,0.113779,0.103617,19.274899
70,70,1.3999999e-4,3.302075,27.1690,720.46,0.5797,0.110648,0.087695,20.250513
80,80,1.6e-4,3.204599,24.6456,716.88,0.5784,0.116503,0.084560,19.370434
90,90,1.7999999e-4,3.133787,22.9608,711.06,0.5759,0.138548,0.093679,20.518583
100,100,2e-4,3.139678,23.0964,721.09,0.5801,0.144174,0.090488,19.289001
110,110,2.2e-4,3.103733,22.2810,661.68,0.5797,0.165602,0.097601,18.439116
120,120,2.4000001e-4,3.056753,21.2584,717.50,0.5782,0.191750,0.103435,18.536339
130,130,2.5999997e-4,3.030160,20.7005,690.09,0.5794,0.188480,0.117917,18.741924
140,140,2.7999998e-4,3.122306,22.6987,719.27,0.5789,0.227707,0.133667,20.478727
150,150,2.9999999e-4,3.076948,21.6921,714.76,0.5755,0.286431,0.158957,21.060091
160,160,3.2e-4,3.015339,20.3960,711.08,0.5766,0.268260,0.128798,20.392935
170,170,3.4e-4,2.959719,19.2926,671.71,0.5811,0.254188,0.116553,18.703289
180,180,3.5999998e-4,2.912907,18.4102,720.76,0.5809,0.269427,0.123322,18.715298
190,190,3.7999998e-4,2.951061,19.1262,731.29,0.5909,0.281287,0.123883,18.736549
200,200,3.9990622e-4,2.929961,18.7269,681.66,0.5891,0.272424,0.116527,18.874355
210,210,3.998966e-4,2.861774,17.4925,733.17,0.5900,0.250342,0.101813,17.787680
220,220,3.9988657e-4,2.806114,16.5455,729.54,0.5864,0.306430,0.125246,18.475885
230,230,3.99876e-4,2.765040,15.8797,732.10,0.5893,0.326902,0.130072,17.942562
240,240,3.99865e-4,2.718940,15.1642,713.75,0.5913,0.336111,0.124548,16.722212
250,250,3.9985348e-4,2.699389,14.8706,733.08,0.5914,0.304970,0.107650,16.698219
260,260,3.9984155e-4,2.754941,15.7201,668.82,0.5886,0.355319,0.127480,17.894871
270,270,3.9982912e-4,2.660877,14.3088,728.53,0.5903,0.311731,0.103797,16.434938
280,280,3.9981626e-4,2.616076,13.6819,743.84,0.5977,0.305246,0.096997,15.093279
