step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.216704,184.3256,1245.75,1.0007,0.156247,0.496846,32.382988
20,20,4e-5,4.322161,75.3513,1171.42,0.9466,0.140337,0.340055,29.109741
30,30,6.0000002e-5,3.779132,43.7780,1183.90,0.9516,0.108695,0.198852,25.580357
40,40,8e-5,3.520711,33.8084,1096.30,0.9575,0.094374,0.121838,23.369894
50,50,1e-4,3.392274,29.7335,1159.06,1.0172,0.083307,0.096332,19.569029
60,60,1.20000004e-4,3.260978,26.0750,1255.33,1.0246,0.077937,0.078841,18.511923
70,70,1.3999999e-4,3.211970,24.8279,1234.97,0.9937,0.078339,0.068389,19.699162
80,80,1.6e-4,3.141592,23.1407,1227.67,0.9905,0.079811,0.062563,18.991259
90,90,1.7999999e-4,3.109040,22.3995,1188.46,0.9625,0.091218,0.065092,20.354349
100,100,2e-4,3.122824,22.7104,1232.55,0.9916,0.095197,0.063525,19.186659
110,110,2.2e-4,3.116944,22.5773,1142.96,1.0014,0.097335,0.061199,18.519842
120,120,2.4000001e-4,3.071556,21.5755,1235.61,0.9958,0.096082,0.054389,18.620974
130,130,2.5999997e-4,3.080961,21.7793,1174.61,0.9862,0.099169,0.051511,19.055252
140,140,2.7999998e-4,3.163753,23.6592,1191.42,0.9590,0.100427,0.050362,20.752905
150,150,2.9999999e-4,3.122054,22.6929,1165.18,0.9382,0.103257,0.044667,21.367765
160,160,3.2e-4,3.123894,22.7347,1180.04,0.9569,0.109641,0.048756,21.127607
170,170,3.4e-4,3.093172,22.0469,1128.07,0.9760,0.095996,0.047597,19.552448
180,180,3.5999998e-4,3.020969,20.5112,1195.66,0.9636,0.091817,0.037528,19.406286
190,190,3.7999998e-4,3.040292,20.9113,1208.88,0.9769,0.097211,0.040844,19.307264
200,200,3.9990622e-4,3.050148,21.1185,1117.03,0.9654,0.100919,0.045112,19.646515
210,210,3.998966e-4,2.996371,20.0128,1219.07,0.9811,0.099931,0.038726,18.623566
220,220,3.9988657e-4,2.978452,19.6574,1193.74,0.9595,0.104985,0.034413,19.608372
230,230,3.99876e-4,2.991605,19.9176,1196.98,0.9635,0.135803,0.043356,19.400608
240,240,3.99865e-4,2.932255,18.7699,1192.29,0.9878,0.098810,0.032123,18.041426
250,250,3.9985348e-4,2.921741,18.5736,1226.62,0.9895,0.111727,0.040206,18.075548
260,260,3.9984155e-4,2.971487,19.5209,1104.01,0.9716,0.123786,0.048288,19.301136
270,270,3.9982912e-4,2.863132,17.5163,1217.05,0.9861,0.140767,0.056519,17.686926
280,280,3.9981626e-4,2.846879,17.2339,1263.34,1.0151,0.152643,0.046329,16.428556
290,290,3.998029e-4,2.842024,17.1504,1151.86,0.9671,0.159109,0.042605,18.215946
300,300,3.9978907e-4,2.784226,16.1873,1154.69,0.9271,0.185390,0.035548,20.062078
310,310,3.9977476e-4,2.897692,18.1322,1129.43,0.9546,0.183876,0.043945,19.705652
320,320,3.9976003e-4,2.903603,18.2397,1197.89,0.9913,0.118586,0.024510,18.002373
330,330,3.9974478e-4,2.754214,15.7087,1222.86,0.9879,0.139890,0.022892,16.809622
340,340,3.997291e-4,2.768232,15.9304,1101.23,0.9681,0.170383,0.033542,17.822811
350,350,3.9971294e-4,2.721593,15.2045,1150.71,0.9733,0.146056,0.029317,17.426050
