step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.037122,154.0261,723.80,0.5814,0.122365,0.640422,31.289474
20,20,4e-5,4.576689,97.1921,673.14,0.5439,0.101318,0.415818,30.852213
30,30,6.0000002e-5,4.190260,66.0400,687.00,0.5522,0.075670,0.242515,28.345127
40,40,8e-5,3.957949,52.3499,622.40,0.5436,0.065431,0.165294,26.275793
50,50,1e-4,3.814137,45.3376,681.66,0.5982,0.057050,0.121395,22.006121
60,60,1.20000004e-4,3.679485,39.6260,739.06,0.6032,0.054174,0.095622,20.885113
70,70,1.3999999e-4,3.606387,36.8327,708.24,0.5699,0.052053,0.076137,22.119390
80,80,1.6e-4,3.527907,34.0526,711.38,0.5739,0.053211,0.067837,21.313450
90,90,1.7999999e-4,3.457335,31.7323,675.95,0.5474,0.056099,0.063201,22.624990
100,100,2e-4,3.390094,29.6687,711.61,0.5725,0.055748,0.060332,20.824558
110,110,2.2e-4,3.337821,28.1577,665.88,0.5834,0.057437,0.054569,19.828955
120,120,2.4000001e-4,3.250394,25.8005,715.68,0.5768,0.057512,0.050098,19.705982
130,130,2.5999997e-4,3.204945,24.6541,684.73,0.5749,0.059613,0.047985,19.820400
140,140,2.7999998e-4,3.267167,26.2369,679.02,0.5465,0.069687,0.054452,21.432089
150,150,2.9999999e-4,3.222263,25.0848,655.17,0.5275,0.077606,0.049684,22.055777
160,160,3.2e-4,3.214223,24.8839,663.98,0.5384,0.083996,0.050976,21.741810
170,170,3.4e-4,3.178331,24.0067,647.52,0.5602,0.078685,0.048392,20.093155
180,180,3.5999998e-4,3.092808,22.0389,685.25,0.5523,0.084917,0.044175,19.866037
190,190,3.7999998e-4,3.106768,22.3487,695.01,0.5616,0.111527,0.053302,19.724430
200,200,3.9990622e-4,3.078982,21.7363,640.36,0.5534,0.130712,0.056351,19.820271
210,210,3.998966e-4,3.042316,20.9537,700.80,0.5640,0.137644,0.049347,18.911146
220,220,3.9988657e-4,3.044688,21.0035,678.28,0.5452,0.131659,0.038259,20.046391
230,230,3.99876e-4,3.003952,20.1651,682.10,0.5490,0.149277,0.037980,19.484785
240,240,3.99865e-4,2.954011,19.1828,689.49,0.5712,0.168842,0.041918,18.172869
250,250,3.9985348e-4,2.948774,19.0826,702.84,0.5670,0.169454,0.040987,18.244694
260,260,3.9984155e-4,2.935663,18.8340,628.58,0.5532,0.238951,0.055506,19.062916
270,270,3.9982912e-4,2.857823,17.4236,703.15,0.5697,0.224205,0.045525,17.656445
280,280,3.9981626e-4,2.769516,15.9509,733.20,0.5891,0.259527,0.044816,15.971377
290,290,3.998029e-4,2.776830,16.0680,642.59,0.5395,0.313062,0.051591,17.818533
300,300,3.9978907e-4,2.781515,16.1435,623.89,0.5009,0.353531,0.056717,20.035917
310,310,3.9977476e-4,2.819727,16.7723,615.63,0.5203,0.319839,0.050567,19.170109
320,320,3.9976003e-4,2.775599,16.0482,672.02,0.5561,0.306158,0.045263,17.206156
330,330,3.9974478e-4,2.716054,15.1205,692.32,0.5593,0.319539,0.046767,16.582584
340,340,3.997291e-4,2.690052,14.7324,615.65,0.5412,0.343481,0.055128,17.313009
350,350,3.9971294e-4,2.681061,14.6006,651.57,0.5511,0.333841,0.048496,17.150211
360,360,3.996963e-4,2.680441,14.5915,694.01,0.5598,0.325032,0.046323,16.888103
370,370,3.9967918e-4,2.670713,14.4503,677.69,0.5463,0.319088,0.039977,17.417765
380,380,3.996616e-4,2.636291,13.9613,677.13,0.5613,0.330866,0.041944,16.546200
390,390,3.9964358e-4,2.653942,14.2099,687.98,0.5542,0.323549,0.044081,16.985023
400,400,3.9962507e-4,2.663173,14.3417,662.59,0.5497,0.323911,0.044860,17.209110
410,410,3.996061e-4,2.603463,13.5104,638.43,0.5500,0.295972,0.038381,16.771091
420,420,3.9958666e-4,2.665268,14.3718,686.86,0.5529,0.321497,0.041826,16.960461
430,430,3.9956675e-4,2.567056,13.0274,688.74,0.5532,0.324486,0.041948,16.477293
440,440,3.9954635e-4,2.577837,13.1686,670.45,0.5439,0.323626,0.041195,16.829128
450,450,3.995255e-4,2.635167,13.9456,662.22,0.5668,0.300409,0.036576,16.358698
460,460,3.995042e-4,2.644212,14.0723,758.35,0.6094,0.288259,0.036735,14.801743
470,470,3.9948244e-4,2.645078,14.0845,646.27,0.5708,0.318927,0.041804,15.973935
480,480,3.9946017e-4,2.628067,13.8470,634.37,0.5109,0.332681,0.042495,18.835594
490,490,3.9943747e-4,2.636418,13.9631,680.06,0.5811,0.313096,0.040140,15.944514
500,500,3.9941428e-4,2.636840,13.9690,721.77,0.5807,0.297929,0.042954,16.024586
510,510,3.993906e-4,2.595702,13.4060,761.93,0.6127,0.279215,0.038378,14.623996
520,520,3.9936652e-4,2.600903,13.4759,735.03,0.5918,0.290318,0.039821,15.550444
530,530,3.9934192e-4,2.638612,13.9938,678.86,0.5530,0.277418,0.042020,16.995899
540,540,3.9931686e-4,2.632418,13.9074,682.67,0.5517,0.268655,0.044555,17.070215
550,550,3.9929137e-4,2.591712,13.3526,677.61,0.5462,0.267005,0.042594,17.038200
560,560,3.9926538e-4,2.665808,14.3796,658.45,0.5589,0.301452,0.044361,16.732462
570,570,3.9923892e-4,2.579574,13.1915,629.12,0.5520,0.301438,0.034030,16.759010
580,580,3.99212e-4,2.552011,12.8329,746.57,0.6015,0.277458,0.030972,14.637158
590,590,3.9918462e-4,2.521748,12.4503,646.62,0.5557,0.296226,0.032133,16.098888
600,600,3.9915676e-4,2.585525,13.2702,657.71,0.5299,0.308609,0.034137,17.609095
610,610,3.9912842e-4,2.607254,13.5618,608.65,0.5698,0.286264,0.034632,16.175447
620,620,3.9909966e-4,2.536567,12.6362,664.23,0.5346,0.296192,0.036136,17.175478
630,630,3.9907038e-4,2.582034,13.2240,650.49,0.5574,0.305895,0.034163,16.248863
640,640,3.9904067e-4,2.555276,12.8749,656.18,0.5736,0.285973,0.032199,15.377515
650,650,3.9901052e-4,2.591572,13.3507,691.38,0.5582,0.273198,0.029901,16.254520
660,660,3.9897984e-4,2.530894,12.5647,686.09,0.5528,0.282436,0.029192,16.113718
670,670,3.9894873e-4,2.504728,12.2402,600.76,0.5539,0.304746,0.030177,16.268925
680,680,3.9891715e-4,2.520077,12.4296,698.18,0.5621,0.301713,0.031224,15.863688
690,690,3.9888508e-4,2.558563,12.9172,687.57,0.5619,0.295672,0.030554,16.123768
700,700,3.9885257e-4,2.596191,13.4126,604.16,0.5291,0.299816,0.028738,17.802219
710,710,3.9881957e-4,2.507212,12.2707,650.75,0.5503,0.286983,0.029515,16.369095
720,720,3.9878616e-4,2.518541,12.4105,668.82,0.5399,0.283054,0.029845,16.585579
730,730,3.9875222e-4,2.549654,12.8027,673.70,0.5925,0.252278,0.027601,14.932132
740,740,3.9871782e-4,2.536758,12.6386,728.43,0.5861,0.235623,0.026548,15.000162
750,750,3.9868298e-4,2.498532,12.1646,683.93,0.5584,0.278690,0.031781,15.685254
760,760,3.9864768e-4,2.516801,12.3889,686.07,0.5527,0.287605,0.033845,16.224714
770,770,3.986119e-4,2.566288,13.0174,614.36,0.5251,0.292067,0.035727,17.575539
780,780,3.9857565e-4,2.557458,12.9030,666.13,0.5351,0.270896,0.031485,17.211918
790,790,3.9853895e-4,2.486603,12.0204,670.72,0.5452,0.285065,0.034327,16.425041
800,800,3.985018e-4,2.563288,12.9784,648.79,0.5221,0.278276,0.032137,17.689667
810,810,3.9846415e-4,2.461557,11.7231,659.43,0.5324,0.250712,0.029776,16.580374
820,820,3.9842605e-4,2.518114,12.4052,667.76,0.5378,0.252719,0.030680,16.782047
830,830,3.9838746e-4,2.571951,13.0913,671.13,0.5405,0.268035,0.030279,17.024239
840,840,3.9834843e-4,2.612586,13.6343,675.33,0.5433,0.289715,0.034264,17.136412
850,850,3.9830897e-4,2.547171,12.7709,659.01,0.5302,0.294051,0.038517,17.349125
860,860,3.9826898e-4,2.509104,12.2939,643.42,0.5172,0.298928,0.033402,17.742115
870,870,3.9822856e-4,2.507022,12.2683,669.82,0.5389,0.285160,0.033601,16.633686
880,880,3.9818764e-4,2.563964,12.9872,649.39,0.5655,0.259907,0.032800,16.456345
890,890,3.981463e-4,2.587589,13.2977,673.29,0.5548,0.270794,0.032743,16.476635
900,900,3.981045e-4,2.510285,12.3084,667.59,0.5376,0.254063,0.028091,16.668724
910,910,3.980622e-4,2.429460,11.3528,723.22,0.5829,0.252432,0.026703,14.574274
920,920,3.9801945e-4,2.478067,11.9182,663.96,0.5487,0.271181,0.029239,16.042850
930,930,3.9797623e-4,2.509427,12.2979,736.90,0.5915,0.262470,0.031730,14.641062
940,940,3.9793257e-4,2.402924,11.0555,719.80,0.5788,0.259974,0.029736,14.519542
950,950,3.9788842e-4,2.465190,11.7657,704.19,0.5737,0.273848,0.029882,15.071406
960,960,3.9784383e-4,2.636119,13.9589,676.43,0.5452,0.300357,0.035446,17.015348
970,970,3.9779875e-4,2.472585,11.8531,642.67,0.5400,0.295466,0.035112,16.473766
980,980,3.9775323e-4,2.458570,11.6881,680.40,0.5475,0.276522,0.030197,15.910794
990,990,3.9770725e-4,2.438310,11.4537,642.97,0.5691,0.266042,0.027750,15.444939
1000,1000,3.9766077e-4,2.469911,11.8214,676.22,0.5710,0.262755,0.027496,15.251988
1010,1010,3.9761385e-4,2.434767,11.4132,684.73,0.5688,0.257498,0.026392,15.016516
