step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,5,2e-7,5.063950,158.2142,750.68,0.6030,0.142244,0.511502,31.493418
20,10,4e-7,5.032766,153.3567,694.47,0.5612,0.148747,0.531522,33.954273
30,15,5.9999996e-7,5.046807,155.5251,705.97,0.5674,0.152447,0.558279,34.063454
40,20,8e-7,5.060435,157.6591,647.62,0.5656,0.151957,0.555100,33.603909
50,25,1e-6,5.009555,149.8380,713.30,0.6260,0.137988,0.495127,28.906027
60,30,1.1999999e-6,4.990558,147.0184,782.91,0.6390,0.136401,0.498002,28.332895
70,35,1.4e-6,5.008123,149.6237,744.67,0.5992,0.141959,0.518015,30.736322
80,40,1.6e-6,4.976181,144.9198,748.32,0.6037,0.141554,0.517022,30.058634
90,45,1.7999998e-6,4.979717,145.4332,703.61,0.5698,0.146044,0.524813,32.581970
100,50,2e-6,4.967858,143.7188,744.69,0.5991,0.142424,0.513350,30.522671
110,55,2.2e-6,4.947546,140.8289,697.76,0.6113,0.140137,0.503333,29.392370
120,60,2.3999999e-6,4.898223,134.0513,745.66,0.6009,0.141879,0.517531,29.699106
130,65,2.6e-6,4.882696,131.9860,715.85,0.6010,0.146792,0.538730,30.201035
140,70,2.8e-6,4.880825,131.7392,707.88,0.5698,0.142058,0.503471,32.012897
150,75,2.9999999e-6,4.876225,131.1348,681.20,0.5485,0.144590,0.506837,33.378418
160,80,3.2e-6,4.857063,128.6458,688.04,0.5579,0.145210,0.522697,32.874474
170,85,3.4000002e-6,4.830916,125.3258,677.22,0.5859,0.137878,0.483777,30.555607
180,90,3.5999997e-6,4.772262,118.1862,711.25,0.5732,0.136147,0.469719,30.658915
190,95,3.7999998e-6,4.747619,115.3094,727.10,0.5876,0.135592,0.473898,30.155819
200,100,4e-6,4.740921,114.5396,672.64,0.5813,0.132165,0.450314,30.547131
210,105,4.1999997e-6,4.677666,107.5188,736.18,0.5925,0.126974,0.441633,29.097702
220,110,4.4e-6,4.684407,108.2461,710.99,0.5715,0.128927,0.435484,30.841045
230,115,4.6e-6,4.626581,102.1642,711.35,0.5726,0.125480,0.415349,30.031805
240,120,4.7999997e-6,4.618033,101.2946,723.68,0.5996,0.120013,0.403072,28.391155
250,125,5e-6,4.615811,101.0697,738.49,0.5957,0.118900,0.396470,28.556721
260,130,5.2e-6,4.589696,98.4645,656.53,0.5778,0.122045,0.393760,29.803555
