step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-7,5.178350,177.3899,1249.80,1.0039,0.167031,0.551830,32.196167
20,20,4e-7,5.171667,176.2083,1147.12,0.9270,0.174744,0.588108,34.899837
30,30,5.9999996e-7,5.154031,173.1279,1151.27,0.9254,0.172719,0.571690,34.809784
40,40,8e-7,5.148296,172.1380,1065.60,0.9307,0.172876,0.566389,34.201172
50,50,1e-6,5.118990,167.1664,1162.08,1.0199,0.154403,0.503476,29.533859
60,60,1.1999999e-6,5.123839,167.9790,1271.10,1.0375,0.153760,0.501928,29.088720
70,70,1.4e-6,5.080225,160.8102,1221.43,0.9828,0.160756,0.526885,31.162868
80,80,1.6e-6,5.088060,162.0751,1228.51,0.9912,0.162776,0.543403,30.728125
90,90,1.7999998e-6,5.053174,156.5185,1156.03,0.9362,0.170690,0.563507,33.071018
100,100,2e-6,5.003566,148.9433,1217.68,0.9797,0.164017,0.540549,30.733555
110,110,2.2e-6,4.950161,141.1977,1138.17,0.9972,0.156618,0.500969,29.410782
120,120,2.3999999e-6,4.905696,135.0569,1218.74,0.9822,0.158900,0.522768,29.743200
130,130,2.6e-6,4.886415,132.4778,1174.09,0.9858,0.161893,0.518842,30.222712
140,140,2.8e-6,4.849422,127.6665,1167.51,0.9397,0.164665,0.526306,31.813778
150,150,2.9999999e-6,4.851295,127.9060,1124.13,0.9051,0.168259,0.530267,33.209808
160,160,3.2e-6,4.783804,119.5583,1136.56,0.9216,0.164118,0.514451,32.394634
170,170,3.4000002e-6,4.739895,114.4222,1108.10,0.9587,0.154150,0.478100,29.967306
180,180,3.5999997e-6,4.667614,106.4435,1172.91,0.9453,0.156676,0.490748,29.988840
190,190,3.7999998e-6,4.602220,99.7054,1187.48,0.9596,0.149613,0.462005,29.232885
200,200,4e-6,4.547317,94.3788,1100.28,0.9510,0.148403,0.450809,29.300617
210,210,4.1999997e-6,4.522559,92.0709,1203.28,0.9684,0.141642,0.422378,28.119152
220,220,4.4e-6,4.440816,84.8441,1163.81,0.9354,0.143168,0.422103,29.233454
230,230,4.6e-6,4.400760,81.5128,1170.39,0.9421,0.140994,0.411558,28.562241
240,240,4.7999997e-6,4.331272,76.0410,1178.38,0.9763,0.132335,0.380080,26.641846
250,250,5e-6,4.301791,73.8319,1219.82,0.9840,0.130191,0.362979,26.621771
