step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,5,2e-7,4.931449,138.5802,842.16,0.6765,0.149306,0.583098,30.662008
20,10,4e-7,4.827113,124.8500,770.00,0.6222,0.160147,0.639377,32.576511
30,15,5.9999996e-7,4.914859,136.3001,765.20,0.6150,0.164172,0.623152,33.194004
40,20,8e-7,4.867293,129.9687,711.00,0.6210,0.157624,0.620925,32.330254
50,25,1e-6,4.792936,120.6551,780.56,0.6850,0.143375,0.526994,27.657099
60,30,1.1999999e-6,4.852311,128.0359,841.43,0.6868,0.137776,0.500385,27.545538
70,35,1.4e-6,4.781855,119.3254,861.08,0.6929,0.142141,0.499340,29.329412
80,40,1.6e-6,4.753745,116.0180,816.37,0.6587,0.140753,0.480251,28.713581
90,45,1.7999998e-6,4.808385,122.5336,759.61,0.6152,0.145283,0.513292,31.430780
100,50,2e-6,4.693139,109.1954,799.93,0.6436,0.134024,0.452404,28.842594
110,55,2.2e-6,4.716722,111.8011,756.24,0.6626,0.132558,0.461599,28.027554
120,60,2.3999999e-6,4.629648,102.4780,808.67,0.6517,0.128233,0.407504,28.057175
130,65,2.6e-6,4.633034,102.8255,763.55,0.6411,0.129705,0.389887,28.655462
140,70,2.8e-6,4.625425,102.0462,761.12,0.6126,0.129087,0.387034,30.348042
150,75,2.9999999e-6,4.615966,101.0854,737.15,0.5935,0.134228,0.380153,31.600611
160,80,3.2e-6,4.541775,93.8572,747.39,0.6061,0.126369,0.340369,30.733677
170,85,3.4000002e-6,4.517724,91.6268,724.74,0.6270,0.114259,0.327514,28.575989
180,90,3.5999997e-6,4.483867,88.5765,760.15,0.6126,0.115016,0.308158,28.810329
190,95,3.7999998e-6,4.470687,87.4168,767.40,0.6201,0.112422,0.287760,28.394873
200,100,4e-6,4.453296,85.9096,714.77,0.6178,0.115843,0.315422,28.705379
210,105,4.1999997e-6,4.381810,79.9827,782.59,0.6298,0.103213,0.268157,27.243244
220,110,4.4e-6,4.386590,80.3659,765.72,0.6155,0.108733,0.267553,28.867655
230,115,4.6e-6,4.362277,78.4355,768.58,0.6186,0.103581,0.238373,28.309998
240,120,4.7999997e-6,4.342648,76.9109,782.17,0.6480,0.102365,0.244376,26.699728
250,125,5e-6,4.327592,75.7617,793.71,0.6403,0.095571,0.217977,26.764277
260,130,5.2e-6,4.363641,78.5426,703.02,0.6187,0.101040,0.244241,28.330740
270,135,5.4e-6,4.302920,73.9153,794.74,0.6439,0.092083,0.226087,26.590302
280,140,5.6e-6,4.293785,73.2432,847.66,0.6811,0.089625,0.187328,24.753384
290,145,5.7999996e-6,4.277223,72.0401,740.78,0.6220,0.096529,0.229413,27.426870
300,150,5.9999998e-6,4.224735,68.3564,710.89,0.5708,0.100963,0.223836,30.438238
310,155,6.2e-6,4.240573,69.4477,695.69,0.5880,0.102999,0.208597,28.808594
320,160,6.4e-6,4.247504,69.9307,764.51,0.6327,0.092549,0.207828,26.292730
330,165,6.6e-6,4.205268,67.0386,781.34,0.6312,0.083982,0.156109,25.681957
340,170,6.8000004e-6,4.180641,65.4077,696.01,0.6119,0.095260,0.200445,26.922516
350,175,6.9999996e-6,4.174462,65.0049,744.00,0.6293,0.093470,0.189174,26.712917
360,180,7.1999993e-6,4.144810,63.1056,773.67,0.6240,0.090253,0.173734,26.106409
370,185,7.4e-6,4.125143,61.8766,758.66,0.6116,0.089583,0.165731,26.905216
380,190,7.5999997e-6,4.106566,60.7378,757.20,0.6276,0.087835,0.161215,25.763702
390,195,7.8e-6,4.074847,58.8415,767.63,0.6184,0.089619,0.151849,26.070786
400,200,8e-6,4.030830,56.3076,742.29,0.6159,0.087987,0.150570,26.037607
410,205,8.2e-6,4.067985,58.4391,712.77,0.6141,0.092967,0.165048,26.195246
420,210,8.399999e-6,4.082969,59.3213,767.43,0.6177,0.087930,0.133393,25.982355
430,215,8.6e-6,4.016286,55.4946,773.80,0.6215,0.082422,0.126080,25.783188
440,220,8.8e-6,4.038464,56.7391,745.61,0.6049,0.085201,0.128153,26.378780
450,225,9e-6,3.993070,54.2211,738.70,0.6323,0.085180,0.133737,24.813452
460,230,9.2e-6,3.999295,54.5597,857.81,0.6894,0.079554,0.118369,22.417217
470,235,9.4e-6,4.052754,57.5558,719.35,0.6353,0.081862,0.137482,24.412533
480,240,9.599999e-6,3.941344,51.4878,693.19,0.5582,0.088890,0.133133,28.242100
490,245,9.799999e-6,3.992519,54.1912,748.95,0.6400,0.082686,0.127817,24.146549
500,250,1e-5,3.979251,53.4770,786.33,0.6326,0.081374,0.111568,24.166609
510,255,1.0199999e-5,3.963409,52.6365,859.55,0.6912,0.076021,0.089691,22.337666
520,260,1.04e-5,3.918251,50.3124,801.50,0.6453,0.080442,0.101894,23.422600
530,265,1.06e-5,3.929982,50.9061,738.98,0.6020,0.083888,0.104104,25.312481
540,270,1.08e-5,3.914595,50.1288,741.88,0.5995,0.083873,0.091413,25.379196
550,275,1.1e-5,3.884621,48.6485,752.82,0.6068,0.084213,0.094318,25.506390
560,280,1.12e-5,3.956185,52.2576,723.54,0.6141,0.085287,0.109192,24.906023
570,285,1.13999995e-5,3.897017,49.2553,691.84,0.6071,0.086333,0.112748,25.363659
580,290,1.1599999e-5,3.865337,47.7193,824.79,0.6645,0.078059,0.083729,22.151911
590,295,1.18e-5,3.853175,47.1425,710.58,0.6106,0.081595,0.087293,24.609053
600,300,1.19999995e-5,3.866321,47.7663,728.82,0.5872,0.087752,0.097217,26.338383
610,305,1.22e-5,3.859924,47.4617,675.23,0.6321,0.085650,0.098746,23.945181
620,310,1.24e-5,3.791832,44.3376,729.04,0.5868,0.086713,0.092126,25.671518
630,315,1.25999995e-5,3.846255,46.8174,719.66,0.6167,0.082479,0.094843,24.230000
640,320,1.28e-5,3.853962,47.1796,732.75,0.6405,0.081060,0.085738,23.181107
650,325,1.2999999e-5,3.827800,45.9613,770.38,0.6219,0.084610,0.083323,24.036730
660,330,1.32e-5,3.824628,45.8157,766.83,0.6178,0.082699,0.075325,24.357756
670,335,1.34e-5,3.767780,43.2839,667.29,0.6153,0.086532,0.086479,24.520971
680,340,1.3600001e-5,3.770542,43.4036,799.93,0.6440,0.085661,0.080416,23.732199
690,345,1.38e-5,3.759699,42.9355,799.83,0.6537,0.085546,0.073690,23.699810
700,350,1.3999999e-5,3.805550,44.9500,690.22,0.6045,0.092563,0.088795,26.061321
710,355,1.42e-5,3.759308,42.9187,752.69,0.6365,0.086703,0.071290,24.537735
720,360,1.4399999e-5,3.775859,43.6350,773.33,0.6242,0.086810,0.069873,24.827822
730,365,1.4599999e-5,3.741083,42.1436,780.06,0.6860,0.085029,0.071778,21.916489
740,370,1.48e-5,3.726109,41.5173,840.71,0.6765,0.087240,0.067950,22.007690
750,375,1.50000005e-5,3.722296,41.3592,796.73,0.6505,0.090113,0.067482,23.367702
760,380,1.5199999e-5,3.712281,40.9471,801.17,0.6454,0.091230,0.065403,23.939615
770,385,1.5399999e-5,3.727662,41.5818,709.82,0.6067,0.098774,0.079240,25.532188
780,390,1.56e-5,3.701562,40.5105,762.34,0.6124,0.095023,0.070496,24.907757
790,395,1.58e-5,3.676270,39.4988,771.12,0.6268,0.093618,0.068013,24.292538
800,400,1.6e-5,3.719701,41.2521,747.83,0.6018,0.098558,0.069019,25.670979
810,405,1.62e-5,3.650357,38.4884,764.20,0.6170,0.096108,0.063421,24.591587
820,410,1.64e-5,3.662878,38.9733,774.18,0.6235,0.096536,0.065577,24.433767
830,415,1.6599999e-5,3.710654,40.8806,769.02,0.6193,0.096951,0.064877,24.575827
840,420,1.6799999e-5,3.695996,40.2857,779.11,0.6268,0.100499,0.067515,24.268085
850,425,1.7e-5,3.652711,38.5791,761.03,0.6123,0.100827,0.062623,24.890110
860,430,1.72e-5,3.652705,38.5789,742.26,0.5967,0.104713,0.062806,25.828007
870,435,1.74e-5,3.649304,38.4479,772.47,0.6215,0.102965,0.063497,24.204794
880,440,1.76e-5,3.641095,38.1336,743.83,0.6477,0.105143,0.069854,23.401186
890,445,1.78e-5,3.643005,38.2065,784.92,0.6468,0.102619,0.060160,23.198036
900,450,1.8e-5,3.622262,37.4221,773.39,0.6228,0.104082,0.065785,24.061153
910,455,1.8199999e-5,3.601617,36.6574,839.50,0.6766,0.100223,0.059797,21.599161
920,460,1.84e-5,3.624445,37.5039,762.21,0.6298,0.104544,0.063425,23.478680
930,465,1.86e-5,3.613929,37.1116,854.34,0.6857,0.101893,0.061120,21.084797
940,470,1.88e-5,3.563669,35.2925,826.88,0.6649,0.105430,0.059685,21.544802
950,475,1.9e-5,3.577536,35.7852,809.74,0.6598,0.105731,0.062243,21.888018
960,480,1.9199999e-5,3.647352,38.3729,777.41,0.6266,0.111367,0.061241,23.551392
970,485,1.94e-5,3.574937,35.6924,736.79,0.6190,0.112914,0.063708,23.825939
980,490,1.9599998e-5,3.545705,34.6641,780.66,0.6282,0.105011,0.055750,22.959696
990,495,1.98e-5,3.530881,34.1540,730.18,0.6462,0.104061,0.060882,22.394037
1000,500,2e-5,3.534846,34.2897,777.20,0.6563,0.110776,0.057440,21.827023
1010,505,2.0200001e-5,3.536545,34.3480,785.70,0.6526,0.109977,0.058188,21.785267
