step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-7,5.192985,180.0050,842.36,0.6766,0.146338,0.696879,32.312065
20,20,4e-7,5.218913,184.7332,791.46,0.6396,0.151426,0.671530,35.227898
30,30,5.9999996e-7,5.156295,173.5203,784.17,0.6303,0.157450,0.731307,34.807182
40,40,8e-7,5.171774,176.2272,747.12,0.6525,0.166552,0.770632,34.368435
50,50,1e-6,5.048379,155.7697,822.16,0.7215,0.155511,0.735256,29.140530
60,60,1.1999999e-6,4.979396,145.3865,886.12,0.7232,0.152494,0.678112,28.258236
70,70,1.4e-6,4.973485,144.5297,845.05,0.6800,0.148172,0.709429,30.520710
80,80,1.6e-6,4.929581,138.3215,871.59,0.7032,0.147236,0.647381,29.767765
90,90,1.7999998e-6,4.909988,135.6378,815.92,0.6608,0.155509,0.697723,32.155258
100,100,2e-6,4.760404,116.7931,831.85,0.6692,0.139236,0.577821,29.252253
110,110,2.2e-6,4.706346,110.6471,780.83,0.6841,0.137087,0.533707,27.961008
120,120,2.3999999e-6,4.572646,96.7999,835.02,0.6730,0.126376,0.491525,27.724737
130,130,2.6e-6,4.499057,89.9323,798.19,0.6702,0.118724,0.423869,27.831726
140,140,2.8e-6,4.589456,98.4408,788.07,0.6343,0.125875,0.486419,30.099476
150,150,2.9999999e-6,4.530076,92.7656,751.75,0.6053,0.126449,0.426299,31.005947
160,160,3.2e-6,4.470330,87.3856,767.07,0.6220,0.119654,0.398178,30.267956
170,170,3.4000002e-6,4.390223,80.6584,752.00,0.6506,0.105338,0.303189,27.757223
180,180,3.5999997e-6,4.356698,77.9992,798.79,0.6438,0.100230,0.288622,27.994150
190,190,3.7999998e-6,4.334648,76.2981,809.17,0.6539,0.099948,0.296246,27.527222
200,200,4e-6,4.304564,74.0369,744.53,0.6435,0.096795,0.256654,27.729223
210,210,4.1999997e-6,4.253081,70.3218,826.35,0.6650,0.087748,0.236634,26.445972
220,220,4.4e-6,4.244951,69.7523,794.07,0.6383,0.089819,0.209974,27.948023
230,230,4.6e-6,4.220103,68.0405,792.21,0.6377,0.088785,0.212690,27.388245
240,240,4.7999997e-6,4.177074,65.1749,802.34,0.6647,0.083534,0.200662,25.686024
250,250,5e-6,4.136716,62.5969,825.15,0.6656,0.081518,0.176002,25.593283
260,260,5.2e-6,4.187240,65.8408,728.49,0.6411,0.086629,0.213676,27.188349
270,270,5.4e-6,4.078398,59.0508,812.77,0.6585,0.075929,0.142146,25.218548
280,280,5.6e-6,4.081847,59.2548,866.65,0.6964,0.073374,0.131729,23.540569
290,290,5.7999996e-6,4.087490,59.5901,761.97,0.6398,0.078260,0.152933,26.220926
300,300,5.9999998e-6,4.063159,58.1577,732.22,0.5879,0.078087,0.150031,29.273457
310,310,6.2e-6,4.070144,58.5654,728.94,0.6161,0.076895,0.144944,27.659195
320,320,6.4e-6,4.051839,57.5031,798.79,0.6610,0.074027,0.131636,25.114395
330,330,6.6e-6,3.988982,53.9999,816.86,0.6599,0.070383,0.117717,24.361715
340,340,6.8000004e-6,3.982435,53.6475,728.80,0.6407,0.074686,0.125471,25.642040
350,350,6.9999996e-6,3.959949,52.4547,767.73,0.6494,0.071662,0.113376,25.346640
360,360,7.1999993e-6,3.955579,52.2259,804.69,0.6490,0.070528,0.109386,24.918774
370,370,7.4e-6,3.950709,51.9722,783.62,0.6317,0.068820,0.101510,25.769369
380,380,7.5999997e-6,3.896019,49.2062,785.25,0.6509,0.069120,0.105991,24.464468
390,390,7.8e-6,3.918934,50.3468,796.93,0.6420,0.072109,0.103426,25.075932
400,400,8e-6,3.894385,49.1258,773.06,0.6414,0.071390,0.096114,25.161264
410,410,8.2e-6,3.875626,48.2129,737.40,0.6353,0.072559,0.097705,24.961136
420,420,8.399999e-6,3.877061,48.2821,795.35,0.6402,0.072656,0.094759,24.672409
430,430,8.6e-6,3.849211,46.9560,800.65,0.6430,0.072020,0.088420,24.718891
440,440,8.8e-6,3.819114,45.5638,775.77,0.6294,0.072960,0.084990,24.947851
450,450,9e-6,3.811444,45.2157,769.56,0.6587,0.073630,0.092787,23.676937
460,460,9.2e-6,3.807922,45.0567,891.09,0.7161,0.068592,0.081751,21.360188
470,470,9.4e-6,3.808900,45.1008,750.46,0.6628,0.074107,0.087482,23.016766
480,480,9.599999e-6,3.788797,44.2032,728.94,0.5870,0.077625,0.085191,27.144129
490,490,9.799999e-6,3.750848,42.5571,786.21,0.6718,0.073609,0.081832,22.693207
500,500,1e-5,3.753224,42.6584,827.43,0.6657,0.074863,0.077334,22.798977
510,510,1.0199999e-5,3.726770,41.5447,883.32,0.7103,0.069995,0.068624,21.005903
520,520,1.04e-5,3.705621,40.6753,839.91,0.6763,0.071524,0.068666,22.154812
530,530,1.06e-5,3.746901,42.3895,780.25,0.6356,0.077228,0.071110,24.129099
540,540,1.08e-5,3.738131,42.0194,781.36,0.6314,0.078475,0.072371,24.233683
550,550,1.1e-5,3.709281,40.8244,780.41,0.6290,0.079796,0.071553,24.359705
560,560,1.12e-5,3.747885,42.4313,759.75,0.6449,0.077829,0.078209,23.604385
570,570,1.13999995e-5,3.715130,41.0639,726.73,0.6377,0.078263,0.071288,24.194708
580,580,1.1599999e-5,3.622437,37.4287,869.01,0.7001,0.075742,0.060707,20.774364
590,590,1.18e-5,3.652983,38.5896,748.85,0.6435,0.083189,0.070216,23.338196
600,600,1.19999995e-5,3.682499,39.7456,759.94,0.6123,0.088350,0.070801,25.081474
610,610,1.22e-5,3.707162,40.7380,710.53,0.6652,0.085577,0.079083,23.005106
620,620,1.24e-5,3.628983,37.6745,766.38,0.6169,0.086975,0.069668,24.568768
630,630,1.25999995e-5,3.644550,38.2655,756.92,0.6486,0.081480,0.064471,22.960300
640,640,1.28e-5,3.638462,38.0333,769.21,0.6724,0.082762,0.064780,21.888210
650,650,1.2999999e-5,3.605005,36.7819,805.89,0.6506,0.087622,0.066623,22.646679
660,660,1.32e-5,3.581099,35.9130,796.32,0.6416,0.083525,0.059764,22.806292
670,670,1.34e-5,3.566326,35.3863,701.45,0.6468,0.087957,0.065565,23.198971
680,680,1.3600001e-5,3.552145,34.8881,804.40,0.6476,0.086992,0.063115,22.361591
690,690,1.38e-5,3.553728,34.9433,794.44,0.6492,0.089924,0.062027,22.405506
700,700,1.3999999e-5,3.595604,36.4377,695.70,0.6093,0.096939,0.072120,24.637131
710,710,1.42e-5,3.552666,34.9063,749.99,0.6342,0.092021,0.064245,23.191790
720,720,1.4399999e-5,3.558823,35.1218,778.16,0.6281,0.093831,0.063491,23.414103
730,730,1.4599999e-5,3.504064,33.2503,791.37,0.6959,0.094051,0.071782,20.532984
740,740,1.48e-5,3.502171,33.1874,853.15,0.6865,0.094464,0.064631,20.691406
750,750,1.50000005e-5,3.510256,33.4568,799.22,0.6525,0.096937,0.064839,22.039417
760,760,1.5199999e-5,3.492029,32.8525,802.69,0.6466,0.101657,0.065536,22.519932
770,770,1.5399999e-5,3.520757,33.8100,707.65,0.6049,0.104007,0.074475,24.127338
780,780,1.56e-5,3.509356,33.4267,763.95,0.6136,0.105640,0.069226,23.622368
790,790,1.58e-5,3.453606,31.6142,773.05,0.6284,0.104441,0.069755,22.822681
800,800,1.6e-5,3.496078,32.9858,750.46,0.6040,0.111040,0.071016,24.132757
810,810,1.62e-5,3.426206,30.7597,764.67,0.6173,0.109063,0.068532,23.083937
820,820,1.64e-5,3.450605,31.5194,777.04,0.6258,0.112007,0.070211,23.025293
830,830,1.6599999e-5,3.480062,32.4617,774.79,0.6239,0.109554,0.070586,23.051853
840,840,1.6799999e-5,3.456356,31.7012,778.21,0.6261,0.113783,0.069500,22.690710
850,850,1.7e-5,3.436803,31.0874,763.59,0.6143,0.115939,0.068331,23.425098
860,860,1.72e-5,3.426987,30.7838,737.57,0.5929,0.119299,0.071151,24.229010
870,870,1.74e-5,3.410825,30.2902,772.36,0.6214,0.117279,0.067899,22.625095
880,880,1.76e-5,3.406736,30.1666,747.14,0.6506,0.119758,0.073183,21.904333
890,890,1.78e-5,3.413337,30.3664,778.89,0.6419,0.124750,0.074558,21.737663
900,900,1.8e-5,3.378350,29.3223,771.33,0.6211,0.129739,0.080892,22.444569
910,910,1.8199999e-5,3.328104,27.8854,839.59,0.6766,0.121174,0.072998,19.961138
920,920,1.84e-5,3.356258,28.6817,768.89,0.6354,0.127666,0.075217,21.736149
930,930,1.86e-5,3.333445,28.0347,861.34,0.6913,0.126768,0.077075,19.455944
940,940,1.88e-5,3.292928,26.9216,839.52,0.6751,0.126478,0.075083,19.914024
950,950,1.9e-5,3.307123,27.3065,818.24,0.6667,0.128225,0.077667,20.236910
960,960,1.9199999e-5,3.385597,29.5356,783.08,0.6312,0.132739,0.075239,21.859249
970,970,1.94e-5,3.331929,27.9923,746.89,0.6275,0.133697,0.076341,22.209101
980,980,1.9599998e-5,3.277628,26.5128,789.72,0.6354,0.132566,0.072786,21.221132
990,990,1.98e-5,3.268601,26.2746,739.45,0.6545,0.136112,0.081133,20.742916
1000,1000,2e-5,3.259159,26.0276,785.46,0.6633,0.138802,0.075134,20.128574
1010,1010,2.0200001e-5,3.258639,26.0141,795.17,0.6605,0.144209,0.076004,20.076874
1020,1020,2.0399999e-5,3.257373,25.9812,804.84,0.6461,0.139758,0.071321,20.644604
1030,1030,2.0599999e-5,3.227521,25.2171,813.92,0.6564,0.143315,0.077305,20.151474
1040,1040,2.08e-5,3.258361,26.0069,784.78,0.6883,0.146296,0.079937,19.137674
1050,1050,2.0999998e-5,3.234068,25.3827,830.55,0.6677,0.148350,0.076503,19.619968
1060,1060,2.12e-5,3.232452,25.3417,832.72,0.6693,0.146247,0.079402,19.848349
1070,1070,2.14e-5,3.208860,24.7509,816.70,0.6561,0.148098,0.078460,19.952145
1080,1080,2.16e-5,3.211161,24.8079,827.41,0.6670,0.151767,0.081514,19.594107
1090,1090,2.1799999e-5,3.202260,24.5880,839.05,0.6766,0.155421,0.077843,19.155531
1100,1100,2.2e-5,3.192219,24.3424,821.15,0.6813,0.153642,0.080440,19.010147
1110,1110,2.22e-5,3.190971,24.3120,851.55,0.6870,0.150708,0.077479,18.545630
1120,1120,2.24e-5,3.184905,24.1650,848.36,0.6815,0.154402,0.081380,18.897072
1130,1130,2.26e-5,3.184392,24.1526,840.96,0.6759,0.153665,0.078786,19.075249
1140,1140,2.2799999e-5,3.159362,23.5556,814.53,0.6563,0.153310,0.077720,19.649570
1150,1150,2.3e-5,3.149228,23.3181,790.16,0.6596,0.158762,0.076455,19.531019
1160,1160,2.3199998e-5,3.108883,22.3960,822.63,0.6625,0.163751,0.079783,19.014633
1170,1170,2.34e-5,3.157816,23.5192,802.41,0.6467,0.164118,0.080905,20.037952
1180,1180,2.36e-5,3.187229,24.2212,783.50,0.6487,0.168677,0.083587,20.289337
1190,1190,2.38e-5,3.168133,23.7631,745.93,0.6553,0.170380,0.088711,19.952818
1200,1200,2.3999999e-5,3.159509,23.5590,803.41,0.6463,0.167418,0.083314,20.230196
1210,1210,2.4199999e-5,3.159229,23.5524,768.36,0.6597,0.168678,0.081118,19.668304
1220,1220,2.44e-5,3.098208,22.1582,820.32,0.6615,0.170443,0.078743,18.881117
1230,1230,2.46e-5,3.143067,23.1748,771.93,0.6636,0.176981,0.083601,19.423552
1240,1240,2.48e-5,3.153113,23.4088,781.51,0.6589,0.178166,0.086947,19.761761
1250,1250,2.5e-5,3.106368,22.3398,852.95,0.6870,0.170555,0.079393,18.235210
1260,1260,2.5199999e-5,3.069378,21.5285,874.52,0.7050,0.177564,0.082079,17.250338
1270,1270,2.54e-5,3.070442,21.5514,846.52,0.6811,0.184415,0.084458,18.279167
1280,1280,2.56e-5,3.062969,21.3910,836.88,0.6749,0.181479,0.085243,18.381887
1290,1290,2.5799998e-5,3.064456,21.4228,789.21,0.6616,0.190228,0.089646,18.734753
1300,1300,2.5999998e-5,3.095848,22.1060,807.28,0.7006,0.191183,0.088163,17.835674
1310,1310,2.62e-5,3.075623,21.6634,814.20,0.6567,0.191852,0.085604,18.919836
1320,1320,2.64e-5,3.073563,21.6188,817.77,0.6575,0.198565,0.088334,19.089920
1330,1330,2.6599999e-5,3.073447,21.6163,778.66,0.6750,0.193541,0.086107,18.550447
1340,1340,2.68e-5,3.079353,21.7443,764.99,0.6149,0.201662,0.089334,20.939804
1350,1350,2.7e-5,3.053252,21.1841,787.71,0.6520,0.202741,0.088327,19.234612
1360,1360,2.7200002e-5,3.068632,21.5124,799.16,0.6783,0.218119,0.096620,18.319801
1370,1370,2.7399998e-5,3.056187,21.2464,838.02,0.6743,0.213997,0.094395,18.273609
1380,1380,2.76e-5,3.031736,20.7332,816.28,0.6868,0.212137,0.091946,17.567291
