step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.751819,314.7626,1586.80,1.5733,0.000187,0.000832,35.109577
20,20,2e-5,5.564905,261.1003,1466.77,1.4628,0.001258,0.005276,37.273788
30,30,3.0000001e-5,5.241383,188.9311,1403.92,1.3936,0.003112,0.009803,37.612831
40,40,4e-5,4.764113,117.2271,1405.15,1.5184,0.004497,0.007907,30.188925
50,50,5e-5,4.275573,71.9214,1444.52,1.4367,0.004119,0.002784,29.184219
60,60,6.0000002e-5,3.949084,51.8878,1542.37,1.6087,0.002659,0.001365,22.661915
70,70,6.9999995e-5,3.633900,37.8602,1627.46,1.6249,0.002204,0.000853,20.535835
80,80,8e-5,3.427180,30.7897,1567.03,1.5787,0.002182,0.001028,20.151369
90,90,8.9999994e-5,3.316401,27.5610,1537.04,1.5329,0.002105,0.000786,20.527042
100,100,1e-4,3.139424,23.0906,1550.06,1.5419,0.001924,0.000726,19.420584
110,110,1.1e-4,3.043012,20.9683,1369.49,1.4538,0.002090,0.000944,20.271154
120,120,1.20000004e-4,2.922885,18.5949,1500.29,1.5244,0.002207,0.001919,18.165913
130,130,1.2999999e-4,2.866367,17.5731,1464.98,1.5745,0.002275,0.001940,17.169847
140,140,1.3999999e-4,2.742898,15.5319,1541.35,1.5312,0.002238,0.002518,16.897200
150,150,1.4999999e-4,2.639847,14.0111,1489.41,1.5500,0.002380,0.002852,16.097111
160,160,1.6e-4,2.554230,12.8614,1541.37,1.5357,0.002668,0.003223,15.761662
170,170,1.7e-4,2.648693,14.1356,1346.79,1.4700,0.003003,0.004964,16.792086
180,180,1.7999999e-4,2.603714,13.5138,1451.54,1.4436,0.003293,0.006042,17.362194
190,190,1.8999999e-4,2.540050,12.6803,1406.60,1.4017,0.003582,0.006790,17.981569
200,200,1.999556e-4,2.560393,12.9409,1383.30,1.4621,0.003966,0.009394,16.844496
210,210,1.9995103e-4,2.452766,11.6204,1510.03,1.5056,0.004126,0.009143,15.539386
220,220,1.9994628e-4,2.374233,10.7428,1496.38,1.4940,0.004267,0.008678,15.600705
230,230,1.9994128e-4,2.363101,10.6238,1421.41,1.4965,0.004714,0.008912,15.020076
240,240,1.9993607e-4,2.387159,10.8825,1440.88,1.5334,0.004772,0.009717,14.696345
250,250,1.999306e-4,2.317953,10.1549,1443.00,1.4917,0.004701,0.008782,15.055244
