step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,4.968616,143.8277,1585.18,1.5717,0.127762,0.409516,30.314417
20,20,2e-5,4.698305,109.7609,1505.52,1.5014,0.121601,0.358873,31.465282
30,30,3.0000001e-5,4.335845,76.3895,1433.50,1.4229,0.106360,0.290705,31.125439
40,40,4e-5,3.983713,53.7161,1447.42,1.5641,0.081356,0.195055,25.238577
50,50,5e-5,3.711715,40.9239,1467.02,1.4590,0.069784,0.133740,25.312351
60,60,6.0000002e-5,3.578468,35.8186,1577.43,1.6452,0.060261,0.098088,20.534992
70,70,6.9999995e-5,3.416474,30.4618,1660.71,1.6581,0.055979,0.074393,19.312855
80,80,8e-5,3.370374,29.0894,1594.20,1.6061,0.055514,0.067424,19.818233
90,90,8.9999994e-5,3.307603,27.3196,1597.85,1.5935,0.056688,0.056944,20.453279
100,100,1e-4,3.210490,24.7912,1585.03,1.5767,0.058394,0.054762,19.849789
110,110,1.1e-4,3.168922,23.7818,1408.74,1.4955,0.063163,0.057782,21.107121
120,120,1.20000004e-4,3.115571,22.5463,1541.06,1.5658,0.064657,0.052688,19.362490
130,130,1.2999999e-4,3.103711,22.2805,1503.18,1.6155,0.067660,0.053119,18.593817
140,140,1.3999999e-4,3.039492,20.8946,1565.22,1.5549,0.065889,0.047806,18.724302
150,150,1.4999999e-4,2.979761,19.6831,1496.48,1.5573,0.067065,0.047332,18.162788
160,160,1.6e-4,2.936921,18.8577,1559.27,1.5535,0.067370,0.042192,18.128756
170,170,1.7e-4,3.056365,21.2502,1367.63,1.4927,0.069716,0.046109,19.347109
180,180,1.7999999e-4,3.021220,20.5163,1472.56,1.4646,0.068761,0.037584,20.142719
190,190,1.8999999e-4,3.001666,20.1190,1462.15,1.4570,0.072629,0.038931,21.244604
200,200,1.999556e-4,3.011931,20.3266,1427.56,1.5089,0.071127,0.040028,19.804312
210,210,1.9995103e-4,2.954507,19.1923,1535.47,1.5310,0.069318,0.038105,18.709478
220,220,1.9994628e-4,2.905984,18.2832,1504.71,1.5024,0.072055,0.038489,19.090260
230,230,1.9994128e-4,2.888772,17.9712,1433.51,1.5093,0.072758,0.038422,18.380442
240,240,1.9993607e-4,2.955508,19.2115,1457.20,1.5508,0.078257,0.045919,18.185610
250,250,1.999306e-4,2.862872,17.5118,1467.86,1.5173,0.073536,0.034869,18.586576
260,260,1.9992495e-4,2.844167,17.1872,1532.39,1.5170,0.072806,0.034157,18.011860
270,270,1.9991907e-4,2.848973,17.2700,1480.61,1.4691,0.079160,0.036662,19.029680
280,280,1.9991296e-4,2.802130,16.4797,1511.16,1.5047,0.076958,0.032884,18.189838
290,290,1.9990664e-4,2.793594,16.3396,1501.57,1.4940,0.080600,0.033830,18.351572
300,300,1.999001e-4,2.745327,15.5697,1509.67,1.5875,0.089761,0.036480,16.440485
310,310,1.9989331e-4,2.738130,15.4581,1447.62,1.5561,0.106627,0.041544,16.900478
320,320,1.9988633e-4,2.785388,16.2061,1591.80,1.5770,0.126527,0.045505,17.697710
330,330,1.9987911e-4,2.714806,15.1017,1427.07,1.5270,0.124715,0.041329,17.450039
340,340,1.9987169e-4,2.695956,14.8197,1637.67,1.6300,0.117065,0.038804,15.703560
350,350,1.9986404e-4,2.684165,14.6460,1626.48,1.6186,0.130259,0.039802,16.173809
360,360,1.9985615e-4,2.646873,14.1098,1438.73,1.4783,0.138784,0.038783,17.498623
370,370,1.9984803e-4,2.620873,13.7477,1410.57,1.4062,0.176693,0.045247,18.962362
380,380,1.998397e-4,2.681444,14.6062,1428.56,1.4702,0.185584,0.049230,17.916433
390,390,1.9983118e-4,2.714819,15.1019,1463.56,1.4924,0.164340,0.050414,18.000097
400,400,1.9982242e-4,2.590219,13.3327,1573.55,1.5656,0.150360,0.042305,15.795054
410,410,1.9981342e-4,2.611476,13.6191,1480.71,1.5758,0.158061,0.044178,15.643631
420,420,1.998042e-4,2.588417,13.3087,1510.84,1.5044,0.183103,0.047603,17.286438
430,430,1.9979477e-4,2.515793,12.3764,1509.27,1.5363,0.178774,0.045560,16.087088
440,440,1.9978514e-4,2.552756,12.8424,1497.17,1.5294,0.195023,0.049693,16.130701
450,450,1.9977524e-4,2.510491,12.3110,1513.48,1.5099,0.184931,0.047025,16.172277
460,460,1.9976517e-4,2.496901,12.1448,1476.08,1.4752,0.197624,0.049881,16.735577
470,470,1.9975484e-4,2.468963,11.8102,1483.91,1.5436,0.199587,0.050091,15.338045
480,480,1.997443e-4,2.546057,12.7567,1514.97,1.5026,0.202857,0.051413,16.235819
490,490,1.9973353e-4,2.488454,12.0426,1454.96,1.5058,0.189625,0.054678,16.112431
500,500,1.9972256e-4,2.524551,12.4853,1500.92,1.5275,0.200849,0.050707,16.592703
510,510,1.9971136e-4,2.417705,11.2201,1551.84,1.5503,0.196574,0.048846,15.597918
520,520,1.9969995e-4,2.509081,12.2936,1575.36,1.5677,0.209032,0.055905,15.770564
530,530,1.9968828e-4,2.402890,11.0551,1527.08,1.5241,0.212640,0.059012,15.611212
540,540,1.9967643e-4,2.428610,11.3431,1402.91,1.5202,0.215242,0.062146,16.135990
550,550,1.9966433e-4,2.456644,11.6656,1518.62,1.5109,0.200403,0.065034,16.098911
560,560,1.9965201e-4,2.488653,12.0450,1547.39,1.6743,0.190429,0.065371,14.166105
570,570,1.996395e-4,2.460275,11.7080,1627.32,1.6131,0.205799,0.059089,14.567960
580,580,1.9962675e-4,2.481033,11.9536,1553.31,1.6115,0.208771,0.060309,15.206410
590,590,1.9961377e-4,2.432392,11.3861,1419.24,1.4093,0.228526,0.058535,17.590290
600,600,1.9960059e-4,2.501956,12.2063,1425.50,1.5408,0.208427,0.053450,15.975439
610,610,1.9958714e-4,2.446202,11.5444,1620.16,1.6120,0.194266,0.057641,14.825441
620,620,1.9957352e-4,2.416075,11.2018,1607.96,1.6005,0.192800,0.055337,14.295232
630,630,1.9955967e-4,2.371889,10.7176,1739.31,1.7315,0.203592,0.050233,13.646100
