step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.166444,175.2904,899.87,0.8922,0.165244,0.358150,31.531803
20,20,2e-5,4.969344,143.9324,853.71,0.8514,0.167916,0.353260,33.274166
30,30,3.0000001e-5,4.686296,108.4508,829.65,0.8235,0.164219,0.335994,33.624664
40,40,4e-5,4.390160,80.6533,806.97,0.8720,0.139731,0.266207,27.812946
50,50,5e-5,4.055257,57.7000,847.14,0.8425,0.129146,0.225134,27.666424
60,60,6.0000002e-5,3.829455,46.0374,865.00,0.9022,0.104394,0.168590,21.973278
70,70,6.9999995e-5,3.572678,35.6118,915.14,0.9137,0.086526,0.121899,20.189171
80,80,8e-5,3.468842,32.0996,889.75,0.8964,0.077921,0.097831,20.392757
90,90,8.9999994e-5,3.362468,28.8603,885.66,0.8832,0.071366,0.074396,20.789818
100,100,1e-4,3.249245,25.7709,880.27,0.8756,0.066994,0.059810,20.092962
110,110,1.1e-4,3.214731,24.8966,796.46,0.8455,0.068968,0.057733,21.408607
120,120,1.20000004e-4,3.162495,23.6295,857.96,0.8718,0.069498,0.054630,19.656317
130,130,1.2999999e-4,3.152615,23.3972,834.06,0.8964,0.071313,0.056452,18.886782
140,140,1.3999999e-4,3.079184,21.7407,877.57,0.8718,0.074094,0.058167,18.970970
150,150,1.4999999e-4,3.026057,20.6158,843.50,0.8778,0.078634,0.061256,18.446762
160,160,1.6e-4,2.974521,19.5802,884.68,0.8814,0.077821,0.058262,18.360378
170,170,1.7e-4,3.113816,22.5068,787.90,0.8600,0.083968,0.064578,19.686878
180,180,1.7999999e-4,3.041242,20.9312,851.18,0.8466,0.082439,0.054126,20.273251
190,190,1.8999999e-4,3.016933,20.4285,837.80,0.8349,0.084987,0.056452,21.354025
200,200,1.999556e-4,3.022905,20.5509,808.04,0.8541,0.085676,0.054533,19.880238
210,210,1.9995103e-4,2.962585,19.3479,873.78,0.8712,0.082441,0.049385,18.761490
220,220,1.9994628e-4,2.909718,18.3516,868.95,0.8676,0.085770,0.047135,19.118221
230,230,1.9994128e-4,2.882294,17.8552,842.59,0.8871,0.089565,0.048893,18.340221
240,240,1.9993607e-4,2.943464,18.9815,840.97,0.8950,0.097945,0.055474,18.114687
250,250,1.999306e-4,2.846494,17.2273,859.27,0.8882,0.098393,0.051048,18.477047
260,260,1.9992495e-4,2.837586,17.0745,891.63,0.8827,0.103849,0.049446,17.969717
270,270,1.9991907e-4,2.811648,16.6373,872.45,0.8657,0.118323,0.051580,18.779566
280,280,1.9991296e-4,2.759867,15.7977,884.66,0.8809,0.131945,0.055081,17.910448
290,290,1.9990664e-4,2.753844,15.7029,878.34,0.8739,0.150940,0.059531,18.090662
300,300,1.999001e-4,2.692684,14.7713,860.96,0.9053,0.160720,0.061499,16.121748
310,310,1.9989331e-4,2.662970,14.3388,834.51,0.8971,0.192431,0.067481,16.432568
320,320,1.9988633e-4,2.716419,15.1261,891.58,0.8833,0.237050,0.080220,17.251850
330,330,1.9987911e-4,2.642735,14.0516,822.02,0.8796,0.237225,0.073785,16.973103
340,340,1.9987169e-4,2.619919,13.7346,922.38,0.9181,0.201827,0.063279,15.262941
350,350,1.9986404e-4,2.585889,13.2751,901.15,0.8968,0.231792,0.066757,15.581648
360,360,1.9985615e-4,2.567195,13.0292,844.94,0.8682,0.259346,0.073631,16.982676
370,370,1.9984803e-4,2.547126,12.7703,846.05,0.8434,0.278778,0.073642,18.435240
380,380,1.998397e-4,2.588257,13.3066,839.71,0.8642,0.279098,0.075117,17.288303
390,390,1.9983118e-4,2.621918,13.7621,860.19,0.8771,0.275217,0.075701,17.381775
400,400,1.9982242e-4,2.528065,12.5292,905.84,0.9013,0.258368,0.066941,15.404396
410,410,1.9981342e-4,2.549072,12.7952,852.59,0.9074,0.248514,0.065731,15.266500
420,420,1.998042e-4,2.492408,12.0904,871.77,0.8680,0.278459,0.070791,16.644979
430,430,1.9979477e-4,2.437919,11.4492,869.39,0.8849,0.288106,0.068886,15.588984
440,440,1.9978514e-4,2.486774,12.0224,864.21,0.8828,0.311155,0.075221,15.716965
450,450,1.9977524e-4,2.465843,11.7734,882.94,0.8809,0.286488,0.070570,15.882953
460,460,1.9976517e-4,2.448373,11.5695,870.21,0.8697,0.301825,0.073519,16.408236
470,470,1.9975484e-4,2.437948,11.4495,859.51,0.8941,0.307299,0.074472,15.137805
480,480,1.997443e-4,2.496753,12.1430,893.15,0.8859,0.295186,0.072664,15.921074
490,490,1.9973353e-4,2.454002,11.6348,847.80,0.8774,0.302414,0.080602,15.892540
500,500,1.9972256e-4,2.507197,12.2705,855.20,0.8703,0.291116,0.069513,16.485056
510,510,1.9971136e-4,2.399246,11.0149,876.01,0.8752,0.279653,0.066258,15.480103
520,520,1.9969995e-4,2.480378,11.9458,889.71,0.8854,0.306362,0.072365,15.594568
530,530,1.9968828e-4,2.387949,10.8911,872.59,0.8709,0.314540,0.073583,15.515567
540,540,1.9967643e-4,2.388010,10.8918,799.82,0.8667,0.311497,0.073199,15.858620
550,550,1.9966433e-4,2.426438,11.3185,879.18,0.8747,0.296135,0.071124,15.899445
560,560,1.9965201e-4,2.461483,11.7222,855.97,0.9262,0.288490,0.069599,14.024679
570,570,1.996395e-4,2.420758,11.2544,912.20,0.9043,0.300498,0.071612,14.337908
580,580,1.9962675e-4,2.452991,11.6231,863.51,0.8959,0.298962,0.072644,15.026474
590,590,1.9961377e-4,2.408878,11.1215,846.38,0.8405,0.332269,0.077029,17.422541
600,600,1.9960059e-4,2.483081,11.9781,821.19,0.8876,0.327004,0.074406,15.853375
610,610,1.9958714e-4,2.431892,11.3804,907.52,0.9029,0.274490,0.061316,14.741152
620,620,1.9957352e-4,2.404376,11.0715,911.72,0.9075,0.284426,0.066643,14.219290
630,630,1.9955967e-4,2.379848,10.8033,924.11,0.9200,0.276862,0.063341,13.691338
640,640,1.9954558e-4,2.357140,10.5607,906.53,0.9039,0.299642,0.066177,14.250389
650,650,1.9953129e-4,2.355686,10.5454,842.32,0.8848,0.310331,0.071441,14.739813
660,660,1.9951677e-4,2.414355,11.1826,864.37,0.8613,0.316730,0.076994,16.286318
670,670,1.9950204e-4,2.374029,10.7406,884.58,0.8770,0.315972,0.070821,15.878819
680,680,1.9948708e-4,2.336155,10.3414,879.07,0.8751,0.305445,0.070955,15.123782
690,690,1.9947189e-4,2.468368,11.8032,831.42,0.8865,0.323507,0.079797,15.219025
700,700,1.994565e-4,2.316903,10.1442,866.91,0.8647,0.335251,0.075246,15.595713
710,710,1.9944087e-4,2.374289,10.7434,880.06,0.9488,0.317585,0.073256,14.194582
720,720,1.9942503e-4,2.266706,9.6476,993.55,0.9916,0.300313,0.069586,12.938603
730,730,1.9940894e-4,2.316507,10.1402,816.49,0.8799,0.329247,0.080098,15.358495
740,740,1.9939267e-4,2.351908,10.5056,866.99,0.8613,0.347816,0.076714,16.048672
750,750,1.9937617e-4,2.412441,11.1612,864.60,0.8950,0.331697,0.074270,14.980387
760,760,1.9935943e-4,2.289981,9.8748,878.58,0.8735,0.324126,0.070360,15.522440
770,770,1.993425e-4,2.308427,10.0586,846.06,0.8824,0.324547,0.067378,15.201686
780,780,1.9932532e-4,2.393847,10.9556,907.25,0.9035,0.305254,0.072083,15.017530
790,790,1.9930792e-4,2.326535,10.2424,837.30,0.9054,0.313592,0.071188,14.133260
800,800,1.9929034e-4,2.348706,10.4720,891.32,0.8875,0.321865,0.071142,14.850360
810,810,1.992725e-4,2.294327,9.9178,884.65,0.8798,0.316833,0.067324,14.557668
820,820,1.9925446e-4,2.282850,9.8046,813.53,0.8840,0.337852,0.072810,15.341547
830,830,1.9923618e-4,2.294303,9.9175,860.59,0.8963,0.327957,0.070556,14.102037
840,840,1.992177e-4,2.326869,10.2458,884.90,0.8775,0.332392,0.067423,15.252223
850,850,1.9919898e-4,2.369383,10.6908,854.45,0.8987,0.318559,0.068664,14.749514
860,860,1.9918004e-4,2.361422,10.6060,848.52,0.8554,0.341332,0.073863,16.377598
870,870,1.9916089e-4,2.235286,9.3492,816.27,0.8754,0.328394,0.073271,14.737648
880,880,1.9914153e-4,2.252085,9.5075,885.32,0.8796,0.345572,0.075353,14.550138
890,890,1.9912195e-4,2.302523,9.9994,837.43,0.8715,0.342310,0.076125,15.218689
900,900,1.9910213e-4,2.252456,9.5111,920.21,0.9152,0.332745,0.069156,13.011004
910,910,1.990821e-4,2.308851,10.0629,916.46,0.9133,0.333870,0.076982,13.733411
920,920,1.9906185e-4,2.204281,9.0637,897.10,0.8950,0.347534,0.076694,13.884183
930,930,1.9904139e-4,2.229284,9.2932,875.90,0.8705,0.352601,0.076070,14.449559
940,940,1.990207e-4,2.273938,9.7176,804.00,0.8681,0.376645,0.078581,15.395384
950,950,1.989998e-4,2.302209,9.9962,860.86,0.8670,0.347207,0.075749,15.818178
960,960,1.9897867e-4,2.284722,9.8230,878.62,0.8730,0.366293,0.078411,15.661291
970,970,1.989573e-4,2.154198,8.6210,880.24,0.8872,0.346306,0.075950,14.203031
980,980,1.9893574e-4,2.344021,10.4231,864.34,0.8568,0.369462,0.076913,16.420851
990,990,1.9891397e-4,2.218559,9.1941,886.63,0.8803,0.344060,0.069235,14.744688
1000,1000,1.9889194e-4,2.211060,9.1254,873.21,0.8686,0.354504,0.073858,15.319058
1010,1010,1.9886973e-4,2.260524,9.5881,846.17,0.8705,0.352996,0.073811,15.120291
1020,1020,1.988473e-4,2.346069,10.4444,882.34,0.8772,0.354190,0.070117,15.341019
1030,1030,1.9882462e-4,2.333105,10.3099,880.44,0.8758,0.356727,0.065570,15.417743
1040,1040,1.9880175e-4,2.309670,10.0711,871.77,0.8682,0.357392,0.065408,15.564534
1050,1050,1.9877864e-4,2.206286,9.0819,863.42,0.8567,0.375142,0.068883,15.240026
1060,1060,1.987553e-4,2.188239,8.9195,857.36,0.8525,0.373856,0.071253,15.491638
1070,1070,1.9873178e-4,2.188709,8.9237,796.73,0.8752,0.391618,0.075209,14.889633
1080,1080,1.98708e-4,2.206527,9.0841,863.01,0.8921,0.363271,0.076234,13.805850
1090,1090,1.9868405e-4,2.483863,11.9875,877.94,0.9586,0.361251,0.081409,15.219704
1100,1100,1.9865984e-4,2.239789,9.3913,871.83,0.8627,0.371707,0.082613,15.267687
1110,1110,1.9863542e-4,2.217622,9.1855,864.51,0.8765,0.362187,0.075797,14.473272
1120,1120,1.986108e-4,2.133054,8.4406,920.48,0.9156,0.344970,0.068052,12.542330
1130,1130,1.9858594e-4,2.145113,8.5430,879.56,0.8744,0.376943,0.068862,14.169154
1140,1140,1.9856085e-4,2.212652,9.1399,842.04,0.9198,0.350424,0.074452,13.131238
1150,1150,1.9853559e-4,2.125371,8.3760,918.67,0.9171,0.356979,0.065231,12.637278
1160,1160,1.9851007e-4,2.089576,8.0815,914.60,0.9135,0.349757,0.066592,12.454687
1170,1170,1.9848434e-4,2.139731,8.4972,889.57,0.9053,0.364540,0.072331,13.032269
1180,1180,1.9845841e-4,2.323690,10.2133,887.25,0.8799,0.399804,0.087124,15.308020
1190,1190,1.9843224e-4,2.182992,8.8728,839.37,0.8778,0.392597,0.075042,14.346533
1200,1200,1.9840585e-4,2.100315,8.1687,873.31,0.8676,0.385103,0.068065,14.243029
1210,1210,1.9837928e-4,2.121084,8.3402,894.03,0.8911,0.375257,0.069171,13.658107
1220,1220,1.9835244e-4,2.171207,8.7689,886.25,0.9003,0.366863,0.064001,13.537938
1230,1230,1.983254e-4,2.149261,8.5785,877.65,0.9038,0.358671,0.064973,13.218916
1240,1240,1.9829816e-4,2.113765,8.2794,848.55,0.8932,0.369894,0.061070,13.297319
1250,1250,1.9827069e-4,2.089809,8.0834,888.50,0.8861,0.377853,0.064387,13.303528
1260,1260,1.9824298e-4,2.114874,8.2885,907.22,0.9016,0.366564,0.068825,13.263216
1270,1270,1.982151e-4,1.967320,7.1515,827.67,0.9032,0.356148,0.066757,12.238257
1280,1280,1.9818696e-4,2.117411,8.3096,929.52,0.9239,0.365765,0.073767,12.429309
1290,1290,1.9815861e-4,2.073908,7.9559,920.45,0.9158,0.375804,0.064686,12.305065
1300,1300,1.9813006e-4,2.027122,7.5922,914.12,0.9051,0.365161,0.062944,12.778131
1310,1310,1.9810128e-4,2.058556,7.8346,912.72,0.9083,0.377831,0.065697,12.174920
1320,1320,1.9807229e-4,2.060241,7.8479,880.09,0.8728,0.386307,0.069417,13.221089
1330,1330,1.9804307e-4,1.986990,7.2935,908.34,0.9052,0.366754,0.069538,11.921224
1340,1340,1.9801364e-4,1.946242,7.0023,900.23,0.8987,0.383206,0.065943,11.867157
