step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.434846,229.2575,8448.60,8.3766,0.000285,0.000100,33.154652
20,20,2e-5,4.703821,110.3681,8069.44,8.0474,0.001437,0.000278,31.388296
30,30,3.0000001e-5,3.846160,46.8129,7994.33,7.9354,0.001495,0.000134,27.564575
40,40,4e-5,3.228804,25.2494,7639.17,8.2551,0.001331,0.000098,20.295498
50,50,5e-5,2.959535,19.2890,8075.26,8.0313,0.001445,0.000122,20.191448
60,60,6.0000002e-5,2.801950,16.4767,8140.93,8.4909,0.001520,0.000218,16.064890
70,70,6.9999995e-5,2.596210,13.4128,8431.34,8.4182,0.001638,0.000144,14.625895
80,80,8e-5,2.537900,12.6531,8258.23,8.3200,0.001789,0.000133,14.825961
90,90,8.9999994e-5,2.470729,11.8311,8123.38,8.1012,0.001772,0.000133,15.199020
100,100,1e-4,2.354189,10.5296,8168.84,8.1260,0.001868,0.000179,14.532208
110,110,1.1e-4,2.310754,10.0820,7412.23,7.8687,0.002099,0.000239,15.390231
120,120,1.20000004e-4,2.237162,9.3667,7934.52,8.0621,0.002334,0.000400,13.870349
130,130,1.2999999e-4,2.266041,9.6412,7655.67,8.2278,0.002709,0.000501,13.406996
140,140,1.3999999e-4,2.198682,9.0131,8142.75,8.0890,0.002760,0.000360,13.525610
150,150,1.4999999e-4,2.114555,8.2859,7814.80,8.1325,0.003065,0.000498,12.839345
160,160,1.6e-4,2.113589,8.2779,8146.13,8.1160,0.003169,0.000374,13.018801
170,170,1.7e-4,2.202397,9.0467,7294.65,7.9618,0.003423,0.000460,14.014949
180,180,1.7999999e-4,2.148247,8.5698,7924.07,7.8810,0.003576,0.000469,14.348758
190,190,1.8999999e-4,2.119920,8.3305,7789.80,7.7625,0.003626,0.000400,15.067499
200,200,1.9981254e-4,2.202238,9.0452,7507.19,7.9349,0.003576,0.000441,14.425974
210,210,1.9979333e-4,2.272604,9.7046,7229.27,8.0013,0.003649,0.000465,13.568130
220,220,1.9977317e-4,2.017648,7.5206,8088.91,8.0731,0.003723,0.000422,12.963165
230,230,1.997521e-4,1.941805,6.9713,7525.77,7.9268,0.003836,0.000478,12.530910
240,240,1.9973009e-4,2.026086,7.5843,7645.94,8.1336,0.004168,0.000525,12.182006
250,250,1.9970714e-4,2.065654,7.8905,7708.90,7.9882,0.004075,0.000461,13.549082
260,260,1.9968326e-4,1.934392,6.9198,8131.99,8.0316,0.003765,0.000437,12.208963
270,270,1.9965843e-4,1.894674,6.6504,7994.75,7.9374,0.003801,0.000366,12.425591
280,280,1.9963269e-4,1.825292,6.2046,7989.21,7.9566,0.003892,0.000398,11.903978
290,290,1.99606e-4,1.738411,5.6883,7967.71,7.9228,0.004221,0.000400,11.522828
300,300,1.9957838e-4,1.815545,6.1444,7747.90,8.1523,0.004246,0.000543,10.803287
310,310,1.9954983e-4,1.819654,6.1697,7561.27,8.1280,0.004221,0.000483,11.113699
320,320,1.9952033e-4,1.943407,6.9825,8064.47,7.9927,0.004403,0.000482,12.518209
330,330,1.9948992e-4,2.003725,7.4166,6801.68,8.1347,0.004198,0.000420,11.989671
340,340,1.9945858e-4,1.777858,5.9172,8310.93,8.2722,0.004179,0.000445,10.530869
350,350,1.9942629e-4,1.906171,6.7273,8309.57,8.2740,0.004258,0.000446,11.185036
360,360,1.9939308e-4,1.831339,6.2422,8271.00,8.5069,0.004233,0.000442,11.794737
370,370,1.9935891e-4,1.778341,5.9200,8247.01,8.2053,0.004355,0.000392,13.011808
380,380,1.9932384e-4,1.760002,5.8124,8131.61,8.3720,0.004360,0.000433,11.822985
390,390,1.9928782e-4,1.841061,6.3032,8160.45,8.3263,0.004576,0.000427,12.586626
400,400,1.992509e-4,1.822284,6.1860,8786.65,8.7525,0.004455,0.000475,10.618688
410,410,1.9921303e-4,1.769097,5.8656,8615.50,8.5736,0.004384,0.000439,11.038701
420,420,1.9917422e-4,1.768554,5.8624,7944.42,8.4494,0.004361,0.000420,11.447202
430,430,1.9913449e-4,1.715253,5.5581,8420.52,8.5678,0.004263,0.000384,10.911766
440,440,1.9909382e-4,1.731471,5.6490,8430.88,8.6091,0.004330,0.000390,10.676882
450,450,1.9905224e-4,1.680401,5.3677,8505.44,8.4938,0.004483,0.000439,10.851911
460,460,1.9900972e-4,1.597058,4.9385,8463.06,8.4515,0.004483,0.000473,10.490537
470,470,1.9896629e-4,1.475562,4.3735,8162.70,8.5118,0.004551,0.000438,9.305150
480,480,1.9892192e-4,1.587961,4.8938,8606.68,8.5317,0.004681,0.000461,10.073442
