step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.628225,278.1679,13734.18,13.6172,0.000948,0.037511,34.333611
20,20,2e-5,4.619182,101.4110,13012.94,12.9775,0.003506,0.036547,30.821331
30,30,3.0000001e-5,3.729738,41.6682,13140.36,13.0436,0.002941,0.033217,26.726706
40,40,4e-5,3.126605,22.7964,12407.62,13.4080,0.002794,0.029227,19.659910
50,50,5e-5,2.843548,17.1766,13272.15,13.2000,0.002765,0.026771,19.411053
60,60,6.0000002e-5,2.681343,14.6047,13041.08,13.6016,0.002877,0.024715,15.368237
70,70,6.9999995e-5,2.411317,11.1486,13659.38,13.6381,0.002978,0.022678,13.585790
80,80,8e-5,2.452403,11.6162,13779.47,13.8825,0.003640,0.022940,14.346364
90,90,8.9999994e-5,2.392181,10.9373,13477.63,13.4409,0.003809,0.022596,14.732060
100,100,1e-4,2.221321,9.2195,13475.57,13.4049,0.004349,0.022057,13.719110
110,110,1.1e-4,2.191827,8.9516,13056.99,13.8610,0.004812,0.022778,14.603607
120,120,1.20000004e-4,2.104490,8.2029,13299.60,13.5134,0.004799,0.021527,13.049471
130,130,1.2999999e-4,2.118593,8.3194,12595.86,13.5371,0.005528,0.022259,12.542014
140,140,1.3999999e-4,2.039205,7.6845,13881.28,13.7897,0.005380,0.021867,12.544149
150,150,1.4999999e-4,1.986956,7.2933,12608.84,13.1214,0.006029,0.021531,12.069536
160,160,1.6e-4,1.985375,7.2818,13272.72,13.2236,0.005959,0.021318,12.224024
170,170,1.7e-4,2.096956,8.1413,11998.10,13.0953,0.006371,0.021699,13.331418
180,180,1.7999999e-4,1.990684,7.3205,12973.63,12.9031,0.006634,0.020980,13.302742
190,190,1.8999999e-4,2.014837,7.4995,12790.55,12.7457,0.006546,0.021004,14.336020
200,200,1.9983227e-4,2.088560,8.0733,12170.49,12.8639,0.006694,0.020913,13.688196
210,210,1.9981508e-4,2.006500,7.4372,11640.88,12.8840,0.007034,0.019174,12.192497
220,220,1.9979705e-4,1.868547,6.4789,12970.34,12.9451,0.006916,0.019142,12.012429
230,230,1.997782e-4,1.788803,5.9823,12208.48,12.8590,0.007567,0.019059,11.559242
240,240,1.997585e-4,1.919378,6.8167,12252.73,13.0343,0.008178,0.019340,11.545135
250,250,1.9973796e-4,1.992549,7.3342,12432.40,12.8828,0.007729,0.019751,13.053714
260,260,1.997166e-4,1.811627,6.1204,13111.44,12.9496,0.006688,0.017891,11.449553
270,270,1.9969439e-4,1.780921,5.9353,12945.83,12.8530,0.006765,0.017604,11.675163
280,280,1.9967135e-4,1.703641,5.4939,12925.25,12.8725,0.006693,0.017174,11.105900
290,290,1.9964747e-4,1.609039,4.9980,12915.02,12.8423,0.007483,0.017381,10.666368
300,300,1.9962277e-4,1.710753,5.5331,12377.44,13.0235,0.007459,0.017614,10.176527
310,310,1.9959721e-4,1.698662,5.4666,12117.99,13.0263,0.007629,0.017362,10.368288
320,320,1.9957083e-4,1.825076,6.2033,13008.18,12.8924,0.007578,0.017987,11.760837
330,330,1.9954362e-4,1.759755,5.8110,10800.51,12.9172,0.007088,0.017262,10.796412
340,340,1.9951556e-4,1.699526,5.4714,13158.21,13.0968,0.007322,0.016461,10.068377
350,350,1.9948668e-4,1.827977,6.2213,13141.06,13.0848,0.007026,0.016508,10.729645
360,360,1.9945696e-4,1.722159,5.5966,12531.06,12.8885,0.007186,0.016389,11.089346
370,370,1.994264e-4,1.638017,5.1450,12725.17,12.6609,0.007646,0.016898,11.986952
380,380,1.9939501e-4,1.636386,5.1366,12447.36,12.8153,0.008137,0.017259,10.989156
390,390,1.993628e-4,1.736762,5.6789,12511.02,12.7653,0.008318,0.017856,11.867343
400,400,1.9932975e-4,1.740775,5.7018,13150.00,13.0988,0.007552,0.016680,10.141821
410,410,1.9929587e-4,1.651140,5.2129,13034.89,12.9715,0.007317,0.015475,10.303171
420,420,1.9926114e-4,1.651239,5.2134,12097.32,12.8663,0.007005,0.016253,10.699369
430,430,1.992256e-4,1.616678,5.0363,12721.32,12.9438,0.007451,0.016073,10.268819
440,440,1.991892e-4,1.628629,5.0969,12705.73,12.9743,0.007588,0.015535,10.047337
450,450,1.99152e-4,1.591216,4.9097,12894.26,12.8767,0.007767,0.015786,10.269995
460,460,1.9911396e-4,1.486519,4.4217,12881.09,12.8635,0.007884,0.014897,9.755920
470,470,1.9907509e-4,1.386723,4.0017,12417.46,12.9485,0.008357,0.014172,8.733615
480,480,1.9903539e-4,1.482241,4.4028,13008.74,12.8954,0.008372,0.015815,9.400965
490,490,1.9899487e-4,1.587033,4.8892,12539.19,12.9489,0.008726,0.016289,10.052141
500,500,1.989535e-4,1.701778,5.4837,12604.53,12.8352,0.008652,0.016733,11.229528
510,510,1.9891132e-4,1.448997,4.2588,12903.48,12.8834,0.008298,0.014437,9.389341
520,520,1.988683e-4,1.536164,4.6467,13047.06,12.9938,0.008426,0.015231,9.770120
530,530,1.9882445e-4,1.485324,4.4164,12923.67,12.8960,0.008200,0.014407,9.485318
540,540,1.9877979e-4,1.551265,4.7174,11814.56,12.8457,0.008517,0.015006,10.334893
550,550,1.9873428e-4,1.620637,5.0563,13040.03,12.9239,0.008280,0.015476,10.446958
560,560,1.9868797e-4,1.682574,5.3794,12129.08,13.1403,0.008098,0.015098,9.799618
570,570,1.9864082e-4,1.666808,5.2952,13248.81,13.1359,0.008131,0.015004,9.625193
580,580,1.9859284e-4,1.662343,5.2716,12601.77,13.0928,0.008439,0.014688,9.803105
590,590,1.9854403e-4,1.573563,4.8238,12809.15,12.6951,0.008622,0.015139,11.335499
600,600,1.9849441e-4,1.595521,4.9309,11866.79,12.8290,0.008245,0.014779,10.624865
610,610,1.9844396e-4,1.639815,5.1542,13156.20,13.0897,0.007917,0.015063,9.794698
620,620,1.9839269e-4,1.510799,4.5303,13105.26,13.0441,0.007606,0.013890,9.056107
630,630,1.9834058e-4,1.458425,4.2992,13233.69,13.2027,0.007757,0.013460,8.202936
640,640,1.9828767e-4,1.441658,4.2277,13144.57,13.0782,0.008302,0.013841,8.620092
650,650,1.9823393e-4,1.399619,4.0537,12388.96,13.0062,0.008519,0.013681,8.617363
660,660,1.9817938e-4,1.499837,4.4810,12840.47,12.8080,0.008832,0.015412,10.220467
670,670,1.9812399e-4,1.379572,3.9732,13008.45,12.8976,0.008276,0.013565,8.871062
680,680,1.9806778e-4,1.423585,4.1520,12896.59,12.8464,0.008537,0.014270,9.431089
690,690,1.9801076e-4,1.581933,4.8644,12183.24,12.9873,0.009254,0.014987,9.665724
700,700,1.9795292e-4,1.385343,3.9962,12964.79,12.9244,0.008495,0.013951,9.257138
710,710,1.9789426e-4,1.593378,4.9203,12177.04,13.1505,0.009649,0.015162,9.694878
720,720,1.9783479e-4,1.415410,4.1182,13390.91,13.3466,0.008516,0.012746,7.884084
730,730,1.9777448e-4,1.369918,3.9350,12050.55,12.9783,0.009433,0.013507,8.877102
740,740,1.9771337e-4,1.399488,4.0531,12984.08,12.9034,0.009590,0.014205,9.502977
750,750,1.9765143e-4,1.524693,4.5937,13165.09,13.0732,0.009201,0.014767,9.492677
760,760,1.975887e-4,1.398174,4.0478,12452.74,12.9143,0.009074,0.013797,9.316770
770,770,1.9752514e-4,1.330149,3.7816,12437.85,12.9619,0.009061,0.013227,8.814042
780,780,1.9746076e-4,1.357914,3.8881,13087.55,13.0468,0.010362,0.013214,8.526115
790,790,1.9739557e-4,1.351012,3.8613,12203.08,13.1758,0.010352,0.013372,8.106345
800,800,1.9732956e-4,1.590764,4.9075,13114.36,13.0582,0.009114,0.015015,9.962514
810,810,1.9726275e-4,1.390496,4.0168,13083.65,13.0251,0.008680,0.013425,8.848655
820,820,1.9719511e-4,1.432916,4.1909,12010.77,13.0591,0.009863,0.014185,9.314604
830,830,1.9712668e-4,1.476802,4.3789,12542.30,13.0495,0.009441,0.013803,9.360121
840,840,1.9705744e-4,1.473947,4.3664,13129.51,13.0454,0.008773,0.014339,9.409169
850,850,1.9698737e-4,1.450807,4.2666,12427.69,13.0630,0.009132,0.014114,9.148320
860,860,1.969165e-4,1.559868,4.7582,12877.63,12.9510,0.009258,0.014869,10.228909
870,870,1.9684482e-4,1.341474,3.8247,12025.48,12.9214,0.008972,0.013732,9.116072
880,880,1.9677235e-4,1.360824,3.8994,13125.94,13.0191,0.009696,0.013667,8.775049
890,890,1.9669905e-4,1.341992,3.8267,12991.44,12.9308,0.009722,0.014183,8.960283
