step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.502417,245.2840,10981.17,10.8876,0.000377,0.036432,33.565224
20,20,2e-5,4.650166,104.6023,11746.77,11.7147,0.001602,0.035334,31.025043
30,30,3.0000001e-5,3.710267,40.8647,11685.81,11.5997,0.001605,0.032458,26.583261
40,40,4e-5,3.099444,22.1856,10977.10,11.8621,0.001642,0.028355,19.490353
50,50,5e-5,2.854219,17.3609,11953.64,11.8886,0.002065,0.026485,19.481632
60,60,6.0000002e-5,2.663521,14.3467,11761.02,12.2665,0.002298,0.024716,15.271185
70,70,6.9999995e-5,2.428059,11.3369,12219.16,12.2001,0.002460,0.022819,13.678711
80,80,8e-5,2.454565,11.6414,11990.45,12.0801,0.003110,0.022950,14.360852
90,90,8.9999994e-5,2.373455,10.7344,12193.23,12.1600,0.003231,0.022593,14.611867
100,100,1e-4,2.210057,9.1162,12069.60,12.0063,0.003707,0.021902,13.655006
110,110,1.1e-4,2.193869,8.9699,11194.38,11.8837,0.004134,0.022479,14.619458
120,120,1.20000004e-4,2.109763,8.2463,12158.76,12.3542,0.004480,0.022177,13.078400
130,130,1.2999999e-4,2.129068,8.4070,12616.78,13.5596,0.004982,0.022649,12.596849
140,140,1.3999999e-4,2.031540,7.6258,12549.53,12.4667,0.004683,0.022112,12.501095
150,150,1.4999999e-4,1.988879,7.3073,11643.12,12.1164,0.005386,0.022033,12.077875
160,160,1.6e-4,1.985548,7.2830,12090.30,12.0456,0.005568,0.021660,12.225337
170,170,1.7e-4,2.097335,8.1444,12994.97,14.1834,0.005969,0.022008,13.332777
180,180,1.7999999e-4,1.985865,7.2853,12602.56,12.5340,0.006167,0.020714,13.269628
190,190,1.8999999e-4,1.992004,7.3302,11840.88,11.7994,0.006325,0.020962,14.174876
200,200,1.9983227e-4,2.082105,8.0213,11355.94,12.0030,0.006322,0.020956,13.637955
210,210,1.9981508e-4,2.006966,7.4407,10861.25,12.0211,0.006377,0.019293,12.207176
220,220,1.9979705e-4,1.870034,6.4885,12153.29,12.1296,0.006261,0.019382,12.024048
230,230,1.997782e-4,1.804314,6.0758,11726.17,12.3510,0.006662,0.019308,11.655882
240,240,1.997585e-4,1.908781,6.7449,11769.01,12.5197,0.007508,0.019461,11.481181
250,250,1.9973796e-4,1.973823,7.1981,14319.69,14.8385,0.006966,0.019254,12.923398
260,260,1.997166e-4,1.817533,6.1567,13480.98,13.3146,0.006290,0.017883,11.484549
270,270,1.9969439e-4,1.782824,5.9466,13695.64,13.5974,0.006522,0.017866,11.686666
280,280,1.9967135e-4,1.703236,5.4917,15199.96,15.1379,0.006761,0.017774,11.105700
290,290,1.9964747e-4,1.630701,5.1075,13965.77,13.8871,0.007011,0.017701,10.812698
300,300,1.9962277e-4,1.714289,5.5527,12720.12,13.3841,0.007035,0.017605,10.194643
310,310,1.9959721e-4,1.710897,5.5339,12397.42,13.3266,0.007865,0.017703,10.445981
320,320,1.9957083e-4,1.828537,6.2248,13224.84,13.1071,0.007610,0.018624,11.779390
330,330,1.9954362e-4,1.797672,6.0356,11124.81,13.3051,0.007102,0.017634,10.998476
340,340,1.9951556e-4,1.711763,5.5387,14265.22,14.1987,0.007229,0.016685,10.138638
350,350,1.9948668e-4,1.840986,6.3027,13342.97,13.2859,0.006918,0.016787,10.808139
360,360,1.9945696e-4,1.723629,5.6048,12682.01,13.0438,0.007159,0.016314,11.099406
370,370,1.994264e-4,1.651250,5.2135,12884.89,12.8198,0.007879,0.016799,12.081430
380,380,1.9939501e-4,1.639126,5.1507,12581.08,12.9530,0.008061,0.017192,11.008924
390,390,1.993628e-4,1.736203,5.6758,12630.28,12.8870,0.008362,0.017614,11.859886
400,400,1.9932975e-4,1.723255,5.6027,13326.77,13.2749,0.007169,0.016786,10.043592
410,410,1.9929587e-4,1.658373,5.2508,13185.61,13.1215,0.007312,0.015987,10.349888
420,420,1.9926114e-4,1.661940,5.2695,12287.84,13.0689,0.007101,0.016618,10.773515
430,430,1.992256e-4,1.616423,5.0350,12918.32,13.1442,0.007132,0.015922,10.268394
440,440,1.991892e-4,1.639207,5.1511,12897.08,13.1697,0.007532,0.015510,10.112297
450,450,1.99152e-4,1.608067,4.9931,13180.66,13.1627,0.007886,0.015910,10.379836
460,460,1.9911396e-4,1.506855,4.5125,15725.65,15.7042,0.008093,0.015087,9.888573
470,470,1.9907509e-4,1.396039,4.0392,15583.22,16.2497,0.008335,0.014274,8.791762
480,480,1.9903539e-4,1.498204,4.4736,15472.23,15.3374,0.008324,0.016102,9.502156
490,490,1.9899487e-4,1.607008,4.9879,14596.98,15.0739,0.008546,0.016616,10.178429
500,500,1.989535e-4,1.715476,5.5593,13590.60,13.8393,0.008521,0.016804,11.316158
510,510,1.9891132e-4,1.472082,4.3583,13833.41,13.8118,0.007956,0.014651,9.538210
520,520,1.988683e-4,1.552217,4.7219,13323.29,13.2689,0.008302,0.015412,9.870249
530,530,1.9882445e-4,1.497339,4.4698,13487.62,13.4587,0.008704,0.014808,9.561525
540,540,1.9877979e-4,1.568705,4.8004,13475.16,14.6513,0.008646,0.015290,10.455031
550,550,1.9873428e-4,1.640481,5.1576,13954.13,13.8299,0.008400,0.015643,10.577237
560,560,1.9868797e-4,1.677381,5.3515,12731.85,13.7933,0.008473,0.015281,9.770859
570,570,1.9864082e-4,1.672012,5.3229,13624.31,13.5082,0.008467,0.015321,9.656444
580,580,1.9859284e-4,1.670383,5.3142,12791.25,13.2896,0.008490,0.014935,9.857268
590,590,1.9854403e-4,1.569687,4.8051,14568.00,14.4383,0.008698,0.015533,11.305727
600,600,1.9849441e-4,1.609878,5.0022,13492.32,14.5863,0.008477,0.014979,10.713622
610,610,1.9844396e-4,1.646549,5.1890,14596.69,14.5229,0.007982,0.015462,9.838688
620,620,1.9839269e-4,1.525074,4.5955,13856.71,13.7921,0.007593,0.014125,9.141116
630,630,1.9834058e-4,1.469099,4.3453,13712.48,13.6804,0.007755,0.013855,8.262835
640,640,1.9828767e-4,1.449329,4.2603,13398.74,13.3310,0.008366,0.014138,8.665956
650,650,1.9823393e-4,1.404532,4.0736,12787.60,13.4248,0.008569,0.014034,8.649767
660,660,1.9817938e-4,1.519227,4.5687,13112.53,13.0793,0.009053,0.015874,10.350214
670,670,1.9812399e-4,1.394240,4.0319,13184.10,13.0718,0.009152,0.014353,8.966982
680,680,1.9806778e-4,1.434457,4.1974,13122.46,13.0714,0.009167,0.014702,9.500283
690,690,1.9801076e-4,1.594244,4.9246,12955.76,13.8109,0.009621,0.015281,9.741740
700,700,1.9795292e-4,1.393409,4.0286,13347.75,13.3062,0.008671,0.013972,9.313587
710,710,1.9789426e-4,1.599613,4.9511,12351.27,13.3386,0.009483,0.015363,9.733971
720,720,1.9783479e-4,1.427441,4.1680,13562.09,13.5172,0.008921,0.013490,7.954167
730,730,1.9777448e-4,1.396016,4.0391,12251.28,13.1945,0.010300,0.014435,9.042093
740,740,1.9771337e-4,1.409859,4.0954,13153.66,13.0720,0.010034,0.014428,9.576483
750,750,1.9765143e-4,1.543438,4.6807,13358.17,13.2649,0.009357,0.015430,9.606250
760,760,1.975887e-4,1.413889,4.1119,12465.71,12.9278,0.009078,0.014069,9.414995
770,770,1.9752514e-4,1.350487,3.8593,12343.53,12.8636,0.009474,0.013490,8.952200
