step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.499259,244.5108,8759.99,8.6853,0.000251,0.000576,33.550247
20,20,2e-5,4.708584,110.8950,8415.41,8.3925,0.001341,0.001853,31.427637
30,30,3.0000001e-5,3.856311,47.2906,8297.51,8.2364,0.001456,0.001033,27.626526
40,40,4e-5,3.249318,25.7728,7922.67,8.5614,0.001256,0.000631,20.430222
50,50,5e-5,2.988866,19.8631,8569.04,8.5224,0.001227,0.000733,20.394459
60,60,6.0000002e-5,2.805876,16.5416,8611.65,8.9818,0.001293,0.001453,16.086170
70,70,6.9999995e-5,2.585188,13.2658,9057.53,9.0434,0.001521,0.000679,14.564463
80,80,8e-5,2.538023,12.6546,8741.15,8.8065,0.001737,0.000669,14.830241
90,90,8.9999994e-5,2.469882,11.8210,8784.40,8.7604,0.001663,0.000625,15.198492
100,100,1e-4,2.348445,10.4693,8815.33,8.7691,0.001749,0.001207,14.495565
110,110,1.1e-4,2.304488,10.0190,8050.88,8.5467,0.001927,0.000714,15.348824
120,120,1.20000004e-4,2.230556,9.3050,8484.78,8.6212,0.002096,0.001012,13.827589
130,130,1.2999999e-4,2.267030,9.6507,8280.11,8.8989,0.002401,0.001669,13.410245
140,140,1.3999999e-4,2.195250,8.9822,8669.36,8.6122,0.002409,0.001717,13.504324
150,150,1.4999999e-4,2.117514,8.3105,8416.61,8.7587,0.002881,0.002606,12.855571
160,160,1.6e-4,2.103618,8.1958,8831.02,8.7984,0.002894,0.001783,12.954666
170,170,1.7e-4,2.222708,9.2323,7751.48,8.4604,0.003282,0.002019,14.136250
180,180,1.7999999e-4,2.153717,8.6168,8434.35,8.3885,0.003420,0.002530,14.385297
190,190,1.8999999e-4,2.139503,8.4952,8302.93,8.2738,0.003600,0.002254,15.208387
200,200,1.9981254e-4,2.209946,9.1152,7972.91,8.4272,0.003615,0.002714,14.476965
210,210,1.9979333e-4,2.214586,9.1576,7815.31,8.6499,0.003606,0.002299,13.374613
220,220,1.9977317e-4,2.032909,7.6363,8730.50,8.7135,0.003689,0.002536,13.065828
230,230,1.997521e-4,1.952551,7.0466,8088.67,8.5196,0.003671,0.002189,12.600377
240,240,1.9973009e-4,2.035973,7.6597,8274.93,8.8028,0.003856,0.002678,12.240584
250,250,1.9970714e-4,2.067709,7.9067,8387.97,8.6918,0.003841,0.001851,13.564438
260,260,1.9968326e-4,1.951769,7.0411,8728.72,8.6210,0.003444,0.001659,12.317377
270,270,1.9965843e-4,1.900896,6.6919,8667.26,8.6051,0.003582,0.001701,12.461691
280,280,1.9963269e-4,1.830891,6.2394,8954.46,8.9179,0.003655,0.002239,11.937103
290,290,1.99606e-4,1.753367,5.7740,8797.63,8.7481,0.003696,0.001902,11.618472
300,300,1.9957838e-4,1.831545,6.2435,8436.11,8.8765,0.003867,0.002154,10.897755
310,310,1.9954983e-4,1.828108,6.2221,8415.39,9.0461,0.004009,0.002607,11.168971
320,320,1.9952033e-4,1.950735,7.0339,8874.66,8.7956,0.004191,0.002403,12.560709
330,330,1.9948992e-4,1.950325,7.0310,7336.32,8.7741,0.004013,0.002119,11.813973
340,340,1.9945858e-4,1.791938,6.0011,9173.02,9.1302,0.003942,0.002270,10.614386
350,350,1.9942629e-4,1.922861,6.8405,8991.67,8.9532,0.003973,0.002201,11.283842
360,360,1.9939308e-4,1.835162,6.2661,8513.66,8.7565,0.003863,0.002195,11.814596
370,370,1.9935891e-4,1.789811,5.9883,8500.82,8.4579,0.004097,0.002363,13.093160
380,380,1.9932384e-4,1.789000,5.9835,8269.95,8.5144,0.004221,0.003253,12.020421
390,390,1.9928782e-4,1.840608,6.3004,8444.35,8.6160,0.004338,0.003198,12.588313
400,400,1.992509e-4,1.826324,6.2110,9049.92,9.0147,0.004142,0.002601,10.645991
410,410,1.9921303e-4,1.769287,5.8667,8881.39,8.8382,0.004108,0.002361,11.034949
420,420,1.9917422e-4,1.775357,5.9024,8172.05,8.6915,0.004153,0.002560,11.489637
430,430,1.9913449e-4,1.714973,5.5565,8806.35,8.9604,0.003927,0.001882,10.913245
440,440,1.9909382e-4,1.740321,5.6992,8810.78,8.9970,0.003950,0.001830,10.732420
450,450,1.9905224e-4,1.690115,5.4201,8648.01,8.6362,0.004199,0.002432,10.914865
460,460,1.9900972e-4,1.604078,4.9733,8714.52,8.7026,0.004210,0.002687,10.533102
470,470,1.9896629e-4,1.499162,4.4779,8614.65,8.9831,0.004271,0.002705,9.461021
480,480,1.9892192e-4,1.613527,5.0205,8832.93,8.7560,0.004422,0.002586,10.237677
490,490,1.9887662e-4,1.697846,5.4622,8479.83,8.7569,0.004580,0.002821,10.754280
500,500,1.9883038e-4,1.815879,6.1465,8352.66,8.5055,0.004603,0.002589,11.972860
510,510,1.9878324e-4,1.568182,4.7979,8526.46,8.5132,0.004309,0.002439,10.164904
