step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,1,2.0000002e-6,5.820504,337.1420,1623.58,1.1215,0.054527,0.139908,30.293131
20,2,4.0000004e-6,5.811783,334.2144,1576.59,1.0530,0.053973,0.140927,29.869898
30,3,6e-6,5.749185,313.9347,1837.44,1.0204,0.054228,0.139091,30.186905
40,5,1.0000001e-5,5.701249,299.2410,1669.40,1.0673,0.053416,0.139693,28.941555
50,6,1.2e-5,5.610060,273.1607,1508.27,1.0382,0.052329,0.131823,29.311863
60,7,1.4000001e-5,5.499761,244.6335,1794.34,1.0626,0.050514,0.122792,28.329477
70,8,1.6000002e-5,5.412679,224.2314,1365.33,1.0105,0.049168,0.113347,28.787342
80,10,2.0000001e-5,5.306007,201.5438,1556.81,1.0669,0.046332,0.104936,26.913803
90,11,2.2e-5,5.223804,185.6389,1677.11,1.0077,0.044496,0.094367,27.850155
100,12,2.4e-5,5.146627,171.8509,1561.80,1.0315,0.041745,0.087822,26.954309
110,13,2.6000002e-5,5.038222,154.1957,1576.22,1.0357,0.038516,0.077849,26.002518
120,15,3.0000001e-5,4.913278,136.0847,1478.47,1.0722,0.036341,0.069124,25.362474
130,16,3.2000004e-5,4.855124,128.3967,1774.61,1.0323,0.033226,0.061503,25.012775
140,17,3.4000004e-5,4.784806,119.6782,2075.19,1.0428,0.030700,0.055777,24.983963
150,18,3.6e-5,4.719999,112.1681,1523.45,1.0753,0.028658,0.050253,24.330362
160,20,4.0000003e-5,4.663963,106.0556,1481.06,1.0364,0.026938,0.045226,24.095020
170,21,4.2000003e-5,4.580467,97.5599,2015.29,1.0139,0.024562,0.040536,23.707119
180,22,4.4e-5,4.487603,88.9081,1522.89,1.0384,0.023274,0.036000,23.126631
190,23,4.6000005e-5,4.488778,89.0126,1733.64,1.0226,0.022165,0.033144,23.606016
200,25,5.0000002e-5,4.395064,81.0498,1855.24,1.0719,0.021033,0.030946,22.461626
210,26,5.2000003e-5,4.324597,75.5351,1757.77,1.0743,0.019738,0.027784,22.144291
220,27,5.4000004e-5,4.274968,71.8779,1759.87,1.0204,0.018756,0.026062,21.660429
230,28,5.6000004e-5,4.228788,68.6340,1578.03,0.9718,0.018373,0.025099,22.117876
240,30,6.0000002e-5,4.134953,62.4867,1361.10,0.9745,0.017328,0.023138,21.509171
250,31,6.2e-5,4.070523,58.5876,1777.89,1.0128,0.016413,0.022107,20.796341
260,32,6.400001e-5,4.063725,58.1906,1572.09,0.9538,0.015863,0.020359,21.363712
270,33,6.6e-5,3.956712,52.2851,1503.56,1.0340,0.015266,0.019201,20.012383
280,35,7e-5,3.941925,51.5177,1319.23,0.9876,0.015069,0.019177,20.898561
290,36,7.2e-5,3.866218,47.7614,1520.25,1.0679,0.014357,0.018094,19.466700
300,37,7.4e-5,3.856492,47.2991,1546.46,1.0375,0.014066,0.017479,20.214079
310,38,7.6000004e-5,3.799176,44.6644,1357.92,1.0592,0.013864,0.017237,20.086449
320,40,8.0000005e-5,3.749244,42.4889,1376.41,1.0382,0.013711,0.017018,19.881218
330,41,8.2000006e-5,3.642533,38.1884,1485.14,1.0780,0.013086,0.016164,18.666798
340,42,8.400001e-5,3.587396,36.1399,1775.70,0.9683,0.012990,0.016136,18.868185
350,43,8.6e-5,3.551814,34.8765,1625.39,0.9711,0.012675,0.015794,18.105244
360,45,9.000001e-5,3.496293,32.9929,1480.58,0.9107,0.012541,0.015728,17.877514
370,46,9.200001e-5,3.384420,29.5009,1767.59,0.9254,0.012376,0.015604,17.356543
380,47,9.4e-5,3.411432,30.3086,1645.98,0.9216,0.012523,0.016110,17.896656
390,48,9.6e-5,3.340762,28.2406,1460.64,0.8989,0.012385,0.015857,17.370277
400,50,1.00000005e-4,3.262316,26.1099,1563.37,0.9502,0.012479,0.016127,16.989025
410,51,1.02000005e-4,3.297265,27.0386,1485.42,1.0420,0.012802,0.016964,17.384651
420,52,1.04000006e-4,3.240031,25.5345,1463.35,0.9000,0.012729,0.017177,16.640041
430,53,1.06e-4,3.078110,21.7173,1364.25,0.9964,0.012663,0.016787,15.672475
440,55,1.1000001e-4,3.088290,21.9395,1246.06,0.9830,0.012763,0.017400,15.753424
450,56,1.1200001e-4,3.113712,22.5044,1678.32,0.9100,0.012949,0.018056,16.439236
460,57,1.14e-4,3.013453,20.3576,1377.88,0.8566,0.013116,0.018138,16.008465
470,58,1.16e-4,3.028682,20.6700,1773.70,0.9178,0.013144,0.018348,15.641687
480,60,1.20000004e-4,2.934643,18.8148,1201.79,0.9307,0.013071,0.018345,15.110601
490,61,1.22000005e-4,2.852282,17.3273,1302.24,0.9599,0.013029,0.018514,14.785436
500,62,1.24e-4,2.893941,18.0644,1623.94,0.9525,0.012981,0.018264,15.424959
510,63,1.26e-4,2.841134,17.1352,1421.63,0.9585,0.013046,0.018122,14.751468
520,65,1.3e-4,2.738966,15.4710,1863.37,0.9714,0.012740,0.017598,13.955757
530,66,1.32e-4,2.659977,14.2960,1702.81,1.0042,0.012582,0.017903,13.559939
540,67,1.34e-4,2.702457,14.9163,1310.62,0.9186,0.012770,0.017998,14.257597
