step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,2,1.0000001e-5,5.255153,191.5507,1124.82,0.7781,0.092409,0.151845,27.367880
20,5,2.5000001e-5,5.183814,178.3618,1041.53,0.6956,0.091579,0.154081,26.583155
30,7,3.5e-5,4.980586,145.5596,1224.45,0.6810,0.089919,0.145913,26.119074
40,10,5.0000002e-5,4.729592,113.2494,1049.26,0.6709,0.085358,0.130931,24.038782
50,12,6.0000002e-5,4.499687,89.9890,1023.66,0.7046,0.078995,0.111962,23.403765
60,15,7.5e-5,4.286958,72.7448,1150.04,0.6817,0.069885,0.097846,22.089884
70,17,8.500001e-5,4.076045,58.9120,914.87,0.6802,0.063427,0.086551,21.785122
80,20,1.00000005e-4,3.856030,47.2773,1054.48,0.7226,0.055297,0.072477,19.532576
90,22,1.1000001e-4,3.677033,39.5289,1153.92,0.6940,0.050551,0.064682,19.620274
100,25,1.25e-4,3.508714,33.4053,1057.09,0.6982,0.045688,0.056387,18.243099
110,27,1.3500001e-4,3.293067,26.9253,1051.74,0.6911,0.040836,0.048083,16.999929
120,30,1.5e-4,3.129699,22.8671,939.98,0.6817,0.037773,0.043426,16.114689
130,32,1.6000001e-4,3.041369,20.9339,1110.53,0.6460,0.034548,0.039289,15.632886
140,35,1.7500001e-4,2.889969,17.9927,1204.91,0.6055,0.031884,0.036093,14.984568
150,37,1.8500001e-4,2.739925,15.4858,909.07,0.6416,0.029426,0.033081,14.069433
160,40,2.0000001e-4,2.716517,15.1275,912.40,0.6384,0.028029,0.031532,14.019905
170,42,2.1e-4,2.569137,13.0545,1234.51,0.6211,0.026155,0.029476,13.152245
180,45,2.2500001e-4,2.441908,11.4950,941.64,0.6421,0.024853,0.028259,12.576690
190,47,2.3500001e-4,2.409503,11.1284,1057.64,0.6259,0.024367,0.027773,12.601250
200,50,2.5e-4,2.371661,10.7152,1088.27,0.6287,0.024076,0.027667,12.067090
210,52,2.6e-4,2.270711,9.6863,1019.32,0.6230,0.023544,0.026977,11.586956
220,55,2.7500003e-4,2.188103,8.9183,1100.59,0.6382,0.023096,0.026383,11.073243
230,57,2.8500002e-4,2.166298,8.7259,980.98,0.6062,0.023750,0.027568,11.365653
240,60,3e-4,2.025731,7.5816,911.74,0.6528,0.023394,0.026989,10.552884
250,62,3.1e-4,2.004987,7.4260,1144.23,0.6518,0.023344,0.026905,10.270967
260,65,3.25e-4,2.001578,7.4007,1027.56,0.6244,0.023973,0.028287,10.500879
270,67,3.3500002e-4,1.885408,6.5890,933.52,0.6420,0.023430,0.027285,9.523182
280,70,3.5000002e-4,1.915612,6.7911,843.03,0.6311,0.024312,0.028141,10.131913
290,72,3.6000003e-4,1.827250,6.2168,922.00,0.6502,0.023417,0.027366,9.221720
300,75,3.75e-4,1.791482,5.9983,925.08,0.6206,0.023921,0.028095,9.371310
310,77,3.8500002e-4,1.780618,5.9335,810.61,0.6323,0.024921,0.029112,9.409333
320,80,4.0000002e-4,1.764721,5.8399,864.53,0.6521,0.025836,0.030534,9.345307
330,82,4.1e-4,1.639992,5.1551,888.13,0.6446,0.024632,0.029331,8.379793
340,85,4.2500003e-4,1.694799,5.4456,1115.68,0.6084,0.025268,0.029927,8.907423
350,87,4.3500002e-4,1.611886,5.0123,1043.49,0.6269,0.024551,0.029508,8.241632
360,90,4.5000002e-4,1.567314,4.7938,1034.02,0.6360,0.024779,0.030212,8.028577
370,92,4.6000004e-4,1.551387,4.7180,1198.15,0.6273,0.025548,0.032104,7.967173
380,95,4.75e-4,1.588024,4.8941,1074.00,0.6014,0.026105,0.032319,8.353923
390,97,4.8500003e-4,1.564121,4.7785,1008.87,0.6208,0.024473,0.030400,8.097147
400,100,5e-4,1.489050,4.4329,1057.56,0.6428,0.024407,0.030567,7.762143
410,102,5e-4,1.521152,4.5775,909.06,0.6377,0.025448,0.032170,8.018381
420,105,5e-4,1.554024,4.7305,1015.72,0.6272,0.025860,0.032867,8.004530
430,107,5e-4,1.371112,3.9397,909.09,0.6640,0.024402,0.031294,6.968946
440,110,5e-4,1.401848,4.0627,846.41,0.6677,0.025567,0.032750,7.164408
450,112,5e-4,1.507705,4.5164,1142.80,0.6197,0.026111,0.033322,7.937438
460,115,5e-4,1.421853,4.1448,1019.90,0.6350,0.025596,0.033534,7.579142
470,117,5e-4,1.431968,4.1869,1161.01,0.6029,0.024325,0.031656,7.431262
480,120,5e-4,1.347628,3.8483,849.64,0.6580,0.023941,0.032058,6.942845
490,122,5e-4,1.367083,3.9239,841.37,0.6202,0.023939,0.032476,7.052434
500,125,5e-4,1.469038,4.3451,1052.21,0.6177,0.024396,0.032758,7.799203
510,127,5e-4,1.372088,3.9436,912.67,0.6153,0.023815,0.032280,7.107545
520,130,5e-4,1.342463,3.8285,1196.30,0.6237,0.023919,0.033042,6.797806
530,132,5e-4,1.314986,3.7247,1076.19,0.6347,0.024111,0.032954,6.706363
540,135,5e-4,1.353538,3.8711,885.09,0.6211,0.023353,0.031791,7.179900
550,137,5e-4,1.297908,3.6616,927.80,0.6008,0.022409,0.030708,6.798406
560,140,5e-4,1.305242,3.6886,895.01,0.6191,0.022797,0.031432,6.775171
570,142,5e-4,1.314286,3.7221,1273.99,0.6118,0.023566,0.032879,6.957331
580,145,5e-4,1.213833,3.3664,940.35,0.6246,0.023006,0.032362,6.286505
590,147,5e-4,1.255860,3.5109,834.62,0.6084,0.024077,0.034153,6.698881
600,150,5e-4,1.276191,3.5830,917.72,0.6424,0.023265,0.032763,6.669721
610,152,5e-4,1.269994,3.5608,898.44,0.6444,0.022121,0.031297,6.597142
620,155,5e-4,1.218232,3.3812,936.56,0.6301,0.022999,0.032582,6.352283
630,157,5e-4,1.261746,3.5316,1054.04,0.6191,0.023420,0.033759,6.475965
640,160,5e-4,1.224055,3.4010,1142.19,0.6213,0.022621,0.031885,6.275996
