step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,2,6e-6,5.119748,167.2932,782.74,0.5415,0.094432,0.137867,26.672016
20,5,1.50000005e-5,4.204059,66.9575,682.45,0.4558,0.072487,0.087298,21.605452
30,7,2.1000002e-5,3.548007,34.7440,824.62,0.4586,0.058163,0.063778,18.594143
40,10,3.0000001e-5,3.100691,22.2133,747.45,0.4779,0.050438,0.055141,15.765310
50,12,3.6e-5,2.870740,17.6501,668.40,0.4601,0.044658,0.049953,14.940389
60,15,4.5000004e-5,2.649652,14.1491,762.61,0.4520,0.039935,0.043112,13.656586
70,17,5.1000003e-5,2.451626,11.6072,603.14,0.4485,0.037149,0.039237,13.099528
80,20,6.0000002e-5,2.347301,10.4573,689.27,0.4724,0.035483,0.038738,11.890441
90,22,6.6e-5,2.380123,10.8062,752.81,0.4528,0.033166,0.036355,12.699240
100,25,7.5e-5,2.195743,8.9867,709.99,0.4689,0.028874,0.030415,11.413428
110,27,8.1000006e-5,2.019223,7.5325,737.25,0.4844,0.028586,0.030417,10.418032
120,30,9.000001e-5,2.004672,7.4237,666.28,0.4832,0.028368,0.030594,10.324732
130,32,9.6e-5,1.963547,7.1246,804.87,0.4682,0.028298,0.030410,10.093430
140,35,1.0500001e-4,2.008796,7.4543,888.78,0.4466,0.028046,0.029928,10.421298
150,37,1.1100001e-4,1.921433,6.8307,674.79,0.4763,0.025913,0.028508,9.868032
160,40,1.20000004e-4,1.972284,7.1871,681.55,0.4769,0.024391,0.025973,10.174899
170,42,1.26e-4,1.915133,6.7878,912.80,0.4592,0.024462,0.026114,9.821842
180,45,1.3500001e-4,1.980157,7.2439,678.58,0.4628,0.024405,0.027044,10.198170
190,47,1.4100001e-4,1.837365,6.2800,788.09,0.4664,0.022000,0.023615,9.614582
200,50,1.5e-4,1.771117,5.8774,780.34,0.4508,0.021891,0.023524,9.009509
210,52,1.56e-4,1.690920,5.4245,744.01,0.4547,0.022901,0.024739,8.634451
220,55,1.65e-4,1.699402,5.4707,809.40,0.4693,0.023425,0.026113,8.598712
230,57,1.71e-4,1.721462,5.5927,770.64,0.4762,0.021794,0.023987,9.032416
240,60,1.8000002e-4,1.652679,5.2210,658.20,0.4713,0.021889,0.024245,8.609490
250,62,1.86e-4,1.647844,5.1958,826.02,0.4705,0.022696,0.025361,8.428281
260,65,1.95e-4,1.702887,5.4898,742.03,0.4509,0.021440,0.024287,8.955137
270,67,2.0100002e-4,1.593300,4.9200,733.82,0.5047,0.021593,0.024189,8.046194
280,70,2.1000001e-4,1.637316,5.1414,647.74,0.4849,0.022144,0.024853,8.665751
290,72,2.1600001e-4,1.628593,5.0967,730.86,0.5154,0.021690,0.024804,8.240496
300,75,2.2500001e-4,1.514540,4.5473,704.08,0.4723,0.022130,0.025249,7.928567
310,77,2.31e-4,1.485791,4.4185,645.64,0.5036,0.021932,0.025090,7.851713
320,80,2.4000001e-4,1.625831,5.0826,642.57,0.4847,0.024419,0.029660,8.604783
330,82,2.46e-4,1.516934,4.5582,682.04,0.4950,0.020576,0.024219,7.750358
