step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.517929,249.1186,9655.82,9.5736,0.135483,0.057586
20,20,2e-5,4.675263,107.2608,9617.88,9.5917,0.130791,0.051089
30,30,3.0000001e-5,3.851451,47.0613,9567.78,9.4973,0.120115,0.042842
40,40,4e-5,3.334433,28.0625,8819.44,9.5305,0.092569,0.034340
50,50,5e-5,3.042740,20.9626,9546.97,9.4950,0.078477,0.026918
60,60,6.0000002e-5,2.906707,18.2964,9404.46,9.8087,0.066785,0.024817
70,70,6.9999995e-5,2.669739,14.4362,9771.17,9.7559,0.061843,0.022405
80,80,8e-5,2.609710,13.5951,9478.93,9.5498,0.064507,0.022023
90,90,8.9999994e-5,2.520547,12.4354,9503.92,9.4780,0.063692,0.020875
100,100,1e-4,2.382330,10.8301,9535.16,9.4851,0.063539,0.020723
110,110,1.1e-4,2.309948,10.0739,8794.65,9.3362,0.067812,0.021050
120,120,1.20000004e-4,2.247452,9.4636,9509.33,9.6622,0.065854,0.020736
130,130,1.2999999e-4,2.271780,9.6967,9051.03,9.7274,0.062779,0.020800
140,140,1.3999999e-4,2.155591,8.6330,9583.67,9.5204,0.059916,0.020073
150,150,1.4999999e-4,2.080110,8.0054,9146.68,9.5185,0.060843,0.020406
160,160,1.6e-4,2.081475,8.0163,9557.69,9.5224,0.060246,0.020324
170,170,1.7e-4,2.206573,9.0845,8774.04,9.5764,0.058532,0.020744
180,180,1.7999999e-4,2.112694,8.2705,9510.07,9.4583,0.054200,0.018754
190,190,1.8999999e-4,2.091211,8.0947,9355.35,9.3226,0.056411,0.019024
200,200,1.9983227e-4,2.170486,8.7625,8887.00,9.3934,0.053666,0.019111
210,210,1.9981508e-4,2.178585,8.8338,8670.80,9.5967,0.049831,0.018015
220,220,1.9979705e-4,1.954837,7.0628,9551.23,9.5326,0.048712,0.017597
230,230,1.997782e-4,1.882388,6.5692,8947.91,9.4247,0.048581,0.017735
240,240,1.997585e-4,1.997760,7.3725,8976.27,9.5488,0.049447,0.018416
250,250,1.9973796e-4,2.060922,7.8532,9135.03,9.4660,0.047580,0.017670
260,260,1.997166e-4,1.878214,6.5418,9698.47,9.5787,0.042377,0.016297
270,270,1.9969439e-4,1.877311,6.5359,9490.76,9.4227,0.043047,0.016599
280,280,1.9967135e-4,1.777638,5.9159,9456.41,9.4178,0.041202,0.016036
290,290,1.9964747e-4,1.689112,5.4147,9464.22,9.4109,0.043647,0.016349
300,300,1.9962277e-4,1.801408,6.0582,9108.21,9.5836,0.042968,0.016619
310,310,1.9959721e-4,1.777940,5.9177,8880.74,9.5464,0.041029,0.016105
320,320,1.9957083e-4,1.904545,6.7164,9555.71,9.4706,0.040793,0.016281
330,330,1.9954362e-4,1.905063,6.7198,7930.72,9.4850,0.038232,0.015679
340,340,1.9951556e-4,1.756232,5.7906,9603.24,9.5584,0.037517,0.015087
350,350,1.9948668e-4,1.891491,6.6292,9618.32,9.5772,0.036940,0.015295
360,360,1.9945696e-4,1.787824,5.9764,9196.41,9.4587,0.036609,0.014969
370,370,1.994264e-4,1.735408,5.6712,9344.99,9.2978,0.040024,0.015371
380,380,1.9939501e-4,1.725294,5.6142,9114.95,9.3844,0.040820,0.015922
390,390,1.993628e-4,1.812841,6.1278,9146.02,9.3319,0.039749,0.016016
400,400,1.9932975e-4,1.799411,6.0461,9651.05,9.6135,0.034700,0.014541
410,410,1.9929587e-4,1.715534,5.5596,9580.30,9.5337,0.034733,0.014092
420,420,1.9926114e-4,1.715358,5.5587,8907.04,9.4732,0.036531,0.015093
430,430,1.992256e-4,1.672086,5.3233,9403.60,9.5681,0.036646,0.014866
440,440,1.991892e-4,1.696749,5.4562,9396.69,9.5953,0.034708,0.014239
450,450,1.99152e-4,1.663976,5.2803,9455.36,9.4425,0.034487,0.014129
460,460,1.9911396e-4,1.565803,4.7865,9445.53,9.4326,0.033382,0.013412
470,470,1.9907509e-4,1.452879,4.2754,9112.27,9.5020,0.034172,0.013358
480,480,1.9903539e-4,1.570837,4.8107,9564.40,9.4811,0.034607,0.014442
490,490,1.9899487e-4,1.656327,5.2400,9223.65,9.5250,0.035030,0.014747
500,500,1.989535e-4,1.770568,5.8742,9291.72,9.4617,0.034107,0.014857
510,510,1.9891132e-4,1.512874,4.5398,9465.23,9.4505,0.031126,0.013005
520,520,1.988683e-4,1.604549,4.9756,9517.08,9.4782,0.034066,0.014341
530,530,1.9882445e-4,1.548916,4.7064,9584.87,9.5643,0.032902,0.013592
540,540,1.9877979e-4,1.622273,5.0646,9248.44,10.0556,0.034163,0.013795
