step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.425596,227.1466,9550.31,9.4689,0.000339,0.040334
20,20,2e-5,4.882459,131.9547,8988.99,8.9645,0.001683,0.039846
30,30,3.0000001e-5,4.129938,62.1740,9099.03,9.0320,0.002172,0.037392
40,40,4e-5,3.492829,32.8788,8424.22,9.1034,0.002071,0.033187
50,50,5e-5,3.132272,22.9260,9106.32,9.0568,0.002238,0.030981
60,60,6.0000002e-5,2.891621,18.0225,8955.21,9.3401,0.002616,0.028406
70,70,6.9999995e-5,2.653678,14.2062,9481.79,9.4670,0.002598,0.026061
80,80,8e-5,2.607057,13.5591,9185.82,9.2545,0.003057,0.025434
90,90,8.9999994e-5,2.508771,12.2898,9295.78,9.2704,0.003099,0.024510
100,100,1e-4,2.348281,10.4676,9300.00,9.2512,0.003423,0.024126
110,110,1.1e-4,2.301973,9.9939,8528.48,9.0537,0.004194,0.024595
120,120,1.20000004e-4,2.223577,9.2403,9096.84,9.2431,0.004392,0.024610
130,130,1.2999999e-4,2.230491,9.3044,8710.32,9.3612,0.005522,0.025513
140,140,1.3999999e-4,2.135626,8.4623,9172.34,9.1118,0.005412,0.025396
150,150,1.4999999e-4,2.060781,7.8521,8946.60,9.3103,0.005837,0.025087
160,160,1.6e-4,2.068387,7.9120,9195.08,9.1611,0.006484,0.025904
170,170,1.7e-4,2.152896,8.6098,8064.25,8.8017,0.007208,0.026679
180,180,1.7999999e-4,2.069372,7.9199,6094.80,6.0617,0.007577,0.026496
190,190,1.8999999e-4,2.035115,7.6531,5898.93,5.8783,0.007605,0.026696
200,200,1.9983227e-4,2.127145,8.3909,5618.34,5.9385,0.007732,0.027353
210,210,1.9981508e-4,2.072087,7.9414,5404.73,5.9819,0.008214,0.025325
220,220,1.9979705e-4,1.939456,6.9550,6031.93,6.0202,0.008097,0.024874
230,230,1.997782e-4,1.862971,6.4429,5657.33,5.9588,0.008203,0.024624
240,240,1.997585e-4,1.956700,7.0759,5665.67,6.0271,0.009318,0.025213
250,250,1.9973796e-4,2.037759,7.6734,5769.50,5.9785,0.009029,0.025508
