step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,1e-5,5.429044,227.9312,7531.33,7.4672,0.145377,0.052210,33.098549
20,20,2e-5,4.333057,76.1768,8078.69,8.0567,0.131664,0.031120,28.906622
30,30,3.0000001e-5,3.751575,42.5881,7927.12,7.8687,0.115475,0.020687,26.878895
40,40,4e-5,3.421368,30.6113,7613.87,8.2277,0.091852,0.014361,21.486225
50,50,5e-5,3.236428,25.4427,8047.01,8.0032,0.081754,0.009294,22.066982
60,60,6.0000002e-5,3.185030,24.1680,8097.85,8.4459,0.071139,0.008727,18.263508
70,70,6.9999995e-5,3.065356,21.4421,8503.06,8.4898,0.066372,0.007525,17.282574
80,80,8e-5,3.058075,21.2865,8186.71,8.2479,0.067235,0.006821,17.863363
90,90,8.9999994e-5,3.022896,20.5507,8186.19,8.1639,0.065386,0.005603,18.580378
100,100,1e-4,2.955191,19.2054,8131.95,8.0893,0.063757,0.005038,18.218172
110,110,1.1e-4,2.964790,19.3906,7414.42,7.8710,0.067457,0.004641,19.752920
120,120,1.20000004e-4,2.912224,18.3977,7899.98,8.0270,0.062563,0.004204,18.062296
130,130,1.2999999e-4,2.943007,18.9728,7602.90,8.1710,0.061117,0.004283,17.420267
140,140,1.3999999e-4,2.877228,17.7650,8113.09,8.0596,0.059231,0.003583,17.688875
150,150,1.4999999e-4,2.836736,17.0600,7770.28,8.0861,0.058302,0.003675,17.221960
160,160,1.6e-4,2.797995,16.4117,8093.25,8.0633,0.058606,0.003322,17.236731
170,170,1.7e-4,2.953942,19.1814,7268.01,7.9327,0.060558,0.003588,18.734793
180,180,1.7999999e-4,2.917598,18.4968,7897.87,7.8549,0.057654,0.002778,19.490091
190,190,1.8999999e-4,2.875145,17.7280,7773.14,7.7459,0.058140,0.002558,20.404602
200,200,1.9981254e-4,2.910359,18.3634,7462.24,7.8874,0.059065,0.002789,19.085524
210,210,1.9979333e-4,2.926818,18.6681,7213.86,7.9842,0.058412,0.002613,17.885590
220,220,1.9977317e-4,2.811999,16.6432,8002.54,7.9869,0.057506,0.002414,18.060841
230,230,1.997521e-4,2.803271,16.4985,7546.67,7.9488,0.058070,0.002396,18.145142
