step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,10,2e-5,5.246323,189.8668,1245.68,1.0006,0.173860,0.444880,32.601250
20,20,4e-5,4.766396,117.4950,1183.95,0.9567,0.163797,0.392000,32.131790
30,30,6.0000002e-5,4.277606,72.0677,1201.43,0.9657,0.125059,0.273144,28.949286
40,40,8e-5,3.901155,49.4596,1131.72,0.9885,0.088544,0.163854,25.888432
50,50,1e-4,3.666497,39.1146,1193.40,1.0473,0.063659,0.099778,21.151030
60,60,1.20000004e-4,3.450463,31.5150,1279.36,1.0442,0.051620,0.064894,19.586393
70,70,1.3999999e-4,3.356668,28.6934,1271.50,1.0231,0.050003,0.052533,20.585770
80,80,1.6e-4,3.244028,25.6368,1243.79,1.0035,0.048087,0.044180,19.604601
90,90,1.7999999e-4,3.158264,23.5297,1190.11,0.9638,0.051692,0.045875,20.671242
100,100,2e-4,3.118295,22.6078,1244.05,1.0009,0.053716,0.047490,19.154156
110,110,2.2e-4,3.067470,21.4875,1156.35,1.0131,0.055670,0.046944,18.225758
120,120,2.4000001e-4,2.958768,19.2742,1248.08,1.0059,0.059850,0.045802,17.942106
130,130,2.5999997e-4,2.938418,18.8859,1186.02,0.9958,0.064235,0.044582,18.174549
140,140,2.7999998e-4,3.037631,20.8558,1201.56,0.9671,0.068149,0.045380,19.929920
150,150,2.9999999e-4,2.990845,19.9025,1174.47,0.9456,0.066378,0.039133,20.477804
160,160,3.2e-4,2.968120,19.4553,1182.05,0.9585,0.070111,0.042007,20.082857
170,170,3.4e-4,2.907729,18.3152,1138.10,0.9846,0.067829,0.035047,18.389286
180,180,3.5999998e-4,2.846159,17.2215,1210.93,0.9759,0.076164,0.036728,18.283085
190,190,3.7999998e-4,2.845536,17.2108,1215.39,0.9821,0.092150,0.042537,18.074924
200,200,3.9990622e-4,2.844189,17.1876,1124.27,0.9717,0.103663,0.044156,18.322533
210,210,3.998966e-4,2.752096,15.6755,1223.48,0.9846,0.105781,0.038979,17.108864
220,220,3.9988657e-4,2.739270,15.4757,1199.68,0.9643,0.134888,0.041149,18.037441
230,230,3.99876e-4,2.718640,15.1597,1198.95,0.9650,0.129526,0.034987,17.654552
240,240,3.99865e-4,2.640501,14.0202,1192.12,0.9876,0.120089,0.031958,16.249535
250,250,3.9985348e-4,2.619338,13.7266,1224.53,0.9878,0.139302,0.034601,16.210066
260,260,3.9984155e-4,2.648308,14.1301,1103.84,0.9714,0.159937,0.039602,17.201492
270,270,3.9982912e-4,2.553060,12.8464,1219.26,0.9879,0.159353,0.036243,15.773300
280,280,3.9981626e-4,2.529654,12.5492,1274.29,1.0239,0.166417,0.034685,14.597923
290,290,3.998029e-4,2.518129,12.4054,1154.26,0.9691,0.172356,0.033869,16.177525
300,300,3.9978907e-4,2.519592,12.4235,1149.76,0.9231,0.189217,0.034895,18.156071
310,310,3.9977476e-4,2.567932,13.0388,1123.22,0.9493,0.194192,0.039938,17.487408
320,320,3.9976003e-4,2.540649,12.6879,1194.06,0.9881,0.169818,0.034632,15.752800
330,330,3.9974478e-4,2.475985,11.8934,1225.50,0.9900,0.164227,0.030380,15.117450
340,340,3.997291e-4,2.462826,11.7379,1103.86,0.9704,0.175467,0.032529,15.849072
350,350,3.9971294e-4,2.419945,11.2452,1157.56,0.9791,0.188397,0.029988,15.475542
360,360,3.996963e-4,2.455804,11.6558,1217.63,0.9821,0.185422,0.030926,15.475987
370,370,3.9967918e-4,2.428257,11.3391,1199.36,0.9669,0.206257,0.035732,15.844475
380,380,3.996616e-4,2.375952,10.7613,1183.93,0.9813,0.183214,0.030788,14.916066
390,390,3.9964358e-4,2.428252,11.3390,1207.85,0.9730,0.187901,0.032540,15.532160
400,400,3.9962507e-4,2.424263,11.2939,1173.66,0.9738,0.191087,0.034702,15.672630
410,410,3.996061e-4,2.383540,10.8432,1124.05,0.9684,0.181221,0.030484,15.367670
420,420,3.9958666e-4,2.435074,11.4167,1205.91,0.9706,0.203532,0.034949,15.497580
430,430,3.9956675e-4,2.339907,10.3803,1219.49,0.9794,0.193554,0.031014,15.013339
440,440,3.9954635e-4,2.350653,10.4924,1184.20,0.9607,0.204241,0.032019,15.341957
450,450,3.995255e-4,2.371248,10.7108,1152.88,0.9867,0.193708,0.032472,14.720471
460,460,3.995042e-4,2.398061,11.0018,1293.74,1.0397,0.204820,0.036126,13.424612
470,470,3.9948244e-4,2.379600,10.8006,1121.60,0.9906,0.199156,0.030649,14.355250
480,480,3.9946017e-4,2.348924,10.4743,1141.79,0.9195,0.214132,0.035152,16.836979
490,490,3.9943747e-4,2.380177,10.8068,1168.89,0.9988,0.189624,0.027064,14.392769
500,500,3.9941428e-4,2.350259,10.4883,1236.54,0.9948,0.194997,0.028449,14.283506
510,510,3.993906e-4,2.277807,9.7553,1283.41,1.0320,0.184860,0.026844,12.838379
520,520,3.9936652e-4,2.290192,9.8768,1249.42,1.0060,0.198847,0.028011,13.688768
530,530,3.9934192e-4,2.308453,10.0589,1185.37,0.9656,0.206795,0.029743,14.876106
