step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,2,4.0000004e-6,6.065818,430.8749,674.00,0.1082
20,5,1.0000001e-5,5.695401,297.4961,609.87,0.0966
30,7,1.4000001e-5,5.196191,180.5831,678.37,0.0940
40,10,2.0000001e-5,4.796030,121.0289,647.90,0.0973
50,12,2.4e-5,4.516483,91.5132,572.24,0.1037
60,15,3.0000001e-5,4.332595,76.1416,559.37,0.0975
70,17,3.4000004e-5,4.050364,57.4184,527.12,0.1024
80,20,4.0000003e-5,3.875417,48.2028,628.38,0.1010
90,22,4.4e-5,3.686584,39.9083,583.38,0.1046
100,25,5.0000002e-5,3.578313,35.8131,533.36,0.1010
110,27,5.4000004e-5,3.494427,32.9314,714.22,0.1253
120,30,6.0000002e-5,3.368752,29.0422,606.66,0.0991
130,32,6.400001e-5,3.211314,24.8117,792.00,0.0969
140,35,7e-5,3.110939,22.4421,626.88,0.0959
150,37,7.4e-5,2.977706,19.6427,520.40,0.1024
110,27,5.4000004e-5,3.501703,33.1719,2962.09,0.5646
120,30,6.0000002e-5,3.401669,30.0141,491.16,0.1059
130,32,6.400001e-5,3.268712,26.2775,483.44,0.1045
140,35,7e-5,3.071212,21.5680,548.12,0.1010
150,37,7.4e-5,2.996358,20.0125,543.79,0.1012
160,40,8.0000005e-5,2.856081,17.3932,600.54,0.0979
170,42,8.400001e-5,2.734172,15.3970,481.20,0.1028
180,45,9.000001e-5,2.668836,14.4232,536.93,0.0964
190,47,9.4e-5,2.572441,13.0978,616.10,0.0957
200,50,1.00000005e-4,2.531214,12.5688,606.29,0.0988
210,52,1.04000006e-4,2.547719,12.7779,858.37,0.2141
220,55,1.1000001e-4,2.476566,11.9003,491.72,0.1032
230,57,1.14e-4,2.395302,10.9715,529.06,0.1047
240,60,1.20000004e-4,2.315308,10.1280,556.12,0.1022
250,62,1.24e-4,2.250794,9.4953,503.84,0.1040
260,65,1.3e-4,2.192991,8.9620,464.58,0.1037
270,67,1.34e-4,2.264474,9.6261,552.32,0.0944
280,70,1.4e-4,2.172267,8.7782,549.78,0.0984
