step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
467010,116752,5e-6,1.067672,2.9086,9212.09,7.9018,3.140635
467020,116755,5e-6,1.022963,2.7814,13011.16,8.1062,3.648099
467030,116757,5e-6,1.016672,2.7640,8375.21,9.1509,2.896137
467040,116760,5e-6,1.000216,2.7189,10583.24,8.3402,2.852960
467050,116762,5e-6,1.461119,4.3108,5103.91,8.4215,5.317852
467060,116765,5e-6,1.371558,3.9415,6722.38,9.3809,6.702051
467070,116767,5e-6,1.376871,3.9625,12395.41,8.0122,18.978331
467080,116770,5e-6,0.969994,2.6379,9353.64,8.0733,2.915107
467090,116772,5e-6,0.879347,2.4093,11224.90,7.5750,2.516031
467100,116775,5e-6,0.876102,2.4015,8334.37,8.0604,2.611737
467110,116777,5e-6,1.073177,2.9247,9684.36,8.7946,3.312387
467120,116780,5e-6,0.991505,2.6953,9294.36,8.0126,2.975978
467130,116782,5e-6,1.443096,4.2338,9006.88,8.7889,11.803550
467140,116785,5e-6,0.913752,2.4937,11073.82,8.0951,2.552527
467150,116787,5e-6,1.219568,3.3857,9610.01,7.8312,4.278169
467160,116790,5e-6,1.183421,3.2655,7626.38,8.9271,3.900941
467170,116792,5e-6,1.035803,2.8174,8612.13,8.6004,2.980483
467180,116795,5e-6,1.104733,3.0184,8776.80,8.1764,3.372192
467190,116797,5e-6,1.019865,2.7728,9036.36,7.8979,3.115903
467200,116800,5e-6,1.038067,2.8238,11574.26,7.8169,3.494088
467210,116802,5e-6,0.732161,2.0796,9166.64,8.3303,2.100152
467220,116805,5e-6,0.939082,2.5576,12667.55,7.6205,2.719099
467230,116807,5e-6,0.996523,2.7088,11847.79,8.7609,2.941841
467240,116810,5e-6,1.299518,3.6675,4578.38,8.4443,4.729909
467250,116812,5e-6,1.135171,3.1117,8268.59,9.5565,3.196914
467260,116815,5e-6,0.856800,2.3556,11535.23,8.1463,2.513319
467270,116817,5e-6,0.945808,2.5749,9947.59,8.3783,2.729212
467280,116820,5e-6,1.208976,3.3501,7289.21,8.7382,3.770623
467290,116822,5e-6,0.888183,2.4307,9073.57,8.4667,2.477698
467300,116825,5e-6,1.154589,3.1727,7529.97,8.2503,4.024446
467310,116827,5e-6,1.167156,3.2128,11109.35,8.1642,5.633420
467320,116830,5e-6,0.947346,2.5789,11115.00,8.4234,2.744129
467330,116832,5e-6,1.035493,2.8165,12434.78,7.8465,3.027336
467340,116835,5e-6,0.964879,2.6245,11143.45,7.9785,2.685542
467350,116837,5e-6,1.135071,3.1114,11522.38,7.7350,12.572241
467360,116840,5e-6,1.044986,2.8434,8549.85,8.2767,3.011959
467370,116842,5e-6,0.926063,2.5246,6742.92,8.1907,2.710352
467380,116845,5e-6,0.924456,2.5205,14272.83,9.3941,2.695007
467390,116847,5e-6,1.020946,2.7758,12833.05,9.1055,3.206175
467400,116850,5e-6,1.017060,2.7651,12129.18,7.8639,2.951442
467410,116852,5e-6,0.954390,2.5971,10423.09,8.0760,2.708069
467420,116855,5e-6,0.985780,2.6799,9912.25,8.2615,2.916121
