step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
199110,49777,5e-6,1.028748,2.7976,8909.06,7.8013,3.252246
199120,49780,5e-6,1.407161,4.0843,13758.85,8.2984,7.807477
199130,49782,5e-6,1.339709,3.8179,5851.99,8.6024,8.115393
199140,49785,5e-6,1.132313,3.1028,9023.60,8.4663,3.514334
199150,49787,5e-6,1.454775,4.2835,13352.60,7.8698,9.723310
199160,49790,5e-6,1.497176,4.4691,8367.12,8.1943,7.808374
199170,49792,5e-6,1.371198,3.9401,11944.40,9.0014,5.398053
199180,49795,5e-6,1.315108,3.7252,9136.13,8.1112,5.307696
199190,49797,5e-6,1.278487,3.5912,5222.43,8.6310,5.209026
199200,49800,5e-6,1.083777,2.9558,7539.83,8.8197,3.014391
199210,49802,5e-6,0.989201,2.6891,9129.98,8.5069,2.794752
199220,49805,5e-6,1.058631,2.8824,11833.98,8.5182,3.112109
199230,49807,5e-6,1.026496,2.7913,12292.93,8.0816,3.028238
199240,49810,5e-6,1.727402,5.6260,12073.86,8.3617,25.179028
199250,49812,5e-6,0.969105,2.6356,5769.40,8.1264,2.734668
199260,49815,5e-6,1.081946,2.9504,8046.69,8.2829,3.756264
199270,49817,5e-6,1.379098,3.9713,10016.76,8.4241,20.197422
199280,49820,5e-6,1.246373,3.4777,10529.65,8.0730,6.874528
199290,49822,5e-6,1.454008,4.2802,6306.35,8.7574,5.054750
199300,49825,5e-6,0.967316,2.6309,8822.60,8.1582,2.701747
199310,49827,5e-6,1.097590,2.9969,12543.28,8.3557,3.231396
199320,49830,5e-6,0.822431,2.2760,9594.50,7.7251,2.367687
199330,49832,5e-6,1.197679,3.3124,4627.98,7.8696,4.219800
199340,49835,5e-6,1.144804,3.1418,5067.93,7.9351,3.551802
199350,49837,5e-6,1.058002,2.8806,5783.70,7.8444,3.243139
199360,49840,5e-6,1.078763,2.9410,11710.57,7.6390,3.183957
199370,49842,5e-6,1.190022,3.2872,6934.17,7.8114,3.648828
199380,49845,5e-6,1.098399,2.9994,5537.01,7.5679,3.264555
199390,49847,5e-6,1.242145,3.4630,7799.64,7.6356,4.517190
199400,49850,5e-6,1.022998,2.7815,8705.02,7.4882,2.831640
199410,49852,5e-6,1.012313,2.7520,12312.47,7.5924,3.116779
199420,49855,5e-6,1.658228,5.2500,7086.89,7.8573,11.914185
199430,49857,5e-6,1.097801,2.9976,7264.05,8.0852,3.164943
199440,49860,5e-6,0.977722,2.6584,12500.93,7.3552,2.798638
199450,49862,5e-6,1.494983,4.4593,7904.73,7.8177,16.078749
199460,49865,5e-6,0.974479,2.6498,10086.88,7.0495,2.804957
199470,49867,5e-6,1.165490,3.2075,8736.00,7.4659,4.794281
199480,49870,5e-6,1.505939,4.5084,7913.96,7.9047,7.778878
199490,49872,5e-6,1.047173,2.8496,8631.87,7.9588,2.995815
199500,49875,5e-6,0.975080,2.6514,6761.27,7.7549,2.764447
199510,49877,5e-6,1.102214,3.0108,8172.40,8.2726,3.296500
199520,49880,5e-6,0.991733,2.6959,8949.86,7.6910,3.744391
199530,49882,5e-6,1.091169,2.9778,8503.75,8.6593,3.533530
199540,49885,5e-6,1.076838,2.9354,7244.18,8.1895,3.151875
199550,49887,5e-6,0.999794,2.7177,6599.04,7.7743,3.026213
199560,49890,5e-6,1.491532,4.4439,9475.14,7.8806,5.954370
199570,49892,5e-6,1.211065,3.3571,8869.77,7.7312,3.815835
199580,49895,5e-6,1.003491,2.7278,11413.81,7.3675,2.902081
199590,49897,5e-6,1.002807,2.7259,8302.15,7.8746,3.040871
199600,49900,5e-6,0.958716,2.6083,9278.91,7.7933,2.725348
199610,49902,5e-6,0.972239,2.6439,11561.10,7.8266,2.703693
199620,49905,5e-6,1.089486,2.9727,11032.67,7.4551,3.395160
199630,49907,5e-6,1.074467,2.9284,8172.33,7.9882,3.154475
199640,49910,5e-6,1.078227,2.9395,8337.46,7.7319,3.147053
199650,49912,5e-6,1.162903,3.1992,6595.82,8.5908,4.262182
199660,49915,5e-6,1.445773,4.2451,7147.42,8.1904,7.370069
199670,49917,5e-6,0.916229,2.4998,8263.78,7.3214,2.562083
199680,49920,5e-6,1.101657,3.0091,5391.94,8.2680,3.413952
199690,49922,5e-6,1.304538,3.6860,6889.73,7.3353,4.447625
199700,49925,5e-6,1.137447,3.1188,7951.64,7.7429,3.742068
199710,49927,5e-6,1.055197,2.8725,8108.76,7.1655,3.091605
199720,49930,5e-6,1.150984,3.1613,9955.30,7.8129,3.341180
199730,49932,5e-6,1.080770,2.9469,6480.62,8.1827,3.246361
199740,49935,5e-6,1.034272,2.8131,8673.15,8.2817,3.035416
199750,49937,5e-6,1.054958,2.8719,9384.65,9.0557,3.450299
199760,49940,5e-6,1.096047,2.9923,8654.82,9.2395,4.003099
199770,49942,5e-6,1.130870,3.0984,4244.96,9.5367,3.448200
199780,49945,5e-6,0.925234,2.5225,9789.92,7.9023,2.633679
199790,49947,5e-6,0.956669,2.6030,7403.40,7.5045,2.854406
199800,49950,5e-6,1.072015,2.9213,11048.54,8.0789,3.116092
199810,49952,5e-6,1.208055,3.3470,12186.74,8.9779,4.192120
199820,49955,5e-6,0.993619,2.7010,7947.98,8.3235,2.772506
199830,49957,5e-6,1.294582,3.6495,4773.68,9.4550,3.872691
199840,49960,5e-6,1.247767,3.4826,6868.29,7.7474,4.868340
199850,49962,5e-6,1.015588,2.7610,17205.35,9.6549,2.844897
199860,49965,5e-6,1.040840,2.8316,4685.77,9.4083,2.963256
199870,49967,5e-6,1.016912,2.7646,10168.49,8.5955,2.982964
199880,49970,5e-6,1.097139,2.9956,5749.28,9.0074,3.289228
199890,49972,5e-6,1.266629,3.5489,4912.63,8.2522,6.769258
199900,49975,5e-6,1.032821,2.8090,9138.32,8.0420,3.124758
199910,49977,5e-6,1.059029,2.8836,14585.14,7.4120,3.057110
199920,49980,5e-6,1.072769,2.9235,8703.38,8.7547,3.080591
199930,49982,5e-6,1.469365,4.3465,11474.01,8.6038,5.637238
199940,49985,5e-6,0.868505,2.3833,11883.31,8.6905,2.448447
199950,49987,5e-6,1.300799,3.6722,6984.51,8.2645,12.362869
199960,49990,5e-6,0.974104,2.6488,8720.80,7.6300,2.754174
199970,49992,5e-6,1.193531,3.2987,5509.03,8.5396,3.935893
199980,49995,5e-6,1.201418,3.3248,8055.22,7.5000,4.160548
199990,49997,5e-6,1.120619,3.0668,10548.07,8.8811,3.626262
200000,50000,5e-6,0.959124,2.6094,8780.88,7.5068,2.670815
200010,50002,5e-6,1.078116,2.9391,5135.89,7.4959,3.455527
200020,50005,5e-6,1.224420,3.4022,11473.82,8.4979,3.832156
200030,50007,5e-6,0.843401,2.3243,8156.96,8.6665,2.351913
200040,50010,5e-6,1.058751,2.8828,8930.36,8.4909,2.958520
200050,50012,5e-6,1.356913,3.8842,7112.17,8.0903,5.400236
200060,50015,5e-6,0.883803,2.4201,6856.51,8.1300,2.443022
200070,50017,5e-6,0.764497,2.1479,12285.19,9.6963,2.174508
200080,50020,5e-6,1.207766,3.3460,11154.83,7.8929,4.988346
200090,50022,5e-6,1.140138,3.1272,8680.89,8.2065,3.573523
200100,50025,5e-6,1.187504,3.2789,9014.41,8.1732,3.392494
200110,50027,5e-6,0.926814,2.5264,7499.55,9.1271,2.629828
200120,50030,5e-6,1.490314,4.4385,8122.38,7.8912,7.552966
200130,50032,5e-6,1.222513,3.3957,5678.12,7.9649,4.091294
200140,50035,5e-6,1.005826,2.7342,6235.15,9.3922,3.008181
200150,50037,5e-6,1.088881,2.9709,8198.32,8.7449,3.249185
200160,50040,5e-6,1.274515,3.5770,11447.84,9.8229,4.664663
200170,50042,5e-6,1.047591,2.8508,7631.54,8.5800,2.989537
200180,50045,5e-6,1.275632,3.5810,8497.65,7.6410,4.727891
200190,50047,5e-6,1.283779,3.6103,9740.15,7.5105,5.861159
200200,50050,5e-6,1.173714,3.2340,6514.10,8.6070,3.680800
200210,50052,5e-6,0.990874,2.6936,9400.35,7.9619,2.866728
200220,50055,5e-6,1.004697,2.7311,8596.79,8.5985,2.854481
200230,50057,5e-6,1.165524,3.2076,4717.25,9.3360,4.388255
200240,50060,5e-6,1.014960,2.7593,9687.45,9.7676,3.076684
200250,50062,5e-6,0.970544,2.6394,10894.68,9.5254,2.679725
200260,50065,5e-6,1.411588,4.1025,7855.58,7.6538,8.946430
200270,50067,5e-6,1.355701,3.8795,9413.30,8.6327,11.387597
200280,50070,5e-6,1.100226,3.0048,6361.32,9.4024,3.203650
200290,50072,5e-6,1.008705,2.7420,7513.26,8.4101,3.007223
200300,50075,5e-6,1.135116,3.1115,5622.16,8.9898,3.348399
200310,50077,5e-6,1.048916,2.8546,6582.19,8.4252,3.075047
200320,50080,5e-6,1.096609,2.9940,8964.16,8.1841,3.059374
200330,50082,5e-6,0.909080,2.4820,6620.12,8.4695,2.564830
200340,50085,5e-6,1.076458,2.9343,10456.97,7.8069,3.039838
200350,50087,5e-6,1.071028,2.9184,9693.14,7.9969,3.153961
200360,50090,5e-6,0.951434,2.5894,10921.17,8.7002,2.977123
200370,50092,5e-6,0.947695,2.5798,6801.48,9.2321,2.651227
200380,50095,5e-6,1.265687,3.5455,5069.92,9.4051,3.666121
200390,50097,5e-6,0.847236,2.3332,7457.01,8.7328,2.382675
200400,50100,5e-6,1.184770,3.2699,8700.65,8.3688,3.666929
200410,50102,5e-6,0.886365,2.4263,14251.27,8.2105,2.488269
200420,50105,5e-6,0.908410,2.4804,8886.32,8.3867,2.631029
200430,50107,5e-6,1.095172,2.9897,8734.87,7.9847,3.163360
200440,50110,5e-6,0.996775,2.7095,9489.35,8.8145,2.799853
200450,50112,5e-6,0.997329,2.7110,10424.14,8.8539,2.809710
200460,50115,5e-6,0.978296,2.6599,12485.84,8.8838,2.730639
200470,50117,5e-6,1.031551,2.8054,6158.08,8.5538,2.939769
200480,50120,5e-6,0.898421,2.4557,9891.83,9.8247,2.573098
200490,50122,5e-6,0.787230,2.1973,6433.08,8.6677,2.259186
200500,50125,5e-6,0.898932,2.4570,7442.56,7.9387,2.501517
200510,50127,5e-6,1.142837,3.1357,7480.42,8.3642,3.373824
200520,50130,5e-6,1.016370,2.7631,9878.96,8.6551,2.925642
200530,50132,5e-6,0.957421,2.6050,6395.83,9.1216,2.871150
200540,50135,5e-6,1.124137,3.0776,10734.77,7.9253,3.413894
200550,50137,5e-6,1.074203,2.9277,8540.47,10.6991,3.047662
200560,50140,5e-6,1.192622,3.2957,9176.21,10.2648,4.421149
200570,50142,5e-6,0.975191,2.6517,8366.09,8.1264,2.761201
200580,50145,5e-6,1.030327,2.8020,7551.74,7.8795,3.512096
200590,50147,5e-6,1.151044,3.1615,5623.03,9.0364,3.353556
200600,50150,5e-6,0.871980,2.3916,10192.88,8.6203,2.411710
200610,50152,5e-6,0.871206,2.3898,9859.51,8.5691,2.422007
200620,50155,5e-6,0.907646,2.4785,9374.07,8.1694,2.563541
200630,50157,5e-6,1.042640,2.8367,6374.32,9.7219,2.967920
200640,50160,5e-6,0.904761,2.4713,9206.95,8.3344,2.525293
200650,50162,5e-6,0.960029,2.6118,11705.08,8.9904,2.704581
200660,50165,5e-6,0.951646,2.5900,10460.45,9.3567,2.738138
200670,50167,5e-6,0.949234,2.5837,11427.60,8.8920,2.617750
200680,50170,5e-6,1.242639,3.4647,7103.53,9.2545,4.086968
200690,50172,5e-6,0.931525,2.5384,5492.07,9.7131,2.987508
200700,50175,5e-6,1.442551,4.2315,5543.24,9.0444,6.112805
200710,50177,5e-6,1.093766,2.9855,9381.80,8.0826,3.237507
200720,50180,5e-6,0.956809,2.6034,8291.02,8.1792,2.794593
200730,50182,5e-6,0.971725,2.6425,10821.14,8.7388,2.715067
200740,50185,5e-6,1.002727,2.7257,8622.83,8.4934,2.869593
200750,50187,5e-6,0.954438,2.5972,7830.86,8.4249,2.639600
200760,50190,5e-6,1.163085,3.1998,10266.95,8.3228,3.472270
200770,50192,5e-6,0.937787,2.5543,8192.49,9.1684,2.668432
200780,50195,5e-6,1.009181,2.7434,8485.01,8.6627,2.791979
200790,50197,5e-6,0.836955,2.3093,8463.31,8.0738,2.515798
200800,50200,5e-6,0.775984,2.1727,11304.85,8.6402,2.218055
200810,50202,5e-6,1.005714,2.7339,9217.06,9.2841,2.818659
200820,50205,5e-6,1.218410,3.3818,9263.92,8.4307,4.150257
200830,50207,5e-6,0.934304,2.5454,14770.20,8.1587,2.797732
200840,50210,5e-6,0.890187,2.4356,10904.04,7.8268,2.589295
200850,50212,5e-6,1.306921,3.6948,7827.10,9.0831,9.597006
200860,50215,5e-6,1.003686,2.7283,6928.72,8.4869,2.977215
200870,50217,5e-6,1.040121,2.8296,9970.64,9.6356,3.064256
200880,50220,5e-6,1.089134,2.9717,8585.99,8.4620,3.134595
200890,50222,5e-6,1.054986,2.8719,9532.90,8.5315,3.101452
200900,50225,5e-6,1.091017,2.9773,11706.49,7.8329,3.223623
200910,50227,5e-6,0.897973,2.4546,11299.26,9.4376,2.486286
200920,50230,5e-6,1.213192,3.3642,6440.81,10.0325,4.389017
200930,50232,5e-6,1.396126,4.0395,7415.11,8.1769,4.321141
200940,50235,5e-6,1.114377,3.0477,9414.40,8.9461,3.973064
200950,50237,5e-6,1.277469,3.5875,9754.77,8.0258,4.042562
200960,50240,5e-6,1.084128,2.9569,10553.18,7.7310,3.056489
200970,50242,5e-6,1.269078,3.5576,8813.95,8.7916,4.266478
200980,50245,5e-6,1.147376,3.1499,11110.85,8.2758,3.521348
200990,50247,5e-6,0.872360,2.3926,10563.86,7.6211,2.473907
201000,50250,5e-6,0.959579,2.6106,6378.84,8.1547,2.712024
201010,50252,5e-6,0.952325,2.5917,12832.43,10.1392,2.645128
201020,50255,5e-6,1.049798,2.8571,9110.69,7.8649,3.099204
201030,50257,5e-6,0.973454,2.6471,11468.06,9.4399,2.723085
201040,50260,5e-6,1.029919,2.8008,9407.62,8.1681,3.570855
201050,50262,5e-6,0.980401,2.6655,5946.04,8.2885,2.856014
201060,50265,5e-6,0.946551,2.5768,10995.81,9.0338,2.624121
201070,50267,5e-6,1.145400,3.1437,5185.56,9.2865,3.422450
201080,50270,5e-6,1.074211,2.9277,5154.64,8.0463,4.564364
201090,50272,5e-6,0.879247,2.4091,10916.92,9.5497,2.437249
201100,50275,5e-6,0.968596,2.6342,8842.98,8.2096,2.793722
201110,50277,5e-6,0.987439,2.6844,10633.81,7.8136,2.756946
