step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss
10,2,1.0000001e-5,5.247399,190.0713,479.17,0.3315,0.176265,0.218727,27.336208
20,5,2.5000001e-5,5.101378,164.2482,397.04,0.2652,0.173608,0.215125,26.156866
30,7,3.5e-5,4.922940,137.4060,475.13,0.2642,0.169888,0.191552,25.816366
40,10,5.0000002e-5,4.685110,108.3221,414.71,0.2651,0.160539,0.171641,23.807484
50,12,6.0000002e-5,4.398264,81.3096,373.89,0.2574,0.148169,0.140891,22.881994
60,15,7.5e-5,4.179912,65.3601,434.41,0.2575,0.136065,0.114239,21.532902
70,17,8.500001e-5,4.000292,54.6141,337.33,0.2508,0.127867,0.098559,21.373894
80,20,1.00000005e-4,3.729587,41.6619,386.98,0.2652,0.115268,0.076829,18.894255
90,22,1.1000001e-4,3.587721,36.1516,427.92,0.2574,0.108838,0.064648,19.144773
100,25,1.25e-4,3.436280,31.0712,395.58,0.2613,0.102135,0.054665,17.863003
110,27,1.3500001e-4,3.244519,25.6494,384.12,0.2524,0.095630,0.045907,16.749681
120,30,1.5e-4,3.095992,22.1092,372.32,0.2700,0.090460,0.040717,15.940475
130,32,1.6000001e-4,2.986469,19.8156,420.75,0.2447,0.084493,0.036131,15.345793
140,35,1.7500001e-4,2.859189,17.4474,475.22,0.2388,0.081056,0.033375,14.825757
150,37,1.8500001e-4,2.727705,15.2977,357.60,0.2524,0.076509,0.030329,14.001994
160,40,2.0000001e-4,2.705415,14.9605,370.01,0.2589,0.073690,0.028780,13.960838
170,42,2.1e-4,2.569596,13.0605,492.28,0.2477,0.069261,0.025138,13.154696
180,45,2.2500001e-4,2.440539,11.4792,393.79,0.2685,0.067904,0.023790,12.566252
190,47,2.3500001e-4,2.398117,11.0024,428.21,0.2534,0.066941,0.023771,12.542427
200,50,2.5e-4,2.358410,10.5741,449.10,0.2595,0.065369,0.023854,11.994464
210,52,2.6e-4,2.259031,9.5738,391.44,0.2392,0.065310,0.024314,11.529734
220,55,2.7500003e-4,2.164335,8.7088,441.64,0.2561,0.064797,0.024606,10.951487
230,57,2.8500002e-4,2.157750,8.6516,396.70,0.2452,0.065436,0.025004,11.314981
240,60,3e-4,2.010170,7.4646,352.38,0.2523,0.064132,0.023211,10.470569
250,62,3.1e-4,1.996045,7.3599,441.93,0.2517,0.064890,0.023640,10.220950
260,65,3.25e-4,1.989536,7.3121,405.76,0.2466,0.066360,0.024792,10.440023
270,67,3.3500002e-4,1.904307,6.7148,382.95,0.2634,0.066283,0.024805,9.618204
280,70,3.5000002e-4,1.912144,6.7676,362.32,0.2712,0.067132,0.024844,10.111639
290,72,3.6000003e-4,1.837575,6.2813,375.06,0.2645,0.065334,0.024525,9.273370
300,75,3.75e-4,1.809817,6.1093,391.81,0.2629,0.065538,0.024273,9.468245
310,77,3.8500002e-4,1.779824,5.9288,318.15,0.2482,0.065087,0.025781,9.403757
320,80,4.0000002e-4,1.785693,5.9637,354.50,0.2674,0.067571,0.027402,9.449577
330,82,4.1e-4,1.646408,5.1883,371.84,0.2699,0.066287,0.026233,8.411957
340,85,4.2500003e-4,1.701800,5.4838,460.95,0.2514,0.068131,0.027078,8.946684
350,87,4.3500002e-4,1.632406,5.1162,437.62,0.2629,0.068078,0.027674,8.345009
360,90,4.5000002e-4,1.585930,4.8838,394.79,0.2428,0.067347,0.027664,8.124556
370,92,4.6000004e-4,1.573911,4.8255,481.30,0.2520,0.068619,0.029424,8.082047
380,95,4.75e-4,1.608644,4.9960,402.07,0.2251,0.070652,0.031045,8.461576
390,97,4.8500003e-4,1.570297,4.8081,403.16,0.2481,0.068412,0.029180,8.129527
400,100,5e-4,1.500673,4.4847,421.30,0.2561,0.069452,0.029481,7.823560
410,102,5e-4,1.519229,4.5687,355.49,0.2494,0.071714,0.031790,8.012092
420,105,5e-4,1.564780,4.7816,395.90,0.2445,0.070015,0.031017,8.059644
430,107,5e-4,1.390839,4.0182,367.92,0.2687,0.065940,0.029786,7.067202
440,110,5e-4,1.407450,4.0855,342.26,0.2700,0.068217,0.030923,7.194710
450,112,5e-4,1.518881,4.5671,430.97,0.2337,0.071817,0.033940,7.996449
460,115,5e-4,1.425102,4.1583,405.44,0.2524,0.068514,0.031861,7.597457
470,117,5e-4,1.445538,4.2441,477.01,0.2477,0.067908,0.030936,7.500791
480,120,5e-4,1.366310,3.9209,332.09,0.2572,0.066445,0.031221,7.039968
490,122,5e-4,1.360299,3.8974,355.08,0.2617,0.067646,0.031988,7.017248
500,125,5e-4,1.461002,4.3103,415.26,0.2438,0.070278,0.032851,7.758611
510,127,5e-4,1.387275,4.0039,356.00,0.2400,0.067772,0.032249,7.183164
520,130,5e-4,1.332530,3.7906,486.79,0.2538,0.064697,0.030294,6.748181
530,132,5e-4,1.310949,3.7097,438.91,0.2588,0.065245,0.030825,6.684860
540,135,5e-4,1.344933,3.8379,369.75,0.2595,0.066398,0.031663,7.130393
550,137,5e-4,1.294476,3.6491,407.87,0.2641,0.064902,0.031380,6.780908
560,140,5e-4,1.290612,3.6350,377.76,0.2613,0.065520,0.032343,6.699974
