step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,1,2.0000002e-6,5.967083,390.3655,333.93,0.0536
20,2,4.0000004e-6,5.864413,352.2752,256.83,0.0407
30,3,6e-6,5.642854,282.2671,315.80,0.0389
40,5,1.0000001e-5,5.461043,235.3428,271.14,0.0400
50,6,1.2e-5,5.284517,197.2589,205.35,0.0446
60,7,1.4000001e-5,5.051668,156.2830,264.12,0.0404
70,8,1.6000002e-5,4.896223,133.7835,241.76,0.0423
80,10,2.0000001e-5,4.724888,112.7179,245.47,0.0435
90,11,2.2e-5,4.526183,92.4052,239.67,0.0443
100,12,2.4e-5,4.423245,83.3664,277.67,0.0412
