step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,2,2.6666667e-6,5.960798,387.9195,721.52,0.0816
20,5,6.6666666e-6,5.785911,325.6785,768.72,0.0705
30,7,9.333333e-6,5.538980,254.4184,686.85,0.0770
40,10,1.3333333e-5,5.245687,189.7461,543.12,0.0714
50,12,1.6e-5,4.947287,140.7925,601.17,0.0751
60,15,2e-5,4.538356,93.5369,519.53,0.0829
70,17,2.2666667e-5,4.288025,72.8225,595.26,0.0738
80,20,2.6666667e-5,4.077553,59.0009,534.22,0.0856
90,22,2.933333e-5,3.921122,50.4570,641.57,0.0751
100,25,3.3333334e-5,3.721804,41.3389,612.29,0.0687
110,27,3.6e-5,3.572283,35.5978,903.09,0.1066
110,27,3.6e-5,3.570832,35.5461,3343.41,0.3946
110,27,3.6e-5,3.583467,35.9981,3509.30,0.4141
120,30,4e-5,3.434844,31.0266,867.41,0.0748
130,32,4.2666667e-5,3.356218,28.6805,639.00,0.0838
140,35,4.6666664e-5,3.207185,24.7094,468.19,0.0837
150,37,4.9333332e-5,3.092004,22.0212,513.97,0.0842
160,40,5.3333333e-5,3.007543,20.2376,707.06,0.0807
170,42,5.5999997e-5,2.912058,18.3946,590.57,0.0868
180,45,6.0000002e-5,2.932147,18.7679,733.03,0.0745
190,47,6.2666666e-5,2.731026,15.3486,781.08,0.0833
200,50,6.666667e-5,2.707686,14.9945,772.55,0.0840
210,52,6.933333e-5,2.633529,13.9228,1031.95,0.1052
220,55,7.3333336e-5,2.599211,13.4531,1014.89,0.0870
230,57,7.6e-5,2.566397,13.0188,1529.75,0.0769
240,60,8e-5,2.479209,11.9318,956.06,0.0779
250,62,8.2666666e-5,2.471387,11.8389,696.08,0.0836
260,65,8.666667e-5,2.433211,11.3954,464.06,0.0776
270,67,8.933333e-5,2.334619,10.3255,751.12,0.0829
280,70,9.333333e-5,2.334077,10.3199,726.01,0.0862
290,72,9.5999996e-5,2.285890,9.8344,658.23,0.0858
300,75,1e-4,2.311347,10.0880,521.27,0.0841
310,77,1.02666665e-4,2.295832,9.9327,1325.79,0.0913
320,80,1.0666667e-4,2.172097,8.7767,960.34,0.0810
330,82,1.09333334e-4,2.188371,8.9207,1112.27,0.0782
340,85,1.1333333e-4,2.159283,8.6649,1022.13,0.0782
350,87,1.15999996e-4,2.172874,8.7835,850.94,0.0844
360,90,1.20000004e-4,2.101809,8.1810,846.31,0.0830
370,92,1.2266666e-4,2.108332,8.2345,830.31,0.0813
380,95,1.2666667e-4,2.068787,7.9152,544.43,0.0821
390,97,1.2933332e-4,2.058988,7.8380,779.60,0.0791
400,100,1.3333333e-4,2.021875,7.5525,656.11,0.0821
410,102,1.36e-4,2.065224,7.8871,1044.95,0.1032
420,105,1.3999999e-4,2.087886,8.0678,1277.90,0.0792
430,107,1.4266666e-4,2.098968,8.1577,2188.40,0.0586
440,110,1.4666667e-4,2.067662,7.9063,851.69,0.0853
450,112,1.4933333e-4,2.008483,7.4520,558.17,0.0807
460,115,1.5333333e-4,2.048048,7.7527,986.30,0.0809
470,117,1.56e-4,1.958137,7.0861,492.27,0.0918
480,120,1.6e-4,1.987331,7.2960,720.27,0.0809
490,122,1.6266666e-4,1.963693,7.1256,880.38,0.0814
500,125,1.6666666e-4,1.835237,6.2666,896.28,0.0813
510,127,1.6933333e-4,1.929238,6.8843,999.56,0.1118
520,130,1.7333333e-4,1.864776,6.4545,424.25,0.0878
530,132,1.76e-4,1.929658,6.8872,517.32,0.0807
540,135,1.7999999e-4,1.874474,6.5174,568.39,0.0816
550,137,1.8266667e-4,1.841123,6.3036,602.40,0.0826
560,140,1.8666666e-4,1.867685,6.4733,652.56,0.0817
570,142,1.8933332e-4,1.832490,6.2494,850.38,0.0790
580,145,1.9333333e-4,1.816465,6.1501,688.44,0.0852
590,147,1.96e-4,1.819847,6.1709,825.19,0.0863
