step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq
10,2,2.6666667e-6,5.926976,375.0186,351.09,0.0397
20,5,6.6666666e-6,5.772357,321.2940,333.78,0.0306
30,7,9.333333e-6,5.579175,264.8531,295.06,0.0331
40,10,1.3333333e-5,5.328657,206.1609,242.57,0.0319
50,12,1.6e-5,5.124555,168.0993,259.68,0.0324
60,15,2e-5,4.788275,120.0941,219.98,0.0351
70,17,2.2666667e-5,4.570300,96.5731,258.92,0.0321
80,20,2.6666667e-5,4.334100,76.2563,225.04,0.0361
90,22,2.933333e-5,4.112406,61.0935,272.78,0.0319
100,25,3.3333334e-5,3.889611,48.8919,290.30,0.0326
110,27,3.6e-5,3.701373,40.5029,398.72,0.0471
120,30,4e-5,3.527718,34.0462,344.09,0.0297
130,32,4.2666667e-5,3.452555,31.5810,253.47,0.0333
140,35,4.6666664e-5,3.301635,27.1570,192.15,0.0344
150,37,4.9333332e-5,3.164851,23.6852,210.64,0.0345
160,40,5.3333333e-5,3.075910,21.6696,279.14,0.0319
170,42,5.5999997e-5,2.992524,19.9359,234.43,0.0344
180,45,6.0000002e-5,2.973947,19.5690,293.59,0.0299
190,47,6.2666666e-5,2.791257,16.3015,306.05,0.0327
200,50,6.666667e-5,2.774967,16.0381,306.00,0.0333
210,52,6.933333e-5,2.705087,14.9556,431.84,0.0440
220,55,7.3333336e-5,2.681391,14.6054,394.30,0.0338
230,57,7.6e-5,2.612273,13.6300,583.94,0.0294
240,60,8e-5,2.540220,12.6825,374.91,0.0305
250,62,8.2666666e-5,2.542392,12.7100,268.77,0.0323
260,65,8.666667e-5,2.498234,12.1610,187.17,0.0313
270,67,8.933333e-5,2.390647,10.9206,288.01,0.0318
280,70,9.333333e-5,2.406742,11.0977,287.30,0.0341
290,72,9.5999996e-5,2.354059,10.5282,263.02,0.0343
300,75,1e-4,2.370730,10.7052,211.40,0.0341
310,77,1.02666665e-4,2.328190,10.2594,569.08,0.0392
320,80,1.0666667e-4,2.218617,9.1946,382.87,0.0323
330,82,1.09333334e-4,2.229716,9.2972,431.61,0.0304
340,85,1.1333333e-4,2.192835,8.9606,402.64,0.0308
350,87,1.15999996e-4,2.237874,9.3734,340.21,0.0337
360,90,1.20000004e-4,2.147725,8.5654,336.16,0.0330
370,92,1.2266666e-4,2.143017,8.5251,330.66,0.0324
380,95,1.2666667e-4,2.104345,8.2017,225.87,0.0341
390,97,1.2933332e-4,2.103222,8.1925,314.74,0.0319
400,100,1.3333333e-4,2.056838,7.8212,263.54,0.0330
410,102,1.36e-4,2.105161,8.2084,460.31,0.0454
420,105,1.3999999e-4,2.107782,8.2300,479.26,0.0297
430,107,1.4266666e-4,2.077521,7.9847,655.98,0.0176
440,110,1.4666667e-4,2.080511,8.0086,324.95,0.0326
450,112,1.4933333e-4,2.034350,7.6473,234.28,0.0339
460,115,1.5333333e-4,2.066814,7.8996,394.48,0.0324
470,117,1.56e-4,1.995384,7.3550,207.75,0.0387
480,120,1.6e-4,2.020574,7.5427,290.00,0.0326
490,122,1.6266666e-4,1.999990,7.3890,351.15,0.0325
500,125,1.6666666e-4,1.873738,6.5126,379.04,0.0344
510,127,1.6933333e-4,1.976205,7.2153,469.24,0.0525
520,130,1.7333333e-4,1.901434,6.6955,179.02,0.0370
