step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
2294100,286762,5e-6,0.547060,1.7282,196.07,0.0591,1.787849
2294200,286775,5e-6,0.512048,1.6687,88.53,0.0247,1.697021
2294300,286787,5e-6,0.477886,1.6127,85.81,0.0218,1.642370
2294400,286800,5e-6,0.464663,1.5915,80.60,0.0234,1.618873
2294500,286812,5e-6,0.512257,1.6691,102.12,0.0258,1.749391
2294600,286825,5e-6,0.478575,1.6138,80.90,0.0233,1.687893
2294700,286837,5e-6,0.486710,1.6270,83.41,0.0249,1.667318
2294800,286850,5e-6,0.465305,1.5925,85.42,0.0252,1.616919
2294900,286862,5e-6,0.450860,1.5697,91.27,0.0211,1.596197
2295000,286875,5e-6,0.500832,1.6501,83.10,0.0261,1.711440
2295100,286887,5e-6,0.467006,1.5952,114.11,0.0316,1.620390
2295200,286900,5e-6,0.458274,1.5813,82.42,0.0225,1.667443
2295300,286912,5e-6,0.460648,1.5851,78.59,0.0258,1.610379
2295400,286925,5e-6,0.422727,1.5261,89.29,0.0214,1.540457
2295500,286937,5e-6,0.474649,1.6075,80.42,0.0248,1.960830
2295600,286950,5e-6,0.422013,1.5250,85.80,0.0242,1.562207
2295700,286962,5e-6,0.454713,1.5757,92.66,0.0209,1.679810
2295800,286975,5e-6,0.443185,1.5577,83.17,0.0233,1.579200
2295900,286987,5e-6,0.487512,1.6283,86.35,0.0219,1.790594
2296000,287000,5e-6,0.457792,1.5806,80.03,0.0236,1.601014
2296100,287012,5e-6,0.462912,1.5887,114.92,0.0414,1.753744
2296200,287025,5e-6,0.454350,1.5751,80.99,0.0241,1.597317
2296300,287037,5e-6,0.414169,1.5131,80.31,0.0225,1.531540
2296400,287050,5e-6,0.427830,1.5339,80.05,0.0227,1.641229
2296500,287062,5e-6,0.442733,1.5570,82.86,0.0256,1.589211
2296600,287075,5e-6,0.501281,1.6508,81.69,0.0221,1.819463
2296700,287087,5e-6,0.421916,1.5249,76.81,0.0244,1.551580
2296800,287100,5e-6,0.410380,1.5074,81.17,0.0227,1.519792
2296900,287112,5e-6,0.410213,1.5071,84.15,0.0234,1.523025
2297000,287125,5e-6,0.431971,1.5403,79.20,0.0239,1.558411
2297100,287137,5e-6,0.424956,1.5295,112.63,0.0327,1.568320
2297200,287150,5e-6,0.435233,1.5453,83.79,0.0224,1.569121
2297300,287162,5e-6,0.423174,1.5268,78.53,0.0238,1.552137
2297400,287175,5e-6,0.448205,1.5655,89.00,0.0203,1.598677
2297500,287187,5e-6,0.416279,1.5163,85.13,0.0235,1.533788
2297600,287200,5e-6,0.462144,1.5875,79.76,0.0238,1.637154
2297700,287212,5e-6,0.422207,1.5253,78.80,0.0236,1.608574
2297800,287225,5e-6,0.447399,1.5642,82.37,0.0226,1.587999
2297900,287237,5e-6,0.477836,1.6126,79.48,0.0238,1.721341
2298000,287250,5e-6,0.418508,1.5197,83.68,0.0231,1.554965
2298100,287262,5e-6,0.425555,1.5304,124.45,0.0323,1.587965
2298200,287275,5e-6,0.417515,1.5182,86.65,0.0211,1.566971
2298300,287287,5e-6,0.463049,1.5889,89.73,0.0213,1.654066
2298400,287300,5e-6,0.406437,1.5015,79.46,0.0235,1.513903
2298500,287312,5e-6,0.410285,1.5072,85.15,0.0242,1.537584
2298600,287325,5e-6,0.439887,1.5525,82.05,0.0232,1.590503
2298700,287337,5e-6,0.424075,1.5282,80.56,0.0232,1.624597
2298800,287350,5e-6,0.422687,1.5261,88.10,0.0215,1.539923
2298900,287362,5e-6,0.440136,1.5529,82.55,0.0226,1.649125
2299000,287375,5e-6,0.428456,1.5349,87.60,0.0209,1.549742
2299100,287387,5e-6,0.402989,1.4963,107.95,0.0343,1.508735
2299200,287400,5e-6,0.433714,1.5430,90.23,0.0237,1.598640
2299300,287412,5e-6,0.418640,1.5199,83.46,0.0224,1.560228
2299400,287425,5e-6,0.432533,1.5412,82.50,0.0229,1.668156
2299500,287437,5e-6,0.411634,1.5093,82.12,0.0235,1.537496
2299600,287450,5e-6,0.430185,1.5375,84.93,0.0214,1.559127
2299700,287462,5e-6,0.402522,1.4956,79.26,0.0252,1.523763
2299800,287475,5e-6,0.428783,1.5354,80.92,0.0222,1.578251
2299900,287487,5e-6,0.394176,1.4832,83.01,0.0218,1.503936
2300000,287500,5e-6,0.437936,1.5495,82.11,0.0235,1.674389
2300100,287512,5e-6,0.427709,1.5337,114.76,0.0300,1.578509
2300200,287525,5e-6,0.399812,1.4915,76.72,0.0241,1.577982
2300300,287537,5e-6,0.410783,1.5080,85.75,0.0220,1.529672
2300400,287550,5e-6,0.404751,1.4989,81.06,0.0231,1.540473
2300500,287562,5e-6,0.399219,1.4907,84.35,0.0220,1.505159
2300600,287575,5e-6,0.416459,1.5166,82.82,0.0231,1.562413
2300700,287587,5e-6,0.397326,1.4878,79.11,0.0232,1.514693
2300800,287600,5e-6,0.418195,1.5192,76.34,0.0250,1.546899
2300900,287612,5e-6,0.393474,1.4821,78.15,0.0244,1.502753
2301000,287625,5e-6,0.409787,1.5065,82.92,0.0232,1.530618
2301100,287637,5e-6,0.434305,1.5439,115.75,0.0280,1.594874
2301200,287650,5e-6,0.396096,1.4860,83.89,0.0234,1.512216
2301300,287662,5e-6,0.396679,1.4869,87.16,0.0219,1.501270
2301400,287675,5e-6,0.387713,1.4736,84.04,0.0236,1.488534
2301500,287687,5e-6,0.426629,1.5321,86.00,0.0233,1.573247
2301600,287700,5e-6,0.418166,1.5192,87.36,0.0238,1.556991
2301700,287712,5e-6,0.378989,1.4608,89.14,0.0226,1.474579
2301800,287725,5e-6,0.399242,1.4907,82.67,0.0237,1.572658
2301900,287737,5e-6,0.392733,1.4810,88.57,0.0220,1.505708
2302000,287750,5e-6,0.382653,1.4662,75.59,0.0264,1.478250
2302100,287762,5e-6,0.413247,1.5117,117.23,0.0283,1.557707
2302200,287775,5e-6,0.405500,1.5001,77.53,0.0255,1.518535
2302300,287787,5e-6,0.410531,1.5076,81.77,0.0235,1.576134
2302400,287800,5e-6,0.390588,1.4778,83.82,0.0232,1.494344
2302500,287812,5e-6,0.385209,1.4699,86.60,0.0229,1.483516
2302600,287825,5e-6,0.428006,1.5342,83.71,0.0231,1.635618
2302700,287837,5e-6,0.412560,1.5107,80.10,0.0249,1.548101
2302800,287850,5e-6,0.371241,1.4495,82.27,0.0235,1.461859
2302900,287862,5e-6,0.388676,1.4750,91.09,0.0201,1.497845
2303000,287875,5e-6,0.386751,1.4722,84.29,0.0223,1.488588
2303100,287887,5e-6,0.404139,1.4980,113.71,0.0316,1.524165
2303200,287900,5e-6,0.419242,1.5208,87.60,0.0224,1.561072
2303300,287912,5e-6,0.394071,1.4830,87.86,0.0231,1.502942
2303400,287925,5e-6,0.370469,1.4484,80.24,0.0246,1.461423
2303500,287937,5e-6,0.395872,1.4857,85.97,0.0228,1.551284
2303600,287950,5e-6,0.376658,1.4574,83.55,0.0228,1.512948
2303700,287962,5e-6,0.384457,1.4688,86.91,0.0225,1.481120
2303800,287975,5e-6,0.385948,1.4710,82.51,0.0229,1.488102
2303900,287987,5e-6,0.427555,1.5335,85.79,0.0230,1.643848
2304000,288000,5e-6,0.379780,1.4620,90.91,0.0218,1.470212
2304100,288012,5e-6,0.410200,1.5071,107.11,0.0354,1.599740
2304200,288025,5e-6,0.407540,1.5031,79.88,0.0245,1.548321
2304300,288037,5e-6,0.380459,1.4630,85.83,0.0227,1.476013
2304400,288050,5e-6,0.382511,1.4660,83.79,0.0225,1.484262
2304500,288062,5e-6,0.386489,1.4718,82.76,0.0234,1.484738
2304600,288075,5e-6,0.399633,1.4913,89.17,0.0217,1.513597
2304700,288087,5e-6,0.370825,1.4489,83.86,0.0232,1.461790
2304800,288100,5e-6,0.396310,1.4863,93.63,0.0202,1.506434
2304900,288112,5e-6,0.396839,1.4871,79.79,0.0248,1.535925
2305000,288125,5e-6,0.371149,1.4494,79.52,0.0250,1.468741
2305100,288137,5e-6,0.345449,1.4126,110.06,0.0327,1.425102
2305200,288150,5e-6,0.391203,1.4788,82.39,0.0235,1.502762
2305300,288162,5e-6,0.394342,1.4834,76.62,0.0264,1.503628
2305400,288175,5e-6,0.385526,1.4704,82.26,0.0242,1.503688
2305500,288187,5e-6,0.371690,1.4502,79.86,0.0245,1.463842
2305600,288200,5e-6,0.445685,1.5616,84.55,0.0231,2.334532
2305700,288212,5e-6,0.371097,1.4493,87.12,0.0231,1.462800
2305800,288225,5e-6,0.380649,1.4632,83.90,0.0234,1.516287
2305900,288237,5e-6,0.397360,1.4879,86.85,0.0219,1.517708
2306000,288250,5e-6,0.394355,1.4834,85.91,0.0231,1.541232
2306100,288262,5e-6,0.380908,1.4636,108.38,0.0334,1.481383
2306200,288275,5e-6,0.394393,1.4835,80.57,0.0240,1.553803
2306300,288287,5e-6,0.377307,1.4584,84.18,0.0228,1.531569
2306400,288300,5e-6,0.384337,1.4686,83.86,0.0242,1.547060
2306500,288312,5e-6,0.386792,1.4723,83.97,0.0239,1.505011
2306600,288325,5e-6,0.392898,1.4813,81.97,0.0246,1.502050
2306700,288337,5e-6,0.362543,1.4370,83.27,0.0235,1.452769
2306800,288350,5e-6,0.370908,1.4491,77.09,0.0251,1.471987
2306900,288362,5e-6,0.366460,1.4426,84.75,0.0232,1.455656
2307000,288375,5e-6,0.389454,1.4762,86.12,0.0248,1.540527
2307100,288387,5e-6,0.379729,1.4619,114.28,0.0314,1.485386
2307200,288400,5e-6,0.385800,1.4708,85.07,0.0220,1.491863
2307300,288412,5e-6,0.361338,1.4352,81.93,0.0235,1.448222
2307400,288425,5e-6,0.379872,1.4621,84.49,0.0231,1.480737
2307500,288437,5e-6,0.389706,1.4765,85.95,0.0224,1.511790
2307600,288450,5e-6,0.341797,1.4075,82.49,0.0228,1.415806
2307700,288462,5e-6,0.363043,1.4377,80.96,0.0240,1.447047
2307800,288475,5e-6,0.415096,1.5145,85.24,0.0230,1.601015
2307900,288487,5e-6,0.387947,1.4740,80.20,0.0231,1.526169
2308000,288500,5e-6,0.369508,1.4470,77.26,0.0250,1.464647
2308100,288512,5e-6,0.351078,1.4206,114.71,0.0331,1.436612
2308200,288525,5e-6,0.401618,1.4942,82.63,0.0235,1.576039
2308300,288537,5e-6,0.392215,1.4803,82.42,0.0237,1.501887
2308400,288550,5e-6,0.364122,1.4392,87.14,0.0221,1.479424
2308500,288562,5e-6,0.396189,1.4861,79.07,0.0241,1.529857
2308600,288575,5e-6,0.371972,1.4506,82.71,0.0235,1.463405
2308700,288587,5e-6,0.363810,1.4388,84.31,0.0235,1.476333
2308800,288600,5e-6,0.422345,1.5255,77.68,0.0265,1.619354
2308900,288612,5e-6,0.337949,1.4021,76.73,0.0256,1.414019
2309000,288625,5e-6,0.394131,1.4831,86.18,0.0225,1.510693
2309100,288637,5e-6,0.377458,1.4586,113.06,0.0327,1.489957
2309200,288650,5e-6,0.373206,1.4524,85.05,0.0219,1.467243
2309300,288662,5e-6,0.347807,1.4160,81.24,0.0237,1.425441
2309400,288675,5e-6,0.383773,1.4678,87.61,0.0218,1.545982
2309500,288687,5e-6,0.375149,1.4552,81.45,0.0244,1.495783
2309600,288700,5e-6,0.375821,1.4562,77.91,0.0244,1.476818
2309700,288712,5e-6,0.416733,1.5170,87.57,0.0222,1.551551
2309800,288725,5e-6,0.343598,1.4100,84.38,0.0221,1.422846
2309900,288737,5e-6,0.409793,1.5065,85.49,0.0229,2.181654
2310000,288750,5e-6,0.433791,1.5431,81.88,0.0233,1.641116
2310100,288762,5e-6,0.367526,1.4442,112.86,0.0310,1.467424
2310200,288775,5e-6,0.344107,1.4107,84.50,0.0221,1.417720
2310300,288787,5e-6,0.345334,1.4125,81.95,0.0235,1.429690
2310400,288800,5e-6,0.369633,1.4472,78.87,0.0238,1.461465
2310500,288812,5e-6,0.378071,1.4595,80.34,0.0247,1.528883
2310600,288825,5e-6,0.368419,1.4454,80.08,0.0251,1.457930
2310700,288837,5e-6,0.370418,1.4483,79.48,0.0244,1.466938
2310800,288850,5e-6,0.387908,1.4739,82.33,0.0231,1.488828
2310900,288862,5e-6,0.355129,1.4264,86.71,0.0219,1.442178
2311000,288875,5e-6,0.362139,1.4364,80.95,0.0250,1.450483
2311100,288887,5e-6,0.348007,1.4162,113.45,0.0322,1.424326
2311200,288900,5e-6,0.395938,1.4858,79.48,0.0239,1.610984
2311300,288912,5e-6,0.370638,1.4487,93.54,0.0208,1.462262
2311400,288925,5e-6,0.348016,1.4163,77.53,0.0258,1.427778
2311500,288937,5e-6,0.350732,1.4201,83.47,0.0235,1.436418
2311600,288950,5e-6,0.425303,1.5301,81.59,0.0240,1.568084
2311700,288962,5e-6,0.368050,1.4449,81.45,0.0243,1.463213
2311800,288975,5e-6,0.362736,1.4373,85.60,0.0219,1.448299
2311900,288987,5e-6,0.377079,1.4580,78.57,0.0249,1.537643
2312000,289000,5e-6,0.349252,1.4180,80.06,0.0236,1.429784
2312100,289012,5e-6,0.375481,1.4557,111.34,0.0325,1.469306
2312200,289025,5e-6,0.365059,1.4406,76.71,0.0256,1.455604
2312300,289037,5e-6,0.357701,1.4300,85.20,0.0225,1.441804
2312400,289050,5e-6,0.362207,1.4365,82.48,0.0234,1.450141
2312500,289062,5e-6,0.351846,1.4217,82.26,0.0234,1.436154
2312600,289075,5e-6,0.393740,1.4825,76.71,0.0256,1.560619
2312700,289087,5e-6,0.371633,1.4501,87.98,0.0221,1.468464
