step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
3452100,863025,5e-7,0.514656,1.6731,265.38,0.0440,1.729428
3452200,863050,1e-6,0.587010,1.7986,143.48,0.0259,2.211638
3452300,863075,1.5e-6,0.472904,1.6046,131.60,0.0195,1.664580
3452400,863100,2e-6,0.513672,1.6714,121.86,0.0209,2.594982
3452500,863125,2.5e-6,0.485005,1.6242,121.37,0.0235,1.681785
3452600,863150,3e-6,0.484799,1.6238,116.24,0.0235,1.690783
3452700,863175,3.4999998e-6,0.474574,1.6073,125.05,0.0227,1.648786
3452800,863200,4e-6,0.474422,1.6071,119.09,0.0208,1.674100
3452900,863225,4.4999997e-6,0.481295,1.6182,117.25,0.0227,1.725170
3453000,863250,5e-6,0.516524,1.6762,135.98,0.0211,1.774063
3453100,863275,5e-6,0.482151,1.6196,161.88,0.0281,1.759045
3453200,863300,5e-6,0.446677,1.5631,128.99,0.0199,1.645576
3453300,863325,5e-6,0.442969,1.5573,137.13,0.0206,1.570837
3453400,863350,5e-6,0.471932,1.6031,125.45,0.0212,1.711946
3453500,863375,5e-6,0.466021,1.5936,132.20,0.0210,1.630300
3453600,863400,5e-6,0.450703,1.5694,130.04,0.0206,1.604292
3453700,863425,5e-6,0.421315,1.5240,125.55,0.0209,1.559168
3453800,863450,5e-6,0.437185,1.5483,119.19,0.0213,1.574430
3453900,863475,5e-6,0.490053,1.6324,130.85,0.0219,1.682360
3454000,863500,5e-6,0.453341,1.5736,126.44,0.0227,1.594941
3454100,863525,5e-6,0.441824,1.5555,178.73,0.0276,1.576128
3454200,863550,5e-6,0.471555,1.6025,123.97,0.0211,1.650927
3454300,863575,5e-6,0.429145,1.5359,120.86,0.0218,1.552285
3454400,863600,5e-6,0.444071,1.5590,117.48,0.0240,1.613203
3454500,863625,5e-6,0.451710,1.5710,127.78,0.0208,1.625181
3454600,863650,5e-6,0.463134,1.5890,129.81,0.0203,1.693264
3454700,863675,5e-6,0.438206,1.5499,120.54,0.0211,1.678674
3454800,863700,5e-6,0.466347,1.5942,114.38,0.0213,1.695234
3454900,863725,5e-6,0.448883,1.5666,117.41,0.0216,1.673469
3455000,863750,5e-6,0.423053,1.5266,129.21,0.0207,1.543775
3455100,863775,5e-6,0.441586,1.5552,193.36,0.0318,1.598920
3455200,863800,5e-6,0.420246,1.5223,127.24,0.0200,1.551846
3455300,863825,5e-6,0.444388,1.5595,117.08,0.0216,1.603519
3455400,863850,5e-6,0.426354,1.5317,133.57,0.0203,1.561885
3455500,863875,5e-6,0.440937,1.5542,128.17,0.0205,1.575924
3455600,863900,5e-6,0.419281,1.5209,124.04,0.0212,1.534779
3455700,863925,5e-6,0.416851,1.5172,129.92,0.0213,1.531748
3455800,863950,5e-6,0.419538,1.5213,129.14,0.0194,1.588076
3455900,863975,5e-6,0.446317,1.5625,126.98,0.0201,1.583313
3456000,864000,5e-6,0.453089,1.5732,112.80,0.0214,1.610049
3456100,864025,5e-6,0.414095,1.5130,155.80,0.0300,1.544070
3456200,864050,5e-6,0.446670,1.5631,130.06,0.0218,1.593737
3456300,864075,5e-6,0.449175,1.5670,111.67,0.0221,1.601072
3456400,864100,5e-6,0.412177,1.5101,129.70,0.0197,1.520928
3456500,864125,5e-6,0.410765,1.5080,115.83,0.0208,1.523226
3456600,864150,5e-6,0.432908,1.5417,124.86,0.0202,1.708806
3456700,864175,5e-6,0.432707,1.5414,121.62,0.0220,1.732758
3456800,864200,5e-6,0.426835,1.5324,114.55,0.0225,1.554429
3456900,864225,5e-6,0.435478,1.5457,119.68,0.0209,1.567920
3457000,864250,5e-6,0.425839,1.5309,114.41,0.0220,1.570883
3457100,864275,5e-6,0.401409,1.4939,164.09,0.0285,1.504296
3457200,864300,5e-6,0.406239,1.5012,123.09,0.0204,1.518297
3457300,864325,5e-6,0.414997,1.5144,109.46,0.0220,1.537411
3457400,864350,5e-6,0.417187,1.5177,124.08,0.0204,1.547133
3457500,864375,5e-6,0.429122,1.5359,116.49,0.0209,1.586529
3457600,864400,5e-6,0.419174,1.5207,113.44,0.0213,1.559932
3457700,864425,5e-6,0.413943,1.5128,114.12,0.0217,1.544256
3457800,864450,5e-6,0.405157,1.4995,113.20,0.0224,1.519656
3457900,864475,5e-6,0.398843,1.4901,122.69,0.0215,1.503555
3458000,864500,5e-6,0.425640,1.5306,116.70,0.0235,1.574432
3458100,864525,5e-6,0.416817,1.5171,165.04,0.0273,1.547811
3458200,864550,5e-6,0.414924,1.5143,119.89,0.0215,1.558303
