step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,resp_ppl
3452100,1726050,5e-6,0.496491,1.6429,241.30,0.0624,1.670645
3452200,1726100,5e-6,0.498075,1.6456,103.32,0.0293,1.790988
3452300,1726150,5e-6,0.501272,1.6508,120.43,0.0304,1.874553
3452400,1726200,5e-6,0.422943,1.5264,94.75,0.0296,1.538812
3452500,1726250,5e-6,0.497029,1.6438,107.51,0.0271,1.859111
3452600,1726300,5e-6,0.460623,1.5851,97.24,0.0291,1.738921
3452700,1726350,5e-6,0.463892,1.5903,110.78,0.0289,1.629050
3452800,1726400,5e-6,0.410931,1.5082,105.35,0.0325,1.530143
3452900,1726450,5e-6,0.420402,1.5226,99.65,0.0287,1.547405
3453000,1726500,5e-6,0.436573,1.5474,98.10,0.0290,1.573790
3453100,1726550,5e-6,0.439852,1.5525,141.33,0.0360,1.583315
3453200,1726600,5e-6,0.424173,1.5283,97.89,0.0271,1.544575
3453300,1726650,5e-6,0.407007,1.5023,93.41,0.0292,1.525798
3453400,1726700,5e-6,0.394980,1.4844,96.26,0.0284,1.498447
3453500,1726750,5e-6,0.406430,1.5014,99.34,0.0297,1.515676
3453600,1726800,5e-6,0.446364,1.5626,96.08,0.0298,1.667796
3453700,1726850,5e-6,0.406355,1.5013,102.55,0.0300,1.517066
3453800,1726900,5e-6,0.409748,1.5064,110.77,0.0269,1.530142
3453900,1726950,5e-6,0.394870,1.4842,97.58,0.0293,1.495881
3454000,1727000,5e-6,0.428348,1.5347,98.10,0.0273,1.558576
3454100,1727050,5e-6,0.388881,1.4753,162.94,0.0495,1.495742
3454200,1727100,5e-6,0.384088,1.4683,98.08,0.0291,1.490877
3454300,1727150,5e-6,0.409551,1.5061,105.24,0.0276,1.543300
3454400,1727200,5e-6,0.399281,1.4908,99.33,0.0275,1.537271
3454500,1727250,5e-6,0.390506,1.4777,111.64,0.0232,1.490982
3454600,1727300,5e-6,0.402881,1.4961,92.10,0.0286,1.600718
3454700,1727350,5e-6,0.385622,1.4705,99.80,0.0292,1.486634
3454800,1727400,5e-6,0.377789,1.4591,98.41,0.0273,1.473436
3454900,1727450,5e-6,0.405081,1.4994,97.32,0.0296,1.544441
3455000,1727500,5e-6,0.396444,1.4865,99.29,0.0303,1.500299
3455100,1727550,5e-6,0.382158,1.4654,147.89,0.0412,1.480684
3455200,1727600,5e-6,0.374125,1.4537,103.91,0.0271,1.467264
3455300,1727650,5e-6,0.384792,1.4693,101.13,0.0282,1.488201
3455400,1727700,5e-6,0.384276,1.4686,96.31,0.0291,1.485632
3455500,1727750,5e-6,0.377247,1.4583,99.45,0.0273,1.482258
3455600,1727800,5e-6,0.403604,1.4972,98.61,0.0273,1.512472
3455700,1727850,5e-6,0.470845,1.6013,109.38,0.0265,1.705581
3455800,1727900,5e-6,0.396355,1.4864,99.39,0.0290,1.505138
3455900,1727950,5e-6,0.376140,1.4567,100.02,0.0286,1.466879
3456000,1728000,5e-6,0.394227,1.4832,96.20,0.0277,2.284947
3456100,1728050,5e-6,0.403213,1.4966,136.08,0.0482,1.537914
3456200,1728100,5e-6,0.388519,1.4748,100.77,0.0274,1.497274
3456300,1728150,5e-6,0.421553,1.5243,99.31,0.0268,1.612359
3456400,1728200,5e-6,0.396890,1.4872,97.32,0.0287,1.546253
3456500,1728250,5e-6,0.391991,1.4799,96.88,0.0293,1.502485
3456600,1728300,5e-6,0.371921,1.4505,99.69,0.0276,1.474294
3456700,1728350,5e-6,0.373100,1.4522,92.84,0.0299,1.469832
3456800,1728400,5e-6,0.378395,1.4599,105.41,0.0254,1.486215
3456900,1728450,5e-6,0.396730,1.4870,104.12,0.0265,1.510605
3457000,1728500,5e-6,0.387599,1.4734,92.93,0.0305,1.563945
3457100,1728550,5e-6,0.387994,1.4740,139.65,0.0416,1.492349
3457200,1728600,5e-6,0.401488,1.4940,99.92,0.0270,1.544719
