step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
100,12,8e-6,5.624847,277.2299,1376.81,0.1243,33.010422
200,25,1.6666667e-5,4.435801,84.4197,159.23,0.0180,27.047058
300,37,2.4666666e-5,3.735813,41.9221,171.01,0.0169,22.365452
400,50,3.3333334e-5,3.263411,26.1385,172.93,0.0179,19.470833
500,62,4.1333333e-5,2.906131,18.2859,150.27,0.0179,17.563572
600,75,5e-5,2.633072,13.9165,154.39,0.0177,15.627449
700,87,5.7999998e-5,2.489795,12.0588,174.84,0.0168,14.644988
800,100,6.666667e-5,2.359962,10.5906,178.76,0.0159,14.590464
900,112,7.466666e-5,2.239801,9.3915,138.18,0.0174,13.287619
1000,125,8.333333e-5,2.165579,8.7196,133.36,0.0172,13.146465
1100,137,9.1333335e-5,2.134889,8.4561,214.05,0.0203,12.878185
1200,150,9.999986e-5,2.070377,7.9278,193.75,0.0156,12.624118
1300,162,9.999983e-5,2.024013,7.5686,166.47,0.0179,11.772739
1400,175,9.99998e-5,1.984624,7.2763,179.13,0.0164,12.124616
1500,187,9.999979e-5,1.950399,7.0315,191.95,0.0172,11.617231
1600,200,9.999974e-5,1.910358,6.7555,189.85,0.0166,11.437643
1700,212,9.9999714e-5,1.919266,6.8160,175.90,0.0167,11.406354
1800,225,9.9999685e-5,1.834094,6.2595,167.22,0.0176,10.920487
1900,237,9.999964e-5,1.800082,6.0501,172.41,0.0171,10.743913
2000,250,9.99996e-5,1.781454,5.9385,156.63,0.0168,10.612796
2100,262,9.999957e-5,1.789921,5.9890,208.77,0.0211,10.444187
2200,275,9.9999525e-5,1.728522,5.6323,181.44,0.0159,10.447923
2300,287,9.999948e-5,1.718625,5.5769,176.58,0.0170,10.190475
2400,300,9.999944e-5,1.708176,5.5189,213.75,0.0155,10.270242
2500,312,9.999939e-5,1.694527,5.4441,184.66,0.0160,10.019773
2600,325,9.9999335e-5,1.680033,5.3657,167.57,0.0166,10.002737
2700,337,9.999928e-5,1.648351,5.1984,167.08,0.0171,9.672473
2800,350,9.999923e-5,1.650582,5.2100,156.40,0.0167,9.766507
2900,362,9.9999175e-5,1.614063,5.0232,196.97,0.0206,9.511322
3000,375,9.999912e-5,1.622305,5.0648,176.93,0.0166,9.618677
3100,387,9.999906e-5,1.584142,4.8751,205.18,0.0233,9.346577
3200,400,9.9998986e-5,1.580749,4.8586,190.69,0.0170,9.516821
3300,412,9.999893e-5,1.597199,4.9392,156.14,0.0175,9.312510
3400,425,9.999887e-5,1.556252,4.7410,167.59,0.0179,9.105023
3500,437,9.99988e-5,1.532018,4.6275,179.86,0.0169,9.032134
3600,450,9.9998724e-5,1.517227,4.5596,149.39,0.0173,9.012537
3700,462,9.999865e-5,1.515231,4.5505,150.05,0.0171,9.176010
3800,475,9.999858e-5,1.493253,4.4516,140.01,0.0188,8.737842
3900,487,9.9998506e-5,1.501379,4.4879,168.08,0.0168,9.099984
4000,500,9.999842e-5,1.509327,4.5237,167.97,0.0183,8.780923
4100,512,9.9998346e-5,1.481567,4.3998,222.78,0.0214,8.898878
4200,525,9.999826e-5,1.530299,4.6196,171.99,0.0161,9.221995
4300,537,9.999817e-5,1.466615,4.3345,172.90,0.0170,8.718346
4400,550,9.99981e-5,1.466418,4.3337,188.79,0.0158,8.920762
4500,562,9.999801e-5,1.450621,4.2658,175.72,0.0164,8.664759
4600,575,9.999791e-5,1.441072,4.2252,183.38,0.0176,8.633266
4700,587,9.999782e-5,1.456737,4.2919,185.86,0.0169,8.703673
4800,600,9.999772e-5,1.450640,4.2658,170.16,0.0175,8.522388
4900,612,9.999763e-5,1.405884,4.0791,149.87,0.0171,8.539961
5000,625,9.999753e-5,1.405359,4.0770,167.07,0.0173,8.362233
5100,637,9.999744e-5,1.477113,4.3803,242.23,0.0212,8.616893
5200,650,9.999733e-5,1.402692,4.0661,147.08,0.0181,8.389779
5300,662,9.999724e-5,1.429434,4.1763,215.42,0.0172,8.448688
5400,675,9.999712e-5,1.404911,4.0752,166.82,0.0164,8.411766
5500,687,9.999702e-5,1.420715,4.1401,197.45,0.0160,8.488686
5600,700,9.9996905e-5,1.372956,3.9470,146.76,0.0169,8.246787
5700,712,9.99968e-5,1.382368,3.9843,168.34,0.0174,8.007092
5800,725,9.999669e-5,1.342786,3.8297,168.50,0.0166,8.133560
5900,737,9.999657e-5,1.368475,3.9294,158.10,0.0181,8.093946
6000,750,9.9996454e-5,1.383187,3.9876,156.87,0.0174,8.121420
6100,762,9.999634e-5,1.381756,3.9819,212.92,0.0207,8.444383
6200,775,9.999621e-5,1.352240,3.8661,153.54,0.0166,8.207638
6300,787,9.999609e-5,1.376842,3.9624,177.30,0.0163,8.214092
6400,800,9.999596e-5,1.324115,3.7589,185.57,0.0164,7.917219
6500,812,9.999584e-5,1.358636,3.8909,169.03,0.0166,8.292165
6600,825,9.99957e-5,1.345940,3.8418,182.12,0.0170,7.876822
6700,837,9.999558e-5,1.321316,3.7484,170.01,0.0162,8.184592
6800,850,9.9995435e-5,1.331858,3.7881,178.39,0.0161,8.090982
6900,862,9.9995304e-5,1.378583,3.9693,181.84,0.0171,8.163449
7000,875,9.999516e-5,1.328355,3.7748,219.57,0.0188,7.937531
7100,887,9.999503e-5,1.337643,3.8101,208.62,0.0215,7.860619
7200,900,9.999488e-5,1.321070,3.7474,158.32,0.0164,7.951705
7300,912,9.999474e-5,1.337643,3.8101,169.09,0.0161,8.170351
7400,925,9.999459e-5,1.311055,3.7101,158.08,0.0165,7.797187
7500,937,9.999446e-5,1.313183,3.7180,180.41,0.0164,7.870451
7600,950,9.99943e-5,1.309351,3.7038,176.34,0.0167,7.701344
7700,962,9.9994155e-5,1.317523,3.7342,153.94,0.0169,7.906504
7800,975,9.9993995e-5,1.268865,3.5568,144.10,0.0174,7.714392
7900,987,9.999385e-5,1.298594,3.6641,162.82,0.0168,7.859036
8000,1000,9.9993675e-5,1.294662,3.6498,163.97,0.0173,7.802650
8100,1012,9.999353e-5,1.276957,3.5857,196.99,0.0221,7.835970
8200,1025,9.999337e-5,1.291011,3.6365,164.49,0.0168,7.824879
8300,1037,9.999321e-5,1.259479,3.5236,170.84,0.0168,7.451044
8400,1050,9.9993034e-5,1.282169,3.6044,187.39,0.0172,7.684622
8500,1062,9.9992874e-5,1.300304,3.6704,204.90,0.0174,7.535983
8600,1075,9.99927e-5,1.331613,3.7871,157.90,0.0165,7.746498
8700,1087,9.999254e-5,1.321098,3.7475,159.23,0.0167,7.844940
8800,1100,9.9992365e-5,1.283545,3.6094,181.53,0.0167,7.639472
8900,1112,9.999219e-5,1.277179,3.5865,145.24,0.0176,7.530418
9000,1125,9.9992e-5,1.270722,3.5634,178.69,0.0170,7.549620
9100,1137,9.999184e-5,1.284737,3.6137,211.85,0.0210,7.725531
9200,1150,9.999165e-5,1.276716,3.5848,171.06,0.0165,7.554213
9300,1162,9.999148e-5,1.333382,3.7939,186.49,0.0164,7.915516
9400,1175,9.999127e-5,1.291714,3.6390,154.41,0.0168,7.811327
9500,1187,9.99911e-5,1.284451,3.6127,176.87,0.0170,7.570251
9600,1200,9.999091e-5,1.252086,3.4976,189.82,0.0171,7.470473
9700,1212,9.999072e-5,1.247283,3.4809,155.57,0.0175,7.466170
9800,1225,9.999052e-5,1.289828,3.6322,174.89,0.0163,7.784647
9900,1237,9.999033e-5,1.277932,3.5892,177.42,0.0171,7.460667
10000,1250,9.9990124e-5,1.235793,3.4411,160.45,0.0163,7.538907
10100,1262,9.9989935e-5,1.230351,3.4224,209.47,0.0207,7.356603
10200,1275,9.998973e-5,1.223945,3.4006,158.96,0.0168,7.264922
10300,1287,9.998954e-5,1.260301,3.5265,157.57,0.0171,7.631560
10400,1300,9.9989324e-5,1.248353,3.4846,179.41,0.0175,7.343358
10500,1312,9.9989134e-5,1.247853,3.4829,168.18,0.0178,7.358669
10600,1325,9.9988916e-5,1.249568,3.4888,177.32,0.0166,7.637226
10700,1337,9.998871e-5,1.247792,3.4826,193.34,0.0157,7.469368
10800,1350,9.9988494e-5,1.208207,3.3475,194.87,0.0169,7.244183
10900,1362,9.998829e-5,1.237518,3.4470,174.32,0.0158,7.501757
11000,1375,9.998806e-5,1.218825,3.3832,171.17,0.0160,7.369151
11100,1387,9.9987854e-5,1.253485,3.5025,205.19,0.0219,7.370378
11200,1400,9.998762e-5,1.266421,3.5481,165.08,0.0169,7.619319
11300,1412,9.99874e-5,1.181028,3.2577,149.53,0.0167,7.077127
11400,1425,9.998717e-5,1.200160,3.3206,159.86,0.0166,7.317692
11500,1437,9.998695e-5,1.211388,3.3581,156.54,0.0178,7.083066
11600,1450,9.998672e-5,1.209514,3.3519,170.35,0.0168,7.177491
11700,1462,9.99865e-5,1.209322,3.3512,175.17,0.0166,7.058239
11800,1475,9.998625e-5,1.205026,3.3368,210.41,0.0158,7.312397
11900,1487,9.9986035e-5,1.235173,3.4390,173.71,0.0166,7.250006
12000,1500,9.998579e-5,1.228585,3.4164,197.18,0.0170,7.186748
12100,1512,9.9985555e-5,1.202118,3.3272,192.50,0.0235,7.046479
12200,1525,9.998531e-5,1.187294,3.2782,179.82,0.0167,7.109437
12300,1537,9.9985074e-5,1.208871,3.3497,155.14,0.0165,7.298113
12400,1550,9.998483e-5,1.208041,3.3469,147.19,0.0177,7.224047
12500,1562,9.9984594e-5,1.202052,3.3269,163.52,0.0174,7.172338
12600,1575,9.998433e-5,1.210350,3.3547,182.57,0.0159,7.200963
12700,1587,9.9984085e-5,1.194110,3.3006,156.56,0.0171,7.074012
12800,1600,9.998384e-5,1.167108,3.2127,166.89,0.0170,7.109909
12900,1612,9.998359e-5,1.194658,3.3024,167.98,0.0169,7.050418
13000,1625,9.998333e-5,1.242619,3.4647,186.25,0.0191,7.236406
