step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
10,1,6.6666666e-7,6.089030,440.9936,496.86,0.0562,39.334175
20,2,1.3333333e-6,5.993427,400.7859,241.75,0.0222,39.825874
30,3,2e-6,5.905745,367.1405,203.10,0.0228,37.587051
40,5,3.3333333e-6,5.775085,322.1718,192.75,0.0253,37.822723
50,6,4e-6,5.565726,261.3148,144.98,0.0181,36.481030
60,7,4.6666664e-6,5.457681,234.5529,117.85,0.0188,34.601452
70,8,5.3333333e-6,5.317268,203.8263,144.00,0.0179,34.166771
80,10,6.6666666e-6,5.187150,178.9578,119.16,0.0191,33.034615
90,11,7.3333326e-6,5.087107,161.9207,171.21,0.0200,32.734917
100,12,8e-6,4.990821,147.0572,171.99,0.0193,32.031929
110,13,8.666666e-6,4.894380,133.5372,177.99,0.0210,31.918640
120,15,1e-5,4.822848,124.3187,268.71,0.0232,32.199375
130,16,1.0666667e-5,4.706470,110.6609,137.73,0.0181,30.230999
140,17,1.13333335e-5,4.606977,100.1808,104.17,0.0186,29.313171
150,18,1.19999995e-5,4.536973,93.4076,114.34,0.0187,28.850735
160,20,1.3333333e-5,4.473124,87.6301,154.41,0.0176,28.375055
170,21,1.3999999e-5,4.419105,83.0219,125.12,0.0184,28.672237
180,22,1.4666665e-5,4.386941,80.3941,161.34,0.0164,29.553051
190,23,1.5333333e-5,4.267766,71.3620,167.29,0.0178,27.115589
200,25,1.6666667e-5,4.221266,68.1197,164.40,0.0179,26.720245
210,26,1.7333332e-5,4.191034,66.0911,165.75,0.0169,28.490036
220,27,1.8e-5,4.128680,62.0959,209.28,0.0179,25.953156
230,28,1.8666666e-5,4.087827,59.6102,318.07,0.0160,26.659870
240,30,2e-5,3.999439,54.5675,202.22,0.0165,26.292944
250,31,2.0666666e-5,3.990153,54.0632,146.66,0.0176,26.240177
260,32,2.1333333e-5,3.939813,51.4090,104.64,0.0175,26.899433
270,33,2.2e-5,3.824210,45.7966,155.84,0.0172,25.126863
280,35,2.3333332e-5,3.796889,44.5623,151.98,0.0180,24.126186
290,36,2.3999999e-5,3.709042,40.8147,140.42,0.0183,23.972263
300,37,2.4666666e-5,3.718774,41.2138,114.22,0.0184,24.450396
310,38,2.5333333e-5,3.662238,38.9484,232.73,0.0160,23.925858
320,40,2.6666667e-5,3.526429,34.0023,204.46,0.0172,22.094849
330,41,2.7333333e-5,3.529809,34.1174,233.43,0.0164,23.257679
340,42,2.7999999e-5,3.479839,32.4545,216.95,0.0166,22.621044
350,43,2.8666665e-5,3.437570,31.1113,181.98,0.0181,21.046963
360,45,3.0000001e-5,3.353108,28.5915,178.15,0.0175,20.957937
370,46,3.0666666e-5,3.325787,27.8209,177.12,0.0173,21.048847
380,47,3.1333333e-5,3.273000,26.3904,118.15,0.0178,21.170523
390,48,3.2e-5,3.233747,25.3746,171.36,0.0174,20.845348
400,50,3.3333334e-5,3.145082,23.2216,140.96,0.0176,19.752626
410,51,3.4e-5,3.172079,23.8570,176.28,0.0174,20.093527
420,52,3.4666664e-5,3.133467,22.9534,293.68,0.0182,19.661901
430,53,3.533333e-5,3.001108,20.1078,672.12,0.0180,17.001415
440,55,3.6666668e-5,3.036084,20.8235,195.42,0.0196,18.771915
450,56,3.733333e-5,3.051522,21.1475,123.11,0.0178,19.767460
