step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.292351,198.8103,7035.97,6.9760,0.179320,0.079685
20,20,2e-5,4.625159,102.0190,6720.25,6.7019,0.168624,0.069636
30,30,3.0000001e-5,3.986864,53.8856,6575.70,6.5273,0.138503,0.053601
40,40,4e-5,3.452047,31.5650,6345.29,6.8569,0.098693,0.039181
50,50,5e-5,3.169214,23.7888,6714.21,6.6777,0.079251,0.028400
60,60,6.0000002e-5,3.030291,20.7033,6994.18,7.2948,0.066893,0.025892
70,70,6.9999995e-5,2.840379,17.1223,7081.96,7.0709,0.063193,0.024202
80,80,8e-5,2.768779,15.9392,6901.88,6.9535,0.068105,0.024776
90,90,8.9999994e-5,2.650972,14.1678,6980.97,6.9619,0.071755,0.024612
100,100,1e-4,2.511972,12.3292,7034.11,6.9972,0.074881,0.025381
110,110,1.1e-4,2.466441,11.7804,6272.03,6.6583,0.079404,0.026042
120,120,1.20000004e-4,2.366138,10.6562,6767.13,6.8759,0.072015,0.024040
130,130,1.2999999e-4,2.389472,10.9077,6549.44,7.0389,0.071402,0.024835
140,140,1.3999999e-4,2.290138,9.8763,7020.40,6.9741,0.066790,0.024246
150,150,1.4999999e-4,2.207865,9.0963,6817.66,7.0948,0.066173,0.024702
160,160,1.6e-4,2.185730,8.8971,7097.22,7.0710,0.067004,0.024906
170,170,1.7e-4,2.297435,9.9486,6497.86,7.0921,0.065800,0.025443
180,180,1.7999999e-4,2.242862,9.4202,6925.38,6.8877,0.062742,0.023713
190,190,1.8999999e-4,2.197042,8.9984,6802.68,6.7788,0.065122,0.024248
200,200,1.9983227e-4,2.259500,9.5783,6443.87,6.8110,0.063728,0.024358
210,210,1.9981508e-4,2.267925,9.6593,6219.46,6.8836,0.057196,0.022449
220,220,1.9979705e-4,2.079727,8.0023,6895.49,6.8821,0.059396,0.023090
230,230,1.997782e-4,2.009624,7.4605,6537.42,6.8857,0.057840,0.023445
240,240,1.997585e-4,2.098963,8.1577,6655.97,7.0805,0.057804,0.024331
250,250,1.9973796e-4,2.105019,8.2073,6623.21,6.8632,0.056700,0.023593
260,260,1.997166e-4,1.975508,7.2103,6908.39,6.8231,0.051424,0.022220
270,270,1.9969439e-4,1.962483,7.1170,6775.55,6.7269,0.052840,0.022596
280,280,1.9967135e-4,1.875267,6.5226,6862.47,6.8344,0.051216,0.022313
290,290,1.9964747e-4,1.792030,6.0016,6831.74,6.7933,0.054852,0.023288
300,300,1.9962277e-4,1.872172,6.5024,6614.62,6.9599,0.051027,0.022445
310,310,1.9959721e-4,1.857182,6.4057,6381.27,6.8596,0.049981,0.022046
320,320,1.9957083e-4,1.989270,7.3102,7065.17,7.0023,0.049859,0.022417
330,330,1.9954362e-4,1.991470,7.3263,5853.45,7.0006,0.047692,0.021589
