step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
10,5,8.3333333e-7,5.987980,398.6088,498.32,0.0563,38.670311
20,10,1.6666667e-6,5.729328,307.7623,243.63,0.0223,38.074970
30,15,2.5e-6,5.426322,227.3118,214.18,0.0240,34.523384
40,20,3.3333333e-6,5.196764,180.6866,191.48,0.0252,34.021233
50,25,4.1666667e-6,4.910544,135.7132,147.85,0.0185,32.178371
60,30,5e-6,4.706641,110.6798,123.78,0.0198,29.835224
70,35,5.833333e-6,4.537156,93.4247,146.35,0.0182,29.158316
80,40,6.6666666e-6,4.397287,81.2302,121.66,0.0195,28.008566
90,45,7.5000003e-6,4.266387,71.2637,172.94,0.0202,27.464050
100,50,8.333333e-6,4.151330,63.5184,179.47,0.0201,26.649700
110,55,9.166667e-6,4.010448,55.1716,186.03,0.0220,26.165085
120,60,1e-5,3.925139,50.6601,283.44,0.0245,26.217266
130,65,1.0833333e-5,3.827531,45.9490,139.62,0.0183,24.581827
140,70,1.1666666e-5,3.726051,41.5149,107.63,0.0192,23.720737
150,75,1.25e-5,3.621778,37.4040,117.51,0.0193,23.034781
160,80,1.3333333e-5,3.538364,34.4106,157.85,0.0180,22.454491
170,85,1.4166666e-5,3.450637,31.5205,127.66,0.0188,22.388699
180,90,1.50000005e-5,3.436003,31.0625,164.51,0.0167,23.147444
190,95,1.5833333e-5,3.258111,26.0004,170.76,0.0182,20.698404
200,100,1.6666667e-5,3.238837,25.5040,167.84,0.0183,20.505175
210,105,1.7499999e-5,3.156971,23.4993,168.11,0.0171,21.467382
220,110,1.8333334e-5,3.072587,21.5977,212.89,0.0182,19.313709
230,115,1.9166666e-5,3.036775,20.8379,321.00,0.0161,19.798698
240,120,2e-5,2.946401,19.0373,205.00,0.0167,19.369099
250,125,2.0833333e-5,2.944528,19.0017,149.19,0.0179,19.369291
260,130,2.1666667e-5,2.907532,18.3116,108.26,0.0181,19.836208
270,135,2.2499999e-5,2.789167,16.2675,159.34,0.0176,18.318974
280,140,2.3333332e-5,2.780196,16.1222,154.67,0.0184,17.663853
290,145,2.4166666e-5,2.726531,15.2798,145.55,0.0190,17.627323
300,150,2.5e-5,2.738627,15.4657,117.69,0.0190,18.006567
310,155,2.5833331e-5,2.690841,14.7441,243.60,0.0168,17.512234
320,160,2.6666667e-5,2.577871,13.1691,209.77,0.0177,16.142450
330,165,2.75e-5,2.585393,13.2685,236.94,0.0167,17.031904
340,170,2.8333332e-5,2.543315,12.7218,224.02,0.0171,16.519892
350,175,2.9166666e-5,2.556732,12.8936,189.26,0.0188,15.653142
360,180,3.0000001e-5,2.471265,11.8374,187.39,0.0184,15.437956
370,185,3.0833333e-5,2.460088,11.7058,183.54,0.0180,15.568721
380,190,3.1666666e-5,2.421150,11.2588,123.13,0.0186,15.662259
390,195,3.2499996e-5,2.386820,10.8788,177.31,0.0180,15.382915
