step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
100,12,8e-6,5.745784,312.8688,976.10,0.6322,29.878052
200,25,1.6666667e-5,4.861958,129.2770,60.53,0.0370,25.142723
300,37,2.4666666e-5,4.101035,60.4028,34.75,0.0224,21.172243
400,50,3.3333334e-5,3.490180,32.7918,35.71,0.0222,18.145807
500,62,4.1333333e-5,3.059638,21.3198,36.67,0.0238,15.916883
600,75,5e-5,2.683034,14.6294,58.77,0.0370,13.984684
700,87,5.7999998e-5,2.408463,11.1169,96.18,0.0588,12.493839
800,100,6.666667e-5,2.194946,8.9795,35.32,0.0221,11.502481
900,112,7.466666e-5,2.000566,7.3932,34.71,0.0215,10.339916
1000,125,8.333333e-5,1.889512,6.6161,34.56,0.0234,9.894179
1100,137,9.1333335e-5,1.775765,5.9048,41.46,0.0243,9.238536
1200,150,9.999986e-5,1.637136,5.1404,34.31,0.0221,8.430717
1300,162,9.999983e-5,1.539070,4.6603,34.77,0.0227,7.997212
1400,175,9.99998e-5,1.470916,4.3532,35.43,0.0228,7.606832
1500,187,9.999979e-5,1.407209,4.0845,73.81,0.0485,7.332775
1600,200,9.999974e-5,1.409283,4.0930,35.23,0.0231,7.416575
1700,212,9.9999714e-5,1.327266,3.7707,34.76,0.0213,6.892283
1800,225,9.9999685e-5,1.306629,3.6937,36.26,0.0209,6.809122
1900,237,9.999964e-5,1.261157,3.5295,34.73,0.0222,6.597157
2000,250,9.99996e-5,1.226400,3.4089,34.96,0.0218,6.391401
2100,262,9.999957e-5,1.216178,3.3743,41.53,0.0261,6.374422
2200,275,9.9999525e-5,1.185039,3.2708,35.63,0.0204,6.158014
2300,287,9.999948e-5,1.130594,3.0975,34.85,0.0233,5.881499
2400,300,9.999944e-5,1.143693,3.1383,35.44,0.0231,5.978016
2500,312,9.999939e-5,1.086866,2.9650,35.07,0.0211,5.623357
2600,325,9.9999335e-5,1.073139,2.9245,35.53,0.0224,5.578068
2700,337,9.999928e-5,1.089742,2.9735,35.20,0.0222,5.756479
2800,350,9.999923e-5,1.062760,2.8943,34.98,0.0219,5.513053
2900,362,9.9999175e-5,1.036645,2.8197,34.84,0.0225,5.398102
3000,375,9.999912e-5,0.994786,2.7041,34.58,0.0232,5.122606
3100,387,9.999906e-5,1.007706,2.7393,41.26,0.0269,5.257524
3200,400,9.9998986e-5,1.016320,2.7630,34.53,0.0225,5.317967
3300,412,9.999893e-5,0.993003,2.6993,34.99,0.0209,5.159073
3400,425,9.999887e-5,0.996664,2.7092,34.94,0.0222,5.176436
3500,437,9.99988e-5,0.963225,2.6201,34.39,0.0232,5.046777
3600,450,9.9998724e-5,0.963662,2.6213,34.81,0.0217,5.021687
3700,462,9.999865e-5,0.962351,2.6178,35.66,0.0203,4.968360
3800,475,9.999858e-5,0.930979,2.5370,34.95,0.0220,4.877954
3900,487,9.9998506e-5,0.946567,2.5768,35.26,0.0220,4.917306
4000,500,9.999842e-5,0.930938,2.5369,35.97,0.0214,4.837596
4100,512,9.9998346e-5,0.908333,2.4802,41.20,0.0257,4.712239
4200,525,9.999826e-5,0.919287,2.5075,35.49,0.0223,4.766333
4300,537,9.999817e-5,0.894195,2.4454,35.02,0.0223,4.649168
4400,550,9.99981e-5,0.915367,2.4977,35.80,0.0217,4.810639
4500,562,9.999801e-5,0.863222,2.3708,34.78,0.0232,4.482563
4600,575,9.999791e-5,0.896497,2.4510,36.64,0.0225,4.702934
4700,587,9.999782e-5,0.868872,2.3842,35.54,0.0219,4.501645
4800,600,9.999772e-5,0.873589,2.3955,35.86,0.0226,4.594386
4900,612,9.999763e-5,0.863310,2.3710,34.72,0.0220,4.528107
5000,625,9.999753e-5,0.868142,2.3825,34.12,0.0236,4.518576
5100,637,9.999744e-5,0.877127,2.4040,41.80,0.0262,4.601760
5200,650,9.999733e-5,0.898101,2.4549,35.73,0.0220,4.686291
5300,662,9.999724e-5,0.817914,2.2658,34.49,0.0236,4.231935
5400,675,9.999712e-5,0.872541,2.3930,36.36,0.0213,4.547636
5500,687,9.999702e-5,0.853764,2.3485,34.48,0.0229,4.478354
5600,700,9.9996905e-5,0.830648,2.2948,35.10,0.0229,4.337586
5700,712,9.99968e-5,0.848044,2.3351,35.65,0.0208,4.428156
5800,725,9.999669e-5,0.827150,2.2868,35.34,0.0224,4.343556
5900,737,9.999657e-5,0.822195,2.2755,34.66,0.0232,4.266990
6000,750,9.9996454e-5,0.810639,2.2493,35.48,0.0219,4.215826
6100,762,9.999634e-5,0.791294,2.2062,40.97,0.0268,4.110073
6200,775,9.999621e-5,0.815095,2.2594,35.10,0.0231,4.240108
6300,787,9.999609e-5,0.816539,2.2627,35.51,0.0221,4.284044
6400,800,9.999596e-5,0.777950,2.1770,35.17,0.0224,4.059876
6500,812,9.999584e-5,0.810961,2.2501,35.31,0.0218,4.242059
6600,825,9.99957e-5,0.810466,2.2490,36.74,0.0225,4.241410
6700,837,9.999558e-5,0.791786,2.2073,35.16,0.0217,4.110611
6800,850,9.9995435e-5,0.778878,2.1790,34.59,0.0230,4.068616
6900,862,9.9995304e-5,0.795575,2.2157,35.13,0.0229,4.181190
7000,875,9.999516e-5,0.813591,2.2560,35.84,0.0211,4.242844
7100,887,9.999503e-5,0.806191,2.2394,42.09,0.0266,4.230165
7200,900,9.999488e-5,0.796606,2.2180,35.38,0.0208,4.139236
7300,912,9.999474e-5,0.772307,2.1648,35.28,0.0226,4.041735
7400,925,9.999459e-5,0.770411,2.1607,34.79,0.0226,4.051794
7500,937,9.999446e-5,0.757829,2.1336,34.92,0.0225,3.921517
7600,950,9.99943e-5,0.763186,2.1451,35.88,0.0221,3.958200
7700,962,9.9994155e-5,0.767448,2.1543,35.96,0.0227,4.038714
7800,975,9.9993995e-5,0.754805,2.1272,36.07,0.0220,3.951300
7900,987,9.999385e-5,0.758718,2.1355,37.07,0.0211,3.934998
8000,1000,9.9993675e-5,0.738795,2.0934,36.04,0.0232,3.855544
8100,1012,9.999353e-5,0.748701,2.1143,57.91,0.0369,3.928206
8200,1025,9.999337e-5,0.758922,2.1360,35.88,0.0221,3.983247
8300,1037,9.999321e-5,0.737610,2.0909,35.55,0.0220,3.845064
8400,1050,9.9993034e-5,0.742057,2.1003,35.52,0.0220,3.869106
